F2 D R2 U2 R2
F2 L D R2 U2 R2
F2 L' D R2 U2 R2
F2 L2 D R2 U2 R2
F2 R U F2 U R'
F2 R U2 R' D' L2
F2 R U2 D' L2 R'
F2 R U2 D' R' L2
F2 R D R2 U2 R
F2 R D' U2 L2 R'
F2 R D' U2 R' L2
F2 R' U2 R D' L2
F2 R' U2 D' L2 R
F2 R' U2 D' R L2
F2 R' D R2 U2 R'
F2 R' D' U2 L2 R
F2 R' D' U2 R L2
B' R2 U F' R2 B
F2 R2 U F2 U R2
F2 R2 U2 R2 D' L2
F2 U F2 U D R2
F2 U F2 U2 F2 U'
F2 U F2 D U R2
F2 U F2 D2 B2 U
F2 U2 D' L2 D2 R2
F2 D L R2 U2 R2
F2 D L' R2 U2 R2
F2 D L2 R2 U2 R2
F2 D R2 L U2 R2
F2 D R2 L' U2 R2
F2 D R2 L2 U2 R2
F2 D R2 U2 R2 D
F2 D R2 U2 R2 D'
F2 D R2 U2 R2 D2
F2 D R2 D2 L2 U2
B2 D' L2 R2 U R2
F2 D' R U2 L2 R'
F2 D' R U2 R' L2
F2 D' R' U2 L2 R
F2 D' R' U2 R L2
B2 D' R2 L2 U R2
F2 D' R2 U2 L2 R2
F2 D' R2 U2 R2 L2
R' F2 L' U F2 U
R' F2 L' U2 D' L2
R' F2 L' D R2 U2
R' F2 L' D' U2 L2
F2 D' U2 L2 D2 R2
R' F2 U F2 U R
L' F2 D R2 U2 R2
R2 F2 U F2 U R2
R' F2 D L' R2 U2
R' F2 D R2 L' U2
R' F2 D' L' U2 L'
R2 F2 U2 R2 D' L2
U2 F2 U2 F2 D' L2
L2 F2 D R2 U2 R2
R F2 U F2 U R'
L F2 D R2 U2 R2
R F2 U2 R' D' L2
R F2 U2 D' L2 R'
R F2 U2 D' R' L2
R F2 D R2 U2 R
R F2 D' U2 L2 R'
R F2 D' U2 R' L2
B2 D2 F2 B2 D' L2
B2 D2 B2 F2 D' L2
D2 B2 D2 F2 D' L2
L2 B' R2 U F' R2 B
L B' R2 U F' R2 B
R' B' U' F2 L' B U2
R' B' U' F2 B L' U2
R2 B' U R2 D2 F' B2
R2 B' U R2 D2 B2 F'
R' B' U' B F2 L' U2
R2 B' U F' R2 F' B
R2 B' U F' R2 B F'
R2 B' U' F2 U2 R2 F'
R2 B' U' F2 B U2 R2
R2 B' U' B F2 U2 R2
R B' U' F2 B U2 R'
R B' U' B F2 U2 R'
D' B' F2 D' B2 L2 F
D2 B2 L D2 F2 D' L2
F2 B' D R2 U2 F' R2
U2 B' F2 U' B U' F2
F2 B' D B R2 U2 R2
D2 B2 L' D2 F2 D' L2
D2 B2 L2 D2 F2 D' L2
D' B2 L2 D' R2 U R2
R' B2 U R D2 F2 B2
R' B2 U R D2 B2 F2
D2 B2 U D L2 U' L2
R' B2 U D2 R F2 B2
R' B2 U D2 R B2 F2
R' B2 U D2 B2 R F2
R' B2 U' F2 L' B2 U2
R' B2 U' F2 B2 L' U2
R2 B2 U R2 D2 F2 B2
R2 B2 U R2 D2 B2 F2
R' B2 U' B2 F2 L' U2
D2 B2 U2 B2 U' B2 U'
D2 B2 U2 B2 U2 D L2
D2 B2 U2 B2 D U2 L2
D2 B2 U2 B2 D' R2 U2
R2 B2 U' F2 B2 U2 R2
D2 B2 D U L2 U' L2
R B2 U D2 F2 B2 R'
R B2 U D2 B2 R' F2
R B2 U D2 B2 F2 R'
R2 B2 U' B2 F2 U2 R2
R B2 U' L F2 B2 U2
R B2 U' L B2 F2 U2
R' B2 D' L2 R2 U R'
R' B2 D' R2 L2 U R'
L' B2 D' L2 R2 U R2
D' B2 D' R2 U R2 B2
D' B2 D' R2 U B2 R2
L' B2 D' R2 L2 U R2
R B2 U' F2 L B2 U2
R B2 U' F2 B2 U2 R'
D2 B2 D' F2 D' L2 F2
D2 B2 D' F2 D' F2 L2
R B2 U' B2 F2 U2 R'
D2 B2 D2 L F2 D' L2
L2 B2 D' L2 R2 U R2
D2 B2 D2 L' F2 D' L2
D2 B2 D2 L2 F2 D' L2
L2 B2 D' R2 L2 U R2
R' B2 D2 U R F2 B2
R' B2 D2 U R B2 F2
R' B2 D2 U B2 R F2
B' F2 D R2 U2 F' R2
D2 B2 D2 F2 L D' L2
D2 B2 D2 F2 L' D' L2
D2 B2 D2 F2 L2 D' L2
D2 B2 D2 F2 U' F2 U
D2 B2 D2 F2 D' L2 D
D2 B2 D2 F2 D' L2 D'
D2 B2 D2 F2 D' L2 D2
L' B2 D2 F2 B2 D' L2
B' F2 D B R2 U2 R2
L' B2 D2 B2 F2 D' L2
L B2 D' L2 R2 U R2
L2 B2 D2 F2 B2 D' L2
L B2 D' R2 L2 U R2
L2 B2 D2 B2 F2 D' L2
B F2 D R2 B' U2 R2
D B2 D2 F2 D' L2 B2
D B2 D2 F2 D' B2 L2
B F2 D B' R2 U2 R2
L B2 D2 F2 B2 D' L2
D2 B2 F2 D' L2 D' F2
L B2 D2 B2 F2 D' L2
R B2 D2 U F2 B2 R'
R B2 D2 U B2 R' F2
R B2 D2 U B2 F2 R'
D2 B2 F2 D2 F2 D L2
B F2 D' F' L2 F B'
B F2 D' F' L2 B' F
U2 B2 F2 U' B2 U' F2
U2 B2 F2 U2 F2 D L2
