B' U' F2 R B2
B' U' F2 B2 R
B' U' B2 F2 R
F2 B R D L2
F2 B D L2 R
F2 B D R L2
B F2 R D L2
B F2 D L2 R
B F2 D R L2
B' U2 F2 R B2 D' L2
B2 U2 F2 R D B' L
B' U2 F2 B2 R D' L2
B' U2 F2 B2 D' L2 R
B' U2 F2 B2 D' R L2
B2 U2 F2 B' R D L2
B2 U2 F2 B' D L2 R
B2 U2 F2 B' D R L2
B' U2 B U F2 B R
B' U2 B U B F2 R
F2 U2 B R D L2 F
B2 U2 B U' F2 R B2
B2 U2 B U' F2 B2 R
B2 U2 B U' B2 F2 R
F2 U2 B D L2 R F
F2 U2 B D R L2 F
F' U2 B F' R D L2
F' U2 B F' D L2 R
F' U2 B F' D R L2
B' U2 B' U F2 R B'
B' U2 B' U F2 B' R
B' U2 B' U B' F2 R
F' U2 B' U' F' R B2
F' U2 B' U' F' B2 R
F' U2 B' U' B2 F' R
B2 U2 B' F2 R D L2
B2 U2 B' F2 D L2 R
B2 U2 B' F2 D R L2
L2 F U F B2 R' B'
B' U2 B2 F2 R D' L2
B' U2 B2 F2 D' L2 R
B' U2 B2 F2 D' R L2
F U2 B' U' R' F B2
F U2 B' U' R' B2 F
F U2 B' U' F R' B2
L2 F U B2 R' F B'
L2 F U B2 R' B' F
L2 F U B2 F R' B'
L' F U2 D F L' B
L' F U2 D F B L'
L' F U2 D B F L'
L' F U2 B D F L'
L' F D U2 F L' B
L' F D U2 F B L'
L' F D U2 B F L'
U' F B D F L2 R
U' F B D F R L2
U2 F B D F L2 R
U2 F B D F R L2
U F B D F L2 R
U F B D F R L2
F2 D U B' U' R B2
F2 D U B' U' B2 R
L2 F B2 U R' F B'
L2 F B2 U R' B' F
L2 F B2 U F R' B'
F D F B R D L2
F D F B D L2 R
F D F B D R L2
B D F2 L2 D' R F2
F2 D B L R D L2
F2 D B L D L2 R
F2 D B L D R L2
F2 D B L' R D L2
F2 D B L' D L2 R
F2 D B L' D R L2
F2 D B L2 R D L2
F2 D B L2 D L2 R
F2 D B L2 D R L2
F2 D B R L D L2
F2 D B R L' D L2
F2 D B R L2 D L2
F2 D B R U B2 U'
F2 D B R D L2 D
F2 D B R D L2 D'
F2 D B R D L2 D2
F2 D B R2 D L2 R'
F2 D B R2 D R' L2
F2 D B U B2 U' R
F2 D B D L2 R D
F2 D B D L2 R D'
F2 D B D L2 R D2
F2 D B D L2 D R
F2 D B D L2 D' R
F2 D B D L2 D2 R
F2 D B D R L2 D
F2 D B D R L2 D'
F2 D B D R L2 D2
F2 D B D2 R D' L2
F2 D B' R B2 D L2
F D B D F L2 R
F D B D F R L2
F D B F R D L2
F D B F D L2 R
F D B F D R L2
F2 D B2 R D B' L
R2 F' U' B' U' F' R
B' D' L2 R2 U L U2
B' D' L2 U' D B2 R'
B' D' L2 D U' B2 R'
B D' R D F2 L' R
B D' R D F2 R L'
B' D' R2 L2 U L U2
B' D' R2 U' D F2 R
B' D' R2 D U' F2 R
U' F' B' U' F' R B2
U' F' B' U' F' B2 R
U' F' B' U' B2 F' R
B' D' R2 F2 L2 U' R
U2 F' B' U' F' R B2
U2 F' B' U' F' B2 R
U2 F' B' U' B2 F' R
F2 D' U B' U' R B2
F2 D' U B' U' B2 R
U F' B' U' F' R B2
U F' B' U' F' B2 R
U F' B' U' B2 F' R
R' F2 R U B' U' B2
R' F2 R D B D L2
R' F2 R D' B D L2
R' F2 R D2 B D L2
B' D' F2 L2 R2 U' R'
R' F2 R B L D L2
R' F2 R B L' D L2
R' F2 R B L2 D L2
R' F2 R B U B2 U'
R' F2 R B D L2 D
R' F2 R B D L2 D'
R' F2 R B D L2 D2
B' D' F2 R2 L2 U' R'
F D' F B R D L2
F D' F B D L2 R
F D' F B D R L2
R2 F2 R B D L2 B'
F2 D' B L R D L2
F2 D' B L D L2 R
F2 D' B L D R L2
B2 D' B L2 U' B2 R'
F2 D' B L' R D L2
B D' F2 R D F2 L'
F2 D' B L' D L2 R
F2 D' B L' D R L2
F2 D' B L2 R D L2
F2 D' B L2 D L2 R
F2 D' B L2 D R L2
F2 D' B R L D L2
F2 D' B R L' D L2
F2 D' B R L2 D L2
F2 D' B R U B2 U'
F2 D' B R D L2 D
F2 D' B R D L2 D'
F2 D' B R D L2 D2
F' D' B D L2 F' R
F' D' B D F' L2 R
F' D' B D F' R L2
F2 D' B R2 D L2 R'
F2 D' B R2 D R' L2
F2 D' B U B2 U' R
F2 D' B D L2 R D
F2 D' B D L2 R D'
F2 D' B D L2 R D2
F2 D' B D L2 D R
F2 D' B D L2 D' R
F2 D' B D L2 D2 R
F2 D' B D R L2 D
F2 D' B D R L2 D'
F2 D' B D R L2 D2
F2 D' B D2 R D' L2
F2 D' B' R B2 D L2
B2 D' B' D F2 L2 R
B2 D' B' D F2 R L2
U' F2 U B' U' R B2
U' F2 U B' U' B2 R
R' F2 U B' U' R B
F D' B D F L2 R
F D' B D F R L2
R F2 R' B R2 D L2
F D' B F R D L2
F D' B F D L2 R
F D' B F D R L2
F2 D' B2 R D B' L
U2 F2 U B' U' R B2
U2 F2 U B' U' B2 R
U F2 U B' U' R B2
U F2 U B' U' B2 R
R' F2 D R B D L2
U' F2 D B R D L2
U' F2 D B D L2 R
U' F2 D B D R L2
R' F2 D' R B D L2
U' F2 D' B R D L2
U' F2 D' B D L2 R
U' F2 D' B D R L2
U2 F2 D B R D L2
U2 F2 D B D L2 R
U2 F2 D B D R L2
R' F2 D2 R B D L2
U' F2 D2 B R D L2
U' F2 D2 B D L2 R
U' F2 D2 B D R L2
U2 F2 D' B R D L2
U2 F2 D' B D L2 R
U2 F2 D' B D R L2
U' F2 B L R D L2
U' F2 B L D L2 R
U' F2 B L D R L2
U' F2 B L' R D L2
U' F2 B L' D L2 R
U' F2 B L' D R L2
U F2 D B R D L2
U' F2 B L2 R D L2
U F2 D B D L2 R
U F2 D B D R L2
U' F2 B L2 D L2 R
U' F2 B L2 D R L2
U' F2 B R L D L2
U' F2 B R L' D L2
U' F2 B R L2 D L2
U' F2 B R U B2 U'
U' F2 B R D L2 D
U' F2 B R D L2 D'
U' F2 B R D L2 D2
U' F2 B R2 D L2 R'
U' F2 B R2 D R' L2
R' F2 B R D L2 B
R' F2 B R D B L2
U' F2 B U B2 U' R
D' F2 B R D L2 F2
D' F2 B R D F2 L2
U' F2 B D L2 R D
U' F2 B D L2 R D'
U' F2 B D L2 R D2
U' F2 B D L2 D R
U' F2 B D L2 D' R
U' F2 B D L2 D2 R
U' F2 B D R L2 D
U' F2 B D R L2 D'
U' F2 B D R L2 D2
U' F2 B D2 R D' L2
R' F2 B D L2 R B
R' F2 B D R L2 B
R' F2 B D R B L2
U2 F2 D2 B R D L2
U2 F2 D2 B D L2 R
U2 F2 D2 B D R L2
D' F2 B D L2 R F2
D' F2 B D R L2 F2
D' F2 B D R F2 L2
U2 F2 B L R D L2
U' F2 B' R B2 D L2
U2 F2 B L D L2 R
U2 F2 B L D R L2
U F2 D' B R D L2
U2 F2 B L' R D L2
U F2 D' B D L2 R
U F2 D' B D R L2
U2 F2 B L' D L2 R
U2 F2 B L' D R L2
U2 F2 B L2 R D L2
U2 F2 B L2 D L2 R
U2 F2 B L2 D R L2
U2 F2 B R L D L2
U2 F2 B R L' D L2
D' F2 B' L2 U' R B2
U2 F2 B R L2 D L2
D' F2 B' L2 U' B2 R
U2 F2 B R U B2 U'
U2 F2 B R D L2 D
U2 F2 B R D L2 D'
U2 F2 B R D L2 D2
U2 F2 B R2 D L2 R'
U2 F2 B R2 D R' L2
U2 F2 B U B2 U' R
U2 F2 B D L2 R D
U2 F2 B D L2 R D'
U2 F2 B D L2 R D2
U2 F2 B D L2 D R
U2 F2 B D L2 D' R
U2 F2 B D L2 D2 R
U2 F2 B D R L2 D
U2 F2 B D R L2 D'
U2 F2 B D R L2 D2
R2 F2 B R D L2 B'
B' D2 U L' F2 B2 U2
B' D2 U L' B2 F2 U2
U2 F2 B D2 R D' L2
U' F2 B2 R D B' L
U F2 D2 B R D L2
R2 F2 B D L2 R B'
R2 F2 B D L2 B' R
R2 F2 B D R L2 B'
U F2 D2 B D L2 R
U F2 D2 B D R L2
U2 F2 B' R B2 D L2
B' D2 U F2 B2 U2 R
U F2 B L R D L2
U F2 B L D L2 R
U F2 B L D R L2
U F2 B L' R D L2
U F2 B L' D L2 R
U F2 B L' D R L2
B' D2 U B2 L' F2 U2
D F2 B D' R F2 L'
U F2 B L2 R D L2
U F2 B L2 D L2 R
U F2 B L2 D R L2
B' D2 U B2 F2 U2 R
U F2 B R L D L2
U F2 B R L' D L2
U F2 B R L2 D L2
U F2 B R U B2 U'
U F2 B R D L2 D
U F2 B R D L2 D'
U F2 B R D L2 D2
U F2 B R2 D L2 R'
U F2 B R2 D R' L2
U F2 B U B2 U' R
U2 F2 B2 R D B' L
U F2 B D L2 R D
U F2 B D L2 R D'
U F2 B D L2 R D2
U F2 B D L2 D R
U F2 B D L2 D' R
U F2 B D L2 D2 R
U F2 B D R L2 D
U F2 B D R L2 D'
U F2 B D R L2 D2
L2 F2 B2 R' D B' L
F2 D2 U B' U' R B2
F2 D2 U B' U' B2 R
U F2 B D2 R D' L2
U F2 B' R B2 D L2
U F2 B2 R D B' L
D' B L2 B2 U' R' B2
U' B R F2 R D L2
U' B R F2 D L2 R
U' B R F2 D R L2
D' B R D F2 L2 R
D' B R D F2 R L2
F' D2 F' B R' D L2
F' D2 F' B D L2 R'
F' D2 F' B D R' L2
F D2 F B R D L2
F D2 F B D L2 R
F D2 F B D R L2
U' B R' F2 R D L2
U' B R' F2 D L2 R
U' B R' F2 D R L2
D' B R' D F2 L2 R
D' B R' D F2 R L2
U2 B R F2 R D L2
U2 B R F2 D L2 R
U2 B R F2 D R L2
F2 D2 B L R D L2
F2 D2 B L D L2 R
F2 D2 B L D R L2
F2 D2 B L' R D L2
F2 D2 B L' D L2 R
F2 D2 B L' D R L2
F2 D2 B L2 R D L2
F2 D2 B L2 D L2 R
F2 D2 B L2 D R L2
F2 D2 B R L D L2
F2 D2 B R L' D L2
F2 D2 B R L2 D L2
F2 D2 B R U B2 U'
F2 D2 B R D L2 D
F2 D2 B R D L2 D'
F2 D2 B R D L2 D2
F' D2 B D L2 F' R'
F' D2 B D F' L2 R'
F' D2 B D F' R' L2
U' B R2 F2 R D L2
F2 D2 B R2 D L2 R'
F2 D2 B R2 D R' L2
U' B R2 F2 D L2 R
U' B R2 F2 D R L2
D' B R2 D F2 L2 R
D' B R2 D F2 R L2
U2 B R' F2 R D L2
F2 D2 B U B2 U' R
U2 B R' F2 D L2 R
U2 B R' F2 D R L2
F' D2 B F' R' D L2
F' D2 B F' D L2 R'
F' D2 B F' D R' L2
F2 D2 B D L2 R D
F2 D2 B D L2 R D'
F2 D2 B D L2 R D2
F2 D2 B D L2 D R
F2 D2 B D L2 D' R
F2 D2 B D L2 D2 R
F2 D2 B D R L2 D
F2 D2 B D R L2 D'
F2 D2 B D R L2 D2
U B R F2 R D L2
F2 D2 B D2 R D' L2
U B R F2 D L2 R
U B R F2 D R L2
F' D2 B' U' F' B2 R'
F' D2 B' U' B2 F' R'
D' B U L2 B2 U' R'
F2 D2 B' R B2 D L2
U2 B R2 F2 R D L2
U2 B R2 F2 D L2 R
U2 B R2 F2 D R L2
U' B U B2 U' F2 R
U B R' F2 R D L2
U B R' F2 D L2 R
U B R' F2 D R L2
F D2 B D F L2 R
F D2 B D F R L2
F D2 B F R D L2
F D2 B F D L2 R
F D2 B F D R L2
F2 D2 B2 R D B' L
U2 B U B2 U' F2 R
U B R2 F2 R D L2
U B R2 F2 D L2 R
U B R2 F2 D R L2
F2 B L R U B2 U'
F2 B L R D L2 D
F2 B L R D L2 D'
F2 B L R D L2 D2
F2 B L R2 D L2 R'
F2 B L R2 D R' L2
F2 B L U B2 U' R
F' B L F' R D L2
F' B L F' D L2 R
F' B L F' D R L2
F2 B L D L2 R D
F2 B L D L2 R D'
F2 B L D L2 R D2
F2 B L D L2 D R
F2 B L D L2 D' R
F2 B L D L2 D2 R
F2 B L D R L2 D
F2 B L D R L2 D'
F2 B L D R L2 D2
F2 B L D2 R D' L2
F2 B L' R U B2 U'
F2 B L' R D L2 D
F2 B L' R D L2 D'
F2 B L' R D L2 D2
U B U B2 U' F2 R
F2 B L' R2 D L2 R'
F2 B L' R2 D R' L2
D' B D R F2 L2 R
D' B D R F2 R L2
F2 B L' U B2 U' R
D' B D R' F2 L2 R
D' B D R' F2 R L2
F' B L' F' R D L2
F' B L' F' D L2 R
F' B L' F' D R L2
D' B D R2 F2 L2 R
D' B D R2 F2 R L2
F2 B L' D L2 R D
F2 B L' D L2 R D'
F2 B L' D L2 R D2
F2 B L' D L2 D R
F2 B L' D L2 D' R
F2 B L' D L2 D2 R
F2 B L' D R L2 D
F2 B L' D R L2 D'
F2 B L' D R L2 D2
F2 B L' D2 R D' L2
D' B D F' L2 F' R
D' B D F2 L2 R D
D' B D F2 L2 R D'
D' B D F2 L2 R D2
D' B D F2 L2 D R
D' B D F2 L2 D' R
D' B D F2 L2 D2 R
D' B D F2 R L2 D
D' B D F2 R L2 D'
D' B D F2 R L2 D2
F2 B L2 R U B2 U'
F2 B L2 R D L2 D
F2 B L2 R D L2 D'
F2 B L2 R D L2 D2
F2 B L2 R2 D L2 R'
F2 B L2 R2 D R' L2
F2 B L2 U B2 U' R
F' B L2 F' R D L2
F' B L2 F' D L2 R
F' B L2 F' D R L2
F2 B L2 D L2 R D
F2 B L2 D L2 R D'
F2 B L2 D L2 R D2
F2 B L2 D L2 D R
F2 B L2 D L2 D' R
F2 B L2 D L2 D2 R
F2 B L2 D R L2 D
F2 B L2 D R L2 D'
F2 B L2 D R L2 D2
F2 B L2 D2 R D' L2
F2 B R L U B2 U'
F2 B R L D L2 D
F2 B R L D L2 D'
F2 B R L D L2 D2
F2 B R L' U B2 U'
F2 B R L' D L2 D
F2 B R L' D L2 D'
F2 B R L' D L2 D2
F2 B R L2 U B2 U'
F2 B R L2 D L2 D
F2 B R L2 D L2 D'
F2 B R L2 D L2 D2
B F L2 D L2 F R
F2 B R U B2 U' D
F2 B R U B2 U' D'
F2 B R U B2 U' D2
F2 B R U B2 D U'
F2 B R U B2 D' U'
F2 B R U B2 D2 U'
F2 B R U' D2 F2 U
F2 B R U2 D' R2 U2
F2 B R D L D L
F2 B R D L D' L
F2 B R D L D2 L
F2 B R D L' D L'
F2 B R D L' D' L'
F2 B R D L' D2 L'
F2 B R D F L2 F'
F2 B R D F2 L2 F2
F2 B R D B' L2 B
F2 B R D B2 L2 B2
F2 B R D' L D2 L2
F2 B R D' L' D2 L2
F2 B R D' L2 D2 L2
F2 B R D' U2 R2 U2
F2 B R D2 L D' L2
F2 B R D2 L' D' L2
F2 B R D2 L2 D' L2
F2 B R D2 U' F2 U
F2 B R F D L2 F'
F2 B R F D F' L2
D B D' R F2 L' R
D B D' R F2 R L'
F2 B R F' D F L2
F B L2 D L2 F R
D B D' F2 D2 L2 R
D B D' F2 D2 R L2
F2 B R' U B2 U' R2
B F R D F L2 R
B F R D F R L2
U' B F D F L2 R
U' B F D F R L2
F2 B R' D L2 D' R2
B F R F R D L2
B F R F D L2 R
B F R F D R L2
F B R D F L2 R
F B R D F R L2
F B R F R D L2
F B R F D L2 R
F B R F D R L2
F2 B R2 L D L2 R'
F2 B R2 L D R' L2
F2 B R2 L' D L2 R'
F2 B R2 L' D R' L2
F2 B R2 L2 D L2 R'
F2 B R2 L2 D R' L2
B F R' D F L2 R
B F R' D F R L2
U' B F2 L R D L2
U' B F2 L D L2 R
U' B F2 L D R L2
U' B F2 L' R D L2
U' B F2 L' D L2 R
U' B F2 L' D R L2
F2 B R2 D L2 R' D
F2 B R2 D L2 R' D'
F2 B R2 D L2 R' D2
F2 B R2 D L2 D R'
F2 B R2 D L2 D' R'
F2 B R2 D L2 D2 R'
F2 B R2 D R' L2 D
F2 B R2 D R' L2 D'
F2 B R2 D R' L2 D2
U' B F2 L2 R D L2
B F R' F R D L2
U' B F2 L2 D L2 R
U' B F2 L2 D R L2
U2 B F D F L2 R
U2 B F D F R L2
B F R' F D L2 R
B F R' F D R L2
U' B F2 R L D L2
U' B F2 R L' D L2
U' B F2 R L2 D L2
U' B F2 R U B2 U'
U' B F2 R D L2 D
U' B F2 R D L2 D'
U' B F2 R D L2 D2
F2 B R2 D2 R' D' L2
U' B F2 R2 D L2 R'
U' B F2 R2 D R' L2
U' B F2 U B2 U' R
F B R' D F L2 R
F B R' D F R L2
R' B F2 R D L2 B
R' B F2 R D B L2
D' B F2 R D L2 F2
D' B F2 R D F2 L2
U' B F2 D L2 R D
U' B F2 D L2 R D'
U' B F2 D L2 R D2
U' B F2 D L2 D R
U' B F2 D L2 D' R
U' B F2 D L2 D2 R
U' B F2 D R L2 D
U' B F2 D R L2 D'
U' B F2 D R L2 D2
F B R' F R D L2
F B R' F D L2 R
F B R' F D R L2
U' B F2 D2 R D' L2
R' B F2 D L2 R B
R' B F2 D R L2 B
R' B F2 D R B L2
B F R2 D F L2 R
B F R2 D F R L2
D' B F2 D L2 R F2
D' B F2 D R L2 F2
D' B F2 D R F2 L2
B F R2 F R D L2
U2 B F2 L R D L2
B F R2 F D L2 R
B F R2 F D R L2
U2 B F2 L D L2 R
U2 B F2 L D R L2
U2 B F2 L' R D L2
U2 B F2 L' D L2 R
U2 B F2 L' D R L2
U2 B F2 L2 R D L2
U2 B F2 L2 D L2 R
U2 B F2 L2 D R L2
F' B U B2 U' F' R
U2 B F2 R L D L2
U2 B F2 R L' D L2
U2 B F2 R L2 D L2
U2 B F2 R U B2 U'
U2 B F2 R D L2 D
U2 B F2 R D L2 D'
U2 B F2 R D L2 D2
U B F D F L2 R
U B F D F R L2
F B R2 D F L2 R
F B R2 D F R L2
U2 B F2 R2 D L2 R'
U2 B F2 R2 D R' L2
U2 B F2 U B2 U' R
F B R2 F R D L2
F B R2 F D L2 R
F B R2 F D R L2
F2 B U B2 U' R D
F2 B U B2 U' R D'
F2 B U B2 U' R D2
F2 B U B2 U' D R
F2 B U B2 U' D' R
F2 B U B2 U' D2 R
F2 B U B2 D U' R
F2 B U B2 D' U' R
F2 B U B2 D2 U' R
U2 B F2 D L2 R D
U2 B F2 D L2 R D'
U2 B F2 D L2 R D2
U2 B F2 D L2 D R
U2 B F2 D L2 D' R
U2 B F2 D L2 D2 R
U2 B F2 D R L2 D
U2 B F2 D R L2 D'
U2 B F2 D R L2 D2
R2 B F2 R D L2 B'
U2 B F2 D2 R D' L2
R2 B F2 D L2 R B'
R2 B F2 D L2 B' R
R2 B F2 D R L2 B'
U B F2 L R D L2
U B F2 L D L2 R
U B F2 L D R L2
D B F2 D' R F2 L'
B F U B2 U' F R
U B F2 L' R D L2
U B F2 L' D L2 R
U B F2 L' D R L2
U B F2 L2 R D L2
U B F2 L2 D L2 R
U B F2 L2 D R L2
U B F2 R L D L2
U B F2 R L' D L2
U B F2 R L2 D L2
U B F2 R U B2 U'
U B F2 R D L2 D
U B F2 R D L2 D'
U B F2 R D L2 D2
U B F2 R2 D L2 R'
U B F2 R2 D R' L2
U B F2 U B2 U' R
F B U B2 U' F R
U' B' L2 U' F2 B2 R'
U' B' L2 U' B2 R' F2
U' B' L2 U' B2 F2 R'
U B F2 D L2 R D
U B F2 D L2 R D'
U B F2 D L2 R D2
U B F2 D L2 D R
U B F2 D L2 D' R
U B F2 D L2 D2 R
U B F2 D R L2 D
U B F2 D R L2 D'
U B F2 D R L2 D2
D' B' L2 R U' B2 R'
F2 B U2 D' R2 U2 R'
D' B' L2 R' U' B2 R'
U B F2 D2 R D' L2
D' B' L2 R2 U' B2 R'
D' B' L2 U L U2 B2
D2 B' L2 U' F B2 R'
D2 B' L2 U' B2 R' F
D2 B' L2 U' B2 F R'
D' B' L2 U' R B2 R'
D' B' L2 U' R' B2 R'
D' B' L2 U' R2 B2 R'
D' B' L2 U' B2 R' D
D' B' L2 U' B2 R' D'
D' B' L2 U' B2 R' D2
D' B' L2 U' B2 D R'
D' B' L2 U' B2 D' R'
D' B' L2 U' B2 D2 R'
F' B D L2 D' F' R
F2 B D L R D L
F2 B D L R D' L
F2 B D L R D2 L
F2 B D L D L R
F2 B D L D R L
F2 B D L D' L R
F2 B D L D' R L
F2 B D L D2 L R
F2 B D L D2 R L
F2 B D L' R D L'
F2 B D L' R D' L'
F2 B D L' R D2 L'
D' B' L2 F U' B2 R'
F2 B D L' D L' R
F2 B D L' D R L'
F2 B D L' D' L' R
F2 B D L' D' R L'
F2 B D L' D2 L' R
F2 B D L' D2 R L'
F2 B D L2 R2 D R'
F2 B D L2 R2 D' R'
F2 B D L2 R2 D2 R'
D' B' L2 F' U' B2 R'
F2 B D L2 D R D
F2 B D L2 D R D'
F2 B D L2 D R D2
F2 B D L2 D' R D
F2 B D L2 D' R D'
F2 B D L2 D' R D2
F2 B D L2 D2 R D
F2 B D L2 D2 R D'
F2 B D L2 D2 R D2
F2 B D L2 B R B'
F2 B D L2 B2 R B2
F2 B D R L D L
F2 B D R L D' L
F2 B D R L D2 L
F2 B D R L' D L'
F2 B D R L' D' L'
F2 B D R L' D2 L'
D' B' L2 F2 U' B2 R'
F2 B D R F L2 F'
F2 B D R F2 L2 F2
F2 B D R B' L2 B
F2 B D R B2 L2 B2
F2 B D R2 L2 D R'
F2 B D R2 L2 D' R'
F2 B D R2 L2 D2 R'
U' B' R U' F2 R B2
U' B' R U' F2 B2 R
U' B' R U' B2 F2 R
U2 B' L2 U' F2 B2 R'
U2 B' L2 U' B2 R' F2
U2 B' L2 U' B2 F2 R'
D' B' R L2 U' B2 R'
F2 B D F L2 F' R
R' B' R U' F2 B R
R' B' R U' B F2 R
F2 B D B R B' L2
F2 B D B' L2 B R
F2 B D B2 L2 R B2
F2 B D B2 L2 B2 R
F2 B D B2 R L2 B2
F2 B D B2 R B2 L2
F2 B D' L D2 L2 R
F2 B D' L D2 R L2
B F D R F L2 R
B F D R F R L2
F2 B D' L' D2 L2 R
F2 B D' L' D2 R L2
B F D R' F L2 R
B F D R' F R L2
F2 B D' L2 D2 L2 R
F2 B D' L2 D2 R L2
B F D R2 F L2 R
B F D R2 F R L2
F2 B D' R U2 R U2
F2 B D' R F2 L' F2
U' B' R' U' F2 R B2
U' B' R' U' F2 B2 R
U' B' R' U' B2 F2 R
B F D F L2 R D
B F D F L2 R D'
B F D F L2 R D2
B F D F L2 D R
B F D F L2 D' R
B F D F L2 D2 R
B F D F R L2 D
B F D F R L2 D'
B F D F R L2 D2
U2 B' R U' F2 R B2
U2 B' R U' F2 B2 R
F2 B D' U2 R2 U2 R'
U2 B' R U' B2 F2 R
B F D F2 L2 F' R
D' B' R' L2 U' B2 R'
F B D R F L2 R
F B D R F R L2
F B D R' F L2 R
F B D R' F R L2
F B D R2 F L2 R
F B D R2 F R L2
U B' L2 U' F2 B2 R'
U B' L2 U' B2 R' F2
U B' L2 U' B2 F2 R'
F B D F L2 R D
F B D F L2 R D'
F B D F L2 R D2
F B D F L2 D R
F B D F L2 D' R
F B D F L2 D2 R
F B D F R L2 D
F B D F R L2 D'
F B D F R L2 D2
F2 B D2 L R D' L2
F2 B D2 L D' L2 R
F2 B D2 L D' R L2
F2 B D2 L' R D' L2
F2 B D2 L' D' L2 R
F2 B D2 L' D' R L2
F B D F2 L2 F' R
F2 B D2 L2 R D' L2
F2 B D2 L2 D' L2 R
F2 B D2 L2 D' R L2
F2 B D2 R L D' L2
F2 B D2 R L' D' L2
F2 B D2 R L2 D' L2
F2 B D2 R U' F2 U
F2 B D2 R D' L2 D
F2 B D2 R D' L2 D'
F2 B D2 R D' L2 D2
U' B' R2 U' F2 R B2
U' B' R2 U' F2 B2 R
U' B' R2 U' B2 F2 R
F2 B D2 R2 D' L2 R'
F2 B D2 R2 D' R' L2
B F D' F D2 L2 R
B F D' F D2 R L2
B' F' L U' F' R B2
U2 B' R' U' F2 R B2
B' F' L U' F' B2 R
U2 B' R' U' F2 B2 R
U2 B' R' U' B2 F2 R
B' F' L U' B2 F' R
D' B' R2 L2 U' B2 R'
U B' R U' F2 R B2
U B' R U' F2 B2 R
U B' R U' B2 F2 R
F' B' L U' F' R B2
F' B' L U' F' B2 R
F' B' L U' B2 F' R
F B D' F D2 L2 R
F B D' F D2 R L2
F2 B' L R B2 D L2
U' B' U L' U2 F2 B2
U' B' U L' U2 B2 F2
U2 B' R2 U' F2 R B2
U2 B' R2 U' F2 B2 R
B' F' L' U' F' R B2
B' F' L' U' F' B2 R
U2 B' R2 U' B2 F2 R
B' F' L' U' B2 F' R
U' B' U F2 R B2 L
U B' R' U' F2 R B2
U B' R' U' F2 B2 R
U B' R' U' B2 F2 R
F2 B' L B2 R D L2
F' B' L' U' F' R B2
F' B' L' U' F' B2 R
F2 B' L B2 D L2 R
F2 B' L B2 D R L2
F' B' L' U' B2 F' R
R2 B' R2 U' F2 B R
R2 B' R2 U' B F2 R
F2 B' L' R B2 D L2
U' B' U' R F2 R B2
U' B' U' R F2 B2 R
U' B' U' R B2 F2 R
U2 B' U L' U2 F2 B2
U2 B' U L' U2 B2 F2
U' B' U' R' F2 R B2
U' B' U' R' F2 B2 R
U' B' U' R' B2 F2 R
R B' R' U' F2 B R
R B' R' U' B F2 R
U' B' U' R2 F2 R B2
U' B' U' R2 F2 B2 R
U' B' U' R2 B2 F2 R
B F' L F' R D L2
B F' L F' D L2 R
B' F' L2 U' F' R B2
B F' L F' D R L2
B' F' L2 U' F' B2 R
B' F' L2 U' B2 F' R
U' B' U' F2 R B2 D
U' B' U' F2 R B2 D'
U' B' U' F2 R B2 D2
U' B' U' F2 R' B2 R2
U' B' U' F2 B' R B'
U' B' U' F2 B2 R D
U' B' U' F2 B2 R D'
U' B' U' F2 B2 R D2
U' B' U' F2 B2 D R
U' B' U' F2 B2 D' R
U' B' U' F2 B2 D2 R
R2 B' U L' F' U2 F'
U B' R2 U' F2 R B2
U B' R2 U' F2 B2 R
U B' R2 U' B2 F2 R
F2 B' L' B2 R D L2
U' B' U' B' F2 R B'
F' B' L2 U' F' R B2
F2 B' L' B2 D L2 R
F' B' L2 U' F' B2 R
F2 B' L' B2 D R L2
U' B' U' B2 R F2 R
U' B' U' B2 R' F2 R
F' B' L2 U' B2 F' R
U' B' U' B2 R2 F2 R
U2 B' U F2 R B2 L
U' B' U' B2 F2 R D
U' B' U' B2 F2 R D'
U' B' U' B2 F2 R D2
U' B' U' B2 F2 D R
U' B' U' B2 F2 D' R
U' B' U' B2 F2 D2 R
F2 B' L2 R B2 D L2
D' B' U' B2 D F2 R
R2 B' U F' U2 F' R
U2 B' U' R F2 R B2
B F' L' F' R D L2
U2 B' U' R F2 B2 R
U2 B' U' R B2 F2 R
B F' L' F' D L2 R
B F' L' F' D R L2
U2 B' U' R' F2 R B2
U2 B' U' R' F2 B2 R
U2 B' U' R' B2 F2 R
U2 B' U' R2 F2 R B2
U2 B' U' R2 F2 B2 R
U2 B' U' R2 B2 F2 R
U B' U L' U2 F2 B2
U B' U L' U2 B2 F2
F2 B' L2 B2 R D L2
F2 B' L2 B2 D L2 R
F2 B' L2 B2 D R L2
U2 B' U' F2 R B2 D
U2 B' U' F2 R B2 D'
U2 B' U' F2 R B2 D2
U2 B' U' F2 R' B2 R2
R2 B' U' R F2 R B
U2 B' U' F2 B' R B'
F2 B' R L B2 D L2
U2 B' U' F2 B2 R D
U2 B' U' F2 B2 R D'
U2 B' U' F2 B2 R D2
U2 B' U' F2 B2 D R
U2 B' U' F2 B2 D' R
U2 B' U' F2 B2 D2 R
F2 B' R L' B2 D L2
F2 B' R L2 B2 D L2
R2 B' U' R2 F2 B R
R2 B' U' R2 B F2 R
U2 B' U' B' F2 R B'
U2 B' U' B2 R F2 R
