F2 L' D' B2
U' L U F2 L'
F2 L' U' L2 U
F2 L' D' B2 D
F2 L' D' B2 D'
F2 L' D' B2 D2
F2 L' B D' B2
F2 L' B' D' B2
F2 L' B2 D' B2
F2 U' L U L2
F2 D L' D' B2
F2 D' L' D' B2
L' F2 D' L' B2
L' F2 D' B2 L'
F2 D2 L' D' B2
F2 L' B2 D2 U R2 U'
F' L' B2 F' D' L' B2
F' L' B2 F' D' B2 L'
F2 L' B2 D2 B D B2
F2 L' B2 D2 B' D B2
F2 L' B2 D2 B2 D B2
F2 L' B2 F D' F' B2
F2 L' B2 F D' B2 F'
F2 L' B2 F' D' F B2
F2 L' B2 F' D' B2 F
D L' B2 D' F2 L' B2
D L' B2 D' F2 B2 L'
D L' B2 D' B2 F2 L'
B2 L' B2 F2 L' D' B2
B2 L2 R' U' R F2 L'
F' L2 U' L' U F' L'
F2 L2 U' L' U L2 D
F2 L2 U' L' U L2 D'
F2 L2 U' L' U L2 D2
F2 L2 U' L' D F2 U
F2 L2 U' L' F U L2
F2 L2 U' L' F' U L2
F2 L2 U' L' F2 U L2
F2 L2 U' D L' U L2
F2 L2 U' D' L' U L2
F2 L2 U' D2 L' U L2
U L2 U2 L' U F2 L'
F2 L2 D L U' L2 U
F2 L2 D L D' B2 D
F2 L2 D L D' B2 D'
F2 L2 D L D' B2 D2
F2 L2 D L B D' B2
F2 L2 D L B' D' B2
F2 L2 D L B2 D' B2
F2 L2 D U' L' U L2
F2 L2 D' L U' L2 U
F2 L2 D' L D' B2 D
F2 L2 D' L D' B2 D'
F2 L2 D' L D' B2 D2
F2 L2 D' L B D' B2
F2 L2 D' L B' D' B2
F2 L2 D' L B2 D' B2
L R2 B2 U L R2 F2
L R2 B2 U L F2 R2
L R2 B2 U R2 L F2
L R2 B2 U R2 F2 L
L R2 B2 U F2 L R2
L R2 B2 U F2 R2 L
R' U L U R F2 L'
F2 L2 D' U' L' U L2
R2 U L U R2 F2 L'
R U L R U R2 F2
R U L R U F2 R2
R U L R2 U R F2
F2 L2 D2 L U' L2 U
F2 L2 D2 L D' B2 D
F2 L2 D2 L D' B2 D'
F2 L2 D2 L D' B2 D2
R U L U R F2 R2
R U L U R' F2 D
R U L U R' F2 D'
R U L U R' F2 D2
F2 L2 D2 L B D' B2
F2 L2 D2 L B' D' B2
F2 L2 D2 L B2 D' B2
R U L U F R' F
R U L U F2 R' D
R U L U F2 R' D'
R U L U F2 R' D2
R U L U F2 D R'
R U L U F2 D' R'
R U L U F2 D2 R'
R U L D R2 U R
L U L F2 L' D R2
F2 L2 D2 U' L' U L2
L U L F2 D L' R2
L U L F2 D R2 L'
U' L2 F U F L' B'
L U L' F2 L' D R2
L U L' F2 D L' R2
L U L' F2 D R2 L'
F' L2 F' L2 D' L B'
F' L2 F' D' L B' L2
L U L2 F2 L' D R2
L U L2 F2 D L' R2
L U L2 F2 D R2 L'
F2 L2 F' D' F L B'
R' U R F2 L' D' B2
R U R L U R2 F2
R U R L U F2 R2
D' L2 F2 R U' L' R'
D' L2 F2 R U' R' L'
B2 L2 F2 L' U R' U'
B L2 F2 L2 D L B'
B2 L2 F2 U R' U' L'
B' L2 F2 B L' D' B2
B L2 F2 D L B' L2
B2 L2 F2 B2 L' D' B2
B L2 F2 B' L' D' B2
B' L2 B F2 L' D' B2
R U R2 L U R F2
R2 U R2 F2 L' D' B2
R U D L R2 U R
F2 L2 B2 L D' B2 L
B L2 B' F2 L' D' B2
R U D R2 L U R
U' R L U F2 D' L2
B2 L2 B2 F2 L' D' B2
F2 R L' U' L2 U R'
F2 R L' D R' D2 B2
F2 R L' D' R B2 R2
F2 R L' D' R' B2 D
F2 R L' D' R' B2 D'
F2 R L' D' R' B2 D2
F2 R L' D' R2 B2 R
F2 R L' B2 D' B2 R'
U2 R U L R U F2
U2 R U L R' U F2
U2 R U L R2 U F2
U2 R U L U F2 D
U2 R U L U F2 D'
U2 R U L U F2 D2
U2 R U L D R2 U
D R U L R U R2
U2 R U R L U F2
U2 R U R' L U F2
U2 R U R2 L U F2
D R U R L U R2
U2 R U D L R2 U
U2 R U D R2 L U
U R U L U F2 R
L U F2 L' R D R2
L U F2 L' R' D R2
L U F2 L' R2 D R2
L U F2 L' U F2 U'
F2 R U' L U L2 R'
F2 R U' L U R' L2
L U F2 L' D R2 D
L U F2 L' D R2 D'
L U F2 L' D R2 D2
L U F2 L2 D L R2
L U F2 L2 D R2 L
L U F2 R L' D R2
L U F2 R D L' R2
L U F2 R D R2 L'
L U F2 R' L' D R2
L U F2 R' D L' R2
L U F2 R' D R2 L'
L U F2 R2 L' D R2
L U F2 R2 D L' R2
L U F2 R2 D R2 L'
B2 R U' R2 U' R F2
L U F2 D L' R2 D
L U F2 D L' R2 D'
L U F2 D L' R2 D2
L U F2 D R2 L' D
L U F2 D R2 L' D'
L U F2 D R2 L' D2
L U F2 D R2 D L'
L U F2 D R2 D' L'
L U F2 D R2 D2 L'
L U F2 D2 L' D' R2
L U B U' F2 B' L'
L U B U' B' F2 L'
U R U2 L U L' F2
B' R U2 F2 D R' B
B2 R U2 F2 D R' B2
U2 R U2 F2 U' L U
B R U2 F2 D' R' B
F2 R D L' R' D' B2
F2 R D L' D' R' B2
F2 R D R' L' D' B2
U2 R D U L R2 U
L U B' U' F2 L' B
U2 R D U R2 L U
L U B' U' F2 B L'
L U B' U' B F2 L'
F2 R D' L' R' D' B2
F2 R D' L' D' R' B2
F2 R D' R' L' D' B2
R' U' L U R F2 L'
L U B2 U' F2 L' B2
L U B2 U' F2 B2 L'
L U B2 U' B2 F2 L'
R2 U' L U R2 F2 L'
F2 R D2 L' R' D' B2
F2 R D2 L' D' R' B2
R U' L U R' F2 L'
F2 R D2 R' L' D' B2
L2 U' L' U L F2 L'
L2 U' L' U L' F2 L'
L2 U' L' U L2 F2 L'
L2 U' L' U F2 L' D
L2 U' L' U F2 L' D'
L2 U' L' U F2 L' D2
L2 U' L' U F2 D L'
L2 U' L' U F2 D' L'
L2 U' L' U F2 D2 L'
L2 U' L' U' R U2 F2
U2 R D2 B2 U' R' U'
L2 U' L' F U F L'
L' U' L2 U L F2 L'
L' U' L2 U L' F2 L'
L' U' L2 U L2 F2 L'
L' U' L2 U F2 L' D
L' U' L2 U F2 L' D'
L' U' L2 U F2 L' D2
L' U' L2 U F2 D L'
L' U' L2 U F2 D' L'
L' U' L2 U F2 D2 L'
L' U' L2 U' R U2 F2
F R F L' R' D' B2
F R F L' D' R' B2
F R F R' L' D' B2
L' U' L2 F U F L'
U2 R F' U L U F'
R' U' R F2 L' D' B2
L U' R U2 F2 D R2
R2 U' R2 F2 L' D' B2
D2 R B2 L U' R' U'
U2 R B2 U' R' U' F2
U' R' L U F2 D2 L2
U' R' L U' R2 U2 F2
U R B2 R' U' F2 L'
B2 R' L U' R F2 L'
B2 R' L' U' R F2 L'
F2 R' L' U' L2 U R
F2 R' L' D R D2 B2
F2 R' L' D' R B2 D
F2 R' L' D' R B2 D'
F2 R' L' D' R B2 D2
F2 R' L' D' R' B2 R2
F2 R' L' D' B' R B'
F2 R' L' D' B2 R D
F2 R' L' D' B2 R D'
F2 R' L' D' B2 R D2
F2 R' L' D' B2 D R
F2 R' L' D' B2 D' R
F2 R' L' D' B2 D2 R
L2 U' F U F L' B'
F2 R' L' B R D' B2
F2 R' L' B D' R B2
F2 R' L' B D' B2 R
F2 R' L' B' R D' B2
F2 R' L' B' D' R B2
F2 R' L' B' D' B2 R
F2 R' L' B2 R D' B2
F2 R' L' B2 D' R B2
F2 R' L' B2 D' B2 R
B2 R' L2 U' R F2 L'
B' R' U R F2 L' B
B' R' U R F2 B L'
B' R' U R B F2 L'
B2 R' U R2 U2 R' F2
B2 R' U R2 U2 F2 R'
B2 R' U' L R F2 L'
B' R' U' R F2 L' B'
B2 R' U' L' R F2 L'
F2 R' U' L U L2 R
F2 R' U' L U R L2
B2 R' U' L2 R F2 L'
B2 R' U' R L F2 L'
B2 R' U' R L' F2 L'
B2 R' U' R L2 F2 L'
B2 R' U' R F2 L' D
B2 R' U' R F2 L' D'
B2 R' U' R F2 L' D2
B2 R' U' R F2 D L'
B2 R' U' R F2 D' L'
B2 R' U' R F2 D2 L'
F2 R' D L' R D' B2
F2 R' D L' D' R B2
F2 R' D L' D' B2 R
F2 R' D R L' D' B2
F2 R' D' L' R D' B2
F2 R' D' L' D' R B2
F2 R' D' L' D' B2 R
R' U2 L U R F2 L'
F2 R' D' R L' D' B2
R2 U2 L U R2 F2 L'
F2 R' D2 L' R D' B2
F2 R' D2 L' D' R B2
F2 R' D2 L' D' B2 R
F2 R' D2 R L' D' B2
R U2 L U L' R' F2
R U2 L U L' F2 R'
L U2 L U' F2 L' R
L U2 L U' F2 R L'
R U2 L U R' L' F2
L' U2 R U L2 U F2
L' U2 R U2 F2 D' B2
R' U2 R F2 L' D' B2
L2 U2 R U L' U F2
L U2 R U' R' U' F2
B2 R' B U' R F2 L'
R U2 R' U' L U F2
R U2 R' F2 U' L U
B2 R' B' U' R F2 L'
R2 U2 R2 F2 L' D' B2
F2 R' B2 L' R D B2
F2 R' B2 R L' D B2
F2 R' B2 R D L' B2
F2 R' B2 R D B2 L'
B2 R' B2 U' R F2 L'
U' R2 L U' R' U2 F2
D R2 L U' R' U2 R'
D R2 L D B2 U L
F2 R2 L' U' L2 U R2
D R2 L B2 U L R2
D R2 L B2 U R2 L
F2 R2 L' D' B2 D R2
F2 R2 L' B R2 D' B2
F2 R2 L' B' R2 D' B2
F2 R2 L' B2 R2 D' B2
L' U2 F2 D' L' B2 R'
F2 R2 U' L U L2 R2
F2 R2 U' L U R2 L2
B' R2 U' R2 F2 L' B'
R U2 F2 R' U' L U
R U2 F2 U' L U R'
F2 R2 D L' D' R2 B2
F2 R2 D L' D' B2 R2
D R2 D L B2 U L
L2 D L D' F2 L' B2
L2 D L D' F2 B2 L'
L2 D L D' B2 F2 L'
R2 D L B2 R2 U L
F R2 F L' R2 D' B2
F R2 F R2 L' D' B2
L D L2 D' F2 L' B2
L D L2 D' F2 B2 L'
L D L2 D' B2 F2 L'
L D R2 U' R' U2 R'
L D R2 D B2 U L
L D R2 B2 U L R2
L D R2 B2 U R2 L
R D U L R2 U R
U' D L R2 U' R' U2
R D U R2 L U R
U' D L U D' F2 L'
U' D L D' U F2 L'
U R2 B2 R' U' L F2
U R2 B2 R' U' F2 L
U' D L F2 R2 U L'
F2 U R U' L' D' B2
U2 D R U L R U
F2 U R U2 L U L2
U2 D R U R L U
F2 U R B' U' L' B'
F2 U R B2 R' U' L'
B2 U R' U R2 U2 F2
B2 U R' U' F2 D2 L2
F2 U R' U' L' D' B2
F2 U R' U2 L U L2
L D F2 R2 U L' R2
L D F2 R2 U R2 L'
U' D R2 L U' R' U2
F2 U R' B' U' L' B'
F2 U R' B2 R' U' L'
F2 U R2 U' L' D' B2
F2 U R2 U2 L U L2
F2 U R2 B' U' L' B'
F2 U R2 B2 R' U' L'
F2 U D B' U' L' B'
F2 U D B2 R' U' L'
F2 U D' B' U' L' B'
U' D F2 L R2 U L2
F2 U D' B2 R' U' L'
U' D F2 R2 L U L2
F2 U D2 B' U' L' B'
F2 U D2 B2 R' U' L'
D2 U' L U D2 F2 L'
D2 U' L U' R B2 U2
D2 U' L U' B2 R U2
B2 U B U' F2 L' B'
D2 U' L D2 U F2 L'
F' U B' U' F' L' B'
F2 U B' R U' L' B'
D U' L R2 U' R' U2
F2 U B' R' U' L' B'
D U' L U D' F2 L'
F2 U B' R2 U' L' B'
F2 U B' U' L' D B'
F2 U B' U' L' D' B'
F2 U B' U' L' D2 B'
F2 U B' U' L' B' D
F2 U B' U' L' B' D'
F2 U B' U' L' B' D2
F2 U B' U' D L' B'
F2 U B' U' D' L' B'
F2 U B' U' D2 L' B'
F2 U B' U' B L' B'
F2 U B' U' B' L' B'
F2 U B' U' B2 L' B'
D U' L D' U F2 L'
F2 U B' D U' L' B'
F2 U B' D' U' L' B'
F2 U B' D2 U' L' B'
D U' L F2 R2 U L'
F2 U B2 R' U' L' D
F2 U B2 R' U' L' D'
F2 U B2 R' U' L' D2
F2 U B2 R' U' D L'
F2 U B2 R' U' D' L'
F2 U B2 R' U' D2 L'
F2 U B2 R' D U' L'
F2 U B2 R' D' U' L'
F2 U B2 R' D2 U' L'
F2 U B2 R' B U' L'
F2 U B2 R' B' U' L'
F2 U B2 R' B2 U' L'
F U B' U' F L' B'
F2 U B2 D R' U' L'
F2 U B2 D' R' U' L'
F2 U B2 D2 R' U' L'
F' U' L U L F' L'
F' U' L U L' F' L'
F' U' L U L2 F' L'
F' U' L U D F' L'
F' U' L U D' F' L'
F' U' L U D2 F' L'
F' U' L U F' L' D
F' U' L U F' L' D'
F' U' L U F' L' D2
F' U' L U F' D L'
F' U' L U F' D' L'
F' U' L U F' D2 L'
F' U' L D U F' L'
F2 U' L U L D L
F2 U' L U L D' L
F2 U' L U L D2 L
F2 U' L U L' D L'
F2 U' L U L' D' L'
F2 U' L U L' D2 L'
B U B2 U' F2 L' B'
F' U' L D' U F' L'
F2 U' L U F L2 F'
F2 U' L U F2 L2 F2
F2 U' L U B' L2 B
F2 U' L U B2 L2 B2
F' U' L D2 U F' L'
F2 U' L U' R U2 L2
F2 U' L U' R' U2 L2
F2 U' L U' R2 U2 L2
F2 U' L U' D2 R2 U2
F U B2 R' U' F L'
F2 U' L U2 D' B2 U'
F2 U' L U2 B U' L2
F2 U' L U2 B' U' L2
F2 U' L U2 B2 U' L2
F2 U' L D F2 U D
F2 U' L D F2 U D'
F2 U' L D F2 U D2
F2 U' L D F2 D U
F2 U' L D F2 D' U
F2 U' L D F2 D2 U
F2 U' L D' U2 B2 U'
F2 U' L D2 U' R2 U2
F2 U' L F U L2 D
F2 U' L F U L2 D'
F2 U' L F U L2 D2
F2 U' L F D F2 U
F2 U' L F' U L2 D
F2 U' L F' U L2 D'
F2 U' L F' U L2 D2
F2 U' L F' D F2 U
F2 U' L F2 U L2 D
F2 U' L F2 U L2 D'
F2 U' L F2 U L2 D2
F2 U' L F2 D F2 U
B' U' L' U F2 B' L'
B' U' L' U B' F2 L'
F U' L U L' F L'
F U' L U F L' F
F2 U' L' F L2 U L2
F U' L F U L' F
F2 U' L' F' L2 U L2
F2 U' L' F2 L2 U L2
F2 U' L2 U L D' B2
F2 U' L2 D L' U L2
F2 U' L2 D' L' U L2
F2 U' L2 D2 L' U L2
D U' R2 L U' R' U2
L' D' F2 B2 D L' F2
L' D' B D F2 L' B
L' D' B D F2 B L'
L' D' B D B F2 L'
L' D' B' D F2 B' L'
L' D' B' D B' F2 L'
F' U' D L U F' L'
F2 U' D L U L2 D
F2 U' D L U L2 D'
F2 U' D L U L2 D2
F2 U' D L D F2 U
F2 U' D L F U L2
F2 U' D L F' U L2
F2 U' D L F2 U L2
D U' F2 L R2 U L2
L' D' B2 D L F2 L'
L' D' B2 D L' F2 L'
L' D' B2 D L2 F2 L'
L' D' B2 D F2 L' D
L' D' B2 D F2 L' D'
L' D' B2 D F2 L' D2
L' D' B2 D F2 D L'
L' D' B2 D F2 D' L'
L' D' B2 D F2 D2 L'
D U' F2 R2 L U L2
F' U' D' L U F' L'
L' D' B2 F2 D L' F2
F2 U' D' L U L2 D
F2 U' D' L U L2 D'
F2 U' D' L U L2 D2
F2 U' D' L D F2 U
F2 U' D' L F U L2
F2 U' D' L F' U L2
F2 U' D' L F2 U L2
F' U' D2 L U F' L'
F2 U' D2 L U L2 D
F2 U' D2 L U L2 D'
F2 U' D2 L U L2 D2
F2 U' D2 L D F2 U
F2 U' D2 L F U L2
F2 U' D2 L F' U L2
F2 U' D2 L F2 U L2
F2 U' F L F' U L'
U' D2 L U D2 F2 L'
U' D2 L U' R B2 U2
U' D2 L U' B2 R U2
U' D2 L D2 U F2 L'
F2 U' F' L F U L'
F2 U' F2 L U' R U2
F2 U' F2 L F2 U L'
F U' F' L U F2 L'
D2 U2 R B2 U' R' U'
D U2 R U L R U
D U2 R U R L U
U2 D2 R B2 U' R' U'
B2 U2 R U' R2 U' F2
F2 U2 R U L U L2
B2 U2 R U2 F2 D B2
F2 U2 R U2 L' D' B2
F2 U2 R' U L U L2
F2 U2 R' U2 L' D' B2
F2 U2 R2 U L U L2
F2 U2 R2 U2 L' D' B2
D2 U2 B2 R U' R2 U'
D2 U2 B2 R U2 D B2
D2 U2 B2 R D U2 B2
D2 U2 B2 R D' F2 U2
U2 D2 B2 R U' R2 U'
U2 D2 B2 R U2 D B2
U2 D2 B2 R D U2 B2
U2 D2 B2 R D' F2 U2
U' F L U L' F L'
U' F L U F L' F
U' F L F U L' F
R D2 B2 L U' R' U'
F2 U2 F U L F U
F U2 F L' D' B2 R'
F2 U2 F2 R U L U
L F R U R' F L'
L F R U F L' R'
L F R U F R' L'
L F R' U R F L'
U' F U F L' D' B2
L F R2 U R2 F L'
L F R2 U F L' R2
L F R2 U F R2 L'
F2 D L B L2 D' B2
F2 D L B' L2 D' B2
F2 D L B2 L2 D' B2
F2 D L' R D' R' B2
F2 D L' R' D' R B2
F2 D L' R' D' B2 R
F2 D L' U D2 R2 U'
F' D L' D' F' L' B2
F' D L' D' F' B2 L'
F' D L' D' B2 F' L'
F2 D L' U' L2 U D
F2 D L' U' L2 U D'
F2 D L' U' L2 U D2
F2 D L' U' L2 D U
F2 D L' U' L2 D' U
F2 D L' U' L2 D2 U
B D L D' F2 B' L'
B D L D' B' F2 L'
U2 F U2 F L' D' B2
F2 D L' U2 D F2 U2
F2 D L' D U2 F2 U2
F2 D L' D B D2 B2
F' D L' F' D' L' B2
F' D L' F' D' B2 L'
F2 D L' D B' D2 B2
F2 D L' D B2 D2 B2
F2 D L' D' L B2 L'
F2 D L' D' L2 B2 L2
F2 D L' D' R' B2 R
F2 D L' D' R2 B2 R2
F2 D L' D' B D B
F2 D L' D' B D' B
F2 D L' D' B D2 B
F2 D L' D' B' D B'
F2 D L' D' B' D' B'
F2 D L' D' B' D2 B'
F2 D L' D2 U R2 U'
F2 D L' D2 B D B2
F2 D L' D2 B' D B2
F2 D L' D2 B2 D B2
F2 D L' F D' F' B2
F2 D L' F D' B2 F'
F2 D L' F' D' F B2
F2 D L' F' D' B2 F
B D L B' D' F2 L'
F2 D L' B U' L2 U
F2 D L' B D' B2 D
F2 D L' B D' B2 D'
F2 D L' B D' B2 D2
F2 D L' B' U' L2 U
F2 D L' B' D' B2 D
F2 D L' B' D' B2 D'
F2 D L' B' D' B2 D2
F2 D L' B2 U' L2 U
F2 D L' B2 D' B2 D
F2 D L' B2 D' B2 D'
F2 D L' B2 D' B2 D2
F2 D L2 U' L' U L2
F2 D L2 D L D' B2
F2 D L2 D' L D' B2
F2 D L2 D2 L D' B2
F2 D R L' D' R' B2
L' F D' B2 D F L'
B D L2 D' F2 L' B'
F2 D R' L' D' R B2
F2 D R' L' D' B2 R
F' D U' L U F' L'
F2 D U B' U' L' B'
F2 D U B2 R' U' L'
F2 D U' L U L2 D
F2 D U' L U L2 D'
F2 D U' L U L2 D2
F2 D U' L D F2 U
F2 D U' L F U L2
F2 D U' L F' U L2
F2 D U' L F2 U L2
U' F' L F U F2 L'
U' F' L F2 U F L'
L' F' L F' L' D' B2
F' D F' L' U' L2 U
F' D F' L' D' B2 D
F' D F' L' D' B2 D'
F' D F' L' D' B2 D2
F' D F' L' B D' B2
F' D F' L' B' D' B2
F' D F' L' B2 D' B2
F' D F' U' L U L2
F' D F' D L' D' B2
F' D F' D' L' D' B2
F' D F' D2 L' D' B2
L F' L' F' L' D' B2
L F' L2 D' F' L' B2
L F' L2 D' F' B2 L'
L F' L2 D' B2 F' L'
L F' L2 F' D' L' B2
L F' L2 F' D' B2 L'
F2 D B L2 D L B'
F2 D B D L B' L2
U2 F' U L F U F2
F2 D B2 L' U R' U'
L' F' U' L2 U F' L'
F2 D B2 U R' U' L'
R F' U L U F' R'
F2 D' L B L2 D' B2
F2 D' L B' L2 D' B2
F2 D' L B2 L2 D' B2
F2 D' L' R D' R' B2
F2 D' L' R' D' R B2
F2 D' L' R' D' B2 R
F' D' L' D' F' L' B2
F' D' L' D' F' B2 L'
F' D' L' D' B2 F' L'
F2 D' L' U D2 R2 U'
F2 D' L' U' L2 U D
F2 D' L' U' L2 U D'
F2 D' L' U' L2 U D2
F2 D' L' U' L2 D U
F2 D' L' U' L2 D' U
F2 D' L' U' L2 D2 U
F2 D' L' U2 D F2 U2
F' D' L' F' D' L' B2
F' D' L' F' D' B2 L'
F2 D' L' D U2 F2 U2
F2 D' L' D B D2 B2
F2 D' L' D B' D2 B2
F2 D' L' D B2 D2 B2
F2 D' L' D' L B2 L'
F2 D' L' D' L2 B2 L2
F2 D' L' D' R' B2 R
F2 D' L' D' R2 B2 R2
F2 D' L' D' B D B
F2 D' L' D' B D' B
F2 D' L' D' B D2 B
F2 D' L' D' B' D B'
F2 D' L' D' B' D' B'
F2 D' L' D' B' D2 B'
F2 D' L' D2 U R2 U'
F2 D' L' D2 B D B2
F2 D' L' D2 B' D B2
F2 D' L' D2 B2 D B2
F2 D' L' F D' F' B2
F2 D' L' F D' B2 F'
F2 D' L' F' D' F B2
F2 D' L' F' D' B2 F
F2 D' L' B U' L2 U
F2 D' L' B D' B2 D
F2 D' L' B D' B2 D'
F2 D' L' B D' B2 D2
F2 D' L' B' U' L2 U
F2 D' L' B' D' B2 D
F2 D' L' B' D' B2 D'
F2 D' L' B' D' B2 D2
F2 D' L' B2 U' L2 U
F2 D' L' B2 D' B2 D
F2 D' L' B2 D' B2 D'
F2 D' L' B2 D' B2 D2
L' F' D' L F' L' B2
L' F' D' L F' B2 L'
L' F' D' L B2 F' L'
L' F' D' L' F' L' B2
L' F' D' L' F' B2 L'
F2 D' L2 U' L' U L2
L' F' D' L' B2 F' L'
L' F' D' L2 F' L' B2
L' F' D' L2 F' B2 L'
L' F' D' L2 B2 F' L'
F2 D' L2 D L D' B2
F2 D' L2 D' L D' B2
F2 D' L2 D2 L D' B2
L2 F' D' L F' B' L'
L2 F' D' L B' F' L'
L' F' D' F' L B2 L2
L' F' D' F' L' B2 D
L' F' D' F' L' B2 D'
L' F' D' F' L' B2 D2
L' F' D' F' B L' B
L' F' D' F' B2 L' D
L' F' D' F' B2 L' D'
L' F' D' F' B2 L' D2
L' F' D' F' B2 D L'
L' F' D' F' B2 D' L'
L' F' D' F' B2 D2 L'
L2 F' D' L2 F' L' B'
L' F' D' B F' L' B
L' F' D' B2 L F' L'
L' F' D' B2 L' F' L'
L' F' D' B2 L2 F' L'
F2 D' R L' D' R' B2
L' F' D' B2 D F' L'
L' F' D' B2 D' F' L'
L' F' D' B2 D2 F' L'
L' F' D' B2 F' L' D
L' F' D' B2 F' L' D'
L' F' D' B2 F' L' D2
L' F' D' B2 F' D L'
L' F' D' B2 F' D' L'
L' F' D' B2 F' D2 L'
L2 F' D' F' L B' L2
L' F' D2 F' L' D B2
L' F' D2 F' D L' B2
L' F' D2 F' D B2 L'
F2 D' R' L' D' R B2
F2 D' R' L' D' B2 R
L' F' B D' F' L' B2
L' F' B D' F' B2 L'
L' F' B D' B2 F' L'
L' F' B' D' F' L' B2
L' F' B' D' F' B2 L'
L' F' B' D' B2 F' L'
U' F2 L U L2 D F2
L' F' B2 D' F' L' B2
L' F' B2 D' F' B2 L'
F' D' U' L U F' L'
L' F' B2 D' B2 F' L'
U' F2 L D F2 U F2
F2 D' U B' U' L' B'
U' F2 L F U L2 F'
U' F2 L F U F' L2
F2 D' U B2 R' U' L'
L' F2 L U' L U L
U' F2 L F' U F L2
F2 D' U' L U L2 D
F2 D' U' L U L2 D'
F2 D' U' L U L2 D2
F2 D' U' L D F2 U
F2 D' U' L F U L2
F2 D' U' L F' U L2
F2 D' U' L F2 U L2
U' F2 L F2 U L2 F2
U' F2 L F2 U F2 L2
L2 F2 L U R U' L2
U' F2 L' D' B2 D' R2
L' F2 L' U' L' U D
L' F2 L' U' L' U D'
L' F2 L' U' L' U D2
L' F2 L' U' L' D U
L' F2 L' U' L' D' U
L' F2 L' U' L' D2 U
L' F2 L' U' D L' U
L' F2 L' U' D' L' U
L' F2 L' U' D2 L' U
D2 F2 L' D' B2 D' F2
D F2 L R2 U L2 R2
D F2 L R2 U R2 L2
D2 F2 L' D2 F2 D B2
L' F2 L' D U' L' U
L' F2 L' D' U' L' U
L' F2 L' D2 U' L' U
U' F2 L' B2 D' R2 B2
U' F2 L' B2 D' B2 R2
U2 F2 L' R D' B2 R'
U2 F2 L' R' D' B2 R'
L2 F2 L' R' D R B2
L2 F2 L' R' D B2 R
U2 F2 L' R2 D' B2 R'
L2 F2 L' U R U' D
L2 F2 L' U R U' D'
L2 F2 L' U R U' D2
L2 F2 L' U R D U'
L2 F2 L' U R D' U'
L2 F2 L' U R D2 U'
L' F2 L' B U' L' U
L2 F2 L' U D R U'
L2 F2 L' U D' R U'
L2 F2 L' U D2 R U'
L' F2 L' B' U' L' U
L' F2 L' B2 U' L' U
L2 F2 L' D U R U'
U2 F2 L' D' R B2 R'
U2 F2 L' D' R' B2 R'
U2 F2 L' D' R2 B2 R'
L F2 L U' L' U L'
L2 F2 L' D' U R U'
U2 F2 L' D' B2 R' D
U2 F2 L' D' B2 R' D'
U2 F2 L' D' B2 R' D2
U2 F2 L' D' B2 D R'
U2 F2 L' D' B2 D' R'
U2 F2 L' D' B2 D2 R'
L2 F2 L' D2 U R U'
L2 F2 L' B U R U'
D F2 L' U' L2 R2 U
L2 F2 L' B' U R U'
D F2 L' U' R2 L2 U
U2 F2 L' B2 R' D' B2
U2 F2 L' B2 D' R' B2
L2 F2 L' B2 U R U'
F' D' F' L' U' L2 U
F' D' F' L' D' B2 D
F' D' F' L' D' B2 D'
F' D' F' L' D' B2 D2
F' D' F' L' B D' B2
F' D' F' L' B' D' B2
F' D' F' L' B2 D' B2
D F2 L' D' F2 B2 D
D F2 L' D' F2 B2 D'
D F2 L' D' F2 B2 D2
D F2 L' D' B2 F2 D
D F2 L' D' B2 F2 D'
D F2 L' D' B2 F2 D2
L2 F2 L2 U R U' L
D F2 L' F D' F2 B2
D F2 L' F D' B2 F2
D F2 L' F' D' F2 B2
D F2 L' F' D' B2 F2
D F2 L' F2 D' F2 B2
D F2 L' F2 D' B2 F2
F' D' F' U' L U L2
L F2 L' U' L U D
L F2 L' U' L U D'
L F2 L' U' L U D2
L F2 L' U' L D U
L F2 L' U' L D' U
L F2 L' U' L D2 U
D F2 L' B D' F2 B2
D F2 L' B D' B2 F2
L F2 L' U' D L U
L F2 L' U' D' L U
L F2 L' U' D2 L U
D F2 L' B' D' F2 B2
D F2 L' B' D' B2 F2
F' D' F' D L' D' B2
U F2 L' D R2 D2 B2
D F2 L' B2 D' F2 B2
D F2 L' B2 D' B2 F2
F' D' F' D' L' D' B2
L F2 L' D U' L U
U F2 L' D' B2 D2 R2
F' D' F' D2 L' D' B2
L F2 L' D' U' L U
L F2 L' D2 U' L U
L' F2 R D' L' R' B2
L' F2 R D' R' L' B2
L' F2 R D' R' B2 L'
U2 F2 R L' D' B2 R'
L F2 L' B2 U R' U'
L F2 L2 U' L2 U L'
L F2 L2 D L D2 B2
L F2 L2 D' L B2 D
L F2 L2 D' L B2 D'
L F2 L2 D' L B2 D2
L F2 L2 D' L' B2 L2
L F2 L2 D' L2 B2 L'
L F2 L2 D2 L D B2
L' F2 R' D' L' R B2
L' F2 R' D' L' B2 R
L' F2 R' D' R L' B2
L' F2 R' D' R B2 L'
L' F2 R' D' B2 L' R
L' F2 R' D' B2 R L'
L2 F2 R' L' D R B2
L2 F2 R' L' D B2 R
U2 F2 R' L' D' B2 R'
L F2 L2 B2 D' B2 L
L2 F2 R' D L' R B2
L2 F2 R' D L' B2 R
L2 F2 R' D R L' B2
L2 F2 R' D R B2 L'
