R' D2 F' B R2
R' D2 B F' R2
R D2 R2 F' B
R D2 R2 B F'
R' F' D2 B R2
R' F' B D2 R2
R' B D2 F' R2
R' B F' D2 R2
B2 R' F D2 B R2 F'
F2 R' F D2 B R2 F'
D2 R' F' R' L B' L'
R' U2 L2 B' U2 F' B2
R' U2 L2 B' U2 B2 F'
R' U2 L2 B2 U2 F' B'
R' U2 L2 B2 U2 B' F'
R U2 L' B L' F' U2
B' R' F' R2 D2 R2 B
F' R' F' R2 D2 R2 B
B R' F D2 B R2 F'
B' R' F' U2 L2 U2 B
F' R' F' U2 L2 U2 B
B2 R' F' R2 D2 R2 B
D2 R' F' D2 R' D B
D2 R' F' D2 R' D' B
D2 R' F' D2 R' D2 B
D2 R' F' D2 R' B D
D2 R' F' D2 R' B D'
D2 R' F' D2 R' B D2
B' R' F' D B D R2
F' R' F' D B D R2
F R' F D2 B R2 F'
F2 R' F' R2 D2 R2 B
B' R' F' D2 B R2 D
B' R' F' D2 B R2 D'
B' R' F' D2 B R2 D2
B2 R' F' U2 L2 U2 B
B' R' F' D2 B' R2 B2
B' R' F' D2 B2 R2 B'
F' R' F' D2 B R2 D
F' R' F' D2 B R2 D'
F' R' F' D2 B R2 D2
F' R' F' D2 B' R2 B2
B' R' F' B R D2 R2
F' R' F' D2 B2 R2 B'
B' R' F' B R' D2 R2
B' R' F' B R2 D2 R2
F' R' F' B R D2 R2
B' R' F' B U2 L2 U2
F' R' F' B R' D2 R2
F' R' F' B R2 D2 R2
B' R' F' B D2 R2 D
B' R' F' B D2 R2 D'
B' R' F' B D2 R2 D2
R U2 L2 D F' B U2
F' R' F' B U2 L2 U2
F2 R' F' U2 L2 U2 B
R U2 L2 D B F' U2
F' R' F' B D2 R2 D
F' R' F' B D2 R2 D'
F' R' F' B D2 R2 D2
B2 R' F' D B D R2
R U2 L2 D' F' B U2
R U2 L2 D' B F' U2
B' R' F' B2 D2 R2 B'
B R' F' R2 D2 R2 B
B' R' F' B2 D2 B' R2
F2 R' F' D B D R2
F' R' F' B2 D2 R2 B'
F' R' F' B2 D2 B' R2
R U2 L2 D2 F' B U2
R U2 L2 D2 B F' U2
B2 R' F' D2 B R2 D
B2 R' F' D2 B R2 D'
B2 R' F' D2 B R2 D2
B2 R' F' D2 B' R2 B2
B2 R' F' D2 B2 R2 B'
B2 R' F' B R D2 R2
B2 R' F' B R' D2 R2
B2 R' F' B R2 D2 R2
B2 R' F' B U2 L2 U2
B2 R' F' B D2 R2 D
B2 R' F' B D2 R2 D'
B2 R' F' B D2 R2 D2
F2 R' F' D2 B R2 D
F2 R' F' D2 B R2 D'
F2 R' F' D2 B R2 D2
F2 R' F' D2 B' R2 B2
F2 R' F' D2 B2 R2 B'
R U2 L2 F' D B U2
F2 R' F' B R D2 R2
R U2 L2 F' D' B U2
F2 R' F' B R' D2 R2
R U2 L2 F' D2 B U2
F2 R' F' B R2 D2 R2
R U2 L2 F' B U2 D
R U2 L2 F' B U2 D'
R U2 L2 F' B U2 D2
R U2 L2 F' B D U2
R U2 L2 F' B D' U2
R U2 L2 F' B D2 U2
B R' F' U2 L2 U2 B
F2 R' F' B U2 L2 U2
F2 R' F' B D2 R2 D
F2 R' F' B D2 R2 D'
F2 R' F' B D2 R2 D2
B2 R' F' B2 D2 R2 B'
B2 R' F' B2 D2 B' R2
F R' F' R2 D2 R2 B
B R' F' D B D R2
R U2 L2 B D F' U2
R U2 L2 B D' F' U2
R U2 L2 B D2 F' U2
F2 R' F' B2 D2 R2 B'
F2 R' F' B2 D2 B' R2
R U2 L2 B F' U2 D
R U2 L2 B F' U2 D'
R U2 L2 B F' U2 D2
R U2 L2 B F' D U2
R U2 L2 B F' D' U2
R U2 L2 B F' D2 U2
B R' F' D2 B R2 D
B R' F' D2 B R2 D'
B R' F' D2 B R2 D2
B R' F' D2 B' R2 B2
B R' F' D2 B2 R2 B'
B R' F' B R D2 R2
B R' F' B R' D2 R2
F R' F' U2 L2 U2 B
B R' F' B R2 D2 R2
B R' F' B U2 L2 U2
B R' F' B D2 R2 D
B R' F' B D2 R2 D'
B R' F' B D2 R2 D2
F R' F' D B D R2
B R' F' B2 D2 R2 B'
B R' F' B2 D2 B' R2
D2 R' F2 D2 R' F B
D2 R' F2 D2 R' B F
D2 R' F2 D2 F R' B
F R' F' D2 B R2 D
F R' F' D2 B R2 D'
F R' F' D2 B R2 D2
F R' F' D2 B' R2 B2
F R' F' D2 B2 R2 B'
F R' F' B R D2 R2
F R' F' B R' D2 R2
F R' F' B R2 D2 R2
F R' F' B U2 L2 U2
F R' F' B D2 R2 D
F R' F' B D2 R2 D'
F R' F' B D2 R2 D2
F' R' F2 D2 F B R2
B' R' F2 D2 F B R2
F' R' F2 D2 B R2 F
F' R' F2 D2 B F R2
B' R' F2 D2 B R2 F
B' R' F2 D2 B F R2
F' R' F2 B D2 R2 F
F' R' F2 B D2 F R2
B' R' F2 B D2 R2 F
B' R' F2 B D2 F R2
F R' F' B2 D2 R2 B'
F R' F' B2 D2 B' R2
B2 R' F2 D2 F B R2
B2 R' F2 D2 B R2 F
B2 R' F2 D2 B F R2
B2 R' F2 B D2 R2 F
B2 R' F2 B D2 F R2
F2 R' F2 D2 F B R2
F2 R' F2 D2 B R2 F
F2 R' F2 D2 B F R2
F2 R' F2 B D2 R2 F
F2 R' F2 B D2 F R2
F' R' B R2 D2 R2 F'
B' R' B R2 D2 R2 F'
B R' F2 D2 F B R2
B R' F2 D2 B R2 F
B R' F2 D2 B F R2
B R' F2 B D2 R2 F
B R' F2 B D2 F R2
F' R' B U2 L2 U2 F'
B' R' B U2 L2 U2 F'
B2 R' B R2 D2 R2 F'
F2 R' B R2 D2 R2 F'
F R' F2 D2 F B R2
F R' F2 D2 B R2 F
F R' F2 D2 B F R2
F' R' B D' F' D' R2
B' R' B D' F' D' R2
F R' F2 B D2 R2 F
F R' F2 B D2 F R2
B2 R' B U2 L2 U2 F'
F' R' B D2 F R2 F2
F' R' B D2 F' R2 D
F' R' B D2 F' R2 D'
F' R' B D2 F' R2 D2
B' R' B D2 F R2 F2
F' R' B D2 F2 R2 F
B' R' B D2 F' R2 D
B' R' B D2 F' R2 D'
B' R' B D2 F' R2 D2
B' R' B D2 F2 R2 F
F2 R' B U2 L2 U2 F'
F' R' B F' R D2 R2
F' R' B F' R' D2 R2
B' R' B F' R D2 R2
F' R' B F' R2 D2 R2
B' R' B F' R' D2 R2
B' R' B F' R2 D2 R2
F' R' B F' U2 L2 U2
B' R' B F' U2 L2 U2
F' R' B F' D2 R2 D
F' R' B F' D2 R2 D'
F' R' B F' D2 R2 D2
B' R' B F' D2 R2 D
B' R' B F' D2 R2 D'
B' R' B F' D2 R2 D2
B2 R' B D' F' D' R2
F' R' B F2 D2 R2 F
F' R' B F2 D2 F R2
B R' B R2 D2 R2 F'
B' R' B F2 D2 R2 F
B' R' B F2 D2 F R2
B2 R' B D2 F R2 F2
F2 R' B D' F' D' R2
B2 R' B D2 F' R2 D
B2 R' B D2 F' R2 D'
B2 R' B D2 F' R2 D2
B2 R' B D2 F2 R2 F
F2 R' B D2 F R2 F2
F2 R' B D2 F' R2 D
F2 R' B D2 F' R2 D'
F2 R' B D2 F' R2 D2
F2 R' B D2 F2 R2 F
B2 R' B F' R D2 R2
B2 R' B F' R' D2 R2
B2 R' B F' R2 D2 R2
B2 R' B F' U2 L2 U2
B2 R' B F' D2 R2 D
B2 R' B F' D2 R2 D'
B2 R' B F' D2 R2 D2
B R' B U2 L2 U2 F'
F2 R' B F' R D2 R2
F2 R' B F' R' D2 R2
F2 R' B F' R2 D2 R2
F2 R' B F' U2 L2 U2
B2 R' B F2 D2 R2 F
B2 R' B F2 D2 F R2
F2 R' B F' D2 R2 D
F2 R' B F' D2 R2 D'
F2 R' B F' D2 R2 D2
F R' B R2 D2 R2 F'
F2 R' B F2 D2 R2 F
F2 R' B F2 D2 F R2
B R' B D' F' D' R2
B R' B D2 F R2 F2
B R' B D2 F' R2 D
B R' B D2 F' R2 D'
B R' B D2 F' R2 D2
B R' B D2 F2 R2 F
F R' B U2 L2 U2 F'
B R' B F' R D2 R2
B R' B F' R' D2 R2
B R' B F' R2 D2 R2
B R' B F' U2 L2 U2
B R' B F' D2 R2 D
B R' B F' D2 R2 D'
B R' B F' D2 R2 D2
B R' B F2 D2 R2 F
B R' B F2 D2 F R2
F R' B D' F' D' R2
F R' B D2 F R2 F2
F R' B D2 F' R2 D
F R' B D2 F' R2 D'
F R' B D2 F' R2 D2
F R' B D2 F2 R2 F
F' R' B' D2 F' R2 B
B' R' B' D2 F' R2 B
F R' B F' R D2 R2
F R' B F' R' D2 R2
F R' B F' R2 D2 R2
F R' B F' U2 L2 U2
F R' B F' D2 R2 D
F R' B F' D2 R2 D'
F R' B F' D2 R2 D2
F R' B F2 D2 R2 F
F R' B F2 D2 F R2
B2 R' B' D2 F' R2 B
F2 R' B' D2 F' R2 B
B R' B' D2 F' R2 B
F R' B' D2 F' R2 B
F' R' B2 D2 F' R2 B'
F' R' B2 D2 F' B' R2
B' R' B2 D2 F' R2 B'
B' R' B2 D2 F' B' R2
F' R' B2 D2 B' F' R2
B' R' B2 D2 B' F' R2
F' R' B2 F' D2 R2 B'
F' R' B2 F' D2 B' R2
B' R' B2 F' D2 R2 B'
B' R' B2 F' D2 B' R2
B2 R' B2 D2 F' R2 B'
B2 R' B2 D2 F' B' R2
B2 R' B2 D2 B' F' R2
F2 R' B2 D2 F' R2 B'
F2 R' B2 D2 F' B' R2
F2 R' B2 D2 B' F' R2
B2 R' B2 F' D2 R2 B'
B2 R' B2 F' D2 B' R2
F2 R' B2 F' D2 R2 B'
F2 R' B2 F' D2 B' R2
D2 R2 L D2 B' L' F
B R' B2 D2 F' R2 B'
B R' B2 D2 F' B' R2
B R' B2 D2 B' F' R2
B R' B2 F' D2 R2 B'
B R' B2 F' D2 B' R2
D2 R2 L B' D2 L' F
F R' B2 D2 F' R2 B'
F R' B2 D2 F' B' R2
F R' B2 D2 B' F' R2
F R' B2 F' D2 R2 B'
F R' B2 F' D2 B' R2
R' U2 F L2 U2 F2 B
R' U2 F L2 U2 B F2
R U2 D2 F' U2 R2 F'
R U2 D2 F' B U2 R2
R U2 D2 B U2 R2 B
R U2 D2 B F' U2 R2
R U2 F L2 F2 B U2
R U2 F L2 B F2 U2
R U2 F B L2 F2 U2
R' U2 F2 L2 B' U2 B2
R U2 F' L' B L' U2
R U2 F' L2 D B U2
R U2 F' L2 D' B U2
R U2 F' L2 D2 B U2
R U2 F' L2 B U2 D
R U2 F' L2 B U2 D'
R U2 F' L2 B U2 D2
R U2 F' L2 B D U2
R U2 F' L2 B D' U2
R U2 F' L2 B D2 U2
R U2 F' U2 D2 R2 F'
R U2 F' D2 U2 R2 F'
R U2 F' D2 B U2 R2
R U2 F' B L2 U2 D
R U2 F' B L2 U2 D'
R U2 F' B L2 U2 D2
R U2 F' B L2 D U2
R U2 F' B L2 D' U2
R U2 F' B L2 D2 U2
R U2 F' B U2 D2 R2
R U2 F' B D2 U2 R2
R U2 F' B' L2 B2 U2
R U2 F' B2 L2 U2 F
R U2 F2 L2 B U2 B2
R' U2 B' L2 U2 F' B2
R' U2 B' L2 U2 B2 F'
R U2 F2 B L2 U2 B'
R U2 B L F' L U2
R U2 B L2 D F' U2
R U2 B L2 D' F' U2
R U2 B L2 D2 F' U2
R U2 B L2 F' U2 D
R U2 B L2 F' U2 D'
R U2 B L2 F' U2 D2
R U2 B L2 F' D U2
R U2 B L2 F' D' U2
R U2 B L2 F' D2 U2
R U2 B U2 D2 R2 B
R' U2 B2 L2 F U2 F2
R U2 B D2 U2 R2 B
R U2 B D2 F' U2 R2
R U2 B F L2 F2 U2
R U2 B F' L2 U2 D
R U2 B F' L2 U2 D'
R U2 B F' L2 U2 D2
R U2 B F' L2 D U2
R U2 B F' L2 D' U2
R U2 B F' L2 D2 U2
R U2 B F' U2 D2 R2
R U2 B F' D2 U2 R2
R U2 B F2 L2 U2 B'
R U2 B' L2 F' B2 U2
R U2 B' L2 B2 F' U2
R U2 B' F' L2 B2 U2
R U2 B2 L2 F' U2 F2
R U2 B2 F' L2 U2 F
R' D R2 D R2 F' B
R' D R2 D R2 B F'
R' D U F2 U' F B
R' D U F2 U' B F
R D R2 D F' B R2
R D R2 D B F' R2
R D R2 B D F' R2
R' D F' U F' U' B
R' D F' B U F' U'
R' D B R2 D R2 F'
R' D B U F2 U' F
R' D B D F R2 F2
R' D B D F' R2 D
R' D B D F' R2 D'
R' D B D F' R2 D2
R' D B D F2 R2 F
R' D B D' F' D2 R2
R' D B D2 F' D' R2
R' D B F' U F' U'
R' D B2 D F' R2 B'
R' D B2 D F' B' R2
R' D B2 D B' F' R2
R' D' R2 D' R2 F' B
R' D' R2 D' R2 B F'
R D' R2 D' F' B R2
R D' R2 D' B F' R2
R D' R2 F' D' B R2
R' D' U' B2 U F' B'
R' D' U' B2 U B' F'
R' D' F' R2 D' R2 B
R' D' F' U' B2 U B'
R' D' F' D B D2 R2
R' D' F' D' B R2 D
R' D' F' D' B R2 D'
R' D' F' D' B R2 D2
R' D' F' D' B' R2 B2
R' D' F' D' B2 R2 B'
R' D' F' D2 B D R2
R' D' F' B U' B U
R' D' F2 D' F B R2
R' D' F2 D' B R2 F
R' D' F2 D' B F R2
R' D' B U' B U F'
R' D' B F' U' B U
R' D2 L B L' F' R2
R' D2 L' F' L B R2
R D2 L R2 B L' F'
R' D2 L2 F' L2 B R2
R' D2 L2 F' B L2 R2
R' D2 L2 F' B R2 L2
R' D2 L2 B L2 F' R2
R' D2 L2 B F' L2 R2
R' D2 L2 B F' R2 L2
D2 U2 L U2 R2 F B'
D2 U2 L U2 R2 B' F
D2 U2 L U2 F R2 B'
D2 U2 L U2 F B' R2
D2 U2 L U2 B' R2 F
D2 U2 L U2 B' F R2
R D2 L' R2 F' L B
U2 D2 L U2 R2 F B'
U2 D2 L U2 R2 B' F
U2 D2 L U2 F R2 B'
U2 D2 L U2 F B' R2
U2 D2 L U2 B' R2 F
U2 D2 L U2 B' F R2
R D2 L2 R2 F' L2 B
R D2 L2 R2 F' B L2
R D2 L2 R2 B L2 F'
R D2 L2 R2 B F' L2
D2 U2 L' F B' U2 R2
D2 U2 L' B' F U2 R2
R2 D2 R D2 B R F'
U2 D2 L' F B' U2 R2
R2 D2 R B D2 R F'
U2 D2 L' B' F U2 R2
R' D2 R2 U2 F' B U2
R' D2 R2 U2 B F' U2
R D2 R B R F' B
R D2 R B R B F'
R D2 R B' R F' B
R D2 R B' R B F'
R D2 R B2 R F' B
R D2 R B2 R B F'
R D2 R' F R' F' B
R D2 R' F R' B F'
R D2 R' F' R' F' B
R D2 R' F' R' B F'
R D2 R' F2 R' F' B
R D2 R' F2 R' B F'
R D2 R2 L B L' F'
R D2 R2 L' F' L B
R D2 R2 L2 F' L2 B
R D2 R2 L2 F' B L2
R D2 R2 L2 B L2 F'
R D2 R2 L2 B F' L2
R D2 R2 D F' D B
R D2 R2 D F' D' B
R D2 R2 D F' D2 B
R D2 R2 D F' B D
R D2 R2 D F' B D'
R D2 R2 D F' B D2
R D2 R2 D B D F'
R D2 R2 D B D' F'
R D2 R2 D B D2 F'
R D2 R2 D B F' D
R D2 R2 D B F' D'
R D2 R2 D B F' D2
R D2 R2 D' F' D B
R D2 R2 D' F' D' B
R D2 R2 D' F' D2 B
R D2 R2 D' F' B D
R D2 R2 D' F' B D'
R D2 R2 D' F' B D2
R D2 R2 D' B D F'
R D2 R2 D' B D' F'
R D2 R2 D' B D2 F'
R D2 R2 D' B F' D
R D2 R2 D' B F' D'
R D2 R2 D' B F' D2
R D2 R2 D2 F' D B
R D2 R2 D2 F' D' B
R D2 R2 D2 F' D2 B
R D2 R2 D2 F' B D
R D2 R2 D2 F' B D'
R D2 R2 D2 F' B D2
R D2 R2 D2 B D F'
R D2 R2 D2 B D' F'
R D2 R2 D2 B D2 F'
R D2 R2 D2 B F' D
R D2 R2 D2 B F' D'
R D2 R2 D2 B F' D2
R D2 R2 F' L B L'
R D2 R2 F' L2 B L2
R D2 R2 F' D B D
R D2 R2 F' D B D'
R D2 R2 F' D B D2
R D2 R2 F' D' B D
R D2 R2 F' D' B D'
R D2 R2 F' D' B D2
R D2 R2 F' D2 B D
R D2 R2 F' D2 B D'
R D2 R2 F' D2 B D2
R D2 R2 F' B2 D B'
R D2 R2 F' B2 D' B'
R D2 R2 F' B2 D2 B'
R D2 R2 F2 D F B
R D2 R2 F2 D B F
R D2 R2 F2 D' F B
R D2 R2 F2 D' B F
R D2 R2 F2 D2 F B
R D2 R2 F2 D2 B F
R D2 R2 F2 B D F
R D2 R2 F2 B D' F
R D2 R2 F2 B D2 F
R D2 R2 B L' F' L
R D2 R2 B L2 F' L2
R D2 R2 B D F' D
R D2 R2 B D F' D'
R D2 R2 B D F' D2
R D2 R2 B D' F' D
R D2 R2 B D' F' D'
R D2 R2 B D' F' D2
R D2 R2 B D2 F' D
R D2 R2 B D2 F' D'
R D2 R2 B D2 F' D2
R D2 R2 B F2 D F
R D2 R2 B F2 D' F
R D2 R2 B F2 D2 F
R D2 R2 B2 D F' B'
R D2 R2 B2 D B' F'
R D2 R2 B2 D' F' B'
R D2 R2 B2 D' B' F'
R D2 R2 B2 D2 F' B'
R D2 R2 B2 D2 B' F'
R D2 R2 B2 F' D B'
R D2 R2 B2 F' D' B'
R D2 R2 B2 F' D2 B'
R' D2 F B R' F2 R'
R' D2 F B R2 F2 D
R' D2 F B R2 F2 D'
R' D2 F B R2 F2 D2
R' D2 F B' R2 F2 B2
R' D2 F B' R2 B2 F2
R' D2 F B2 R2 F2 B'
R' D2 F B2 R2 B' F2
R' D2 F' L B L' R2
R' D2 F' L B R2 L'
R' D2 F' L2 B L2 R2
R' D2 F' L2 B R2 L2
R' D2 F' R2 U2 F' U2
R D2 U2 F' U2 R2 F'
R D2 U2 F' B U2 R2
R' D2 F' D' B D R2
R D2 U2 B U2 R2 B
R D2 U2 B F' U2 R2
R' D2 F' D2 B D2 R2
R' D2 F' B R D R
R' D2 F' B R D' R
R' D2 F' B R D2 R
R' D2 F' B R' D R'
R' D2 F' B R' D' R'
R' D2 F' B R' D2 R'
R' D2 F' B' R B2 R
R' D2 F' B' R2 B2 D
R' D2 F' B' R2 B2 D'
R' D2 F' B' R2 B2 D2
R' D2 F' B2 R B' R
R' D2 F' B2 R2 D B'
R' D2 F' B2 R2 D' B'
R' D2 F' B2 R2 D2 B'
R' D2 F' B2 R2 B' D
R' D2 F' B2 R2 B' D'
R' D2 F' B2 R2 B' D2
R D2 F R2 D2 F' B2
R D2 F R2 D2 B2 F'
R' D2 F2 R2 F D2 B2
R' D2 F2 B R' F R'
R' D2 F2 B R2 D F
R' D2 F2 B R2 D' F
R' D2 F2 B R2 D2 F
R' D2 F2 B R2 F D
R' D2 F2 B R2 F D'
R' D2 F2 B R2 F D2
R' D2 F2 B' R2 F B2
R' D2 F2 B' R2 B2 F
R' D2 F2 B2 R2 F B'
R' D2 F2 B2 R2 B' F
R' D2 B L' F' L R2
R' D2 B L' F' R2 L
R' D2 B L2 F' L2 R2
R' D2 B L2 F' R2 L2
R' D2 B R2 U2 B U2
R' D2 B D F' D' R2
R' D2 B D2 F' D2 R2
R' D2 B F R' F2 R'
R' D2 B F R2 F2 D
R' D2 B F R2 F2 D'
R' D2 B F R2 F2 D2
R' D2 B F' R D R
R' D2 B F' R D' R
R' D2 B F' R D2 R
R' D2 B F' R' D R'
R' D2 B F' R' D' R'
R' D2 B F' R' D2 R'
R' D2 B F2 R' F R'
R' D2 B F2 R2 D F
R' D2 B F2 R2 D' F
R' D2 B F2 R2 D2 F
R' D2 B F2 R2 F D
R' D2 B F2 R2 F D'
R' D2 B F2 R2 F D2
R D2 F2 R2 F' D2 B2
R' D2 B' F R2 F2 B2
R' D2 B' F R2 B2 F2
R' D2 B' F' R B2 R
R' D2 B' F' R2 B2 D
R' D2 B' F' R2 B2 D'
R' D2 B' F' R2 B2 D2
R' D2 B' F2 R2 F B2
R' D2 B' F2 R2 B2 F
R' D2 B2 R2 B' D2 F2
R' D2 B2 F R2 F2 B'
R' D2 B2 F R2 B' F2
R' D2 B2 F' R B' R
R' D2 B2 F' R2 D B'
R' D2 B2 F' R2 D' B'
R' D2 B2 F' R2 D2 B'
R' D2 B2 F' R2 B' D
R' D2 B2 F' R2 B' D'
R' D2 B2 F' R2 B' D2
R' D2 B2 F2 R2 F B'
R' D2 B2 F2 R2 B' F
R D2 B' R2 D2 F2 B
R D2 B' R2 D2 B F2
R D2 B2 R2 B D2 F2
R' F L' F2 L B R
R' F L2 U2 L2 F2 B
R' F L2 U2 L2 B F2
R' F L2 U2 F2 L2 B
R' F L2 U2 F2 B L2
R' F L2 U2 B L2 F2
R' F L2 U2 B F2 L2
L2 F R F' B U2 L2
L2 F R B F' U2 L2
D2 F R' D2 F' R' B
R2 F R D2 F' B R2
R2 F R D2 B F' R2
D2 F R' F' D2 R' B
R2 F R F' D2 B R2
R2 F R F' B D2 R2
R F L2 F2 B U2 L2
R F L2 B F2 U2 L2
R2 F R B D2 F' R2
R2 F R B F' D2 R2
L2 F R' U2 L2 F' B
L2 F R' U2 L2 B F'
L2 F R' U2 F' L2 B
L2 F R' U2 F' B L2
L2 F R' U2 B L2 F'
L2 F R' U2 B F' L2
R2 F R' D2 R2 F' B
R2 F R' D2 R2 B F'
R F R2 D2 F' R2 B2
R F R2 D2 F' B2 R2
R F R2 D2 B2 F' R2
R F R2 F' D2 R2 B
R' F U2 L2 U2 F2 B
R' F U2 L2 U2 B F2
R F U2 L2 F2 B U2
R F U2 L2 B F2 U2
R F U2 F2 L2 B U2
R F U2 F2 B L2 U2
R F U2 B L2 F2 U2
R F U2 B F2 L2 U2
R' F D2 F B R2 F'
R' F D2 F' B R2 F'
R' F D2 F2 B R2 F'
R' F D2 B R2 D F'
R' F D2 B R2 D' F'
R' F D2 B R2 D2 F'
R' F D2 B R2 F' D
R' F D2 B R2 F' D'
R' F D2 B R2 F' D2
R' F D2 B F R2 F'
R' F D2 B F' R2 F'
R' F D2 B F2 R2 F'
R' F B L' F2 L R
R' F B L' F2 R L
R' F B R F2 D2 R2
R' F B R' F2 D2 R2
R' F B R2 F2 D2 R2
R' F B U2 L2 U2 F2
R' F B D2 R2 D2 F2
R F D2 R B2 R F'
R F D2 R2 F' B2 D
R F D2 R2 F' B2 D'
R F D2 R2 F' B2 D2
R F D2 R2 B2 D F'
R F D2 R2 B2 D' F'
R F D2 R2 B2 D2 F'
R F D2 R2 B2 F' D
R F D2 R2 B2 F' D'
R F D2 R2 B2 F' D2
R F D2 F R2 F' B2
R F D2 F R2 B2 F'
R F D2 F' R2 F' B2
R F D2 F' R2 B2 F'
R F D2 F2 R2 F' B2
R F D2 F2 R2 B2 F'
R F B L2 F2 U2 L2
L' F' L R' F' B R
L' F' L R' B F' R
R' F' L B2 R' B' L'
R F B' D2 R2 F2 B2
R F B' D2 R2 B2 F2
R F B' D2 F2 R2 B2
R F B' D2 F2 B2 R2
R F B' D2 B2 R2 F2
R F B' D2 B2 F2 R2
L F B2 R' F' L' B
L F B2 R' F' B L'
L F B2 R' B F' L'
R F B2 D2 B2 R2 F'
R' F' L2 U2 B L2 F
R' F' L2 B L2 D2 R2
L' F' R' L F' B R
L' F' R' L B F' R
R F' L2 R2 U2 L2 F'
R F' L2 R2 U2 F' L2
R' F' R' D2 R B R
L2 F' R F' B U2 L2
D' F' R' D' F' R2 B
D2 F' R' D2 F' R' B
L2 F' R B F' U2 L2
R F' L2 D2 R2 U2 F'
R2 F' R D2 F' B R2
R2 F' R D2 B F' R2
R F' L2 D2 B R2 U2
D2 F' R' F' D2 R' B
R2 F' R F' D2 B R2
R2 F' R F' B D2 R2
L' F' R' F' L B R
R F' L2 B R U2 L2
R F' L2 B R' U2 L2
R F' L2 B R2 U2 L2
R F' L2 B U2 L2 D
R F' L2 B U2 L2 D'
R F' L2 B U2 L2 D2
R2 F' R B D2 F' R2
R F' L2 B D2 R2 U2
R2 F' R B F' D2 R2
L2 F' R' U2 L2 F' B
L2 F' R' U2 L2 B F'
R F' L2 B2 U2 L2 F
L2 F' R' U2 F' L2 B
L2 F' R' U2 F' B L2
L2 F' R' U2 B L2 F'
L2 F' R' U2 B F' L2
R' F' R2 U2 L2 F' U2
R' F' R2 U2 F' L2 U2
R' F' R2 D2 R2 D B
R' F' R2 D2 R2 D' B
R' F' R2 D2 R2 D2 B
R' F' R2 D2 R2 B D
R' F' R2 D2 R2 B D'
R' F' R2 D2 R2 B D2
R' F' R2 D2 B R2 B
R' F' R2 D2 B' R2 B
R' F' R2 D2 B2 R2 B
R2 F' R' D2 R2 F' B
R2 F' R' D2 R2 B F'
R' F' R2 B D2 R2 B
R' F' R2 B' D2 R2 B
R' F' R2 B2 D2 R2 B
R' F' U D F2 U' B
R F' R2 L2 U2 L2 F'
R F' R2 L2 U2 F' L2
R' F' U' D' B2 U B'
R' F' U2 L2 U2 D B
R' F' U2 L2 U2 D' B
R' F' U2 L2 U2 D2 B
R' F' U2 L2 U2 B D
R' F' U2 L2 U2 B D'
R' F' U2 L2 U2 B D2
R' F' U2 L2 D U2 B
R' F' U2 L2 D' U2 B
R' F' U2 L2 D2 U2 B
R' F' U2 L2 F U2 B
R' F' U2 L2 F' U2 B
R' F' U2 L2 F2 U2 B
R' F' U2 F L2 U2 B
R' F' U2 F' L2 U2 B
R' F' U2 F2 L2 U2 B
R' F' D R2 D R2 B
R' F' D U F2 U' B
R' F' D B R D R2
R' F' D B R' D R2
R' F' D B R2 D R2
R' F' D B U F2 U'
R' F' D B D R2 D
R' F' D B D R2 D'
R' F' D B D R2 D2
R' F' D B2 D R2 B'
R' F' D B2 D B' R2
R' F' D' R2 D' R2 B
R F' U2 L2 B U2 B'
R' F' D' U' B2 U B'
R' F' D' B U' B U
R' F' D2 L B L' R2
R' F' D2 L B R2 L'
R F' U2 B L2 F U2
R' F' D2 L2 B L2 R2
R' F' D2 L2 B R2 L2
R' F' D2 R2 U2 F' U2
R' F' D2 F' B R2 F
R' F' D2 F2 B R2 F2
R' F' D2 B R D R
R' F' D2 B R D' R
R' F' D2 B R D2 R
R' F' D2 B R' D R'
R' F' D2 B R' D' R'
R' F' D2 B R' D2 R'
R' F' D2 B F' R2 F
R' F' D2 B F2 R2 F2
R' F' D2 B' R B2 R
R' F' D2 B' R2 B2 D
R' F' D2 B' R2 B2 D'
R' F' D2 B' R2 B2 D2
R' F' D2 B2 R B' R
R' F' D2 B2 R2 D B'
R' F' D2 B2 R2 D' B'
R' F' D2 B2 R2 D2 B'
R' F' D2 B2 R2 B' D
R' F' D2 B2 R2 B' D'
R' F' D2 B2 R2 B' D2
R' F' B R U2 L2 U2
R' F' B R D2 R2 D
R' F' B R D2 R2 D'
R' F' B R D2 R2 D2
R' F' B R' U2 L2 U2
R' F' B R' D2 R2 D
R' F' B R' D2 R2 D'
R' F' B R' D2 R2 D2
R' F' B R2 U2 L2 U2
R' F' B R2 D2 R2 D
R' F' B R2 D2 R2 D'
R' F' B R2 D2 R2 D2
R' F' B U D F2 U'
R' F' B U' D' B2 U
R' F' B U2 L2 U2 D
R' F' B U2 L2 U2 D'
R' F' B U2 L2 U2 D2
R' F' B U2 L2 D U2
R' F' B U2 L2 D' U2
R' F' B U2 L2 D2 U2
R' F' B D R D R2
R' F' B D R' D R2
R' F' B D R2 D R2
R' F' B D U F2 U'
R' F' B D' R D' R2
R' F' B D' R' D' R2
R' F' B D' R2 D' R2
R' F' B D' U' B2 U
R' F' B D2 R D R
R' F' B D2 R D' R
R' F' B D2 R D2 R
R' F' B D2 R' D R'
R' F' B D2 R' D' R'
R' F' B D2 R' D2 R'
