U L U R U L
F2 L' U L2 U2 L
F2 L' U' D2 L' R2
F2 L' U' D2 R2 L'
F2 L' D2 U' L' R2
F2 L' D2 U' R2 L'
U' L2 R' D' F2 R
U2 R U' L U2 L
U2 R B2 U L2 R'
U2 R B2 U R' L2
U' R' L2 D' F2 R
L U2 R U L R'
L U2 R U R' L
F' U L U2 F L
B2 U' L2 R' D' F2
B2 U' R' L2 D' F2
B2 U2 R U L2 R2
B2 U2 R U R2 L2
D' F' B2 U' R' F'
L2 F2 L' U' L R
L2 F2 L' U' R L
F' D' B2 U' R' F'
F2 D' B2 L' U' R'
D' F2 B2 L' U' R'
B2 F' U' L2 R' F'
B2 F' U' R' L2 F'
B2 F' U' R' F' L2
U2 B2 R U L2 R2
U2 B2 R U R2 L2
R B2 L U L R'
R B2 L U R' L
B2 F2 L' U' L' R'
B2 F2 L' U' R' L'
F2 B2 L' U' L' R'
F2 B2 L' U' R' L'
D' B2 U' R' D' F2
D' B2 U2 R U R2
F' B2 U' L2 R' F'
F' B2 U' R' L2 F'
F' B2 U' R' F' L2
D' B2 F' U' R' F'
D' B2 F2 L' U' R'
U2 B2 R F2 U L2 R2
U2 B2 R F2 U R2 L2
F2 B2 L' D2 U' L' R'
F2 B2 L' D2 U' R' L'
U2 B2 R B U L2 R2
U2 B2 R B U R2 L2
U2 B2 R B' U L2 R2
U2 B2 R B' U R2 L2
U2 B2 R B2 U L2 R2
U2 B2 R B2 U R2 L2
U2 B2 R' L2 D' F2 B2
U2 B2 R' L2 D' B2 F2
B F2 L' B U' L' R'
B F2 L' B U' R' L'
R2 B2 R2 L U' L R
R2 B2 R2 L U' R L
U2 B2 U L2 R' D' F2
U2 B2 U R' L2 D' F2
D' B2 U' R' U' R2 U
D' B2 U' R' D' F2 D
D' B2 U' R' D' F2 D'
D' B2 U' R' D' F2 D2
D' B2 U' R' F D' F2
D' B2 U' R' F' D' F2
D' B2 U' R' F2 D' F2
D' B2 U' D R' D' F2
D' B2 U' D' R' D' F2
D' B2 U' D2 R' D' F2
D' B2 U2 R U R2 D
D' B2 U2 R U R2 D'
D' B2 U2 R U R2 D2
D' B2 U2 R D B2 U
D' B2 U2 R B U R2
D' B2 U2 R B' U R2
D' B2 U2 R B2 U R2
D' B2 U2 D R U R2
U B2 U R U L2 R2
U B2 U R U R2 L2
D' B2 U2 D' R U R2
D' B2 U2 D2 R U R2
D B2 U' R' D' L2 F2
D B2 U' R' D' F2 L2
D' B2 D U' R' D' F2
D' B2 D U2 R U R2
D' B2 D F' U' R' F'
F' B2 U' L R' F' L
D' B2 D F2 L' U' R'
D B2 U2 R F2 U R2
F' B2 U' L2 R' D F'
F' B2 U' L2 R' D' F'
F' B2 U' L2 R' D2 F'
F' B2 U' L2 R' F' D
F' B2 U' L2 R' F' D'
F' B2 U' L2 R' F' D2
F' B2 U' L2 D R' F'
F' B2 U' L2 D' R' F'
F' B2 U' L2 D2 R' F'
F' B2 U' L2 F R' F'
F' B2 U' L2 F' R' F'
F' B2 U' L2 F2 R' F'
F' B2 U' R' L F' L
F' B2 U' R' L2 D F'
F' B2 U' R' L2 D' F'
F' B2 U' R' L2 D2 F'
F' B2 U' R' L2 F' D
F' B2 U' R' L2 F' D'
F' B2 U' R' L2 F' D2
F' B2 U' R' F L2 F2
F' B2 U' R' F' L2 D
F' B2 U' R' F' L2 D'
F' B2 U' R' F' L2 D2
U2 B2 D R F2 U R2
F' B2 U' F L2 R' F'
F' B2 U' F R' L2 F'
F' B2 U' F R' F' L2
F' B2 U' F' L2 R' F'
F' B2 U' F' R' L2 F'
F' B2 U' F' R' F' L2
U B2 U2 L2 R' D' F2
F' B2 U' F2 L2 R' F'
F' B2 U' F2 R' L2 F'
F' B2 U' F2 R' F' L2
D' B2 D' U' R' D' F2
D' B2 D' U2 R U R2
U B2 U2 R' L2 D' F2
D' B2 D' F' U' R' F'
D' B2 D' F2 L' U' R'
D' B2 D2 U' R' D' F2
D' B2 D2 U2 R U R2
D' B2 D2 F' U' R' F'
D' B2 D2 F2 L' U' R'
R B2 D L F2 U R'
R B2 D F2 L U R'
D' B2 F' L U' R' F'
D' B2 F' L' U' R' F'
D' B2 F' L2 U' R' F'
D' B2 F' U' R' D F'
D' B2 F' U' R' D' F'
D' B2 F' U' R' D2 F'
D' B2 F' U' R' F' D
D' B2 F' U' R' F' D'
D' B2 F' U' R' F' D2
D' B2 F' U' D R' F'
D' B2 F' U' D' R' F'
D' B2 F' U' D2 R' F'
D' B2 F' U' F R' F'
D' B2 F' U' F' R' F'
D' B2 F' U' F2 R' F'
D' B2 F' D U' R' F'
D' B2 F' D' U' R' F'
D' B2 F' D2 U' R' F'
D' B2 F2 L' U' R' D
D' B2 F2 L' U' R' D'
D' B2 F2 L' U' R' D2
D' B2 F2 L' U' D R'
D' B2 F2 L' U' D' R'
D' B2 F2 L' U' D2 R'
D' B2 F2 L' D U' R'
D' B2 F2 L' D' U' R'
D' B2 F2 L' D2 U' R'
D' B2 F2 L' F U' R'
D' B2 F2 L' F' U' R'
D' B2 F2 L' F2 U' R'
D' B2 F2 D L' U' R'
D' B2 F2 D' L' U' R'
D' B2 F2 D2 L' U' R'
L2 B2 F2 L' U' L R
L2 B2 F2 L' U' R L
R B2 F L U L R'
R B2 F L U R' L
R B2 F' L U L R'
R B2 F' L U R' L
R B2 F2 L U L R'
R B2 F2 L U R' L
