B2 L' U L F2 U2
B2 L' U F2 L U2
B2 L' U' D2 B2 R'
U' L' D R2 U' L2
B2 L' D2 U' B2 R'
U' L' B2 U F2 U2
U' L' B2 U' D2 B2
U' L' B2 D R2 U'
U' L' B2 D2 U' B2
F2 R' D B2 U2 L2
F2 R' D' R2 U2 F2
F2 R2 U' B2 L U'
U' D L' R2 U' L'
F2 U R U D L2
F2 U R U2 B2 U'
F2 U R D U L2
F2 U R D2 F2 U
U' D R2 L' U' L'
F2 U D R U L2
F2 U D2 R F2 U
D2 U F2 R U B2
D U' L' R2 U' L'
D U' R2 L' U' L'
F2 U' B2 U2 R U
U D2 F2 R U B2
F2 D U R U L2
F2 D' R2 U R' U
B2 D2 L' U' B2 R'
F2 D2 U R F2 U
U' B2 L' U F2 U2
U' B2 L' U' D2 B2
U' B2 L' D R2 U'
U' B2 L' D2 U' B2
L' B2 U F2 U2 R'
L' B2 U' R' D2 B2
L' B2 U' D2 R' B2
L' B2 D R2 U' R
L' B2 D2 U' R' B2
U' B2 D L' R2 U'
U' B2 D R2 L' U'
U' B2 D2 L' U' B2
F D' F R2 U R' U
R' F2 R' D B2 U2 L2
R' F2 R' D' R2 U2 F2
D' F2 R2 U L2 R' U
D' F2 R2 U R' L2 U
R' F2 R2 U' B2 L U'
U F2 R U2 B2 U' B2
F2 D' B R2 U R' U
R2 F2 R' D B2 U2 L2
R2 F2 R' D' R2 U2 F2
R' F2 U R U D L2
R' F2 U R U2 B2 U'
R' F2 U R D U L2
R' F2 U R D2 F2 U
R' F2 U D R U L2
F2 D' B' R2 U R' U
R' F2 U D2 R F2 U
R2 F2 R2 U' B2 L U'
R F2 R' D B2 U2 L2
R F2 R' D' R2 U2 F2
F2 D' B2 R2 U R' U
R2 F2 U R U D L2
R2 F2 U R U2 B2 U'
R2 F2 U R D U L2
U' F2 U' F2 L' B2 U'
R2 F2 U R D2 F2 U
U' F2 U' F2 B2 L' U'
R2 F2 U D R U L2
R F2 R2 U' B2 L U'
U' F2 U' B2 F2 L' U'
R2 F2 U D2 R F2 U
L2 F2 U' L B2 U' R'
R' F2 U' B2 U2 R U
R F2 U R U D L2
R F2 U R U2 B2 U'
R F2 U R D U L2
R F2 U R D2 F2 U
R F2 U D R U L2
R F2 U D2 R F2 U
B2 D2 L' R U' B2 R'
B2 D2 L' R' U' B2 R'
B2 D2 L' R2 U' B2 R'
B2 D2 L' U L U2 B2
R2 F2 U' B2 U2 R U
B2 D2 L' U' R B2 R'
B2 D2 L' U' R' B2 R'
B2 D2 L' U' R2 B2 R'
L F2 U' L2 B2 U' R
B2 D2 L' U' B2 R' D
B2 D2 L' U' B2 R' D'
B2 D2 L' U' B2 R' D2
B2 D2 L' U' B2 D R'
B2 D2 L' U' B2 D' R'
B2 D2 L' U' B2 D2 R'
R' F2 D U R U L2
B2 D2 L' F U' B2 R'
B2 D2 L' F' U' B2 R'
B2 D2 L' F2 U' B2 R'
L F2 U' B2 L2 U' R
R' F2 D' R2 U R' U
L F2 U2 R D L2 F2
L F2 U2 R D F2 L2
R F2 U' B2 U2 R U
L F2 U2 D L2 R F2
L F2 U2 D R L2 F2
L F2 U2 D R F2 L2
R2 F2 D U R U L2
B D2 L' B U' B R'
B2 D2 R L' U' B2 R'
F2 D2 R U F2 U F2
R' F2 D2 U R F2 U
L F2 D U2 L2 R F2
R2 F2 D' R2 U R' U
L F2 D U2 R L2 F2
L F2 D U2 R F2 L2
R F2 D U R U L2
B2 D2 R' L' U' B2 R'
F2 D2 R' U R2 F2 U
F2 D2 R' U F2 R2 U
F2 D2 R' U2 D' L2 F2
F2 D2 R' U2 D' F2 L2
L F2 D' R2 B2 L U2
F2 D2 R' D R2 B2 U2
F2 D2 R' D B2 R2 U2
F2 D2 R' D' U2 L2 F2
F2 D2 R' D' U2 F2 L2
R2 F2 D2 U R F2 U
R F2 D' R2 U R' U
B2 D2 R2 L' U' B2 R'
L F2 D' B2 R2 U2 R'
F2 D2 R2 U R' F2 U
F2 D2 R2 U F2 R' U
R F2 D2 U R F2 U
F2 D2 U R U D' L2
F2 D2 U R D' U L2
F2 D2 U R F2 U D
F2 D2 U R F2 U D'
F2 D2 U R F2 U D2
F2 D2 U R F2 D U
F2 D2 U R F2 D' U
F2 D2 U R F2 D2 U
F2 D2 U R' F2 R2 U
F2 D2 U R2 F2 R' U
F2 D2 U F2 U2 L' U'
B2 D2 U' L' U' L B2
U' B L' D B R2 U'
U' B L' D2 B U' B
B D2 U' L' B U' B
U' B L' B U F2 U2
U' B L' B U' D2 B2
U' B L' B D R2 U'
U' B L' B D2 U' B2
B D2 U' B L' U' B
F D2 F U R F U
F2 D2 B U R F2 U
F2 D2 B' U R F2 U
F2 D2 B2 U R F2 U
D B U' L' R2 U' L'
U' B D L' B R2 U'
D B U' R2 L' U' L'
U' B D B L' R2 U'
U' B D B R2 L' U'
U' B D2 L' B U' B
U' B D2 B L' U' B
F2 B R2 U F' R' U
F2 B U R2 F' R' U
F2 B U' B U2 R U
D2 B' U F2 R U B'
D B' U' L' R2 U' L'
D B' U' R2 L' U' L'
U' B' D R2 B' L' U'
U' B' D B' L' R2 U'
U' B' D B' R2 L' U'
L' B' D R2 B' U' R'
L' B' D B' R2 U' R
F2 B' U R U2 B' U'
L' B' D2 B' U' R' B'
F2 B' U' B' U2 R U
U' B2 L D R2 U' F2
U' B2 L' R U F2 U2
U' B2 L' R U' D2 B2
U' B2 L' R D R2 U'
U' B2 L' R D2 U' B2
U' B2 L' R' U F2 U2
U' B2 L' R' U' D2 B2
U' B2 L' R' D R2 U'
U' B2 L' R' D2 U' B2
U' B2 L' R2 U F2 U2
U' B2 L' R2 U' D2 B2
U' B2 L' R2 D R2 U'
U' B2 L' R2 D2 U' B2
U' B2 L' U F2 U2 D
U' B2 L' U F2 U2 D'
U' B2 L' U F2 U2 D2
U' B2 L' U F2 D U2
U' B2 L' U F2 D' U2
U' B2 L' U F2 D2 U2
U' B2 L' U' D2 B2 D
U' B2 L' U' D2 B2 D'
U' B2 L' U' D2 B2 D2
U' B2 L' U' B D2 B2
U' B2 L' U' B' D2 B2
U' B2 L' U' B2 D2 B2
U' B2 L' U2 D' L2 U
U' B2 L' D R2 U' D
U' B2 L' D R2 U' D'
U' B2 L' D R2 U' D2
U' B2 L' D R2 D U'
U' B2 L' D R2 D' U'
U' B2 L' D R2 D2 U'
R' B2 L' U L F2 U2
U' B2 L' D' U2 L2 U
R' B2 L' U F2 L U2
U' B2 L' D2 R U' B2
U' B2 L' D2 R' U' B2
U' B2 L' D2 R2 U' B2
U' B2 L' D2 U' B2 D
U' B2 L' D2 U' B2 D'
U' B2 L' D2 U' B2 D2
R' B2 L' U' D2 B2 R'
R' B2 L' D2 U' B2 R'
U' B2 L2 D L R2 U'
U' B2 L2 D R2 L U'
U' B2 L2 D2 L U' B2
U2 B2 L' D R2 U' R2
R2 B2 L' U L F2 U2
R2 B2 L' U F2 L U2
U' B2 R L' U F2 U2
U' B2 R L' U' D2 B2
U' B2 R L' D R2 U'
U' B2 R L' D2 U' B2
R2 B2 L' U' D2 B2 R'
R2 B2 L' D2 U' B2 R'
U' B2 R D L' R2 U'
U' B2 R D R2 L' U'
U' B2 R D2 L' U' B2
L' B2 R U F2 U2 R2
L' B2 R U' R2 D2 B2
U' B2 R' L' U F2 U2
U' B2 R' L' U' D2 B2
U' B2 R' L' D R2 U'
U' B2 R' L' D2 U' B2
L' B2 R F' U' R2 B
U B2 L' D2 F2 U' B2
R B2 L' U L F2 U2
U' B2 R' D L' R2 U'
U' B2 R' D R2 L' U'
R B2 L' U F2 L U2
R B2 L' U' D2 B2 R'
U' B2 R' D2 L' U' B2
R B2 L' D2 U' B2 R'
L B2 L2 U L F2 U2
L B2 L2 U F2 L U2
L B2 L2 U' D2 B2 R'
L' B2 R' D R2 U' R2
U' B2 R2 L' U F2 U2
U' B2 R2 L' U' D2 B2
U' B2 R2 L' D R2 U'
U' B2 R2 L' D2 U' B2
L B2 L2 D2 U' B2 R'
U' B2 R2 D L' R2 U'
U' B2 R2 D R2 L' U'
U' B2 R2 D2 L' U' B2
L' B2 R2 U F2 L' U2
L' B2 R2 U' R D2 B2
L' B2 R2 U' D2 R B2
L' B2 R2 U' D2 B2 R
L' B2 R2 D R2 U' R'
L' B2 R2 D2 U' R B2
L' B2 R2 D2 U' B2 R
L' B2 U L F2 U2 R'
L' B2 U L' F2 U2 R'
L' B2 U L2 F2 U2 R'
U' B2 U F2 U R U
L' B2 U F2 L U2 R'
L' B2 U F2 L' U2 R'
L' B2 U F2 L2 U2 R'
L' B2 U F2 U2 R' D
L' B2 U F2 U2 R' D'
L' B2 U F2 U2 R' D2
L' B2 U F2 U2 D R'
L' B2 U F2 U2 D' R'
L' B2 U F2 U2 D2 R'
L' B2 U F2 D U2 R'
L' B2 U F2 D' U2 R'
L' B2 U F2 D2 U2 R'
L' B2 U' R' U2 F2 U2
L' B2 U' R' D2 B2 D
L' B2 U' R' D2 B2 D'
L' B2 U' R' D2 B2 D2
L' B2 U' R' B D2 B2
L' B2 U' R' B' D2 B2
L' B2 U' R' B2 D2 B2
L' B2 U' R2 D2 R B2
L' B2 U' R2 D2 B2 R
L' B2 U' D' R' D' B2
L' B2 U' D2 R B2 R2
L' B2 U' D2 R' B2 D
L' B2 U' D2 R' B2 D'
L' B2 U' D2 R' B2 D2
L' B2 U' D2 R2 B2 R
L' B2 U' B2 D2 B2 R'
B' F2 U R U2 B' U'
L' B2 U2 D' L2 U R'
U' B2 D L' R2 U' D
U' B2 D L' R2 U' D'
U' B2 D L' R2 U' D2
U' B2 D L' R2 D U'
U' B2 D L' R2 D' U'
U' B2 D L' R2 D2 U'
U' B2 D L' U' D B2
U' B2 D L' D U' B2
D B2 U' L' R2 U' L'
U' B2 D R2 L' U' D
U' B2 D R2 L' U' D'
U' B2 D R2 L' U' D2
U' B2 D R2 L' D U'
U' B2 D R2 L' D' U'
U' B2 D R2 L' D2 U'
U' B2 D R2 D L' U'
U' B2 D R2 D' L' U'
D B2 U' R2 L' U' L'
U' B2 D R2 D2 L' U'
B2 F2 U R U' R' U2
B F2 R2 U F' R' U
F2 B2 U R U' R' U2
L' B2 D R2 U' R D
L' B2 D R2 U' R D'
L' B2 D R2 U' R D2
L' B2 D R2 U' D R
L' B2 D R2 U' D' R
L' B2 D R2 U' D2 R
L' B2 D R2 D U' R
L' B2 D R2 D' U' R
L' B2 D R2 D2 U' R
U' B2 D' L' U2 L' U
L' B2 D F R2 U' R
L' B2 D F' R2 U' R
L' B2 D F2 R2 U' R
U2 B2 D L' R2 U' R2
B' F2 U' B' U2 R U
U2 B2 D R2 L' U' R2
L2 B2 D R2 F2 L' U'
B F2 U R2 F' R' U
U' B2 D2 L' R U' B2
L' B2 D' U' R' D' B2
U' B2 D2 L' R' U' B2
U' B2 D2 L' R2 U' B2
U' B2 D2 L' U' B2 D
U' B2 D2 L' U' B2 D'
U' B2 D2 L' U' B2 D2
U' B2 D2 L' D' R2 U'
L' B2 D' U2 L2 U R'
U' B2 D2 R L' U' B2
U' B2 D2 R' L' U' B2
U' B2 D2 R2 L' U' B2
R' B2 D2 L' U' B2 R'
L' B2 D2 R U' R2 B2
L' B2 D2 R U' B2 R2
L' B2 D2 R2 U' R B2
L' B2 D2 R2 U' B2 R
L' B2 D2 U' R B2 R2
L' B2 D2 U' R' B2 D
L' B2 D2 U' R' B2 D'
L' B2 D2 U' R' B2 D2
L' B2 D2 U' R2 B2 R
L B2 D R2 U' F2 R
L' B2 D2 F U' R' B2
B F2 U' B U2 R U
L' B2 D2 F' U' R' B2
L' B2 D2 F2 U' R' B2
R2 B2 D2 L' U' B2 R'
L' B2 F U F U2 R'
L' B2 F' R2 U' B R
L' B2 F' U F' U2 R'
U B2 D2 L' F2 U' B2
L' B2 F' U' R2 B R
R B2 D2 L' U' B2 R'
