F L' U B2 R' U
D L2 U2 D F2 B'
D L2 U2 D B' F2
D L2 U2 B' D F2
D L2 D U2 F2 B'
D L2 D U2 B' F2
F L2 D L2 U2 F2
D L2 D' B2 U2 B
F L2 D' B2 U2 R2
U2 L2 B2 U L2 B
U2 L2 B2 U B L2
U2 R2 D' F2 R2 B
L2 D L2 F U2 F
F U B2 U D2 F2
F U B2 U' B2 U2
F U B2 D' R2 U
F U B2 D2 U F2
L2 D' B2 U2 B R2
F U' D2 F2 U' F2
F U2 R2 D' R2 F2
F U2 R2 D' F2 R2
F U2 D' R2 D' F2
D F L2 U' L2 U'
D F L2 U2 D F2
D F L2 D U2 F2
D F L2 D' B2 U2
D2 F U' F U' F'
U F U F' B2 U
D' F U2 R2 D' F2
U F U B2 F' U
F D L2 U' L2 U'
F D L2 U2 D F2
F D L2 D U2 F2
F D L2 D' B2 U2
F D' U2 R2 D' F2
F D2 U' F2 U' F2
U2 B2 L2 U B' L2
U B2 U' F B2 U2
U B2 U' B2 F U2
D' F D2 L2 D' B2 U2
F D L2 U D2 R2 U
F D L2 U' L2 U' D
F D L2 U' L2 U' D'
F D L2 U' L2 U' D2
F D L2 U' L2 D U'
F D L2 U' L2 D' U'
F D L2 U' L2 D2 U'
D2 F D2 U' F U' F'
F D L2 U2 D F2 D
F D L2 U2 D F2 D'
F D L2 U2 D F2 D2
F D L2 U2 F D F2
F D L2 U2 F' D F2
F D L2 U2 F2 D F2
F D L2 D U2 F2 D
F D L2 D U2 F2 D'
F D L2 D U2 F2 D2
F D L2 D B U2 F2
F D L2 D B' U2 F2
F D L2 D B2 U2 F2
F D L2 D' B2 U2 D
F D L2 D' B2 U2 D'
F D L2 D' B2 U2 D2
F D L2 D' B2 D U2
F D L2 D' B2 D' U2
F D L2 D' B2 D2 U2
L2 F D' B2 U2 B R2
F D L2 D2 U R2 U
F D L2 B U' L2 U'
F D L2 B U2 D F2
F D L2 B D U2 F2
F D L2 B D' B2 U2
F D L2 B' U' L2 U'
F D L2 B' U2 D F2
F D L2 B' D U2 F2
F D L2 B' D' B2 U2
F D L2 B2 U' L2 U'
F D L2 B2 U2 D F2
F D L2 B2 D U2 F2
F D L2 B2 D' B2 U2
U F D' U F' U R2
D2 F B U' F U' F'
D' F B U2 R2 D' F2
F' D R2 U L2 R2 U2
D F D2 U2 R2 D' F2
F' D R2 U R2 L2 U2
F' D R2 U' D2 L2 R2
F' D R2 U' D2 R2 L2
F' D R2 D F2 B2 U'
F' D R2 D B2 F2 U'
F' D R2 D2 U' L2 R2
F' D R2 D2 U' R2 L2
D2 F B' U' F U' F'
D' F B' U2 R2 D' F2
D F B L2 U' L2 U'
D F B L2 U2 D F2
D F B L2 D U2 F2
D F B L2 D' B2 U2
D2 F B2 U' F U' F'
D' F B2 U2 R2 D' F2
D F B' L2 U' L2 U'
D F B' L2 U2 D F2
D F B' L2 D U2 F2
D F B' L2 D' B2 U2
D F B2 L2 U' L2 U'
D F B2 L2 U2 D F2
D F B2 L2 D U2 F2
D F B2 L2 D' B2 U2
F2 D F' L2 U' L2 U'
F2 D F' L2 U2 D F2
F2 D F' L2 D U2 F2
F2 D F' L2 D' B2 U2
D F' L2 F2 U' L2 U'
D F' L2 F2 U2 D F2
D F' L2 F2 D U2 F2
D F' L2 F2 D' B2 U2
F D B L2 U' L2 U'
F D B L2 U2 D F2
F D B L2 D U2 F2
F D B L2 D' B2 U2
F D B' L2 U' L2 U'
F D B' L2 U2 D F2
F D B' L2 D U2 F2
F D B' L2 D' B2 U2
F D B2 L2 U' L2 U'
F D B2 L2 U2 D F2
F D B2 L2 D U2 F2
F D B2 L2 D' B2 U2
F D' L U' L' U' R2
L2 F' D L2 F U2 F
F D' L' U' L U' R2
U2 F' D' L2 U L2 R2
U2 F' D' L2 U R2 L2
U2 F' D' R2 D' F2 B2
U2 F' D' R2 D' B2 F2
U' F' D2 F2 U' F' B2
U' F' D2 F2 U' B2 F'
F D' L2 U' L2 U' R2
F D' L2 U2 R2 D F2
L2 F' D' B2 U2 B R2
R2 F' D2 F2 U' L2 B2
R2 F' D2 F2 U' B2 L2
R F' D2 F2 U' B2 L
U2 F' B2 D' L2 U L2
F' D' U2 L2 U L2 R2
F' D' U2 L2 U R2 L2
F' D' U2 R2 D' F2 B2
F' D' U2 R2 D' B2 F2
F D' U B' U R2 F'
F2 D' U2 R2 D' F2 B
F2 D' U2 R2 D' B F2
F2 D' U2 R2 B D' F2
F D' U' F U' F' R2
F D' U' F' U' R2 F
F D' U' F' U' F R2
F D' U' F2 U' R2 F2
F D' U' F2 U' F2 R2
F D' U2 R2 U' R2 U
F D' U2 R2 D' F2 D
F D' U2 R2 D' F2 D'
F D' U2 R2 D' F2 D2
F D' U2 R2 F D' F2
F D' U2 R2 F' D' F2
F D' U2 R2 F2 D' F2
F D' U2 F R2 D' F2
F D' U2 F' R2 D' F2
F D' U2 F2 R2 D' F2
F2 D' F' U2 R2 D' F2
D F2 L2 D F' U2 F'
D F2 L2 D' F' B2 U2
D F2 L2 D' B2 F' U2
D F2 L2 F' U' L2 U'
D F2 L2 F' U2 D F2
D F2 L2 F' D U2 F2
D F2 L2 F' D' B2 U2
D2 F2 R' U R F' U2
D2 F2 R2 U R2 F' U2
D2 F2 R2 U' D2 L2 B
D2 F2 R2 U' D2 B L2
D2 F2 R2 U' B D2 L2
D2 F2 R2 D B2 U' B'
D2 F2 R2 D2 U' L2 B
D2 F2 R2 D2 U' B L2
L F2 R B2 U L B'
U2 F2 R2 D' F2 B R2
U2 F2 R2 D' B R2 F2
U2 F2 R2 D' B F2 R2
D2 F2 U F' U F U
F D' B U2 R2 D' F2
R' F2 U' L' D' R2 B
R' F2 U' D' L' R2 B
R' F2 U' D' R2 L' B
R' F2 U' D' R2 B L'
F D' B' U2 R2 D' F2
D' F2 U2 R2 D' F2 B
D' F2 U2 R2 D' B F2
D' F2 U2 R2 B D' F2
F D' B2 U2 R2 D' F2
F D2 L U' L' F2 U'
U' F2 D' L2 U' R2 B
L2 F2 D L2 F U2 F
R' F2 D' U' L' R2 B
R' F2 D' U' R2 L' B
R' F2 D' U' R2 B L'
U F2 U2 D' L2 R2 B
U F2 U2 D' R2 L2 B
U F2 U2 D' R2 B L2
F D2 L' U' L F2 U'
F D2 L' U' F2 L U'
U F2 D L2 R2 U2 B
U2 F2 D' R2 D' F2 B
U2 F2 D' R2 D' B F2
U2 F2 D' R2 B D' F2
U F2 D L2 F' R2 U2
U F2 D R2 L2 U2 B
F' D2 R F2 U' B2 L
F D2 L2 U' L2 F2 U'
F D2 L2 U' F2 L2 U'
U F2 D F' L2 R2 U2
U F2 D F' R2 L2 U2
F D2 L2 U2 D R2 F2
F D2 L2 U2 D F2 R2
L2 F2 D' B2 U2 B R2
F D2 L2 D U2 R2 F2
F D2 L2 D U2 F2 R2
F D2 L2 D' L2 B2 U2
F D2 L2 D' B2 L2 U2
U F2 D' R2 B L2 F
F' D2 R' F2 U' L' B2
F' D2 R' F2 U' B2 L'
U F2 D' U2 L2 R2 B
U F2 D' U2 R2 L2 B
U F2 D' U2 R2 B L2
U F2 D' F' U2 L2 R2
U F2 D' F' U2 R2 L2
R2 F2 D2 F2 U' L2 B'
F' D2 U' F2 U' F2 B2
F' D2 U' F2 U' B2 F2
F' D2 U' B2 D L2 R2
F' D2 U' B2 D R2 L2
F D2 U' L F2 U' F2
F D2 U' L' F2 U' F2
F D2 U' L2 F2 U' F2
F D2 U' F2 L U' F2
F D2 U' F2 L' U' F2
F D2 U' F2 L2 U' F2
F D2 U' F2 U' F2 D
F D2 U' F2 U' F2 D'
F D2 U' F2 U' F2 D2
F D2 U' F2 D' L2 U'
F2 D2 F' U' F' U' F
U2 B L2 B U L2 B2
U2 B L2 B U B2 L2
D B L2 U2 D F2 B'
D B L2 U2 D B' F2
D B L2 U2 B' D F2
D B L2 D U2 F2 B'
D B L2 D U2 B' F2
F' D2 F2 R U' B2 L
D B L2 D' B2 U2 B
F' D2 F2 U' B2 D L2
U B L2 B U F B2
U B L2 B U B2 F
F D2 B U' F2 U' F2
L' B U B L R' U
L' B U B R' L U
F D2 B' U' F2 U' F2
F D2 B2 U' F2 U' F2
B' F L2 U' F L2 U'
D2 B F U' F U' F'
D' B F U2 R2 D' F2
D B F L2 U' L2 U'
D B F L2 U2 D F2
D B F L2 D U2 F2
D B F L2 D' B2 U2
B' F U B' R2 U F'
B' F U B' U' B U2
B' F U' L2 F U' F'
B F U B U' B' U2
F B U B U' B' U2
D B' L2 U2 D F2 B'
D B' L2 U2 D B' F2
D B' L2 U2 B' D F2
D B' L2 D U2 F2 B'
D B' L2 D U2 B' F2
D B' L2 D' B2 U2 B
F B' L2 U' F L2 U'
D2 B' F U' F U' F'
D' B' F U2 R2 D' F2
D B' F L2 U' L2 U'
D B' F L2 U2 D F2
D B' F L2 D U2 F2
D B' F L2 D' B2 U2
F B' U B' R2 U F'
F B' U B' U' B U2
F B' U' L2 F U' F'
U2 B2 L U L B' L2
U2 B2 L2 U B L2 B2
U2 B2 L2 U B' L2 D
U2 B2 L2 U B' L2 D'
U2 B2 L2 U B' L2 D2
U2 B2 L2 U B2 L2 B
U2 B2 L2 D F2 U B'
U2 B2 L2 F U B' L2
U2 B2 L2 F' U B' L2
U2 B2 L2 F2 U B' L2
D B2 L2 U2 D F2 B'
D B2 L2 U2 D B' F2
D B2 L2 U2 B' D F2
D B2 L2 D U2 F2 B'
D B2 L2 D U2 B' F2
D B2 L2 D' B2 U2 B
U B2 L2 U D2 F2 B'
U B2 L2 U D2 B' F2
U B2 L2 U' B2 U2 B
U B2 L2 D' R2 U B'
U B2 L2 D2 U F2 B'
U B2 L2 D2 U B' F2
U B2 R U' F B2 U2
U B2 R U' B2 F U2
R' B2 U R F U2 R'
L' B2 U R' U R B
U B2 R' U' F B2 U2
U B2 R' U' B2 F U2
R' B2 U' R F U2 F'
U B2 R2 U' F B2 U2
U B2 R2 U' B2 F U2
R2 B2 U R2 F U2 R2
U2 B2 U B2 D L2 B'
R2 B2 U F R2 U2 R2
U2 B2 U' F U F' U
U B2 U L2 B' L2 F
R2 B2 U' R2 F U2 F'
L2 B2 U2 L2 U' L2 B
L2 B2 U2 L2 U' B L2
R2 B2 U' F R2 B U2
U B2 U F' D2 F2 B2
U B2 U F' D2 B2 F2
U B2 U' D2 F U2 F
U B2 U' F U2 D2 F2
U B2 U' F D2 U2 F2
U B2 U' F B2 U2 D
U B2 U' F B2 U2 D'
U B2 U' F B2 U2 D2
U B2 U' F B2 D U2
U B2 U' F B2 D' U2
U B2 U' F B2 D2 U2
U2 B2 D L2 U B' L2
U B2 U' B2 D F U2
U B2 U' B2 D' F U2
U B2 U' B2 D2 F U2
U B2 U' B2 F U2 D
U B2 U' B2 F U2 D'
U B2 U' B2 F U2 D2
U B2 U' B2 F D U2
U B2 U' B2 F D' U2
U B2 U' B2 F D2 U2
R B2 U' F U2 L F'
R B2 U' F U2 F' L
U B2 U2 D L2 U' B'
U2 B2 D' L2 U B' L2
U B2 D U2 L2 U' B'
U2 B2 D2 L2 U B' L2
D2 B2 F U' F U' F'
U B2 D' L2 R2 U B'
D' B2 F U2 R2 D' F2
U B2 D' R2 L2 U B'
U B2 D' R2 U' F U2
U B2 D2 L2 U F2 B'
U B2 D2 L2 U B' F2
D B2 F L2 U' L2 U'
D B2 F L2 U2 D F2
D B2 F L2 D U2 F2
D B2 F L2 D' B2 U2
U B2 D2 U' F U2 F
U2 B2 F' D' L2 U L2
