B L' R2 D F2
B R2 L' D F2
U' L F L2 B R2
U' L F L2 B R2
U' L F B L2 R2
U' L F B R2 L2
U' L B R2 F L2
U' L B F L2 R2
U' L B F R2 L2
B L' R D R F2
B L' R' D R' F2
B L' R' D F2 R'
B L' R2 U L2 U'
B L' R2 D F2 D
B L' R2 D F2 D'
B L' R2 D F2 D2
B L' R2 F D F2
B L' R2 F' D F2
B L' R2 F2 D F2
B L' U L2 U' R2
B L' D F2 D' R2
B L' F R2 D F2
B L' F' R2 D F2
B L' F2 R2 D F2
U' L' B R2 D2 F2
U L' B R' F' R'
U' L' B2 R2 F' B'
U' L' B2 R2 B' F'
B R L' D R F2
B R L' D R F2
L2 U' L F B R2
L2 U' L B R2 F
L2 U' L B F R2
B R' L' D R' F2
B R' L' D F2 R'
B' R' U L' R' B2
B' R' U R' L' B2
B' R' U R' B2 L'
B R2 L' U L2 U'
B R2 L' D F2 D
B R2 L' D F2 D'
B R2 L' D F2 D2
B R2 L' F D F2
B R2 L' F' D F2
B R2 L' F2 D F2
B R2 U L U' L2
B2 R2 D B' L' F
B R2 D L' D F2
B R2 D' L' D F2
B R2 D2 L' D F2
B2 R2 B' L' D F2
B U L U' L2 R2
B U L U' R2 L2
B D' L' D R2 F2
B D' L' D F2 R2
B D2 L' D F2 R
U' B L R2 F L2
U' B L F L2 R2
U' B L F R2 L2
D2 B L' D F2 R
D' B L' D R2 F2
D' B L' D F2 R2
L' B R2 U L U'
L' B U L U' R2
U B L' R' F' R'
U' B R2 L F L2
U B R' L' F' R'
U B R2 D2 L' F
U' B' L' B2 R2 F'
U' B R2 L F L2 D
U' B R2 L F L2 D'
U' B R2 L F L2 D2
U' B R2 L F' L2 F2
U' B R2 L F2 L2 F'
U' B R2 L' U2 B' U2
D2 B R2 L' D F2 R
U' B R2 D L F L2
D' B R2 L' D R2 F2
D' B R2 L' D F2 R2
U' B R2 D' L F L2
U' B R2 D2 L F L2
L' B R2 L' D L F2
L' B R2 L' D F2 L
L' B R2 U L U' D
L' B R2 U L U' D'
L' B R2 U L U' D2
L' B R2 U L D U'
L' B R2 U L D' U'
L' B R2 U L D2 U'
U' B R2 F' L F L'
L' B R2 U D L U'
L' B R2 U D' L U'
L' B R2 U D2 L U'
L' B R2 D U L U'
L' B R2 D' U L U'
L' B R2 D2 U L U'
L' B R2 F U L U'
L' B R2 F' U L U'
L' B R2 F2 U L U'
D' B U L F2 U' L2
U B R' L F' L2 R'
U B R' L F' R' L2
U B R' L' D F' R'
L' B U L U' R2 D
L' B U L U' R2 D'
L' B U L U' R2 D2
U B R' L' D' F' R'
U B R' L' D2 F' R'
U B R' L' F R' F2
U B R' L' F' R' D
U B R' L' F' R' D'
U B R' L' F' R' D2
U B R' L' F' D R'
U B R' L' F' D' R'
U B R' L' F' D2 R'
L' B U L D' F2 U'
U B R' L' F2 R' F
L' B U L F U' R2
L' B U L F' U' R2
L' B U L F2 U' R2
U B R' L2 F' L R'
U B R' L2 F' R' L
U B R' D L' F' R'
U B R' D' L' F' R'
U B R' D2 L' F' R'
L' B U D' L F2 U'
L' B U D' F2 L U'
L' B U F L U' R2
L' B U F' L U' R2
L' B U F2 L U' R2
L B R2 L' D L' F2
L B R2 L2 U L' U'
L B R2 U L U' L
U B R2 D2 L' D F
U B R2 D2 L' D' F
U B R2 D2 L' D2 F
U B R2 D2 L' F D
U B R2 D2 L' F D'
U B R2 D2 L' F D2
L' B U' D B2 R' U
L B U L U' L R2
L B U L U' R2 L
L' B U' B2 R' U R'
D2 B D L' D R2 F2
D2 B D L' D F2 R2
D' B D L' R2 D F2
D' B D R2 L' D F2
L' B D U' B2 R' U
D' B D' L' D F2 R
L' B D' U L F2 U'
L' B D' U F2 L U'
D2 B D2 L' R2 D F2
D2 B D2 R2 L' D F2
U' B F' L R2 F L'
L' B F R2 U L U'
U' B F' L F L' R2
U' B F' L F R2 L'
L' B F U L U' R2
U' B F' R2 L F L'
F' B R2 F L' D F2
L' B F' R2 U L U'
L' B F' U L U' R2
L' B F2 R2 U L U'
L' B F2 U L U' R2
U' B' L R2 F L2 B2
U' B' L R2 F B2 L2
U' B' L R2 B2 F L2
U B F R' F' L' R'
U B F R' F' R' L'
B F R2 F' L' D F2
U' B' L F L2 R2 B2
U' B' L F L2 B2 R2
U' B' L F R2 L2 B2
U' B' L F R2 B2 L2
U' B' L F B2 L2 R2
U' B' L F B2 R2 L2
F B R2 F' L' D F2
U' B' L B2 R2 F L2
U' B' L B2 F L2 R2
U' B' L B2 F R2 L2
U' B' L' F B2 R2 F'
U' B' L' F' B2 R2 F'
U' B' L' F2 B2 R2 F'
U' B' L' B2 R2 D F'
U' B' L' B2 R2 D' F'
U' B' L' B2 R2 D2 F'
U' B' L' B2 R2 F' D
U' B' L' B2 R2 F' D'
U' B' L' B2 R2 F' D2
U' B' L' B2 F R2 F'
U' B' L' B2 F' R2 F'
U' B' L' B2 F2 R2 F'
U B' L' R' F' R' B2
U B' L' B2 R' F' R'
L' B' R B2 D' R F2
U' B' R2 L F L2 B2
U' B' R2 L F B2 L2
U' B' R2 L B2 F L2
L' B' R2 U' R U B2
U' B' R2 B2 L F L2
L' B' R2 B2 U' R U
U B' R' L' F' R' B2
L B' R' U L2 R' B2
L B' R' U R' L2 B2
L B' R' U R' B2 L2
D B' R' B' U B' L'
R B' R' U L' B R2
R B' R' U B L' R2
R B' R' U B R2 L'
U2 B' U L' B2 R2 F'
L' B' U' R' U R' B2
U B' R2 B2 D2 L' F
F2 B' R' U R' B2 L
U B' U2 L' B2 R2 F'
B F' R2 F L' D F2
U' B' F2 R2 B2 L F
L' B2 R D' R F' B'
L' B2 R D' R B' F'
L' B2 R D' B' R F'
U' B2 R2 B' L F L2
L' B2 R2 B' U L U'
B' F2 R' U R' B2 L
U B2 R2 D2 B' L' F
D B2 U D B' L' F
U B2 R2 B' D2 L' F
D B2 U B' L' D F2
D' B2 D R2 B' L' F
D' B2 D B' L' R2 F
D' B2 D B' L' F R2
D' B2 D B' R2 L' F
R2 B2 D L' F D2 B2
D B2 D U B' L' F
