L' R U R' U F'
L' R U' L U' F
L' R B U' L U'
L' R B' U R' U
R L' U R' U F'
R L' U' L U' F
B' L' R U R2 U
B' L' R U2 D' F2
B' L' R D B2 U2
B' L' R D' U2 F2
B L' R U' L2 U'
B L' R U2 D F2
B L' R D U2 F2
B L' R D' B2 U2
B L' U2 D F2 L'
B L' D R U2 F2
B L' D U2 F2 L'
B2 L' D' R U2 F'
B L' D' R B2 U2
R L' B U' L U'
B L' D' B2 R U2
R L' B' U R' U
B' R L' U R2 U
B' R L' U2 D' F2
B' R L' D B2 U2
B' R L' D' U2 F2
B R L' U' L2 U'
B R L' U2 D F2
B R L' D U2 F2
B R L' D' B2 U2
B' R U2 D' F2 R
B' R D L' B2 U2
B2 R D L' U2 F
B' R D B2 L' U2
B' R D' L' U2 F2
B' R D' U2 F2 R
L' U2 F2 D' L' F
R U2 F2 D R F'
B2 D L' R U2 F
B2 D R L' U2 F
B2 D' L' R U2 F'
B2 D' R L' U2 F'
U2 F2 L' D R F'
U2 F2 R D' L' F
U2 F2 D L' R F'
U2 F2 D R L' F'
U2 F2 D' L' R F
U2 F2 D' R L' F
L' B R U' L U'
R B L' U' L2 U'
R B L' U2 D F2
R B L' D U2 F2
R B L' D' B2 U2
L' B' R U R2 U
L' B' R U2 D' F2
L' B' R D B2 U2
L' B' R D' U2 F2
R B' L' U R' U
L' B2 D' R U2 F'
R B2 D L' U2 F
B2 D B' R L' U2 F
B2 D B2 L' R U2 F
B2 D B2 R L' U2 F
B' D' L' R U R2 U
B' D' L' R U2 D' F2
B' D' L' R D B2 U2
B' D' L' R D' U2 F2
B2 D' L' R U2 D F'
B2 D' L' R U2 D' F'
B2 D' L' R U2 D2 F'
B2 D' L' R U2 F' D
B2 D' L' R U2 F' D'
B2 D' L' R U2 F' D2
B2 D' L' R D U2 F'
B2 D' L' R D' U2 F'
B2 D' L' R D2 U2 F'
B2 D' L' R B U2 F'
B2 D' L' R B' U2 F'
B2 D' L' R B2 U2 F'
B2 D' L' R' B R2 U2
B2 D' L' B R U2 F'
B2 D' L' B' R U2 F'
B2 D' L' B2 R U2 F'
B D' L' R U' L2 U'
B D' L' R U2 D F2
B D' L' R D U2 F2
B D' L' R D' B2 U2
B D' L' U2 D F2 L'
B D' L' D R U2 F2
B D' L' D U2 F2 L'
B D' L' D' R B2 U2
B D' L' D' B2 R U2
B' D' R L' U R2 U
B' D' R L' U2 D' F2
B' D' R L' D B2 U2
B' D' R L' D' U2 F2
B' D' R U2 D' F2 R
B' D' R D L' B2 U2
B' D' R D B2 L' U2
B' D' R D' L' U2 F2
B' D' R D' U2 F2 R
B2 D' R L' U2 D F'
B2 D' R L' U2 D' F'
B2 D' R L' U2 D2 F'
B2 D' R L' U2 F' D
B2 D' R L' U2 F' D'
B2 D' R L' U2 F' D2
B2 D' R L' D U2 F'
B2 D' R L' D' U2 F'
B2 D' R L' D2 U2 F'
B2 D' R L' B U2 F'
B2 D' R L' B' U2 F'
B2 D' R L' B2 U2 F'
B2 D' R U2 F2 R F
B2 D' R D L' U2 F'
B2 D' R D' L' U2 F'
B2 D' R D2 L' U2 F'
B2 D' R B L' U2 F'
B2 D' R B' L' U2 F'
B2 D' R B2 L' U2 F'
B D' R L' U' L2 U'
B D' R L' U2 D F2
B D' R L' D U2 F2
B D' R L' D' B2 U2
B2 D' R' L' B R2 U2
B2 D' R' B L' R2 U2
B2 D' R' B R2 L' U2
U' F2 L U' R F L2
B2 D' U2 F2 L' R F'
B2 D' U2 F2 R L' F'
U2 F2 L' D R D F'
U2 F2 L' D R D' F'
U2 F2 L' D R D2 F'
U2 F2 L' D R F' D
U2 F2 L' D R F' D'
U2 F2 L' D R F' D2
U2 F2 L2 D L R F'
U2 F2 L2 D R L F'
U2 F2 L2 D R F' L
U2 F2 R D' L' D F
U2 F2 R D' L' D' F
U2 F2 R D' L' D2 F
U2 F2 R D' L' F D
U2 F2 R D' L' F D'
U2 F2 R D' L' F D2
B2 D' B L' R U2 F'
B2 D' B R L' U2 F'
B2 D' B' L' R U2 F'
B2 D' B' R L' U2 F'
U F2 R' U L' F' R2
U2 F2 R2 D' L' R' F
U2 F2 R2 D' L' F R'
U2 F2 R2 D' R' L' F
B2 D' B2 L' R U2 F'
B2 D' B2 R L' U2 F'
B' D2 L' R U R2 U
B' D2 L' R U2 D' F2
B' D2 L' R D B2 U2
B' D2 L' R D' U2 F2
B2 D2 L' D R U2 F'
U2 F2 D L R F' L2
U2 F2 D L' R D F'
U2 F2 D L' R D' F'
U2 F2 D L' R D2 F'
U2 F2 D L' R F' D
U2 F2 D L' R F' D'
U2 F2 D L' R F' D2
B D2 L' R U' L2 U'
B D2 L' R U2 D F2
B D2 L' R D U2 F2
B D2 L' R D' B2 U2
U2 F2 D L2 R F' L
U2 F2 D R L F' L2
U2 F2 D R L' D F'
U2 F2 D R L' D' F'
U2 F2 D R L' D2 F'
U2 F2 D R L' F' D
U2 F2 D R L' F' D'
U2 F2 D R L' F' D2
U2 F2 D R L2 F' L
U2 F2 D R D L' F'
U2 F2 D R D' L' F'
U2 F2 D R D2 L' F'
F2 D2 L' B2 D' R F'
B D2 L' U2 D F2 L'
B D2 L' D R U2 F2
B D2 L' D U2 F2 L'
B D2 L' D' R B2 U2
B D2 L' D' B2 R U2
B' D2 R L' U R2 U
B' D2 R L' U2 D' F2
B' D2 R L' D B2 U2
B' D2 R L' D' U2 F2
B' D2 R U2 D' F2 R
B' D2 R D L' B2 U2
B' D2 R D B2 L' U2
U2 F2 D' L' R D F
U2 F2 D' L' R D' F
B' D2 R D' L' U2 F2
U2 F2 D' L' R D2 F
U2 F2 D' L' R F D
U2 F2 D' L' R F D'
U2 F2 D' L' R F D2
U2 F2 D' L' R' F R2
U2 F2 D' L' R2 F R'
U2 F2 D' L' D R F
U2 F2 D' L' D' R F
B' D2 R D' U2 F2 R
U2 F2 D' L' D2 R F
U2 F2 D' R L' D F
U2 F2 D' R L' D' F
U2 F2 D' R L' D2 F
U2 F2 D' R L' F D
U2 F2 D' R L' F D'
U2 F2 D' R L' F D2
U2 F2 D' R' L' F R2
U2 F2 D' R2 L' F R'
B2 D2 R D' L' U2 F
U2 F2 D2 L' D' R F'
B D2 R L' U' L2 U'
B D2 R L' U2 D F2
B D2 R L' D U2 F2
B D2 R L' D' B2 U2
U2 F2 D2 R D L' F
F2 D2 R B2 D L' F
D2 B L' R U' L2 U'
D2 B L' R U2 D F2
D2 B L' R D U2 F2
D2 B L' R D' B2 U2
R' B L' R2 U' L2 U'
R' B L' R2 U2 D F2
D' B L' R U' L2 U'
R' B L' R2 D U2 F2
D' B L' R U2 D F2
D' B L' R D U2 F2
R' B L' R2 D' B2 U2
D' B L' R D' B2 U2
D2 B L' U2 D F2 L'
D' B L' U2 D F2 L'
D2 B L' D R U2 F2
D2 B L' D U2 F2 L'
D' B L' D R U2 F2
D2 B L' D' R B2 U2
D' B L' D U2 F2 L'
D2 B L' D' B2 R U2
D' B L' D' R B2 U2
D' B L' D' B2 R U2
D B L' R U' L2 U'
D B L' R U2 D F2
D B L' R D U2 F2
D B L' R D' B2 U2
D B L' U2 D F2 L'
D B L' D R U2 F2
D B L' D U2 F2 L'
D B L' D' R B2 U2
D B L' D' B2 R U2
D2 B R L' U' L2 U'
D2 B R L' U2 D F2
D2 B R L' D U2 F2
D2 B R L' D' B2 U2
D' B R L' U' L2 U'
D' B R L' U2 D F2
D' B R L' D U2 F2
D' B R L' D' B2 U2
L' B R U' L U' D
L' B R U' L U' D'
L' B R U' L U' D2
L' B R U' L D U'
L' B R U' L D' U'
L' B R U' L D2 U'
L' B R U' D L U'
L' B R U' D' L U'
L' B R U' D2 L U'
L' B R D U' L U'
L' B R D' U' L U'
L' B R D2 U' L U'
R B L' U D2 R2 U
R B L' U' L2 U' D
R B L' U' L2 U' D'
R B L' U' L2 U' D2
R B L' U' L2 D U'
R B L' U' L2 D' U'
R B L' U' L2 D2 U'
R B L' U2 D F2 D
R B L' U2 D F2 D'
R B L' U2 D F2 D2
R B L' U2 F D F2
R B L' U2 F' D F2
R B L' U2 F2 D F2
R B L' D U2 F2 D
R B L' D U2 F2 D'
R B L' D U2 F2 D2
R B L' D B U2 F2
R B L' D B' U2 F2
R B L' D B2 U2 F2
R B L' D' B2 U2 D
R B L' D' B2 U2 D'
R B L' D' B2 U2 D2
R B L' D' B2 D U2
R B L' D' B2 D' U2
R B L' D' B2 D2 U2
R B L' D2 U R2 U
L B L2 R U' L' U'
L' B R B2 U R' U
R B L' B U' L2 U'
R B L' B U2 D F2
R B L' B D U2 F2
R B L' B D' B2 U2
R B L' B' U' L2 U'
R B L' B' U2 D F2
R B L' B' D U2 F2
R B L' B' D' B2 U2
R B L' B2 U' L2 U'
R B L' B2 U2 D F2
R B L' B2 D U2 F2
R B L' B2 D' B2 U2
D B R L' U' L2 U'
D B R L' U2 D F2
D B R L' D U2 F2
D B R L' D' B2 U2
R' B R2 L' U' L2 U'
R' B R2 L' U2 D F2
R' B R2 L' D U2 F2
R' B R2 L' D' B2 U2
L B R L2 U' L' U'
F2 D2 B2 L' D' R F'
L' B U' L U R U2
F2 D2 B2 R D L' F
F2 D2 B2 D L' R F
F2 D2 B2 D R L' F
F2 D2 B2 D' L' R F'
F2 D2 B2 D' R L' F'
L' B U2 L' D F2 L'
L' B U2 F2 L' D F2
L' B D R U' L U'
R B U' L U L2 U2
R B U' L U' D2 R2
R B U' L D F2 U'
R B U' L D2 U' R2
R B U' F2 L U' R
L' B D' R U' L U'
L' B D2 R U' L U'
R B D L' U' L2 U'
R B D L' U2 D F2
R B D L' D U2 F2
R B D L' D' B2 U2
R B D' L' U' L2 U'
R B D' L' U2 D F2
R B D' L' D U2 F2
R B D' L' D' B2 U2
R B D2 L' U' L2 U'
R B D2 L' U2 D F2
R B D2 L' D U2 F2
R B D2 L' D' B2 U2
D2 B' L' R U R2 U
D2 B' L' R U2 D' F2
D2 B' L' R D B2 U2
D2 B' L' R D' U2 F2
D' B' L' R U R2 U
D' B' L' R U2 D' F2
R' B' L' R2 U R U
D' B' L' R D B2 U2
D' B' L' R D' U2 F2
D B' L' R U R2 U
D B' L' R U2 D' F2
D B' L' R D B2 U2
D B' L' R D' U2 F2
D2 B' R L' U R2 U
D2 B' R L' U2 D' F2
D2 B' R L' D B2 U2
D2 B' R L' D' U2 F2
D' B' R L' U R2 U
D' B' R L' U2 D' F2
D' B' R L' D B2 U2
D' B' R L' D' U2 F2
D2 B' R U2 D' F2 R
D2 B' R D L' B2 U2
L' B' R U R2 U D
L' B' R U R2 U D'
L' B' R U R2 U D2
L' B' R U R2 D U
L' B' R U R2 D' U
L' B' R U R2 D2 U
D2 B' R D B2 L' U2
D2 B' R D' L' U2 F2
D' B' R U2 D' F2 R
D2 B' R D' U2 F2 R
D' B' R D L' B2 U2
L' B' R U' D2 L2 U'
D' B' R D B2 L' U2
D' B' R D' L' U2 F2
L' B' R U2 D' F2 D
L' B' R U2 D' F2 D'
L' B' R U2 D' F2 D2
L' B' R U2 F D' F2
L' B' R U2 F' D' F2
L' B' R U2 F2 D' F2
D' B' R D' U2 F2 R
L' B' R D B2 U2 D
L' B' R D B2 U2 D'
L' B' R D B2 U2 D2
L' B' R D B2 D U2
L' B' R D B2 D' U2
L' B' R D B2 D2 U2
L' B' R D' U2 F2 D
L' B' R D' U2 F2 D'
L' B' R D' U2 F2 D2
L' B' R D' B U2 F2
L' B' R D' B' U2 F2
L' B' R D' B2 U2 F2
L' B' R D2 U' L2 U'
R B' L' U R' U D
R B' L' U R' U D'
R B' L' U R' U D2
R B' L' U R' D U
R B' L' U R' D' U
R B' L' U R' D2 U
R B' L' U D R' U
R B' L' U D' R' U
R B' L' U D2 R' U
L' B' R B U R2 U
L' B' R B U2 D' F2
L' B' R B D B2 U2
L' B' R B D' U2 F2
L' B' R B' U R2 U
L' B' R B' U2 D' F2
L' B' R B' D B2 U2
L' B' R B' D' U2 F2
R B' L' D U R' U
L' B' R B2 U R2 U
L' B' R B2 U2 D' F2
L' B' R B2 D B2 U2
L' B' R B2 D' U2 F2
L B' L2 R U R2 U
R B' L' D' U R' U
L B' L2 R U2 D' F2
L B' L2 R D B2 U2
L B' L2 R D' U2 F2
R B' L' D2 U R' U
D B' R L' U R2 U
D B' R L' U2 D' F2
D B' R L' D B2 U2
D B' R L' D' U2 F2
R B' L' B2 U' L U'
D B' R U2 D' F2 R
D B' R D L' B2 U2
D B' R D B2 L' U2
R' B' R2 L' U R U
D B' R D' L' U2 F2
D B' R D' U2 F2 R
L B' R L2 U R2 U
L B' R L2 U2 D' F2
L B' R L2 D B2 U2
L B' R L2 D' U2 F2
L' B' U R' U D2 L2
L' B' U R' U' R2 U2
L' B' U R' D' F2 U
L' B' U R' D2 U L2
L' B' U F2 R' U L'
R B' U R' U' L' U2
L' B' D R U R2 U
L' B' D R U2 D' F2
L' B' D R D B2 U2
L' B' D R D' U2 F2
L' B' D' R U R2 U
L' B' D' R U2 D' F2
L' B' D' R D B2 U2
L' B' D' R D' U2 F2
R B' U2 R D' F2 R
L' B' D2 R U R2 U
L' B' D2 R U2 D' F2
L' B' D2 R D B2 U2
L' B' D2 R D' U2 F2
R B' U2 F2 R D' F2
R B' D L' U R' U
R B' D' L' U R' U
R B' D2 L' U R' U
D2 B2 L' D' R U2 F'
D' B2 L' D' R U2 F'
D B2 L' D' R U2 F'
D2 B2 R D L' U2 F
D' B2 R D L' U2 F
L' B2 R B U R' U
L' B2 R B' U' L U'
R B2 L' B U R' U
R B2 L' B' U' L U'
L B2 L2 D' R U2 F'
D B2 R D L' U2 F
R B2 L2 D L B' U2
R' B2 R2 D L' U2 F
L' B2 R2 D' R' B U2
L' B2 U2 D F2 L' F
L' B2 U2 F2 D L' F
D2 B2 D L' R U2 F
D2 B2 D R L' U2 F
D' B2 D L' R U2 F
D' B2 D R L' U2 F
L' B2 D U2 F2 L' F
D2 B2 D' L' R U2 F'
D2 B2 D' R L' U2 F'
D' B2 D' L' R U2 F'
D' B2 D' R L' U2 F'
L' B2 D' R U2 D F'
L' B2 D' R U2 D' F'
L' B2 D' R U2 D2 F'
L' B2 D' R U2 F' D
L' B2 D' R U2 F' D'
L' B2 D' R U2 F' D2
L' B2 D' R D U2 F'
L' B2 D' R D' U2 F'
L' B2 D' R D2 U2 F'
L' B2 D' R B U2 F'
L' B2 D' R B' U2 F'
L' B2 D' R B2 U2 F'
L' B2 D' R' B R2 U2
R2 B2 D L' U2 F L2
D B2 D L' R U2 F
D B2 D R L' U2 F
L' B2 D' B R U2 F'
L' B2 D' B' R U2 F'
L2 B2 D' R U2 F' R2
L' B2 D' B2 R U2 F'
R B2 U2 D' F2 R F'
R B2 U2 F2 D' R F'
D B2 D' L' R U2 F'
D B2 D' R L' U2 F'
R B2 D L B' L2 U2
R B2 D L' U2 D F
R B2 D L' U2 D' F
R B2 D L' U2 D2 F
R B2 D L' U2 F D
R B2 D L' U2 F D'
R B2 D L' U2 F D2
R B2 D L' D U2 F
R B2 D L' D' U2 F
R B2 D L' D2 U2 F
R B2 D L' B U2 F
R B2 D L' B' U2 F
R B2 D L' B2 U2 F
R B2 D B L' U2 F
R B2 D B' L' U2 F
R B2 D B2 L' U2 F
R B2 D' U2 F2 R F'
