D2 L2 B' U' B'
D2 L2 R B' U' B'
D2 L2 R' B' U' B'
D2 L2 R2 B' U' B'
F L2 R2 B U B2
D2 L2 D' R2 B' U'
D2 L2 D' B' R2 U'
D2 L2 B' R U' B'
D2 L2 B' R' U' B'
D2 L2 B' R2 U' B'
D2 L2 B' U' D B'
D2 L2 B' U' D' B'
D2 L2 B' U' D2 B'
D2 L2 B' U' B' D
D2 L2 B' U' B' D'
D2 L2 B' U' B' D2
D2 L2 B' D U' B'
D2 L2 B' D' U' B'
D2 L2 B' D2 U' B'
D2 R L2 B' U' B'
D2 R' L2 B' U' B'
D2 R2 L2 B' U' B'
F R2 L2 B U B2
D R2 D L2 B' U'
U2 R2 D' F L2 U
U2 R2 D2 F U B2
U2 R2 D2 F U B2
U2 R2 F L2 U B'
U2 R2 F U' F U2
F R2 B L2 U B'
F R2 B U' F U2
F2 U F' R2 B U
U2 F L2 R2 U B'
U2 F R2 L2 U B'
U2 F R2 U' F U2
U2 F' R2 F2 U B
U' F' D' F2 L2 B'
U F2 U F' R2 U
B' D2 L2 B' U' B'
B2 D2 L2 B' U' B'
B D2 L2 B' U' B'
D2 B L2 B' U' B2
L2 B' D2 L2 U' B2
D2 B2 L2 B' U' B
B2 F R2 B U' F U2
B F R2 L2 B U B2
F B R2 L2 B U B2
B F R2 B L2 U B'
B F R2 B U' F U2
F2 B U F' R2 B U
F B R2 B L2 U B'
F B R2 B U' F U2
L2 B' L D2 L2 U' B2
U B F2 U F' R2 U
L2 B' L' D2 L2 U' B2
D2 B' L2 B' U F U2
L2 B' L2 D2 L2 U' B2
D B' L2 R2 B' U' F
D B' L2 B' R2 U' F
L2 B' R2 U F2 U2 F2
D B' R2 L2 B' U' F
L2 B' U F2 U R2 U
L2 B' U F2 U2 D' F2
L2 B' U F2 D B2 U2
L2 B' U F2 D' U2 F2
L2 B' U' D' F2 D' B2
L2 B' U' D2 B2 D F2
F B' L2 R2 B U B2
L2 B' U2 R2 U D2 B2
L2 B' U2 R2 U' F2 U2
L2 B' U2 R2 D' L2 U
L2 B' U2 R2 D2 U B2
L2 B' U2 D' L2 U F2
L2 B' D R2 U B2 U2
L2 B' D R2 U' D2 F2
L2 B' D R2 D L2 U'
L2 B' D R2 D2 U' F2
D' B' D' L2 B' U' B'
L2 B' D' U' F2 D' B2
L2 B' D' U2 L2 U F2
L2 B' D2 L2 R U' B2
L2 B' D2 L2 R' U' B2
L2 B' D2 L2 R2 U' B2
L2 B' D2 L2 U' B2 D
L2 B' D2 L2 U' B2 D'
L2 B' D2 L2 U' B2 D2
L2 B' D2 L2 D' R2 U'
L2 B' D2 R L2 U' B2
L2 B' D2 R' L2 U' B2
L2 B' D2 R2 L2 U' B2
F B' R2 L2 B U B2
F2 B' U F' R2 B U
L2 B' D2 U' B2 D F2
F B' R2 B L2 U B'
F B' R2 B U' F U2
U' B' F' D' F2 L2 B'
U B' F2 U F' R2 U
D2 B2 L2 R B' U' B
D2 B2 L2 R' B' U' B
D2 B2 L2 R2 B' U' B
D2 B2 L2 D B' U' B
D2 B2 L2 D' B' U' B
D2 B2 L2 D2 B' U' B
D2 B2 L2 B' U' D B
D2 B2 L2 B' U' D' B
D2 B2 L2 B' U' D2 B
D2 B2 L2 B' U' B D
D2 B2 L2 B' U' B D'
D2 B2 L2 B' U' B D2
D2 B2 L2 B' D U' B
D2 B2 L2 B' D' U' B
D2 B2 L2 B' D2 U' B
D2 B2 R L2 B' U' B
D2 B2 R' L2 B' U' B
D B2 L2 B' R2 U' F'
D2 B2 R2 L2 B' U' B
F B2 L2 R2 B U B2
D B2 R2 U2 F U F'
B' F2 U F' R2 B U
B2 F2 U F' R2 B U
F B2 R2 L2 B U B2
F2 B2 U F' R2 B U
D' B2 D' L2 B' U' B'
F B2 R2 B L2 U B'
F B2 R2 B U' F U2
L2 B2 D B R2 U' F'
B F2 U F' R2 B U
L2 B2 D2 L2 B U' B
L2 B2 D2 B L2 U' B
U' B2 F' D' F2 L2 B'
U B2 F2 U F' R2 U
