R F U' L'
B' R F U' L'
B R F U' L'
B2 R F U' L'
R' F R2 U' L'
R2 F R' U' L'
R F U' L' D
R F U' L' D'
R F U' L' D2
R F U' D L'
R F U' D' L'
R F U' D2 L'
R F D U' L'
R F D' U' L'
R F D2 U' L'
R F B U' L'
R F B' U' L'
R F B2 U' L'
R B F U' L'
R B' F U' L'
R B2 F U' L'
R D2 B' F U' D L
R D2 B' F U' D' L
R D2 B' F U' D2 L
R D2 B' F D U' L
R D2 B' F D' U' L
R D2 B' F D2 U' L
F U2 D' L U B' L2
R F L D' L' B2 U'
R F L D' B2 L' U'
R F L B L' U' L'
R F L B' L' U' L'
R F L B2 L' U' L'
F U2 F L' F' U L'
R' F R D R U' L'
R F L' D L U' L'
R' F R D' R U' L'
R F L' D' L U' L'
R' F R D2 R U' L'
R F L' D2 L U' L'
R' F R B R U' L'
R' F R B' R U' L'
R' F R B2 R U' L'
R F L2 U' D L F2
R F L2 U' D F2 L
R2 F R U' L' D B2
R' F R' D R' U' L'
R2 F R U' D L' B2
R2 F R U' D B2 L'
R' F R' D' R' U' L'
R F L2 D U' L F2
R F L2 D U' F2 L
R' F R' D2 R' U' L'
R2 F R D U' L' B2
R2 F R D U' B2 L'
R' F R' B U' L' B'
R2 F R B R2 U' L'
R2 F R B' R2 U' L'
R2 F R B2 R2 U' L'
R' F R2 U R U2 L'
R' F R2 U R' U2 L'
R' F R2 U R2 U2 L'
R' F R2 U' L2 D L
R' F R2 U' L2 D' L
R' F R2 U' L2 D2 L
R' F R2 U' D L' D
R' F R2 U' D L' D'
R' F R2 U' D L' D2
R' F R2 U' D' L' D
R' F R2 U' D' L' D'
R' F R2 U' D' L' D2
R' F R2 U' D2 L' D
R' F R2 U' D2 L' D'
R' F R2 U' D2 L' D2
R' F R2 U' B' L' B
R' F R2 U' B2 L' B2
R2 F R' U R U2 L'
R2 F R' U R' U2 L'
R2 F R' U R2 U2 L'
R2 F R' U' L2 D L
R2 F R' U' L2 D' L
R2 F R' U' L2 D2 L
R' F R2 D U' L' D
R' F R2 D U' L' D'
R' F R2 D U' L' D2
R2 F R' U' D L' D
R2 F R' U' D L' D'
R2 F R' U' D L' D2
R2 F R' U' D' L' D
R2 F R' U' D' L' D'
R2 F R' U' D' L' D2
R2 F R' U' D2 L' D
R2 F R' U' D2 L' D'
R2 F R' U' D2 L' D2
R' F R2 D B U' L'
R' F R2 D B' U' L'
R' F R2 D B2 U' L'
R2 F R' U' B' L' B
R2 F R' U' B2 L' B2
R' F R2 D' U' L' D
R' F R2 D' U' L' D'
R' F R2 D' U' L' D2
R F R D R' U' L'
R' F R2 D' B U' L'
R' F R2 D' B' U' L'
R' F R2 D' B2 U' L'
R' F R2 D2 U' L' D
R' F R2 D2 U' L' D'
R' F R2 D2 U' L' D2
R F R D' R' U' L'
R2 F R' D U' L' D
R2 F R' D U' L' D'
R2 F R' D U' L' D2
R' F R2 D2 B U' L'
R' F R2 D2 B' U' L'
R' F R2 D2 B2 U' L'
R2 F R' D B U' L'
R2 F R' D B' U' L'
R2 F R' D B2 U' L'
R F R D2 R' U' L'
R2 F R' D' U' L' D
R2 F R' D' U' L' D'
R2 F R' D' U' L' D2
R2 F R' D' B U' L'
R2 F R' D' B' U' L'
R2 F R' D' B2 U' L'
R2 F R' D2 U' L' D
R2 F R' D2 U' L' D'
R2 F R' D2 U' L' D2
R2 F R' D2 B U' L'
R2 F R' D2 B' U' L'
R2 F R' D2 B2 U' L'
F U2 F2 U' R U2 B
R' F R2 B U' L' D
R' F R2 B U' L' D'
R' F R2 B U' L' D2
R' F R2 B U' D L'
R' F R2 B U' D' L'
R' F R2 B U' D2 L'
R' F R2 B D U' L'
R' F R2 B D' U' L'
R' F R2 B D2 U' L'
R' F R2 B' U' L' D
R' F R2 B' U' L' D'
R' F R2 B' U' L' D2
R' F R2 B' U' D L'
R' F R2 B' U' D' L'
R' F R2 B' U' D2 L'
R' F R2 B' D U' L'
R' F R2 B' D' U' L'
R' F R2 B' D2 U' L'
R F R B U' L' B'
D F R' D2 B R' U'
R' F R2 B2 U' L' D
R' F R2 B2 U' L' D'
R' F R2 B2 U' L' D2
R' F R2 B2 U' D L'
R' F R2 B2 U' D' L'
R' F R2 B2 U' D2 L'
R' F R2 B2 D U' L'
R2 F R' B U' L' D
R2 F R' B U' L' D'
R2 F R' B U' L' D2
R2 F R' B U' D L'
R2 F R' B U' D' L'
R2 F R' B U' D2 L'
R' F R2 B2 D' U' L'
R' F R2 B2 D2 U' L'
R2 F R' B D U' L'
R2 F R' B D' U' L'
R2 F R' B D2 U' L'
R2 F R' B' U' L' D
R2 F R' B' U' L' D'
R2 F R' B' U' L' D2
R2 F R' B' U' D L'
R2 F R' B' U' D' L'
R2 F R' B' U' D2 L'
R2 F R' B' D U' L'
R2 F R' B' D' U' L'
R2 F R' B' D2 U' L'
R2 F R' B2 U' L' D
R2 F R' B2 U' L' D'
R2 F R' B2 U' L' D2
R2 F R' B2 U' D L'
R2 F R' B2 U' D' L'
R2 F R' B2 U' D2 L'
R2 F R' B2 D U' L'
R2 F R' B2 D' U' L'
R2 F R' B2 D2 U' L'
R F R' D R U' L'
R' F U D' F2 R U2
R2 F R2 D R U' L'
R F R' D' R U' L'
R2 F R2 D' R U' L'
R F R' D2 R U' L'
R2 F R2 D2 R U' L'
R F R' B R U' L'
R2 F R2 B R U' L'
R F R' B' R U' L'
R2 F R2 B' R U' L'
R F R' B2 R U' L'
R' F U' L' U R2 U'
R2 F R2 B2 R U' L'
R' F U' L' D B2 D
R' F U' L' D B2 D'
R' F U' L' D B2 D2
R' F U' L' B D B2
R' F U' L' B' D B2
R' F U' L' B2 D B2
R' F U' L2 D L B2
R F R2 U' L' D B2
R F R2 U' D L' B2
R F R2 U' D B2 L'
R' F U' D L B2 L2
R' F U' D L' B2 D
R' F U' D L' B2 D'
R' F U' D L' B2 D2
R' F U' D B L' B
R' F U' D B2 L' D
R' F U' D B2 L' D'
R' F U' D B2 L' D2
R' F U' D B2 D L'
R' F U' D B2 D' L'
R' F U' D B2 D2 L'
R' F U' D' L' D2 B2
R F R2 D U' L' B2
R F R2 D U' B2 L'
D' F U' D' L B' L
D' F U' D' B' L B'
R' F U' B L' D B2
R' F U' B D L' B2
R' F U' B D B2 L'
R' F U' B' L' D B2
R' F U' B' D L' B2
R' F U' B' D B2 L'
R F R2 B R2 U' L'
R' F U' B2 L' D B2
R' F U' B2 D L' B2
R' F U' B2 D B2 L'
R F R2 B' R2 U' L'
D2 F U' B' D' L B'
R F R2 B2 R2 U' L'
D' F U2 L' F L' U
R2 F U' L' U R' U'
R F U R U2 L' D
R F U R U2 L' D'
R F U R U2 L' D2
R F U R U2 D L'
R F U R U2 D' L'
R F U R U2 D2 L'
R F U R D U2 L'
R F U R D' U2 L'
R F U R D2 U2 L'
R F U R' U2 L' D
R F U R' U2 L' D'
R F U R' U2 L' D2
R F U R' U2 D L'
R F U R' U2 D' L'
R F U R' U2 D2 L'
R F U R' D U2 L'
R F U R' D' U2 L'
R F U R' D2 U2 L'
R F U R2 U2 L' D
R F U R2 U2 L' D'
R F U R2 U2 L' D2
R F U R2 U2 D L'
R F U R2 U2 D' L'
R F U R2 U2 D2 L'
R F U R2 D U2 L'
R F U R2 D' U2 L'
R F U R2 D2 U2 L'
R' F U2 D2 L2 U L
R F U D R U2 L'
R F U D R' U2 L'
R F U D R2 U2 L'
R F U D' R U2 L'
R F U D' R' U2 L'
R F U D' R2 U2 L'
D' F U2 F L' F U
R F U D2 R U2 L'
R F U D2 R' U2 L'
R F U D2 R2 U2 L'
R F U F2 R F2 U2
R2 F U' B2 L' D' B2
R F U' L F L2 F'
R F U' L F2 L2 F2
R F U' L B' L2 B
R F U' L B2 L2 B2
R F U' L' R D R'
R F U' L' R D' R'
R F U' L' R D2 R'
R F U' L' R' D R
R F U' L' R' D' R
R F U' L' R' D2 R
R' F D R U' L' B2
R' F D R U' B2 L'
R F U' L' F D F'
R F U' L' F D' F'
R F U' L' F D2 F'
R F U' L' F' D F
R F U' L' F' D' F
R F U' L' F' D2 F
R F U' L' B D B'
R F U' L' B D' B'
R F U' L' B D2 B'
R F U' L' B' D B
R F U' L' B' D' B
R F U' L' B' D2 B
R F U' L2 D L D
R F U' L2 D L D'
R F U' L2 D L D2
R' F D R' U' L' B2
R' F D R' U' B2 L'
R F U' L2 D' L D
R F U' L2 D' L D'
R F U' L2 D' L D2
R F U' L2 D2 L D
R F U' L2 D2 L D'
R F U' L2 D2 L D2
R F U' L2 F L F'
R F U' L2 F2 L F2
R F U' R L' D R'
R F U' R L' D' R'
R F U' R L' D2 R'
R' F D R2 U' L' B2
R F U' R D L' R'
R F U' R D R' L'
R' F D R2 U' B2 L'
R F U' R D' L' R'
R F U' R D' R' L'
R F U' R D2 L' R'
R F U' R D2 R' L'
R F U' R' L' D R
R F U' R' L' D' R
R F U' R' L' D2 R
R F U' R' D L' R
R F U' R' D R L'
R F U' R' D' L' R
R F U' R' D' R L'
R F U' R' D2 L' R
R F U' R' D2 R L'
R' F D U' L B2 L2
R' F D U' L' B2 D
R' F D U' L' B2 D'
R' F D U' L' B2 D2
R' F D U' B L' B
R' F D U' B2 L' D
R' F D U' B2 L' D'
R' F D U' B2 L' D2
R' F D U' B2 D L'
R' F D U' B2 D' L'
R' F D U' B2 D2 L'
R F U' D L2 D L
R F U' D L2 D' L
R F U' D L2 D2 L
R F U' D B' L' B
R F U' D B2 L' B2
R F U' D' L2 D L
R F U' D' L2 D' L
R F U' D' L2 D2 L
R F U' D' B' L' B
R F U' D' B2 L' B2
R F U' D2 L2 D L
R F U' D2 L2 D' L
R F U' D2 L2 D2 L
R F U' D2 B' L' B
R F U' D2 B2 L' B2
R F U' F L F' L'
R F U' F L' F' L'
R F U' F L2 F' L'
R F U' F D F' L'
R F U' F D' F' L'
R F U' F D2 F' L'
R' F D B U' L' B
R' F D B U' B L'
R F U' F2 L F2 L'
R F U' F2 L' F2 L'
R F U' F2 L2 F2 L'
R' F D B' U' B' L'
R F U' B D B' L'
R F U' B D' B' L'
R F U' B D2 B' L'
R F U' B' L B L2
R F U' B' L' D B
R F U' B' L' D' B
R F U' B' L' D2 B
R F U' B' L' B D
R F U' B' L' B D'
R F U' B' L' B D2
R F U' B' D L' B
R F U' B' D B L'
R F U' B' D' L' B
R F U' B' D' B L'
R F U' B' D2 L' B
R F U' B' D2 B L'
R F U' B2 L B2 L2
R F U' B2 L' B2 D
R F U' B2 L' B2 D'
R F U' B2 L' B2 D2
R' F D' U F2 R U2
R2 F D R' U' L' D
R2 F D R' U' L' D'
R2 F D R' U' L' D2
R2 F D R' U' D L'
R2 F D R' U' D' L'
R2 F D R' U' D2 L'
R2 F D R' D U' L'
R' F D' U' L' D2 B2
R2 F D R' D' U' L'
R2 F D R' D2 U' L'
R2 F D R' B U' L'
R2 F D R' B' U' L'
R2 F D R' B2 U' L'
D' F D' U' L B' L
D' F D' U' B' L B'
R F U2 F2 U' R U2
D' F D' B' U' L B'
R2 F D B U' L' B'
B' D R F U' D' L2
B' D R F U2 F2 U
B' D R F D' U' L2
B' D R F D2 B2 U'
D' F D2 R' B R' U'
R2 F D' R' U' L' D
R2 F D' R' U' L' D'
R2 F D' R' U' L' D2
R2 F D' R' U' D L'
R2 F D' R' U' D' L'
R2 F D' R' U' D2 L'
R2 F D' R' D U' L'
R2 F D' R' D' U' L'
R2 F D' R' D2 U' L'
R2 F D' R' B U' L'
R2 F D' R' B' U' L'
R2 F D' R' B2 U' L'
R' F D2 U2 L2 U L
R F D U R U2 L'
B2 D R F U' D' L2
R F D U R' U2 L'
B2 D R F U2 F2 U
R F D U R2 U2 L'
B2 D R F D' U' L2
B2 D R F D2 B2 U'
R F D U' L2 D L
R F D U' L2 D' L
R F D U' L2 D2 L
R F D U' B' L' B
R F D U' B2 L' B2
D' F D2 B R' B U'
R F D B U' L' D
R F D B U' L' D'
R F D B U' L' D2
R F D B U' D L'
R F D B U' D' L'
R F D B U' D2 L'
R F D B D U' L'
R F D B D' U' L'
R F D B D2 U' L'
R2 F D' B U' L' B'
R F D B' U' L' D
R F D B' U' L' D'
R F D B' U' L' D2
R F D B' U' D L'
R F D B' U' D' L'
R F D B' U' D2 L'
R F D B' D U' L'
R F D B' D' U' L'
R F D B' D2 U' L'
R F D B2 U' L' D
R F D B2 U' L' D'
R F D B2 U' L' D2
R F D B2 U' D L'
R F D B2 U' D' L'
R F D B2 U' D2 L'
R F D B2 D U' L'
R F D B2 D' U' L'
R F D B2 D2 U' L'
B' D R' F B R2 U'
B' D R' B R2 F U'
R' F B R2 U' L' D
R' F B R2 U' L' D'
R' F B R2 U' L' D2
R' F B R2 U' D L'
R' F B R2 U' D' L'
R' F B R2 U' D2 L'
R' F B R2 D U' L'
R' F B R2 D' U' L'
B' D R' B F R2 U'
R' F B R2 D2 U' L'
R' F B R2 B U' L'
R' F B R2 B' U' L'
R' F B R2 B2 U' L'
R2 F D2 R' U' L' D
R2 F D2 R' U' L' D'
R2 F D2 R' U' L' D2
R2 F D2 R' U' D L'
R2 F D2 R' U' D' L'
R2 F D2 R' U' D2 L'
R2 F D2 R' D U' L'
R2 F D2 R' D' U' L'
R2 F D2 R' D2 U' L'
B D R F U' D' L2
R2 F D2 R' B U' L'
B D R F U2 F2 U
R' F B U' L' D B2
R2 F D2 R' B' U' L'
B D R F D' U' L2
R2 F D2 R' B2 U' L'
B D R F D2 B2 U'
R' F B U' D L' B2
R' F B U' D B2 L'
R F D' U R U2 L'
R F D' U R' U2 L'
R F D' U R2 U2 L'
B2 D R' F B R2 U'
R F D' U' L2 D L
R F D' U' L2 D' L
R F D' U' L2 D2 L
R' F B D U' L' B2
R' F B D U' B2 L'
R F D' U' B' L' B
R F D' U' B2 L' B2
B2 D R' B R2 F U'
B2 D R' B F R2 U'
R F D' B U' L' D
R F D' B U' L' D'
R F D' B U' L' D2
R F D' B U' D L'
R F D' B U' D' L'
R F D' B U' D2 L'
R F D' B D U' L'
R F D' B D' U' L'
R2 F D2 B U' L' B'
R F D' B D2 U' L'
R F D' B' U' L' D
R F D' B' U' L' D'
R F D' B' U' L' D2
R F D' B' U' D L'
R F D' B' U' D' L'
R F D' B' U' D2 L'
R F D' B' D U' L'
R F D' B' D' U' L'
R F D' B' D2 U' L'
R F D' B2 U' L' D
R F D' B2 U' L' D'
R F D' B2 U' L' D2
R F D' B2 U' D L'
R F D' B2 U' D' L'
R F D' B2 U' D2 L'
R F D' B2 D U' L'
R F D' B2 D' U' L'
R F D' B2 D2 U' L'
R' F B' R2 U' L' D
R' F B' R2 U' L' D'
R' F B' R2 U' L' D2
R' F B' R2 U' D L'
R' F B' R2 U' D' L'
R' F B' R2 U' D2 L'
R' F B' R2 D U' L'
R' F B' R2 D' U' L'
R' F B' R2 D2 U' L'
R' F B' R2 B U' L'
R' F B' R2 B' U' L'
R' F B' R2 B2 U' L'
R' F B' U' L' D B2
R' F B' U' D L' B2
R' F B' U' D B2 L'
R2 F B R U' L' B'
D2 F B' U' D' L B'
R2 F B R' U' L' B'
R' F B' D U' L' B2
R' F B' D U' B2 L'
B D R' F B R2 U'
R2 F B R2 U' L' B'
F D R' U' L B L2
F D R' U' L' D B
F D R' U' L' D' B
F D R' U' L' D2 B
F D R' U' L' B D
F D R' U' L' B D'
F D R' U' L' B D2
F D R' U' D L' B
F D R' U' D B L'
F D R' U' D' L' B
F D R' U' D' B L'
F D R' U' D2 L' B
F D R' U' D2 B L'
F D R' U' B L' D
F D R' U' B L' D'
F D R' U' B L' D2
F D R' U' B D L'
F D R' U' B D' L'
F D R' U' B D2 L'
R F D2 U R U2 L'
F D R' U' B' L' B2
R F D2 U R' U2 L'
R F D2 U R2 U2 L'
D2 F B' D' U' L B'
R F D2 U' L2 D L
R F D2 U' L2 D' L
R F D2 U' L2 D2 L
R2 F B U' L' D B'
R2 F B U' L' D' B'
R2 F B U' L' D2 B'
R2 F B U' L' B' D
R2 F B U' L' B' D'
R2 F B U' L' B' D2
R F D2 U' B' L' B
R F D2 U' B2 L' B2
R2 F B U' D L' B'
R2 F B U' D' L' B'
B D R' B R2 F U'
R2 F B U' D2 L' B'
F D R' D U' L' B
F D R' D U' B L'
R2 F B U' B L' B'
R2 F B U' B' L' B'
R2 F B U' B2 L' B'
B D R' B F R2 U'
F D R' D' U' L' B
F D R' D' U' B L'
R2 F B D U' L' B'
F D R' D2 U' L' B
F D R' D2 U' B L'
R2 F B D' U' L' B'
R2 F B D2 U' L' B'
R F D2 B U' L' D
R F D2 B U' L' D'
R F D2 B U' L' D2
R F D2 B U' D L'
R F D2 B U' D' L'
R F D2 B U' D2 L'
R F D2 B D U' L'
R F D2 B D' U' L'
R F D2 B D2 U' L'
F' D U R U2 R B
R' F B2 R2 U' L' D
R' F B2 R2 U' L' D'
R' F B2 R2 U' L' D2
R' F B2 R2 U' D L'
R' F B2 R2 U' D' L'
R' F B2 R2 U' D2 L'
R' F B2 R2 D U' L'
R' F B2 R2 D' U' L'
R' F B2 R2 D2 U' L'
R F D2 B' U' L' D
R F D2 B' U' L' D'
R F D2 B' U' L' D2
R F D2 B' U' D L'
R F D2 B' U' D' L'
R F D2 B' U' D2 L'
R' F B2 R2 B U' L'
R F D2 B' D U' L'
R' F B2 R2 B' U' L'
R F D2 B' D' U' L'
R' F B2 R2 B2 U' L'
R F D2 B' D2 U' L'
R F D2 B2 U' L' D
R F D2 B2 U' L' D'
R F D2 B2 U' L' D2
R F D2 B2 U' D L'
R F D2 B2 U' D' L'
R F D2 B2 U' D2 L'
R F D2 B2 D U' L'
R F D2 B2 D' U' L'
R F D2 B2 D2 U' L'
R' F B2 U' L' D B2
R' F B2 U' D L' B2
R' F B2 U' D B2 L'
F D R' B' U' L' B2
F D R' B' U' B2 L'
F D R' B2 U' B' L'
R' F B2 D U' L' B2
R' F B2 D U' B2 L'
R F B U R U2 L'
R F B U R' U2 L'
R F B U R2 U2 L'
R F B U' L2 D L
R F B U' L2 D' L
R F B U' L2 D2 L
R F B U' D L' D
R F B U' D L' D'
R F B U' D L' D2
R F B U' D' L' D
R F B U' D' L' D'
R F B U' D' L' D2
R F B U' D2 L' D
R F B U' D2 L' D'
R F B U' D2 L' D2
R F B U' B' L' B
R F B U' B2 L' B2
R F B D U' L' D
R F B D U' L' D'
R F B D U' L' D2
R F B D B U' L'
R F B D B' U' L'
R F B D B2 U' L'
R F B D' U' L' D
R F B D' U' L' D'
R F B D' U' L' D2
R F B D' B U' L'
R F B D' B' U' L'
R F B D' B2 U' L'
R F B D2 U' L' D
R F B D2 U' L' D'
R F B D2 U' L' D2
R F B D2 B U' L'
R F B D2 B' U' L'
R F B D2 B2 U' L'
R2 F B2 U' L' D' B2
R2 F B2 U2 L U L2
R F B' U R U2 L'
R F B' U R' U2 L'
R F B' U R2 U2 L'
R F B' U' L2 D L
R F B' U' L2 D' L
R F B' U' L2 D2 L
R F B' U' D L' D
R F B' U' D L' D'
R F B' U' D L' D2
R F B' U' D' L' D
R F B' U' D' L' D'
R F B' U' D' L' D2
R F B' U' D2 L' D
R F B' U' D2 L' D'
R F B' U' D2 L' D2
R F B' U' B' L' B
R F B' U' B2 L' B2
F D U R' U2 L' B
F D U R' U2 B L'
F D U R2 U2 L' B'
R F B' D U' L' D
R F B' D U' L' D'
R F B' D U' L' D2
R F B' D B U' L'
R F B' D B' U' L'
R F B' D B2 U' L'
R F B' D' U' L' D
R F B' D' U' L' D'
R F B' D' U' L' D2
R F B' D' B U' L'
R F B' D' B' U' L'
R F B' D' B2 U' L'
R F B' D2 U' L' D
R F B' D2 U' L' D'
R F B' D2 U' L' D2
R F B' D2 B U' L'
R F B' D2 B' U' L'
R F B' D2 B2 U' L'
F D U F2 R F' U2
F D U' L' R' B R
R F B2 U R U2 L'
R F B2 U R' U2 L'
R F B2 U R2 U2 L'
F D U' L2 D2 L B'
R F B2 U' L2 D L
R F B2 U' L2 D' L
R F B2 U' L2 D2 L
R F B2 U' D L' D
R F B2 U' D L' D'
R F B2 U' D L' D2
R F B2 U' D' L' D
R F B2 U' D' L' D'
R F B2 U' D' L' D2
R F B2 U' D2 L' D
R F B2 U' D2 L' D'
R F B2 U' D2 L' D2
R F B2 U' B' L' B
R F B2 U' B2 L' B2
F D U' R' L' B R
F D U' R' B L' R
F D U' R' B R L'
R F B2 D U' L' D
R F B2 D U' L' D'
R F B2 D U' L' D2
R F B2 D B U' L'
R F B2 D B' U' L'
R F B2 D B2 U' L'
R F B2 D' U' L' D
R F B2 D' U' L' D'
R F B2 D' U' L' D2
R F B2 D' B U' L'
R F B2 D' B' U' L'
R F B2 D' B2 U' L'
R F B2 D2 U' L' D
R F B2 D2 U' L' D'
R F B2 D2 U' L' D2
R F B2 D2 B U' L'
R F B2 D2 B' U' L'
R F B2 D2 B2 U' L'
R F' L' F2 L U' L2
F2 D F2 R F U' L'
R F' L2 F2 L2 U' L
R2 F' R' D B2 U' R2
R' F' R2 F2 U R' U2
R' F' R2 F2 B2 U' L
R2 F' R' F2 U R2 U2
R2 F' R' F2 U' D2 L2
R' F' R2 B2 F2 U' L
R2 F' R' F2 D B2 U'
R2 F' R' F2 D2 U' L2
F D B R' U' L' B
F D B R' U' B L'
R' F' U' D R2 B2 L
F D B' R' U' L' B
F D B' R' U' B L'
R F' U R U' F2 U'
R F' U R U2 D R2
R F' U R D U2 R2
R F' U R D' L2 U2
F D B2 R' U' L' B
F D B2 R' U' B L'
R F' U D R U2 R
R F' U D' L2 R U2
R F' U D' R L2 U2
R' F' D U' R2 B2 L
U2 F' U2 F2 U' L' B'
B' D' R D F U' L'
B2 D' R D F U' L'
R F' D U R U2 R
R F' D F2 U' L' R2
R F' D F2 U' R2 L'
B D' R D F U' L'
F D' R U' L B' L2
R F' D' U L2 R U2
R F' D' U R L2 U2
F D' R' U' L B' L2
F D' R2 U' L B' L2
F D' U' L B L2 B2
F D' U' L B' L2 D
F D' U' L B' L2 D'
F D' U' L B' L2 D2
F D' U' L B2 L2 B
F D' U' L' U2 F U2
F D' U' B L B' L2
F D' U' B' L B' L2
F D' U' B2 L B' L2
F D' U2 L U B' L2
R F2 L' F' L U' L2
F2 D' F2 R F U' L'
R F2 L2 F' L2 U' L
R' F2 R2 U2 B U L
F D' B U' L B' L2
F D' B' U' L B' L2
F D' B2 U' L B' L2
R' F2 D F' U' L' B2
R' F2 D F' U' B2 L'
R2 F2 D F' R' U' L'
B' D2 R D2 F U' L'
B' D2 R F B' U' L
B' D2 R B' F U' L
B2 D2 R D2 F U' L'
B2 D2 R F B' U' L
B2 D2 R B' F U' L
R2 F2 D' F' R' U' L'
R F2 D F' U' L' D
R F2 D F' U' L' D'
R F2 D F' U' L' D2
R F2 D F' U' D L'
R F2 D F' U' D' L'
R F2 D F' U' D2 L'
R F2 D F' D U' L'
R F2 D F' D' U' L'
R F2 D F' D2 U' L'
R F2 D F' B U' L'
R F2 D F' B' U' L'
R F2 D F' B2 U' L'
R F2 D B F' U' L'
R F2 D B' F' U' L'
R F2 D B2 F' U' L'
B D2 R D2 F U' L'
B D2 R F B' U' L
B D2 R B' F U' L
R2 F2 D2 F' R' U' L'
R F2 D' F' U' L' D
R F2 D' F' U' L' D'
R F2 D' F' U' L' D2
R F2 D' F' U' D L'
R F2 D' F' U' D' L'
R F2 D' F' U' D2 L'
R F2 D' F' D U' L'
R F2 D' F' D' U' L'
R F2 D' F' D2 U' L'
R F2 D' F' B U' L'
R F2 D' F' B' U' L'
R F2 D' F' B2 U' L'
F D2 R B R' U' L'
R F2 D' B F' U' L'
F D2 R B2 U' L' B'
R F2 D' B' F' U' L'
R F2 D' B2 F' U' L'
R F2 D2 F' U' L' D
R F2 D2 F' U' L' D'
R F2 D2 F' U' L' D2
R F2 D2 F' U' D L'
R F2 D2 F' U' D' L'
R F2 D2 F' U' D2 L'
R F2 D2 F' D U' L'
R F2 D2 F' D' U' L'
R F2 D2 F' D2 U' L'
R F2 D2 F' B U' L'
R F2 D2 F' B' U' L'
R F2 D2 F' B2 U' L'
F D2 R' B R' U' L'
R F2 D2 B F' U' L'
F D2 R' B2 U' L' B'
R F2 D2 B' F' U' L'
R F2 D2 B2 F' U' L'
R F2 B D F' U' L'
F D2 R2 B R' U' L'
R F2 B D' F' U' L'
R F2 B D2 F' U' L'
F D2 R2 B2 U' L' B'
R F2 B' D F' U' L'
R F2 B' D' F' U' L'
R F2 B' D2 F' U' L'
F D2 U' L2 D L B'
R F2 B2 D F' U' L'
R F2 B2 D' F' U' L'
F D2 U' B' L' D' B2
R F2 B2 D2 F' U' L'
L B L' R F U' L'
U' B R F U' L' F'
D2 B R D F B2 U'
D2 B R D B2 F U'
D' B R D F U' L'
D2 B R D2 F U' L2
D2 B R F U R2 U2
D2 B R F U' D2 L2
D2 B R F D B2 U'
D2 B R F D2 U' L2
F2 D2 F2 R F U' L'
R' B R' F R' U' L'
R2 B R F U' L' B'
D B R F U' D' L2
D B R F U2 F2 U
D B R F D' U' L2
D B R F D2 B2 U'
L B R L' F U' L'
R' B R2 F U' L' D
R' B R2 F U' L' D'
R' B R2 F U' L' D2
R' B R2 F U' D L'
R' B R2 F U' D' L'
R' B R2 F U' D2 L'
R' B R2 F D U' L'
R' B R2 F D' U' L'
R' B R2 F D2 U' L'
R' B R2 F B U' L'
R' B R2 F B' U' L'
R' B R2 F B2 U' L'
B' D2 B' R F U' L
R' B R2 B F U' L'
R' B R2 B' F U' L'
R2 B R' F U' L' B'
R' B R2 B2 F U' L'
U' B U R F U' L'
D B R' F B R2 U'
R B R F R' U' L'
B2 D2 B' R F U' L
D B R' B R2 F U'
D B R' B F R2 U'
F D2 B R' U' L' D
F D2 B R' U' L' D'
F D2 B R' U' L' D2
F D2 B R' U' D L'
F D2 B R' U' D' L'
F D2 B R' U' D2 L'
F D2 B R' D U' L'
F D2 B R' D' U' L'
F D2 B R' D2 U' L'
F D2 B R' B U' L'
F D2 B R' B' U' L'
F D2 B R' B2 U' L'
R2 B R2 F U' L' B'
F D2 B D R' U' L'
F D2 B D' R' U' L'
B D2 B' R F U' L
F D2 B D2 R' U' L'
F D2 B' U' L' D' B2
F D2 B' U2 L U L2
R B R2 F R2 U' L'
F D2 B2 R U' L' B'
F D2 B2 R' U' L' B'
F D2 B2 R2 U' L' B'
F D2 B2 U' L' D B'
F D2 B2 U' L' D' B'
F D2 B2 U' L' D2 B'
F D2 B2 U' L' B' D
F D2 B2 U' L' B' D'
F D2 B2 U' L' B' D2
F D2 B2 U' D L' B'
F D2 B2 U' D' L' B'
F D2 B2 U' D2 L' B'
F D2 B2 U' B L' B'
F D2 B2 U' B' L' B'
F D2 B2 U' B2 L' B'
F D2 B2 D U' L' B'
U2 B U2 R F U' L'
F D2 B2 D' U' L' B'
F D2 B2 D2 U' L' B'
D' B D R F U' L'
D B D' R F U' L'
R' B F R2 U' L' D
R' B F R2 U' L' D'
R' B F R2 U' L' D2
R' B F R2 U' D L'
R' B F R2 U' D' L'
R' B F R2 U' D2 L'
R' B F R2 D U' L'
R' B F R2 D' U' L'
R' B F R2 D2 U' L'
R' B F R2 B U' L'
R' B F R2 B' U' L'
R' B F R2 B2 U' L'
R' B F U' L' D B2
R' B F U' D L' B2
R' B F U' D B2 L'
R' B F D U' L' B2
R' B F D U' B2 L'
R2 B F R U' L' B'
R2 B F R' U' L' B'
R2 B F R2 U' L' B'
R2 B F U' L' D B'
R2 B F U' L' D' B'
R2 B F U' L' D2 B'
R2 B F U' L' B' D
R2 B F U' L' B' D'
R2 B F U' L' B' D2
R2 B F U' D L' B'
R2 B F U' D' L' B'
R2 B F U' D2 L' B'
R2 B F U' B L' B'
R2 B F U' B' L' B'
R2 B F U' B2 L' B'
R2 B F D U' L' B'
R2 B F D' U' L' B'
