B L2 U F
B L2 R U F
B L2 R' U F
B L2 R2 U F
B L2 U D F
B L2 U D' F
B L2 U D2 F
B L2 U F D
B L2 U F D'
B L2 U F D2
B L2 D U F
B L2 D' U F
B L2 D2 U F
U L2 B U L2
B R L2 U F
B R' L2 U F
B R2 L2 U F
U B L2 U L2
L2 B U' B' U2
B2 R B' L2 U D2 F
B2 R B' L2 U F D
B2 R B' L2 U F D'
B2 R B' L2 U F D2
B2 R B' L2 D U F
B2 R B' L2 D' U F
B2 R B' L2 D2 U F
B2 R B' R L2 U F
B2 R B' R' L2 U F
B2 R B' R2 L2 U F
B' R B2 L2 R U F'
B' R B2 R L2 U F'
B R' L D L U F
B R' L D' L U F
B R' L D2 L U F
B R' L2 U R F R'
B R' L2 U R2 F R2
B R' L2 U D F D
B R' L2 U D F D'
B R' L2 U D F D2
B R' L2 U D' F D
B R' L2 U D' F D'
B R' L2 U D' F D2
B R' L2 U D2 F D
B R' L2 U D2 F D'
B R' L2 U D2 F D2
B R' L2 U F2 D F'
B R' L2 U F2 D' F'
B R' L2 U F2 D2 F'
B R' L2 U' B U2 F
B R' L2 U' B' U2 F
B R' L2 U' B2 U2 F
B R' L2 D R U F
B R' L2 D R' U F
B' R' L2 B2 R' U F'
B R' L2 D R2 U F
B R' L2 D U F D
B R' L2 D U F D'
B R' L2 D U F D2
B R' L2 D' R U F
B R' L2 D' R' U F
B R' L2 D' R2 U F
B R' L2 D' U F D
B R' L2 D' U F D'
B R' L2 D' U F D2
B R' L2 D2 R U F
B R' L2 D2 R' U F
B R' L2 D2 R2 U F
B R' L2 D2 U F D
B R' L2 D2 U F D'
B R' L2 D2 U F D2
R2 U' F' U2 L2 U L2
F' R' U F L2 U R
B R' U' D F2 B' U2
B R' U' D B' F2 U2
B R' U' D' B' U2 B'
B R' U' B' U L2 U
B R' U' B' U2 D' B2
B R' U' B' D F2 U2
B R' U' B' D' U2 B2
B R' D U' F2 B' U2
B R' D U' B' F2 U2
B2 R' D' R2 B' U B'
B R' D' L2 U F B2
B R' D' L2 U B2 F
B R' D' U' B' U2 B'
B2 R' D' B' R2 U B'
B R' F L2 F' U F2
B R' F2 L2 F2 U F'
B2 R' B' L2 R U F
B2 R' B' L2 R' U F
B2 R' B' L2 R2 U F
B2 R' B' L2 U D F
B2 R' B' L2 U D' F
B2 R' B' L2 U D2 F
B2 R' B' L2 U F D
B2 R' B' L2 U F D'
B2 R' B' L2 U F D2
B2 R' B' L2 D U F
B2 R' B' L2 D' U F
B2 R' B' L2 D2 U F
B2 R' B' R L2 U F
B2 R' B' R' L2 U F
L2 U2 R2 F' R2 U' F
B2 R' B' R2 L2 U F
B' R' B2 L2 R' U F'
B' R' B2 R' L2 U F'
R2 U2 D' F' U' F B2
R2 U2 D' F' U' B2 F
B R2 L D L U F
B R2 L D' L U F
B R2 L D2 L U F
R2 U2 D2 F' R2 U' F
B' R2 L' B2 L' U F'
B' R2 L2 U D' F' R2
B' R2 L2 U F' D' R2
B' R2 L2 D' U F' R2
L2 U2 F U2 B U F'
B R2 L2 U R F R'
B R2 L2 U R2 F R2
B R2 L2 U D F D
B R2 L2 U D F D'
B R2 L2 U D F D2
B R2 L2 U D' F D
B R2 L2 U D' F D'
B R2 L2 U D' F D2
B R2 L2 U D2 F D
B R2 L2 U D2 F D'
B R2 L2 U D2 F D2
B R2 L2 U F2 D F'
B R2 L2 U F2 D' F'
B R2 L2 U F2 D2 F'
B R2 L2 U' B U2 F
B R2 L2 U' B' U2 F
B R2 L2 U' B2 U2 F
B' R2 L2 B2 U D F'
B' R2 L2 B2 U D' F'
B' R2 L2 B2 U D2 F'
B' R2 L2 B2 U F' D
B' R2 L2 B2 U F' D'
B' R2 L2 B2 U F' D2
B' R2 L2 B2 D U F'
B' R2 L2 B2 D' U F'
B' R2 L2 B2 D2 U F'
B R2 L2 D R U F
B R2 L2 D R' U F
B R2 L2 D R2 U F
B R2 L2 D U F D
B R2 L2 D U F D'
B R2 L2 D U F D2
B R2 L2 D' R U F
B R2 L2 D' R' U F
B R2 L2 D' R2 U F
B R2 L2 D' U F D
B R2 L2 D' U F D'
B R2 L2 D' U F D2
B R2 L2 D2 R U F
B R2 L2 D2 R' U F
B R2 L2 D2 R2 U F
B R2 L2 D2 U F D
B R2 L2 D2 U F D'
B R2 L2 D2 U F D2
B' R2 U D' F' R2 B2
B' R2 U D' F' B2 R2
L2 U2 F' U2 B U F
B' R2 U D' B2 F' R2
R2 U2 F' U' D' F B2
R2 U2 F' U' D' B2 F
R2 U2 F' U' F D' B2
B' R2 U F' D' R2 B2
B' R2 U F' D' B2 R2
R2 U2 F' D' U' F B2
R2 U2 F' D' U' B2 F
R2 U2 F' D2 R2 U' F
F2 R2 U F2 L2 B' U
L2 U2 F2 U2 B U F2
B R2 U' D F2 B' U2
B R2 U' D B' F2 U2
B R2 U' D' B' U2 B'
U R2 U' L2 R2 B U
U R2 U' R2 L2 B U
U R2 U' R2 B L2 U
B R2 U' B' U L2 U
B R2 U' B' U2 D' B2
B R2 U' B' D F2 U2
B R2 U' B' D' U2 B2
D' R2 U2 F' U' F B2
D' R2 U2 F' U' B2 F
B R2 D U' F2 B' U2
B R2 D U' B' F2 U2
B' R2 D' U F' R2 B2
B' R2 D' U F' B2 R2
B' R2 D' U B2 F' R2
B2 R2 D' R2 B' U B'
B R2 D' L2 U F B2
B R2 D' L2 U B2 F
U2 R2 D' F' U' F B2
U2 R2 D' F' U' B2 F
B2 R2 D' B' R2 U B'
B R2 D' U' B' U2 B'
L' D L B L2 U F
U' R2 D2 F' R2 U' L2
U2 R2 D2 F' R2 U' F
L' D L' B U' B' U2
L D L B U' B' U2
B R2 F L2 F' U F2
L D L' B L2 U F
D2 R2 F' U2 F U F'
U' R2 F' D2 R2 U' L2
L2 D L2 B L2 U F
U2 R2 F' U' D' F B2
U2 R2 F' U' D' B2 F
U2 R2 F' U' F D' B2
U2 R2 F' D' U' F B2
U2 R2 F' D' U' B2 F
U2 R2 F' D2 R2 U' F
B R2 F2 L2 F2 U F'
B' R2 B L2 B U F'
B2 R2 B' L2 R U F
B2 R2 B' L2 R' U F
L2 D R2 U2 F' U' F
B2 R2 B' L2 R2 U F
B2 R2 B' L2 U D F
B2 R2 B' L2 U D' F
B2 R2 B' L2 U D2 F
B2 R2 B' L2 U F D
B2 R2 B' L2 U F D'
B2 R2 B' L2 U F D2
B2 R2 B' L2 D U F
B2 R2 B' L2 D' U F
B2 R2 B' L2 D2 U F
B2 R2 B' R L2 U F
B2 R2 B' R' L2 U F
B2 R2 B' R2 L2 U F
B' R2 B2 L2 U D F'
B' R2 B2 L2 U D' F'
B' R2 B2 L2 U D2 F'
B' R2 B2 L2 U F' D
B' R2 B2 L2 U F' D'
B' R2 B2 L2 U F' D2
B' R2 B2 L2 D U F'
L' D U B L' U L
B' R2 B2 L2 D' U F'
B' R2 B2 L2 D2 U F'
B' R2 B2 U D' F' B2
B' R2 B2 U D' B2 F'
B' R2 B2 U F' D' B2
B' R2 B2 D' U F' B2
B' R2 B2 D' U B2 F'
L D U L B U L'
D' U L B U L' B
D' U L B U B L'
F2 U L F2 L B U
F U L F' L B U
F2 U L' B L' F2 U
D' U L2 B U L2 B
D' U L2 B U B L2
F2 U L2 D' B U L2
F' U L2 B U D L2
F' U L2 B U2 B2 U'
F' U L2 B D U L2
F' U L2 B D2 F2 U
F U L' B L' F' U
B' U L2 B2 U L2 F
F2 U L2 F2 D B U
F2 U L2 F2 D' B U
F2 U L2 F2 D2 B U
F2 U L2 F2 B U D
F2 U L2 F2 B U D'
F2 U L2 F2 B U D2
F2 U L2 F2 B D U
F2 U L2 F2 B D' U
F2 U L2 F2 B D2 U
F2 U L2 B U D' L2
F2 U L2 B D' U L2
F2 U L2 B F2 U D
F2 U L2 B F2 U D'
F2 U L2 B F2 U D2
F2 U L2 B F2 D U
F2 U L2 B F2 D' U
F2 U L2 B F2 D2 U
B U L2 F L2 D' B2
F U L2 D F' B U
F U L2 D B F' U
F U L2 D' F' B U
F U L2 D' B F' U
F U L2 D2 F' B U
F U L2 D2 B F' U
F U L2 F' D B U
F U L2 F' D' B U
F U L2 F' D2 B U
F U L2 F' B U D
F U L2 F' B U D'
F U L2 F' B U D2
F U L2 F' B D U
F U L2 F' B D' U
F U L2 F' B D2 U
F U L2 B D F' U
F U L2 B D' F' U
F U L2 B D2 F' U
F U L2 B F' U D
F U L2 B F' U D'
F U L2 B F' U D2
F U L2 B F' D U
F U L2 B F' D' U
F U L2 B F' D2 U
L2 D B R U' B' U2
L2 D B R' U' B' U2
L2 D B R2 U' B' U2
L2 D B U L2 F L2
L2 D B U' D B' U2
L2 D B U' D' B' U2
L2 D B U' D2 B' U2
L2 D B U' B' U2 D
L2 D B U' B' U2 D'
L2 D B U' B' U2 D2
L2 D B U' B' D U2
L2 D B U' B' D' U2
L2 D B U' B' D2 U2
L2 D B U2 L2 U' F
L2 D B D U' B' U2
L2 D B D' U' B' U2
L2 D B D2 U' B' U2
B' U R2 D' F' R2 B2
B' U R2 D' F' B2 R2
B' U R2 D' B2 F' R2
B' U R2 F' D' R2 B2
B' U R2 F' D' B2 R2
L2 D B' R2 B2 U F'
L2 D B' U D' R2 F'
L2 D B' D' U R2 F'
B U D L2 F L2 B'
B' U D' R B2 R F'
B' U D' R2 F' B2 D
B' U D' R2 F' B2 D'
B' U D' R2 F' B2 D2
B' U D' R2 B2 D F'
B' U D' R2 B2 D' F'
B' U D' R2 B2 D2 F'
B' U D' R2 B2 F' D
B' U D' R2 B2 F' D'
B' U D' R2 B2 F' D2
B' U D' F R2 F' B2
B' U D' F R2 B2 F'
F' U D' F B U B
B' U D' F' R2 F' B2
B' U D' F' R2 B2 F'
L2 D B2 D' R2 B' U
L2 D B2 D' B' R2 U
B' U D' F2 R2 F' B2
B' U D' F2 R2 B2 F'
L2 D B2 D2 B' U F2
F' U D' B F U B
B U D B D2 F2 B2
B U D B D2 B2 F2
F2 U D' B U L2 B
F2 U D' B U B L2
L' D' L B L2 U F
B U D' L2 F L2 B2
B U D' L2 F B2 L2
B U D' L2 B2 F L2
B U D' R2 B2 R2 F'
B U D' B D2 F2 B
B U D' B D2 B F2
B U D' B2 R2 F' R2
B U D' B2 U2 B U2
F U D' F' B U B
F' U F L' B L' U
F' U F L2 D B U
F' U F L2 D' B U
F' U F L2 D2 B U
F' U F L2 B U D
F' U F L2 B U D'
F' U F L2 B U D2
F' U F L2 B D U
F' U F L2 B D' U
F' U F L2 B D2 U
F U D' B F' U B
L' D' L' B U' B' U2
D' U B L U L' B
D' U B L U B L'
D' U B L' U L B
D' U B L2 U L2 B
D' U B L2 U B L2
B' U F D' R2 F' B2
B' U F D' R2 B2 F'
L D' L B U' B' U2
F' U F D' B U B
F' U F B L2 U D
F' U F B L2 U D'
F' U F B L2 U D2
F' U F B L2 D U
F' U F B L2 D' U
F' U F B L2 D2 U
F' U F B U D' B2
F' U F B D' U B2
F' U F B' L2 B2 U
F' U F' L2 F2 B U
F' U F' L2 B F2 U
D2 U B D2 L2 U L2
B U F U' L2 U F
F U F L2 F2 B U
F U F L2 B F2 U
F2 U F' L2 F' B U
F2 U F' L2 B F' U
L D' L' B L2 U F
B' U F' D' R2 F' B2
B' U F' D' R2 B2 F'
F' U F' B L2 F2 U
L2 D' L2 B L2 U F
F U F B L2 F2 U
D U B D' L2 U L2
F2 U F' B L2 F' U
F' U F2 L2 F' B U
F' U F2 L2 B F' U
F U F' L' B L' U
B U F' U' L2 U F
F U F' L2 D B U
F U F' L2 D' B U
F U F' L2 D2 B U
F2 U F2 L' B L' U
F U F' L2 B U D
F U F' L2 B U D'
F U F' L2 B U D2
F U F' L2 B D U
F U F' L2 B D' U
F U F' L2 B D2 U
F2 U F2 L2 D B U
F2 U F2 L2 D' B U
F2 U F2 L2 D2 B U
F2 U F2 L2 B U D
F2 U F2 L2 B U D'
F2 U F2 L2 B U D2
F2 U F2 L2 B D U
F2 U F2 L2 B D' U
F2 U F2 L2 B D2 U
U D B D' L2 U L2
B' U F2 D' R2 F' B2
B' U F2 D' R2 B2 F'
F' U F2 B L2 F' U
F U F' D' B U B
F2 U F2 D' B U B
F U F' B L2 U D
F U F' B L2 U D'
F U F' B L2 U D2
F U F' B L2 D U
F U F' B L2 D' U
F U F' B L2 D2 U
F U F' B U D' B2
F U F' B D' U B2
F2 U F2 B L2 U D
F2 U F2 B L2 U D'
F2 U F2 B L2 U D2
F U F' B' L2 B2 U
F2 U F2 B L2 D U
F2 U F2 B L2 D' U
F2 U F2 B L2 D2 U
F' U B L2 U2 B' U'
F2 U F2 B U D' B2
F2 U F2 B D' U B2
F2 U F2 B' L2 B2 U
F2 U B L F2 L U
B U F2 U' L2 U F
F2 U B L2 U D' L2
F2 U B L2 D' U L2
F2 U B L2 F2 U D
F2 U B L2 F2 U D'
F2 U B L2 F2 U D2
F2 U B L2 F2 D U
F2 U B L2 F2 D' U
F2 U B L2 F2 D2 U
F' U B D' F U B2
F2 U B U D' L2 B2
F2 U B U D' B2 L2
F' U B F L2 U D
F' U B F L2 U D'
F' U B F L2 U D2
F' U B F L2 D U
F' U B F L2 D' U
F' U B F L2 D2 U
F' U B F U D' B2
F' U B F D' U B2
F' U B F' L2 F2 U
B2 U B D' R2 F' B2
B2 U B D' R2 B2 F'
F' U B F2 L2 F' U
F2 U B D' U L2 B2
F2 U B D' U B2 L2
F2 U B F' L2 F' U
F2 U B F2 L2 U D
F2 U B F2 L2 U D'
F2 U B F2 L2 U D2
F2 U B F2 L2 D U
F2 U B F2 L2 D' U
F2 U B F2 L2 D2 U
F2 U B F2 U D' B2
F U B L F' L U
F2 U B F2 D' U B2
B2 U B' L2 U F L2
L2 D' R2 U2 F' U' F
F U B L2 D F' U
F U B L2 D' F' U
F U B L2 D2 F' U
F U B L2 F' U D
F U B L2 F' U D'
F U B L2 F' U D2
F U B L2 F' D U
F U B L2 F' D' U
F U B L2 F' D2 U
F2 U B' L2 F2 B2 U
F2 U B' L2 B2 F2 U
B U B D' B2 D' F2
B U B D2 F2 D B2
F' U B' F L2 B2 U
F U B D' F' U B2
L' D' U B L' U L
B' U B2 L2 U F L2
F U B F L2 F2 U
F U B F' L2 U D
F U B F' L2 U D'
F U B F' L2 U D2
F U B F' L2 D U
F U B F' L2 D' U
F U B F' L2 D2 U
F U B F' U D' B2
F U B F' D' U B2
F2 U B' F2 L2 B2 U
F U B' L2 F' B2 U
F U B' L2 B2 F' U
U D' L B U L' B
U D' L B U B L'
B U B' D' B2 D2 F2
L D' U L B U L'
F U B' F' L2 B2 U
R2 D' U2 F' U' F B2
R2 D' U2 F' U' B2 F
U D' L2 B U L2 B
U D' L2 B U B L2
D2 U' R2 D F' B2 U'
D2 U' R2 D B2 F' U'
D2 U' R2 D2 F' U' L2
D2 U' R2 F' U R2 U2
D2 U' R2 F' U' D2 L2
D2 U' R2 F' D B2 U'
D2 U' R2 F' D2 U' L2
U2 D' R2 F' U' F B2
U2 D' R2 F' U' B2 F
L2 D' B R U' B' U2
L2 D' B R' U' B' U2
L2 D' B R2 U' B' U2
L2 D' B U L2 F L2
L2 D' B U' D B' U2
L2 D' B U' D' B' U2
L2 D' B U' D2 B' U2
L2 D' B U' B' U2 D
L2 D' B U' B' U2 D'
L2 D' B U' B' U2 D2
L2 D' B U' B' D U2
L2 D' B U' B' D' U2
L2 D' B U' B' D2 U2
L2 D' B U2 L2 U' F
L2 D' B D U' B' U2
L2 D' B D' U' B' U2
L2 D' B D2 U' B' U2
L2 D' B' R2 B2 U F'
L2 D' B' U D' R2 F'
B' U' D L2 F2 B U2
B' U' D L2 B F2 U2
L2 D' B' D' U R2 F'
B' U' D F2 L2 B U2
B' U' D F2 B L2 U2
B' U' D B L2 F2 U2
B' U' D B F2 L2 U2
L2 D' B2 D' R2 B' U
L2 D' B2 D' B' R2 U
L2 D' B2 D2 B' U F2
B' U' D' B U2 B R2
B U' D F2 D B' U2
B U' D F2 D' B' U2
B U' D F2 D2 B' U2
B U' D F2 B' U2 D
B U' D F2 B' U2 D'
B U' D F2 B' U2 D2
B U' D F2 B' D U2
B U' D F2 B' D' U2
B U' D F2 B' D2 U2
L' D2 L B L2 U F
B U' D B' U2 D2 B2
B U' D B' D2 U2 B2
B U' D B' F2 U2 D
B U' D B' F2 U2 D'
B U' D B' F2 U2 D2
B U' D B' F2 D U2
B U' D B' F2 D' U2
B U' D B' F2 D2 U2
U D' B L U L' B
U D' B L U B L'
U D' B L' U L B
U D' B L2 U L2 B
U D' B L2 U B L2
B U' D' F B' U2 B'
F2 U' D2 R2 F' B2 U'
F2 U' D2 R2 B2 F' U'
B U' D' F' B' U2 B'
B U' D' F2 B' U2 B'
B U' D' B' U2 D B'
B U' D' B' U2 D' B'
B U' D' B' U2 D2 B'
B U' D' B' U2 B' D
B U' D' B' U2 B' D'
B U' D' B' U2 B' D2
B U' D' B' D U2 B'
B U' D' B' D' U2 B'
B U' D' B' D2 U2 B'
B U' D' B' F U2 B'
B U' D' B' F' U2 B'
B U' D' B' F2 U2 B'
L' D2 L' B U' B' U2
L D2 L B U' B' U2
B U' D2 B' U' R2 U'
B U' D2 B' U2 D B2
B U' D2 B' D U2 B2
B U' D2 B' D' F2 U2
F U' D2 R2 F' B U'
F U' D2 R2 B F' U'
D2 U2 L R2 F' U' F
B U' F U L2 U F
U2 D2 L R2 F' U' F
B U' F D F2 B' U2
B U' F D B' F2 U2
B U' F D' B' U2 B'
L D2 L' B L2 U F
L2 D2 L2 B L2 U F
B U' F B' U L2 U
B U' F B' U2 D' B2
B U' F B' D F2 U2
B U' F B' D' U2 B2
D2 U2 L' R2 F' U' F
B U' F' U L2 U F
U2 D2 L' R2 F' U' F
B U' F' D F2 B' U2
B U' F' D B' F2 U2
B U' F' D' B' U2 B'
B U' F' B' U L2 U
B U' F' B' U2 D' B2
B U' F' B' D F2 U2
B U' F' B' D' U2 B2
D2 U2 L2 R2 F' U' F
B' U' B U L2 B U
B' U' B U B L2 U
B U' F2 U L2 U F
U2 D2 L2 R2 F' U' F
B U' F2 D F2 B' U2
B U' F2 D B' F2 U2
B U' F2 D' B' U2 B'
B U' F2 B' U L2 U
B U' F2 B' U2 D' B2
B U' F2 B' D F2 U2
B U' F2 B' D' U2 B2
L2 D2 R2 U2 F' U' F
L' D2 U B L' U L
B U' B' U L2 U D
B U' B' U L2 U D'
B U' B' U L2 U D2
B U' B' U L2 D U
B U' B' U L2 D' U
B U' B' U L2 D2 U
B2 U' B2 U L2 B U
B U' B' U' D2 R2 U'
B2 U' B2 U B L2 U
B U' B' U2 D' B2 D
B U' B' U2 D' B2 D'
B U' B' U2 D' B2 D2
B U' B' U2 B D' B2
B U' B' U2 B' D' B2
B U' B' U2 B2 D' B2
B U' B' D F2 U2 D
B U' B' D F2 U2 D'
B U' B' D F2 U2 D2
B U' B' D F2 D U2
B U' B' D F2 D' U2
B U' B' D F2 D2 U2
B U' B' D' U2 B2 D
B U' B' D' U2 B2 D'
B U' B' D' U2 B2 D2
B U' B' D' F U2 B2
B U' B' D' F' U2 B2
B U' B' D' F2 U2 B2
B U' B' D2 U' R2 U'
D2 U2 R2 L F' U' F
B U' B' F U L2 U
B U' B' F U2 D' B2
B U' B' F D F2 U2
B U' B' F D' U2 B2
D2 U2 R2 L' F' U' F
B U' B' F' U L2 U
B U' B' F' U2 D' B2
B U' B' F' D F2 U2
B U' B' F' D' U2 B2
D2 U2 R2 L2 F' U' F
B U' B' F2 U L2 U
B U' B' F2 U2 D' B2
B U' B' F2 D F2 U2
B U' B' F2 D' U2 B2
U' D2 R2 D F' B2 U'
L D2 U L B U L'
U' D2 R2 D B2 F' U'
U' D2 R2 D2 F' U' L2
D2 U2 R2 D F' U' F
U' D2 R2 F' U R2 U2
D2 U2 R2 D' F' U' F
U' D2 R2 F' U' D2 L2
D' U2 R2 F' U' F B2
D' U2 R2 F' U' B2 F
U' D2 R2 F' D B2 U'
U' D2 R2 F' D2 U' L2
D2 U2 R2 D2 F' U' F
U2 D2 R2 L F' U' F
D2 U2 R2 F' U' D F
D2 U2 R2 F' U' D' F
D2 U2 R2 F' U' D2 F
D2 U2 R2 F' U' F D
D2 U2 R2 F' U' F D'
D2 U2 R2 F' U' F D2
D2 U2 R2 F' D U' F
D2 U2 R2 F' D' U' F
D2 U2 R2 F' D2 U' F
U2 D2 R2 L' F' U' F
U2 D2 R2 L2 F' U' F
B U' B2 D F2 B U2
B U' B2 D B F2 U2
B U' B2 D' B U2 B
U2 D2 R2 D F' U' F
U2 D2 R2 D' F' U' F
U2 D2 R2 D2 F' U' F
U2 D2 R2 F' U' D F
U2 D2 R2 F' U' D' F
U2 D2 R2 F' U' D2 F
U2 D2 R2 F' U' F D
U2 D2 R2 F' U' F D'
U2 D2 R2 F' U' F D2
U2 D2 R2 F' D U' F
U2 D2 R2 F' D' U' F
U2 D2 R2 F' D2 U' F
R2 D2 U2 F' R2 U' F
D2 U2 F' R2 F' U' F2
B U2 L' U2 L' U F
U2 D2 F' R2 F' U' F2
F2 U2 L2 F2 B U F2
F2 U2 L2 B F2 U F2
D2 U2 F2 R2 F' U' F'
U2 D2 F2 R2 F' U' F'
F U2 L2 F' B U F
F U2 L2 B F' U F
B U2 R U2 L2 U F
L2 D2 B R U' B' U2
L2 D2 B R' U' B' U2
L2 D2 B R2 U' B' U2
L2 D2 B U L2 F L2
L2 D2 B U' D B' U2
L2 D2 B U' D' B' U2
L2 D2 B U' D2 B' U2
L2 D2 B U' B' U2 D
L2 D2 B U' B' U2 D'
L2 D2 B U' B' U2 D2
L2 D2 B U' B' D U2
L2 D2 B U' B' D' U2
L2 D2 B U' B' D2 U2
L2 D2 B U2 L2 U' F
L2 D2 B D U' B' U2
L2 D2 B D' U' B' U2
L2 D2 B D2 U' B' U2
B U2 R' U2 L2 U F
L2 D2 B' R2 B2 U F'
L2 D2 B' U D' R2 F'
U D2 B D2 L2 U L2
L2 D2 B' D' U R2 F'
B U2 R2 U2 L2 U F
L2 D2 B2 D' R2 B' U
L2 D2 B2 D' B' R2 U
L2 D2 B2 D2 B' U F2
B' U2 D2 R2 F2 U' F
B U2 D' L2 U' F B2
B' U2 D2 F2 R2 U' F'
B U2 D' L2 U' B2 F
F' U2 F L2 B U F'
B U2 D2 L2 R2 U' F
B U2 D2 R2 L2 U' F
B U2 D2 R2 U B' U2
F' U2 F B L2 U F'
U F L2 D F2 B U
U F L2 D B F2 U
F2 U2 F2 L2 B U F2
U F L2 F B U L2
U F L2 F' B U L2
U F L2 F2 B U L2
U F L2 B U L2 D
U F L2 B U L2 D'
U F L2 B U L2 D2
U F L2 B D F2 U
U F L2 B F U L2
U F L2 B F' U L2
U F L2 B F2 U L2
F2 U2 F2 B L2 U F2
F2 U2 B L2 F2 U F2
F' U2 B F L2 U F'
F2 U2 B F2 L2 U F2
F U2 B L2 F' U F
U' F U B L2 U F
D' F U F' B U B
F2 U2 B' D' L2 R2 B2
F2 U2 B' D' L2 B2 R2
F2 U2 B' D' R2 L2 B2
F2 U2 B' D' R2 B2 L2
F2 U2 B' D' B2 L2 R2
F2 U2 B' D' B2 R2 L2
D' F U B F' U B
D2 F U' R2 F' B U'
D2 F U' R2 B F' U'
L2 F U F' B U B'
L2 F U B F' U B'
L F U L F' B U
L F U L B F' U
U' F U2 L2 B U L2
L F U F' L B U
U' F U2 B L2 U L2
U2 F U2 L2 B U F'
U2 F U2 B L2 U F'
U F U' B L2 U F
B D L2 U D2 F B2
B D L2 U D2 B2 F
B D L2 U' F2 U2 F'
B D L2 D2 U F B2
B D L2 D2 U B2 F
B D R U' F2 B' U2
B D R U' B' F2 U2
B D R D' L2 U F
U2 F B L2 F U F2
B D R' U' F2 B' U2
B D R' U' B' F2 U2
B D R' D' L2 U F
F2 D R2 F2 U' F U'
U F B L2 U L2 D
U F B L2 U L2 D'
U F B L2 U L2 D2
U F B L2 D F2 U
U F B L2 F U L2
U F B L2 F' U L2
U F B L2 F2 U L2
B D R2 U' F2 B' U2
B D R2 U' B' F2 U2
B D R2 D' L2 U F
B' D U' L2 F2 B U2
B' D U' L2 B F2 U2
B' D U' F2 L2 B U2
U F B' L2 B2 U L2
B' D U' F2 B L2 U2
B' D U' B L2 F2 U2
B' D U' B F2 L2 U2
B D U L2 F L2 B'
B D U B D2 F2 B2
B D U B D2 B2 F2
B D U' F2 D B' U2
B D U' F2 D' B' U2
B D U' F2 D2 B' U2
B D U' F2 B' U2 D
B D U' F2 B' U2 D'
B D U' F2 B' U2 D2
B D U' F2 B' D U2
B D U' F2 B' D' U2
B D U' F2 B' D2 U2
B D U' B' U2 D2 B2
B D U' B' D2 U2 B2
B D U' B' F2 U2 D
B D U' B' F2 U2 D'
B D U' B' F2 U2 D2
B D U' B' F2 D U2
B D U' B' F2 D' U2
B D U' B' F2 D2 U2
F' D F2 U F' B U
F' D F2 U B F' U
U F' L2 D F2 B U
U F' L2 D B F2 U
F2 D F2 R2 U' F' U'
U F' L2 F B U L2
U F' L2 F' B U L2
U F' L2 F2 B U L2
U F' L2 B U L2 D
U F' L2 B U L2 D'
U F' L2 B U L2 D2
U F' L2 B D F2 U
U F' L2 B F U L2
U F' L2 B F' U L2
U F' L2 B F2 U L2
F D F2 U F B U
F D F2 U B F U
R' F' U F L2 U R
U' F' U B L2 U F
D' F' U F B U B
B2 D B' D2 R2 U B2
L' F' U F L' B U
L' F' U F B L' U
D' F' U B F U B
L' F' U B F L' U
L2 F' U F B U B'
L2 F' U B F U B'
B' D' L U R2 F' B2
B' D' L U R2 B2 F'
U' F' U2 L2 B U L2
U' F' U2 B L2 U L2
L F' U F L B U
B' D' L' U R2 F' B2
B' D' L' U R2 B2 F'
B' D' L2 U R2 F' B2
B' D' L2 U R2 B2 F'
U F' U' B L2 U F
R2 F' U2 F L2 U F'
B' D' R U R F' B2
B' D' R U R B2 F'
B' D' R U B2 R F'
B D' L2 R U F B2
B D' L2 R U B2 F
B D' L2 R' U F B2
B D' L2 R' U B2 F
B D' L2 R2 U F B2
B D' L2 R2 U B2 F
B D' L2 U F B2 D
B D' L2 U F B2 D'
B D' L2 U F B2 D2
B D' L2 U B2 D F
B D' L2 U B2 D' F
B D' L2 U B2 D2 F
B D' L2 U B2 F D
B D' L2 U B2 F D'
B D' L2 U B2 F D2
B2 D' R B' R U B'
B D' R L2 U F B2
B D' R L2 U B2 F
U2 F' D2 R2 F' U' F2
B D' R U' B' U2 B'
B D' R D L2 U F
B D' R' L2 U F B2
B D' R' L2 U B2 F
B D' R' U' B' U2 B'
B D' R' D L2 U F
B2 D' R2 D B' L2 U
B' D' U R B2 R F'
B2 D' R2 B' U D B'
B2 D' R2 B' U D' B'
B2 D' R2 B' U D2 B'
B2 D' R2 B' U B' D
B2 D' R2 B' U B' D'
B2 D' R2 B' U B' D2
B2 D' R2 B' D U B'
B2 D' R2 B' D' U B'
B2 D' R2 B' D2 U B'
B' D' U R2 F' B2 D
B' D' U R2 F' B2 D'
B' D' U R2 F' B2 D2
B' D' U R2 B2 D F'
B' D' U R2 B2 D' F'
B' D' U R2 B2 D2 F'
B' D' U R2 B2 F' D
B' D' U R2 B2 F' D'
B' D' U R2 B2 F' D2
B' D' U F R2 F' B2
B' D' U F R2 B2 F'
B' D' U F' R2 F' B2
B' D' U F' R2 B2 F'
B D' R2 L2 U F B2
B D' R2 L2 U B2 F
B' D' U F2 R2 F' B2
B' D' U F2 R2 B2 F'
U F' B L2 U L2 D
U F' B L2 U L2 D'
U F' B L2 U L2 D2
U F' B L2 D F2 U
U F' B L2 F U L2
U F' B L2 F' U L2
U F' B L2 F2 U L2
F' D' U F B U B
B D' R2 U' B' U2 B'
B D' R2 D L2 U F
F' D' U B F U B
F2 D' U B U L2 B
F2 D' U B U B L2
