F' L' U2 L U
F L F2 L' R U'
F L F2 R L' U'
F' L' R U2 L U
F' L' R' U2 L U
F' L' R2 U2 L U
F' L' U2 L U D
F' L' U2 L U D'
F' L' U2 L U D2
F' L' U2 L D U
F' L' U2 L D' U
F' L' U2 L D2 U
F' L' U2 D L U
F' L' U2 D' L U
F' L' U2 D2 L U
F' L' D U2 L U
F' L' D' U2 L U
F' L' D2 U2 L U
F' L' B2 R' B2 U'
F' L2 D' L U' B2
F' L2 D2 L R2 U'
F' L2 D2 R2 L U'
F' R L' U2 L U
F' R' L' U2 L U
F' R2 L' U2 L U
L2 D' F' L' U' B2
L2 D2 F' L' R2 U'
L2 D2 F' R2 L' U'
B' U2 F' B L U'
B' U2 F' B L U'
B' U2 B L F' U'
B' U2 B F' L U'
F' D L' U2 L U
L' F' L' U' D' B2
L' F' L' U2 L2 U
L' F' L' D' U' B2
L' F' L' D2 R2 U'
D2 F' L' U2 L U
D' F' L' U2 L U
L2 F' L' U2 L' U
D F' L' U2 L U
F' D' L' U2 L U
U2 F' U2 F R U
L2 F' D' L' U' B2
L2 F' D2 L' R2 U'
L2 F' D2 R2 L' U'
L F2 R F L' U'
F' D2 L' U2 L U
B2 F' L' B2 R' U'
F' B2 L' B2 R' U'
F' D2 L' D2 U2 L U
F' D2 L' B2 R' B2 U'
F' D2 L2 D' L U' B2
F' D2 L2 D2 L R2 U'
F' D2 L2 D2 R2 L U'
F' D2 R L' U2 L U
L F2 D R F U' F2
F' D2 R' L' U2 L U
F' D2 R2 L' U2 L U
F D2 R B2 U D L2
F D2 R B2 U2 B2 U'
F D2 R B2 D U L2
F D2 R B2 D2 F2 U
B' D2 U2 F' B L U'
B' D2 U2 B L F' U'
B' D2 U2 B F' L U'
U2 B L F' U2 F U
U2 B L' F' L2 B' U'
F D2 U2 R B2 L U
R2 B L2 F L2 R U
R2 B L2 F R L2 U
B2 D2 F2 U2 F L' U'
F' D2 B2 L' B2 R' U'
F D2 B2 R U D L2
F D2 B2 R U2 B2 U'
F D2 B2 R D U L2
F D2 B2 R D2 F2 U
F D2 B2 D R U L2
F D2 B2 D2 R F2 U
R2 B U2 B L B2 U'
R2 B U2 B' U2 R' U
B2 F R U D L2 R2
B2 F R U D R2 L2
B2 F R U2 F2 B2 U'
B2 F R U2 B2 F2 U'
B2 F R D U L2 R2
B2 F R D U R2 L2
B2 F R D2 F2 B2 U
B2 F R D2 B2 F2 U
B F R U2 F2 B' U'
B F R U2 B' F2 U'
F B R U2 F2 B' U'
F B R U2 B' F2 U'
R2 B F R U2 B' U'
U2 B F' L2 B' L' U'
R2 B F' U2 B' L' U'
B' F U2 F2 L' B U'
B' F U2 F2 B L' U'
B' F U2 B F2 L' U'
B2 F U2 F2 L' B2 U'
F2 B U2 F B' L' U'
B2 F U2 F2 B2 L' U'
B2 F U2 B2 F2 L' U'
F2 B U2 B' F L' U'
B2 F D R U L2 R
B2 F D R U R L2
B F U2 F2 B' L' U'
B F U2 B' F2 L' U'
F B U2 F2 B' L' U'
F B U2 B' F2 L' U'
B2 F D2 R F2 B2 U
B2 F D2 R B2 F2 U
U2 B' R' U2 R F' U'
B2 F D2 B2 R F2 U
B2 F' L' R B2 R' U'
B2 F' L' R' B2 R' U'
B2 F' L' R2 B2 R' U'
B' F' L' B2 R' B' U'
F' B' L' B2 R' B' U'
B2 F' L' B2 R' U' D
B2 F' L' B2 R' U' D'
B2 F' L' B2 R' U' D2
B2 F' L' B2 R' D U'
B2 F' L' B2 R' D' U'
B2 F' L' B2 R' D2 U'
B2 F' L' B2 D R' U'
B2 F' L' B2 D' R' U'
B2 F' L' B2 D2 R' U'
B2 F' R L' B2 R' U'
D2 B' U2 F' B L U'
D2 B' U2 B L F' U'
D2 B' U2 B F' L U'
D' B' U2 F' B L U'
D' B' U2 B L F' U'
D' B' U2 B F' L U'
B2 F' R' L' B2 R' U'
U B' U' F' L' U' B
D B' U2 F' B L U'
D B' U2 B L F' U'
D B' U2 B F' L U'
B2 F' R2 L' B2 R' U'
R B' U2 B L F U'
F2 B' U2 F L' B U'
F2 B' U2 F B L' U'
U2 B' F' U2 R' F U
U2 B' F' U2 F R' U
F2 B' U2 B F L' U'
F B' U2 F2 L' B U'
F B' U2 F2 B L' U'
F B' U2 B F2 L' U'
F' B2 L' R B2 R' U'
F' B2 L' R' B2 R' U'
F' B2 L' R2 B2 R' U'
F' B2 L' B2 R' U' D
F' B2 L' B2 R' U' D'
F' B2 L' B2 R' U' D2
F' B2 L' B2 R' D U'
F' B2 L' B2 R' D' U'
F' B2 L' B2 R' D2 U'
F' B2 L' B2 D R' U'
F' B2 L' B2 D' R' U'
F' B2 L' B2 D2 R' U'
F' B2 R L' B2 R' U'
F' B2 R' L' B2 R' U'
F B2 R U D L2 R2
F B2 R U D R2 L2
F' B2 R2 L' B2 R' U'
F B2 R U2 F2 B2 U'
F B2 R U2 B2 F2 U'
F B2 R D U L2 R2
F B2 R D U R2 L2
F B2 R D2 F2 B2 U
F B2 R D2 B2 F2 U
U B2 U' F' L' U' B2
B' F2 U2 F L' B U'
B' F2 U2 F B L' U'
B' F2 U2 B F L' U'
B2 F2 U2 F L' B2 U'
B2 F2 U2 F B2 L' U'
F2 B2 U2 F L' B2 U'
F2 B2 U2 F B2 L' U'
B2 F2 U2 B2 F L' U'
F2 B2 U2 B2 F L' U'
B F2 U2 F B' L' U'
D2 B2 F' L' B2 R' U'
B F2 U2 B' F L' U'
D' B2 F' L' B2 R' U'
L' B2 F' L' R' B2 U'
L' B2 F' R' L' B2 U'
L' B2 F' R' B2 L' U'
F B2 U2 F2 L' B2 U'
F B2 U2 F2 B2 L' U'
F B2 U2 B2 F2 L' U'
F B2 D R U L2 R
F B2 D R U R L2
U2 B2 F' L2 B' L U'
D B2 F' L' B2 R' U'
F B2 D2 R F2 B2 U
F B2 D2 R B2 F2 U
F B2 D2 B2 R F2 U
