B' R U2 B'
R B' U2 B'
B' R U2 D B'
B' R U2 D' B'
B' R U2 D2 B'
B' R U2 B' D
B' R U2 B' D'
B' R U2 B' D2
B' R D U2 B'
B' R D' U2 B'
B' R D2 U2 B'
B' R F U2 B'
B' R F' U2 B'
B' R F2 U2 B'
D2 R F2 B' U2
D2 R B' F2 U2
R D2 F2 B' U2
R D2 B' F2 U2
B' D R U2 B'
R F B' U2 B'
B' D' R U2 B'
R F' B' U2 B'
B' D2 R U2 B'
D2 F2 B' U2 L'
R F2 B' U2 B'
R' B' R2 U2 B'
R2 B' U2 B' L
D2 B' R F2 U2
F2 B' U2 B' L'
R B' U2 D B'
R B' U2 D' B'
R B' U2 D2 B'
R B' U2 B' D
R B' U2 B' D'
R B' U2 B' D2
R B' D U2 B'
R B' D' U2 B'
R B' D' U2 B'
D2 B' F2 U2 L'
R B' D2 U2 B'
R B' F U2 B'
R B' F' U2 B'
R B' F2 U2 B'
B' F2 U2 B' L'
U L2 F2 U B2 L' F'
U2 L2 F2 B2 D L' F'
U2 L2 F2 B2 D' L' F'
U2 L2 F2 B2 D2 L' F'
R U R' L2 U F B2
R U R' L2 U B2 F
B2 L2 B L2 R F U2
B2 L2 B R L2 F U2
R U R' U' B' U2 B'
R U R' D L2 U F
U2 L2 B F2 L' F' B
U2 L2 B F2 L' B F'
R U R2 L2 U F B2
R U R2 L2 U B2 F
R U R2 U' B' U2 B'
R U R2 D L2 U F
U2 L2 B' F D2 B' L
U2 L2 B2 L F2 L' F
R U D L2 R U F
R U D L2 R' U F
R U D L2 R2 U F
R U D L2 U D F
R U D L2 U D' F
R U D L2 U D2 F
R U D L2 U F D
R U D L2 U F D'
R U D L2 U F D2
R U D L2 D U F
R U D L2 D' U F
R U D L2 D2 U F
R U D R L2 U F
R U D R' L2 U F
B L2 B2 L2 R F U2
R U D R2 L2 U F
B L2 B2 R L2 F U2
U2 L2 B2 U2 R U2 F
F' L2 B2 F' L' F2 R
U2 L2 B2 D F2 L' F'
U2 L2 B2 D' F2 L' F'
U2 L2 B2 D2 F2 L' F'
U2 L2 B2 F2 L F' L2
U2 L2 B2 F2 L' D F'
U2 L2 B2 F2 L' D' F'
U2 L2 B2 F2 L' D2 F'
U2 L2 B2 F2 L' F' D
U2 L2 B2 F2 L' F' D'
U2 L2 B2 F2 L' F' D2
U2 L2 B2 F2 L2 F' L
B' R L D L' U2 B'
U2 L2 B2 F2 D L' F'
U2 L2 B2 F2 D' L' F'
U2 L2 B2 F2 D2 L' F'
B' R L D' L' U2 B'
B' R L D2 L' U2 B'
U2 R L U2 R' F' B2
U2 R L U2 R' B2 F'
F L2 B2 F D2 L' R2
F L2 B2 F D2 R2 L'
B' R L F2 U2 R B
B' R L' F L U2 B'
D2 R L' F2 L B' U2
B' R L' F' L U2 B'
B' R L' F2 L U2 B'
B' R L2 D2 F U2 R2
B R L' B2 U2 R' B
U2 R L2 U2 R' F B2
U2 R L2 U2 R' B2 F
B' R L2 F L2 U2 D
B' R L2 F L2 U2 D'
B' R L2 F L2 U2 D2
B' R L2 F L2 D U2
B' R L2 F L2 D' U2
B' R L2 F L2 D2 U2
U2 R L2 U2 F R' B2
B' R L2 F U2 D2 R2
D2 R L2 F2 L2 U2 F'
B' R L2 F D2 U2 R2
B' R L2 F' L2 F2 U2
B' R L2 F2 L2 F' U2
F2 R L2 F L B2 R'
B' R U L2 U' F U2
D2 R U D' L2 U F
D R U L2 R U F
D R U L2 R' U F
D R U L2 R2 U F
D R U L2 U D F
D R U L2 U D' F
D R U L2 U D2 F
D R U L2 U F D
D R U L2 U F D'
D R U L2 U F D2
D R U L2 D U F
D R U L2 D' U F
D R U L2 D2 U F
D R U R L2 U F
D R U R' L2 U F
D R U R2 L2 U F
D' R U' L2 R U' F
D' R U' R L2 U' F
D' R U' R U B' U2
B' R U' R U' D B'
B' R U' R U' D' B'
B' R U' R U' D2 B'
B' R U' R U' B' D
B' R U' R U' B' D'
B' R U' R U' B' D2
B' R U' R D U' B'
B' R U' R D' U' B'
B' R U' R D2 U' B'
B' R U' R' U' D B'
B' R U' R' U' D' B'
B' R U' R' U' D2 B'
B' R U' R' U' B' D
B' R U' R' U' B' D'
B' R U' R' U' B' D2
B' R U' R' D U' B'
B' R U' R' D' U' B'
B' R U' R' D2 U' B'
B' R U' R2 U' D B'
B' R U' R2 U' D' B'
B' R U' R2 U' D2 B'
B' R U' R2 U' B' D
B' R U' R2 U' B' D'
B' R U' R2 U' B' D2
B' R U' R2 D U' B'
B' R U' R2 D' U' B'
B' R U' R2 D2 U' B'
L' U F2 B2 L' R' F
L' U F2 B2 L' F R'
L' U F2 B2 R' L' F
B' R U' D R U' B'
B' R U' D R' U' B'
B' R U' D R2 U' B'
B' R U' D' R U' B'
B' R U' D' R' U' B'
B' R U' D' R2 U' B'
B' R U' D2 R U' B'
B' R U' D2 R' U' B'
B' R U' D2 R2 U' B'
B' R U2 L D L' B'
B' R U2 L D' L' B'
B' R U2 L D2 L' B'
D2 R U2 L2 F L2 B'
B' R U2 L B L' B'
B' R U2 L B' L' B'
B' R U2 L B2 L' B'
B' R U2 L2 B L2 B'
B' R U2 L2 B' L2 B'
B' R U2 L2 B2 L2 B'
B' R U2 R D R' B'
B' R U2 R D' R' B'
B' R U2 R D2 R' B'
B' R U2 R' D R B'
B' R U2 R' D B' R
B' R U2 R' D' R B'
B' R U2 R' D' B' R
B' R U2 R' D2 R B'
B' R U2 R' D2 B' R
B' R U2 R' B R B2
B' R U2 R' B' R D
B' R U2 R' B' R D'
B' R U2 R' B' R D2
B' R U2 R' B' D R
B' R U2 R' B' D' R
B' R U2 R' B' D2 R
B' R U2 R2 B R2 B2
B' R U2 R2 B' R2 D
B' R U2 R2 B' R2 D'
B' R U2 R2 B' R2 D2
F2 R U2 L2 F L B2
B' R U2 D R' B' R
B' R U2 D R2 B' R2
B' R U2 D B2 D B
B' R U2 D B2 D' B
B' R U2 D B2 D2 B
B' R U2 D' R' B' R
B' R U2 D' R2 B' R2
U2 R U2 R B2 R2 F'
B' R U2 D' B2 D B
B' R U2 D' B2 D' B
B' R U2 D' B2 D2 B
B' R U2 D2 R' B' R
B' R U2 D2 R2 B' R2
B' R U2 D2 B2 D B
B' R U2 D2 B2 D' B
B' R U2 D2 B2 D2 B
B' R U2 F D F' B'
B' R U2 F D B' F'
B' R U2 F D' F' B'
B' R U2 F D' B' F'
B' R U2 F D2 F' B'
B' R U2 F D2 B' F'
B' R U2 F B' D F'
B' R U2 F B' D' F'
B' R U2 F B' D2 F'
B' R U2 F' D F B'
B' R U2 F' D B' F
B' R U2 F' D' F B'
B' R U2 F' D' B' F
B' R U2 F' D2 F B'
B' R U2 F' D2 B' F
D2 R U2 B D2 F2 B2
D2 R U2 B D2 B2 F2
B' R U2 F' B' D F
B' R U2 F' B' D' F
B' R U2 F' B' D2 F
B' R U2 B L B2 L'
F R U2 L2 F L' B2
B' R U2 B L2 B2 L2
F R U2 L2 F B2 L'
B' R U2 B R' B2 R
B' R U2 B R2 B2 R2
F R U2 L2 B2 F L'
B' R U2 B' L D L'
B' R U2 B' L D' L'
B' R U2 B' L D2 L'
B' R U2 B' L' D L
B' R U2 B' L' D' L
B' R U2 B' L' D2 L
B' R U2 B' R D R'
B' R U2 B' R D' R'
B' R U2 B' R D2 R'
B' R U2 B' R' D R
B' R U2 B' R' D' R
B' R U2 B' R' D2 R
B' R U2 B' F D F'
B' R U2 B' F D' F'
B' R U2 B' F D2 F'
B' R U2 B' F' D F
B' R U2 B' F' D' F
B' R U2 B' F' D2 F
B' R U2 B2 L B L'
B' R U2 B2 L2 B L2
B' R U2 B2 D B D
B' R U2 B2 D B D'
B' R U2 B2 D B D2
B' R U2 B2 D' B D
B' R U2 B2 D' B D'
B' R U2 B2 D' B D2
B' R U2 B2 D2 B D
B' R U2 B2 D2 B D'
B' R U2 B2 D2 B D2
U' R U2 B2 D' R2 F'
B' R D L2 F L2 U2
B' R D U' R U' B'
B' R D U' R' U' B'
B' R D U' R2 U' B'
B' R D U2 R' B' R
B' R D U2 R2 B' R2
B' R D U2 B2 D B
B' R D U2 B2 D' B
B' R D U2 B2 D2 B
B' R D F U2 D B'
B' R D F U2 D' B'
B' R D F U2 D2 B'
B' R D F U2 B' D
B' R D F U2 B' D'
B' R D F U2 B' D2
B' R D F D U2 B'
B' R D F D' U2 B'
B' R D F D2 U2 B'
B' R D F' U2 D B'
B' R D F' U2 D' B'
B' R D F' U2 D2 B'
B' R D F' U2 B' D
B' R D F' U2 B' D'
B' R D F' U2 B' D2
B' R D F' D U2 B'
B' R D F' D' U2 B'
B' R D F' D2 U2 B'
B' R D F2 U2 D B'
B' R D F2 U2 D' B'
B' R D F2 U2 D2 B'
B' R D F2 U2 B' D
B' R D F2 U2 B' D'
B' R D F2 U2 B' D2
B' R D F2 D U2 B'
B' R D F2 D' U2 B'
B' R D F2 D2 U2 B'
D2 R D B' U' R2 U'
D2 R D B' U2 D B2
D2 R D B' D U2 B2
D2 R D B' D' F2 U2
D' R D B' U' R U'
R2 U B2 L D' R2 F'
D R D F2 D B' U2
D R D F2 D' B' U2
D R D F2 D2 B' U2
D R D F2 B' U2 D
D R D F2 B' U2 D'
D R D F2 B' U2 D2
D R D F2 B' D U2
D R D F2 B' D' U2
D R D F2 B' D2 U2
B' R D' L2 F L2 U2
D R D B' U2 D2 B2
D R D B' D2 U2 B2
D R D B' F2 U2 D
D R D B' F2 U2 D'
D R D B' F2 U2 D2
D R D B' F2 D U2
D R D B' F2 D' U2
D R D B' F2 D2 U2
D2 R D' U L2 U F
L' U B2 F2 L' R' F
L' U B2 F2 L' F R'
L' U B2 F2 R' L' F
B' R D' U' R U' B'
B' R D' U' R' U' B'
B' R D' U' R2 U' B'
B' R D' U2 R' B' R
L' U' L R B' U2 B'
B' R D' U2 R2 B' R2
B' R D' U2 B2 D B
B' R D' U2 B2 D' B
B' R D' U2 B2 D2 B
B' R D' F U2 D B'
B' R D' F U2 D' B'
B' R D' F U2 D2 B'
B' R D' F U2 B' D
B' R D' F U2 B' D'
B' R D' F U2 B' D2
B' R D' F D U2 B'
B' R D' F D' U2 B'
B' R D' F D2 U2 B'
B' R D' F' U2 D B'
B' R D' F' U2 D' B'
B' R D' F' U2 D2 B'
B' R D' F' U2 B' D
B' R D' F' U2 B' D'
B' R D' F' U2 B' D2
B' R D' F' D U2 B'
B' R D' F' D' U2 B'
B' R D' F' D2 U2 B'
R2 U B2 D' L R2 F'
R2 U B2 D' R2 L F'
R2 U B2 D' R2 F' L
B' R D' F2 U2 D B'
B' R D' F2 U2 D' B'
B' R D' F2 U2 D2 B'
B' R D' F2 U2 B' D
B' R D' F2 U2 B' D'
B' R D' F2 U2 B' D2
B' R D' F2 D U2 B'
B' R D' F2 D' U2 B'
B' R D' F2 D2 U2 B'
D2 R D' B' U L2 U
D2 R D' B' U2 D' B2
D2 R D' B' D F2 U2
D2 R D' B' D' U2 B2
D' R D' B' U' R U'
D R D' F B' U2 B'
D R D' F' B' U2 B'
B' R D2 L2 F L2 U2
D R D' F2 B' U2 B'
D R D' B' U2 D B'
D R D' B' U2 D' B'
D R D' B' U2 D2 B'
D R D' B' U2 B' D
D R D' B' U2 B' D'
D R D' B' U2 B' D2
D R D' B' D U2 B'
D R D' B' D' U2 B'
D R D' B' D2 U2 B'
D R D' B' F U2 B'
D R D' B' F' U2 B'
D R D' B' F2 U2 B'
L' U' L B' R U2 B'
B' R D2 U' R U' B'
B' R D2 U' R' U' B'
B' R D2 U' R2 U' B'
B' R D2 U2 R' B' R
B' R D2 U2 R2 B' R2
D2 R D2 F B' U2 B'
B' R D2 U2 B2 D B
B' R D2 U2 B2 D' B
B' R D2 U2 B2 D2 B
B' R D2 F U2 D B'
B' R D2 F U2 D' B'
B' R D2 F U2 D2 B'
B' R D2 F U2 B' D
B' R D2 F U2 B' D'
B' R D2 F U2 B' D2
B' R D2 F D U2 B'
B' R D2 F D' U2 B'
B' R D2 F D2 U2 B'
D2 R D2 F' B' U2 B'
B' R D2 F' U2 D B'
B' R D2 F' U2 D' B'
B' R D2 F' U2 D2 B'
B' R D2 F' U2 B' D
B' R D2 F' U2 B' D'
B' R D2 F' U2 B' D2
B' R D2 F' D U2 B'
B' R D2 F' D' U2 B'
B' R D2 F' D2 U2 B'
D2 R D2 F2 B' U2 B'
B' R D2 F2 U2 D B'
B' R D2 F2 U2 D' B'
B' R D2 F2 U2 D2 B'
B' R D2 F2 U2 B' D
B' R D2 F2 U2 B' D'
B' R D2 F2 U2 B' D2
B' R D2 F2 D U2 B'
B' R D2 F2 D' U2 B'
B' R D2 F2 D2 U2 B'
D2 R D2 B' U2 D B'
D2 R D2 B' U2 D' B'
D2 R D2 B' U2 D2 B'
D2 R D2 B' U2 B' D
D2 R D2 B' U2 B' D'
D2 R D2 B' U2 B' D2
D2 R D2 B' D U2 B'
D2 R D2 B' D' U2 B'
D2 R D2 B' D2 U2 B'
D2 R D2 B' F U2 B'
D2 R D2 B' F' U2 B'
D2 R D2 B' F2 U2 B'
D' R D2 B' U' R U'
F2 R D2 F2 R B' U2
F2 R D2 F2 B' R U2
B' R F L2 F L2 U2
F2 R D2 B' F2 R U2
D R D2 B' U' R2 U'
D R D2 B' U2 D B2
D R D2 B' D U2 B2
D R D2 B' D' F2 U2
F' R F R B' U2 B'
F R D2 F2 B' U2 L
B' R F U' R U' B'
B' R F U' R' U' B'
B' R F U' R2 U' B'
B' R F U2 R' B' R
B' R F U2 R2 B' R2
B' R F U2 D B' D
B' R F U2 D B' D'
B' R F U2 D B' D2
B' R F U2 D' B' D
B' R F U2 D' B' D'
B' R F U2 D' B' D2
D2 R F D F B' U2
B' R F U2 D2 B' D
B' R F U2 D2 B' D'
B' R F U2 D2 B' D2
D2 R F D B' F U2
B' R F U2 B2 D B
B' R F U2 B2 D' B
B' R F U2 B2 D2 B
F R D2 B' F2 U2 L
D2 R F D' F B' U2
B' R F D U2 B' D
B' R F D U2 B' D'
B' R F D U2 B' D2
B' R F D F U2 B'
B' R F D F' U2 B'
B' R F D F2 U2 B'
D2 R F D' B' F U2
D2 R F D2 F B' U2
B' R F D' U2 B' D
B' R F D' U2 B' D'
B' R F D' U2 B' D2
B' R F D' F U2 B'
B' R F D' F' U2 B'
B' R F D' F2 U2 B'
D2 R F D2 B' F U2
B' R F D2 U2 B' D
B' R F D2 U2 B' D'
B' R F D2 U2 B' D2
B' R F D2 F U2 B'
B' R F D2 F' U2 B'
B' R F D2 F2 U2 B'
D R F U L2 U F
D2 R F B' D F U2
D2 R F B' D' F U2
D2 R F B' D2 F U2
L2 U' L2 R B' U2 B'
F' R F B' R U2 B'
D R F D F2 B' U2
D R F D B' F2 U2
D R F D' B' U2 B'
B' R F' L2 F L2 U2
D R F B' U L2 U
R2 U' L2 U' F B2 L
R U' L2 R U' F B2
R U' L2 R U' B2 F
D R F B' U2 D' B2
D R F B' D F2 U2
D R F B' D' U2 B2
R2 U' L2 U' B2 F L
R U' L2 R' U' F B2
R U' L2 R' U' B2 F
R U' L2 R2 U' F B2
R U' L2 R2 U' B2 F
B' R F' U' R U' B'
B' R F' U' R' U' B'
B' R F' U' R2 U' B'
L' U' R L B' U2 B'
B' R F' U2 R' B' R
B' R F' U2 R2 B' R2
B' R F' U2 D B' D
B' R F' U2 D B' D'
B' R F' U2 D B' D2
B' R F' U2 D' B' D
B' R F' U2 D' B' D'
B' R F' U2 D' B' D2
B' R F' U2 D2 B' D
B' R F' U2 D2 B' D'
B' R F' U2 D2 B' D2
D2 R F' D F' B' U2
D2 R F' D B' F' U2
B' R F' U2 B2 D B
B' R F' U2 B2 D' B
B' R F' U2 B2 D2 B
R U' L2 U' F B2 D
R U' L2 U' F B2 D'
R U' L2 U' F B2 D2
R U' L2 U' B2 D F
R U' L2 U' B2 D' F
R U' L2 U' B2 D2 F
R U' L2 U' B2 F D
R U' L2 U' B2 F D'
R U' L2 U' B2 F D2
F R F B' U2 B' L'
B' R F' D U2 B' D
B' R F' D U2 B' D'
B' R F' D U2 B' D2
B' R F' D F U2 B'
D2 R F' D' F' B' U2
B' R F' D F' U2 B'
B' R F' D F2 U2 B'
D2 R F' D' B' F' U2
L2 U' L2 B' R U2 B'
B' R F' D' U2 B' D
B' R F' D' U2 B' D'
B' R F' D' U2 B' D2
B' R F' D' F U2 B'
D2 R F' D2 F' B' U2
B' R F' D' F' U2 B'
B' R F' D' F2 U2 B'
D2 R F' D2 B' F' U2
B' R F' D2 U2 B' D
B' R F' D2 U2 B' D'
B' R F' D2 U2 B' D2
B' R F' D2 F U2 B'
R U' L2 D' R2 U' F
B' R F' D2 F' U2 B'
B' R F' D2 F2 U2 B'
D R F' U L2 U F
D2 R F' B' D F' U2
D2 R F' B' D' F' U2
D2 R F' B' D2 F' U2
F' R F' B' U2 B' L'
F R F' R B' U2 B'
L2 U' R L2 B' U2 B'
D R F' D F2 B' U2
D R F' D B' F2 U2
B' R F2 L2 F L2 U2
D R F' D' B' U2 B'
D2 R F2 R' B' R U2
D2 R F2 R2 B' R2 U2
D R F' B' U L2 U
D R F' B' U2 D' B2
D R F' B' D F2 U2
D R F' B' D' U2 B2
D2 R F2 U' L2 U' F
R U' R L2 U' F B2
R U' R L2 U' B2 F
B' R F2 U' R U' B'
B' R F2 U' R' U' B'
D2 R F2 U2 L2 F L2
B' R F2 U' R2 U' B'
F2 R F2 R B' U2 B'
R U' R U B' U2 B'
B' R F2 U2 R' B' R
B' R F2 U2 R2 B' R2
B' R F2 U2 D B' D
B' R F2 U2 D B' D'
B' R F2 U2 D B' D2
B' R F2 U2 D' B' D
B' R F2 U2 D' B' D'
B' R F2 U2 D' B' D2
B' R F2 U2 D2 B' D
B' R F2 U2 D2 B' D'
B' R F2 U2 D2 B' D2
B' R F2 U2 B2 D B
B' R F2 U2 B2 D' B
B' R F2 U2 B2 D2 B
D2 R F2 D B' U2 D
D2 R F2 D B' U2 D'
D2 R F2 D B' U2 D2
D2 R F2 D B' D U2
D2 R F2 D B' D' U2
D2 R F2 D B' D2 U2
F R F' B' R U2 B'
B' R F2 D U2 B' D
B' R F2 D U2 B' D'
B' R F2 D U2 B' D2
B' R F2 D F U2 B'
B' R F2 D F' U2 B'
B' R F2 D F2 U2 B'
D2 R F2 D' B' U2 D
D2 R F2 D' B' U2 D'
D2 R F2 D' B' U2 D2
D2 R F2 D' B' D U2
D2 R F2 D' B' D' U2
D2 R F2 D' B' D2 U2
B' R F2 D' U2 B' D
B' R F2 D' U2 B' D'
B' R F2 D' U2 B' D2
B' R F2 D' F U2 B'
B' R F2 D' F' U2 B'
B' R F2 D' F2 U2 B'
D2 R F2 D2 B' U2 D
D2 R F2 D2 B' U2 D'
D2 R F2 D2 B' U2 D2
D2 R F2 D2 B' D U2
D2 R F2 D2 B' D' U2
D2 R F2 D2 B' D2 U2
B' R F2 D2 U2 B' D
B' R F2 D2 U2 B' D'
B' R F2 D2 U2 B' D2
D2 R F2 B U2 D2 F2
B' R F2 D2 F U2 B'
B' R F2 D2 F' U2 B'
B' R F2 D2 F2 U2 B'
D2 R F2 B D2 U2 F2
D' R F2 B' U L' U
D R F2 U L2 U F
D2 R F2 B2 D B U2
D2 R F2 B2 D' B U2
D2 R F2 B2 D2 B U2
D R F2 D F2 B' U2
D R F2 D B' F2 U2
D R F2 D' B' U2 B'
F2 R F2 B' R U2 B'
D R F2 B' U L2 U
D R F2 B' U2 D' B2
D R F2 B' D F2 U2
D R F2 B' D' U2 B2
R U' R' L2 U' F B2
R U' R' L2 U' B2 F
D2 R B U2 D2 F2 B2
D2 R B U2 D2 B2 F2
R U' R' U B' U2 B'
D2 R B D2 U2 F2 B2
D2 R B D2 U2 B2 F2
B' R B D2 F2 B' U2
B' R B D2 B' F2 U2
D2 R B F2 U2 D2 F2
D2 R B F2 D2 U2 F2
D2 R B' L F2 U2 R
D2 R B' L' F2 L U2
D2 R B' L2 F2 L2 U2
D2 R B' R F2 R' U2
D2 R B' R' F2 U2 L'
D2 R B' R2 F2 R2 U2
D2 R B' U D' L2 U
D' R B' U' R U' D
D' R B' U' R U' D'
D' R B' U' R U' D2
D' R B' U' R D U'
D' R B' U' R D' U'
D' R B' U' R D2 U'
D' R B' U' D R U'
D2 R B' U' D R2 U'
D' R B' U' D' R U'
D' R B' U' D2 R U'
R U' R2 L2 U' F B2
R U' R2 L2 U' B2 F
F2 R B' R U2 B' L'
D2 R B' U2 D2 B2 D
D2 R B' U2 D2 B2 D'
D2 R B' U2 D2 B2 D2
D2 R B' U2 B D2 B2
D2 R B' U2 B' D2 B2
D2 R B' U2 B2 D2 B2
R U' R2 U B' U2 B'
D2 R B' D U' R2 U'
D' R B' D U' R U'
F2 R B' R' U2 B' L'
D2 R B' D' U L2 U
F2 R B' R2 U2 B' L'
D' R B' D' U' R U'
F' R B' U2 B L B2
B' R B' D B U2 B'
D2 R B' D2 U2 B2 D
D2 R B' D2 U2 B2 D'
D2 R B' D2 U2 B2 D2
D2 R B' D2 F U2 B2
D' R B' D2 U' R U'
D2 R B' D2 F' U2 B2
D2 R B' D2 F2 U2 B2
B' R B' D' B U2 B'
D2 R B' F D F U2
D2 R B' F D' F U2
D2 R B' F D2 F U2
B' R B' D2 B U2 B'
D2 R B' F' D F' U2
D2 R B' F' D' F' U2
D2 R B' F' D2 F' U2
F2 R B' U2 D B' L'
F2 R B' U2 D' B' L'
D R B' U L2 U D
D R B' U L2 U D'
D R B' U L2 U D2
D R B' U L2 D U
D R B' U L2 D' U
D R B' U L2 D2 U
F2 R B' U2 D2 B' L'
F2 R B' U2 B L' B2
F2 R B' U2 B' L' D
F2 R B' U2 B' L' D'
F2 R B' U2 B' L' D2
D' R B' F2 U L' U
F2 R B' U2 B' D L'
F2 R B' U2 B' D' L'
F2 R B' U2 B' D2 L'
F' R B' F R U2 B'
F2 R B' U2 B2 L' B
U2 R B' U2 B R' B2
F2 R B' D U2 B' L'
D R B' U' D2 R2 U'
F' R B' F' U2 B' L'
F2 R B' D' U2 B' L'
D R B' U2 D' B2 D
D R B' U2 D' B2 D'
D R B' U2 D' B2 D2
D R B' U2 B D' B2
D R B' U2 B' D' B2
D R B' U2 B2 D' B2
F2 R B' D2 U2 B' L'
D R B' D F2 U2 D
D R B' D F2 U2 D'
D R B' D F2 U2 D2
D R B' D F2 D U2
D R B' D F2 D' U2
D R B' D F2 D2 U2
D R B' D' U2 B2 D
D R B' D' U2 B2 D'
D R B' D' U2 B2 D2
D R B' D' F U2 B2
D R B' D' F' U2 B2
D R B' D' F2 U2 B2
D R B' D2 U' R2 U'
F2 R B' F2 R U2 B'
D R B' F U L2 U
D R B' F U2 D' B2
U R B' U B U B2
D R B' F D F2 U2
D R B' F D' U2 B2
F R B' U2 D2 B' L
D R B' F' U L2 U
U2 R B2 L B U2 B'
D R B' F' U2 D' B2
D R B' F' D F2 U2
D R B' F' D' U2 B2
D R B' F2 U L2 U
D R B' F2 U2 D' B2
D R B' F2 D F2 U2
D R B' F2 D' U2 B2
U R B' U2 B' D' R2
F R B' D2 U2 B' L
B' R B2 U2 D2 F2 B
B' R B2 U2 D2 B F2
F R B' F U2 B' L'
F R B' F' R U2 B'
D2 R B2 D2 B U2 B
B R B2 R F' R' U2
B' R B2 D2 U2 F2 B
B' R B2 D2 U2 B F2
D2 R B2 F2 D B U2
D2 R B2 F2 D' B U2
D2 R B2 F2 D2 B U2
B R B2 U' R' U' B
B R B2 U2 R' B R
D R B2 D F2 B U2
D R B2 D B F2 U2
D R B2 D' B U2 B
R U' D' L2 R2 U' F
R U' D' R2 L2 U' F
R U' D' R2 U B' U2
B' R' L2 F L2 R2 U2
B' R' L2 F R2 L2 U2
F2 R' L2 F L B2 R'
U' R' U R2 B' U2 B'
B' R' U D' F2 U B'
U' R' U B' R2 U2 B'
L' U' F2 B2 L' R' F
L' U' F2 B2 L' F R'
L' U' F2 B2 R' L' F
B' R' U' D B2 U' B
B' R' U2 L2 D2 L2 B'
U R' U' R2 B' U2 B'
D2 R' U2 D2 L2 F B2
D2 R' U2 D2 L2 B2 F
F2 R' U2 L2 F L B2
B' R' U2 D' B' D' L2
B' R' U2 D2 B L2 B2
B' R' U2 D2 B' L2 D
B' R' U2 D2 B' L2 D'
B' R' U2 D2 B' L2 D2
B' R' U2 D2 B2 L2 B
U R' U' B' R2 U2 B'
B' R' U2 B' L D2 L2
B' R' U2 B' L' D2 L2
B' R' U2 B' L2 D2 L2
B' R' U2 B' U2 R2 U2
B' R' U2 B' D2 L2 D
B' R' U2 B' D2 L2 D'
B' R' U2 B' D2 L2 D2
B' R' U2 B2 D2 L2 B
B' R' U2 B2 D2 B L2
F R' U2 L2 F L' B2
F R' U2 L2 F B2 L'
F R' U2 L2 B2 F L'
B' R' D U' B2 U' B
L' U' B2 F2 L' R' F
L' U' B2 F2 L' F R'
L' U' B2 F2 R' L' F
B' R' D' U F2 U B'
L' U2 L R B' U2 B'
B' R' D' U2 B' D' L2
B' R' D2 R U2 B' L2
B' R' D2 R' U2 B' L2
L' U2 L B' R U2 B'
B' R' D2 R2 U2 B' L2
D2 R' D2 U2 L2 F B2
D2 R' D2 U2 L2 B2 F
B' R' D2 U2 B L2 B2
B' R' D2 U2 B' L2 D
B' R' D2 U2 B' L2 D'
B' R' D2 U2 B' L2 D2
B' R' D2 U2 B2 L2 B
B' R' D2 F U2 B' L2
R2 U2 L F B2 L F
B' R' D2 F' U2 B' L2
R2 U2 L F' B2 L F
D2 R' D2 B' U2 B' L2
B' R' D2 F2 U2 B' L2
R2 U2 L F2 B2 L F
R2 U2 L B2 L D F
R2 U2 L B2 L D' F
R2 U2 L B2 L D2 F
R2 U2 L B2 L F D
R2 U2 L B2 L F D'
R2 U2 L B2 L F D2
R2 U2 L B2 D L F
R2 U2 L B2 D' L F
R2 U2 L B2 D2 L F
R2 U2 L B2 F L F
R2 U2 L B2 F' L F
R2 U2 L B2 F2 L F
F2 R' D2 F2 R B' U2
F2 R' D2 F2 B' R U2
D2 R' F R2 F B' U2
F2 R' D2 B' F2 R U2
D2 R' F R2 B' F U2
F' R' F R B' U2 B'
R U2 L B2 L F L2
L U2 L' R B U2 B
B' R' F R2 U2 D B'
B' R' F R2 U2 D' B'
B' R' F R2 U2 D2 B'
B' R' F R2 U2 B' D
B' R' F R2 U2 B' D'
B' R' F R2 U2 B' D2
B' R' F R2 D U2 B'
B' R' F R2 D' U2 B'
B' R' F R2 D2 U2 B'
B' R' F R2 F U2 B'
B' R' F R2 F' U2 B'
B' R' F R2 F2 U2 B'
B' R' F U2 D2 B' L2
B' R' F U2 B' D2 L2
F R' D2 F2 B' U2 L
D2 R' F B' R2 F U2
F R' D2 B' F2 U2 L
B' R' F D2 U2 B' L2
R' U2 L2 D2 F L2 B'
L2 U2 L2 R B' U2 B'
R' U2 L2 F B2 D2 L2
F' R' F B' R U2 B'
R2 U2 L' B2 L' F L2
R' U2 L2 B2 D2 F L2
R' U2 L2 B2 F D2 L2
D2 R' F' R2 B' U2 B2
B' R' F' R2 U2 D B'
B' R' F' R2 U2 D' B'
B' R' F' R2 U2 D2 B'
B' R' F' R2 U2 B' D
B' R' F' R2 U2 B' D'
B' R' F' R2 U2 B' D2
B' R' F' R2 D U2 B'
B' R' F' R2 D' U2 B'
B' R' F' R2 D2 U2 B'
B' R' F' R2 F U2 B'
B' R' F' R2 F' U2 B'
B' R' F' R2 F2 U2 B'
L' U2 R L B' U2 B'
B' R' F' U2 D2 B' L2
B' R' F' U2 B' D2 L2
R2 U2 L2 F L B2 L
R2 U2 L2 F L' B2 L
R2 U2 L2 F L2 B2 L
R2 U2 L2 F B2 L D
R2 U2 L2 F B2 L D'
R2 U2 L2 F B2 L D2
R2 U2 L2 F B2 D L
