F2 L2 U F B
F2 L2 U B F
D' U L2 F B
D' U L2 B F
U D' L2 F B
U D' L2 B F
F2 U B D2 F2
F2 U' B' U2 B2
L2 F2 U F' B
L2 F2 U B F'
F2 U D2 F B D2 F2
F2 U D2 F' B D2 F2
D2 U F2 D L2 F B
D2 U F2 D L2 B F
F2 U D2 F2 B D2 F2
L D' L U F L B
D U F' D2 L2 F B
D U F' D2 L2 B F
F2 U D2 B U2 B2 U2
F2 U D2 B D2 F2 D
F2 U D2 B D2 F2 D'
F2 U D2 B D2 F2 D2
F2 U D2 B F D2 F2
F2 U D2 B F' D2 F2
F2 U D2 B F2 D2 F2
D' U F2 B L2 D2 F2
D U F' B D2 L2 F2
D U F' B D2 F2 L2
U' D F2 B' R2 U2 B2
D' U B L D2 L F2
D' U B L D2 F2 L
D' U B L' D2 L' F2
F2 U F L2 F L2 B
F2 U F L2 F B L2
F2 U F L2 B F L2
D' U B L2 U2 B2 U2
D' U B L2 D2 F2 D
D' U B L2 D2 F2 D'
D' U B L2 D2 F2 D2
D' U B L2 F D2 F2
D' U B L2 F' D2 F2
D' U B L2 F2 D2 F2
U D F' D2 L2 F B
U D F' D2 L2 B F
U D F' B D2 L2 F2
U D F' B D2 F2 L2
F' U F D' L2 F B
F' U F D' L2 B F
U' D B R2 B2 U2 B2
F2 U F U2 B' U2 B2
D' U B U2 B2 U2 L2
F2 U F D B D2 F2
F2 U F D' B D2 F2
F2 U F D2 B D2 F2
D U F2 D2 L2 F B
D U F2 D2 L2 B F
D' U B D2 F2 D2 L2
F2 U F B U2 B2 U2
F2 U F B D2 F2 D
F2 U F B D2 F2 D'
F2 U F B D2 F2 D2
D' U B F L2 D2 F2
D U F2 B D2 L2 F2
D U F2 B D2 F2 L2
D' U B F' L2 D2 F2
D' U B F2 L2 D2 F2
D U B L D2 L2 F2
D U B L D2 F2 L2
R' D' R U L2 F B
R' D' R U L2 B F
D U B L' D2 L2 F2
D U B L' D2 F2 L2
F2 U F' L2 F L2 B
F2 U F' L2 F B L2
F2 U F' L2 B F L2
D U B L2 D2 L2 F2
D U B L2 D2 F2 L2
D' U B' L2 B2 D2 F2
U D F2 D2 L2 F B
U D F2 D2 L2 B F
U' D B' R' U2 B2 L
U D F2 B D2 L2 F2
U D F2 B D2 F2 L2
U' D B' R2 U2 B2 D
U' D B' R2 U2 B2 D'
U' D B' R2 U2 B2 D2
U' D B' R2 D2 F2 U2
U' D B' R2 F U2 B2
U' D B' R2 F' U2 B2
U' D B' R2 F2 U2 B2
U D B L D2 L2 F2
U D B L D2 F2 L2
U D B L' D2 L2 F2
U D B L' D2 F2 L2
F2 U F' U2 B' U2 B2
D U B U2 R2 B2 U2
F2 U F' D B D2 F2
U D B L2 D2 L2 F2
U D B L2 D2 F2 L2
B' U F2 L B U B
U' D B' U2 B2 D2 L2
D U B U2 B2 R2 U2
F2 U F' D' B D2 F2
B' U F2 L' B U B
F2 U F' D2 B D2 F2
B' U F2 L2 B U B
D U B D2 L F2 L
D U B D2 L2 F2 D
D U B D2 L2 F2 D'
D U B D2 L2 F2 D2
F2 U F' B U2 B2 U2
F2 U F' B D2 F2 D
F2 U F' B D2 F2 D'
F2 U F' B D2 F2 D2
U' D B' D2 F2 U2 L2
D U B D2 F' L2 F'
D U B D2 F2 L2 D
D U B D2 F2 L2 D'
D U B D2 F2 L2 D2
U' D B' F R2 U2 B2
D U B F D2 L2 F2
D U B F D2 F2 L2
U' D B' F' R2 U2 B2
D U B F' D2 L2 F2
D U B F' D2 F2 L2
U' D B' F2 R2 U2 B2
U D B U2 R2 B2 U2
D U B F2 D2 L2 F2
D U B F2 D2 F2 L2
U D B U2 B2 R2 U2
F2 U F2 L2 F L2 B
F2 U F2 L2 F B L2
F2 U F2 L2 B F L2
B' U F2 D L2 B U
U D B D2 L F2 L
U D B D2 L2 F2 D
U D B D2 L2 F2 D'
U D B D2 L2 F2 D2
B' U F2 D B L2 U
U D B D2 F' L2 F'
U D B D2 F2 L2 D
U D B D2 F2 L2 D'
U D B D2 F2 L2 D2
U D B F D2 L2 F2
U D B F D2 F2 L2
U' D B2 R2 U2 F' B'
U' D B2 R2 U2 B' F'
B' U F2 B L U B
U D B F' D2 L2 F2
B' U F2 B L' U B
U D B F' D2 F2 L2
B' U F2 B L2 U B
D U B' R2 U2 R2 B2
B' U F2 B U D B
B' U F2 B U D' B
B' U F2 B U D2 B
D U B' R2 U2 B2 R2
B' U F2 B U B D
B' U F2 B U B D'
B' U F2 B U B D2
B' U F2 B D U B
B' U F2 B D' U B
B' U F2 B D2 U B
U D B F2 D2 L2 F2
U D B F2 D2 F2 L2
F2 U F2 U2 B' U2 B2
F U F' D' L2 F B
F U F' D' L2 B F
B' U B L F2 U B
F2 U F2 D B D2 F2
B' U B L' F2 U B
F2 U F2 D' B D2 F2
F2 U F2 D2 B D2 F2
B' U B L2 F2 U B
F2 U F2 B U2 B2 U2
U D B' R2 U2 R2 B2
F2 U F2 B D2 F2 D
F2 U F2 B D2 F2 D'
F2 U F2 B D2 F2 D2
U D B' R2 U2 B2 R2
F2 U B L D2 L' F2
B' U B U D' L2 B
B' U B U D' B L2
B' U B U B D' L2
F2 U B L' D2 L F2
F2 U B L' D2 F2 L
F2 U B R D2 R' F2
F2 U B R D2 F2 R'
F2 U B R' D2 R F2
B' U B D' U L2 B
B' U B D' U B L2
F2 U B U D L2 U'
F2 U B U' D' R2 U
B' U B F2 L U B
B' U B F2 L' U B
B' U B F2 L2 U B
B' U B F2 U D B
B' U B F2 U D' B
B' U B F2 U D2 B
B' U B F2 U B D
B' U B F2 U B D'
B' U B F2 U B D2
B' U B F2 D U B
B' U B F2 D' U B
B' U B F2 D2 U B
F2 U B U2 B2 U2 D
F2 U B U2 B2 U2 D'
F2 U B U2 B2 U2 D2
F2 U B U2 B2 D U2
F2 U B U2 B2 D' U2
F2 U B U2 B2 D2 U2
F2 U B D U L2 U'
F2 U B D F D F2
F2 U B D F' D F2
F2 U B D F2 D F2
F2 U B D' U' R2 U
F2 U B D' F D' F2
F2 U B D' F' D' F2
F2 U B D' F2 D' F2
F2 U B D2 L' F2 L
F2 U B D2 L2 F2 L2
F2 U B D2 R F2 R'
F2 U B D2 R2 F2 R2
F2 U B D2 F D F
F2 U B D2 F D' F
F2 U B D2 F D2 F
F2 U B D2 F' D F'
F2 U B D2 F' D' F'
F2 U B D2 F' D2 F'
F2 U B F U2 B2 U2
F2 U B F D2 F2 D
F2 U B F D2 F2 D'
F2 U B F D2 F2 D2
F2 U B F' U2 B2 U2
F2 U B F' D2 F2 D
F2 U B F' D2 F2 D'
F2 U B F' D2 F2 D2
F2 U B F2 U2 B2 U2
F2 U B F2 D2 F2 D
F2 U B F2 D2 F2 D'
F2 U B F2 D2 F2 D2
R2 D' R2 U L2 F B
R2 D' R2 U L2 B F
U D' L D L F B
U D' L D L B F
L2 D' U L2 B D2 F2
U2 D' L' U' L' F B
U2 D' L' U' L' B F
U D' L D' L F B
U D' L D' L B F
U2 D' L' U' B L' F
U D' L D2 L F B
U D' L D2 L B F
R2 D' U L2 F D2 B2
U D' L F L F B
U D' L F L B F
L2 D' U F L' B L'
L2 D' U F L2 D B
L2 D' U F L2 D' B
L2 D' U F L2 D2 B
L2 D' U F L2 B D
L2 D' U F L2 B D'
L2 D' U F L2 B D2
U D' L F' L F B
U D' L F' L B F
L2 D' U F B L2 D
L2 D' U F B L2 D'
L2 D' U F B L2 D2
L2 D' U F B' L2 B2
L2 D' U F' L2 F2 B
L2 D' U F' L2 B F2
U D' L F2 L F B
U D' L F2 L B F
L2 D' U F' B L2 F2
L2 D' U F2 L2 F' B
L2 D' U F2 L2 B F'
L2 D' U F2 B L2 F'
L2 D' U B F L2 D
L2 D' U B F L2 D'
L2 D' U B F L2 D2
L2 D' U B F' L2 F2
L2 D' U B F2 L2 F'
F2 U B2 R2 F' R2 B'
F2 U B2 R2 F' B' R2
F2 U B2 R2 B' F' R2
L2 D' U B' F L2 B2
R2 D' U F2 L2 F B'
R2 D' U F2 L2 B' F
U' D' L2 D2 F B R2
D' U' L2 D2 F B R2
U' D' L2 D2 B R2 F
U' D' L2 D2 B F R2
D' U' L2 D2 B R2 F
D' U' L2 D2 B F R2
F2 U B2 U2 B U2 B2
U' D' L2 F D2 B R2
U' D' L2 F B D2 R2
D' U' L2 F D2 B R2
D' U' L2 F B D2 R2
F2 U B2 D B' D2 F2
F2 U B2 D' B' D2 F2
U' D' L2 B D2 R2 F
U' D' L2 B D2 F R2
U' D' L2 B F D2 R2
F2 U B2 D2 B' D2 F2
D' U' L2 B D2 R2 F
D' U' L2 B D2 F R2
D' U' L2 B F D2 R2
R2 D' U' F' U2 L2 F
R2 D' U' F' B' U2 L2
U D' L' B L' D F
U D' L' B L' D' F
U D' L' B L' D2 F
U D' L' B L' F D
U D' L' B L' F D'
U D' L' B L' F D2
U D' L' B' L' F B2
U D' L' B' L' B2 F
R2 D' U' B' F' U2 L2
U D' L2 R F R' B
U D' L2 D F D B
U D' L2 D F D' B
U D' L2 D F D2 B
U D' L2 D F B D
U D' L2 D F B D'
U D' L2 D F B D2
U D' L2 D B D F
U D' L2 D B D' F
U D' L2 D B D2 F
U D' L2 D B F D
U D' L2 D B F D'
U D' L2 D B F D2
U D' L2 D' F D B
U D' L2 D' F D' B
U D' L2 D' F D2 B
U D' L2 D' F B D
U D' L2 D' F B D'
U D' L2 D' F B D2
U D' L2 D' B D F
U D' L2 D' B D' F
U D' L2 D' B D2 F
U D' L2 D' B F D
U D' L2 D' B F D'
U D' L2 D' B F D2
U D' L2 D2 F D B
U D' L2 D2 F D' B
U D' L2 D2 F D2 B
U D' L2 D2 F B D
U D' L2 D2 F B D'
U D' L2 D2 F B D2
U D' L2 D2 B D F
U D' L2 D2 B D' F
U D' L2 D2 B D2 F
U D' L2 D2 B F D
U D' L2 D2 B F D'
U D' L2 D2 B F D2
U D' L2 F L B L'
U D' L2 F L2 B L2
U D' L2 F D B D
U D' L2 F D B D'
U D' L2 F D B D2
U D' L2 F D' B D
U D' L2 F D' B D'
U D' L2 F D' B D2
U D' L2 F D2 B D
U D' L2 F D2 B D'
U D' L2 F D2 B D2
U D' L2 F B2 D B'
U D' L2 F B2 D' B'
U D' L2 F B2 D2 B'
U D' L2 F2 D F' B
U D' L2 F2 D B F'
U D' L2 F2 D' F' B
U D' L2 F2 D' B F'
U D' L2 F2 D2 F' B
U D' L2 F2 D2 B F'
U D' L2 F2 B D F'
U D' L2 F2 B D' F'
U D' L2 F2 B D2 F'
U D' L2 B R F R'
U D' L2 B R2 F R2
U D' L2 B D F D
U D' L2 B D F D'
U D' L2 B D F D2
U D' L2 B D' F D
U D' L2 B D' F D'
U D' L2 B D' F D2
U D' L2 B D2 F D
U D' L2 B D2 F D'
U D' L2 B D2 F D2
U D' L2 B F2 D F'
U D' L2 B F2 D' F'
U D' L2 B F2 D2 F'
U D' L2 B2 D F B'
U D' L2 B2 D B' F
U D' L2 B2 D' F B'
U D' L2 B2 D' B' F
U D' L2 B2 D2 F B'
U D' L2 B2 D2 B' F
U D' L2 B2 F D B'
U D' L2 B2 F D' B'
U D' L2 B2 F D2 B'
U D' R L2 F R' B
D U' R B' R F' U2
R D' F L' U L' F
U' D' R2 F' U2 L2 F
D' U' R2 F' U2 L2 F
L2 D' F' U L2 F2 B
L2 D' F' U L2 B F2
D' U' R2 F' B' U2 L2
U' D' R2 F' B' U2 L2
L2 D' F' U F2 L2 B
L2 D' F' U F2 B L2
L2 D' F' U B L2 F2
L2 D' F' U B F2 L2
U' D' R2 B' F' U2 L2
D' U' R2 B' F' U2 L2
D' U' F U2 L2 F B
D' U' F U2 L2 B F
U' D' F U2 L2 F B
U' D' F U2 L2 B F
D U' R2 D F' B' U2
D U' R2 D B' F' U2
L2 D' F2 U L2 F' B
L2 D' F2 U L2 B F'
D U' R2 D' F' B' U2
L2 D' F2 U F' L2 B
L2 D' F2 U F' B L2
L2 D' F2 U B L2 F'
D U' R2 D' B' F' U2
L2 D' F2 U B F' L2
D U' R2 D2 F' B' U2
D U' R2 D2 B' F' U2
D' U' F B' U2 L2 B2
U' D' F B' U2 L2 B2
R2 D' F2 U L2 F B'
R2 D' F2 U L2 B' F
D' U' F B' U2 B2 L2
U' D' F B' U2 B2 L2
D U' R2 F' D B' U2
D U' R2 F' D' B' U2
D U' R2 F' D2 B' U2
D U' R2 F' B' U2 D
D U' R2 F' B' U2 D'
D U' R2 F' B' U2 D2
D U' R2 F' B' D U2
D U' R2 F' B' D' U2
D U' R2 F' B' D2 U2
D U' R2 B' D F' U2
D U' R2 B' D' F' U2
D U' R2 B' D2 F' U2
D U' R2 B' F' U2 D
D U' R2 B' F' U2 D'
D U' R2 B' F' U2 D2
D U' R2 B' F' D U2
D U' R2 B' F' D' U2
D U' R2 B' F' D2 U2
D' U' F' U2 L2 F B
D' U' F' U2 L2 B F
U' D' F' U2 L2 F B
U' D' F' U2 L2 B F
D U' F R2 F' B' U2
D U' F R2 B' F' U2
U D' F L' B L' F
U D' F L2 D F B
U D' F L2 D B F
U D' F L2 D' F B
U D' F L2 D' B F
U D' F L2 D2 F B
U D' F L2 D2 B F
U D' F L2 F D B
U D' F L2 F D' B
U D' F L2 F D2 B
U D' F L2 F B D
U D' F L2 F B D'
U D' F L2 F B D2
U D' F L2 B D F
U D' F L2 B D' F
U D' F L2 B D2 F
U D' F L2 B F D
U D' F L2 B F D'
U D' F L2 B F D2
U' D' F' B' U2 L2 B2
U' D' F' B' U2 B2 L2
D' U' F' B' U2 L2 B2
D' U' F' B' U2 B2 L2
F2 U' R' B' R U2 B
D U' F B' R2 U2 B2
U D' F B L2 D2 F2
U' D' F2 U2 L2 F B
D' U' F2 U2 L2 F B
U' D' F2 U2 L2 B F
D' U' F2 U2 L2 B F
D U' F' R2 F' B' U2
D U' F' R2 B' F' U2
U D' F' L' B L' F
F2 U' R2 F' R2 B' U2
U D' F' L2 D F B
U D' F' L2 D B F
U D' F' L2 D' F B
U D' F' L2 D' B F
U D' F' L2 D2 F B
U D' F' L2 D2 B F
U D' F' L2 F D B
U D' F' L2 F D' B
U D' F' L2 F D2 B
U D' F' L2 F B D
U D' F' L2 F B D'
U D' F' L2 F B D2
F2 U' R2 F' B' R2 U2
U D' F' L2 B D F
U D' F' L2 B D' F
U D' F' L2 B D2 F
U D' F' L2 B F D
U D' F' L2 B F D'
U D' F' L2 B F D2
D' U' F2 B' U2 L2 B2
D' U' F2 B' U2 B2 L2
U' D' F2 B' U2 L2 B2
U' D' F2 B' U2 B2 L2
F2 U' R2 B' R2 U2 B
F2 U' R2 B' F' R2 U2
U' D' B L2 D2 R2 F2
D' U' B L2 D2 R2 F2
U' D' B L2 D2 F2 R2
D' U' B L2 D2 F2 R2
D U' F' B' R2 U2 B2
U D' F' B L2 D2 F2
F2 U' D F B' U2 B2
D U' F2 R2 F' B' U2
F2 U' D F' B' U2 B2
D U' F2 R2 B' F' U2
F2 U' D F2 B' U2 B2
U D' F2 L' B L' F
U D' F2 L2 D F B
U D' F2 L2 D B F
U D' F2 L2 D' F B
U D' F2 L2 D' B F
U D' F2 L2 D2 F B
U D' F2 L2 D2 B F
U D' F2 L2 F D B
U D' F2 L2 F D' B
U D' F2 L2 F D2 B
U D' F2 L2 F B D
U D' F2 L2 F B D'
U D' F2 L2 F B D2
U D' F2 L2 B D F
U D' F2 L2 B D' F
U D' F2 L2 B D2 F
U D' F2 L2 B F D
U D' F2 L2 B F D'
U D' F2 L2 B F D2
F2 U' D B' U2 B2 D
F2 U' D B' U2 B2 D'
F2 U' D B' U2 B2 D2
F2 U' D B' D2 F2 U2
F2 U' D B' F U2 B2
F2 U' D B' F' U2 B2
F2 U' D B' F2 U2 B2
B' U' D' R2 F' U' L2
D U' F2 B' R2 U2 B2
U' D' B' R U2 L2 B2
U' D' B' R U2 B2 L2
D' U' B' R U2 L2 B2
D' U' B' R U2 B2 L2
B2 U' D' R2 F' B' L2
B2 U' D' R2 B' L2 F'
B2 U' D' R2 B' F' L2
U' D' B' R' U2 L2 B2
U' D' B' R' U2 B2 L2
D' U' B' R' U2 L2 B2
D' U' B' R' U2 B2 L2
U' D' B' R2 U2 L2 B2
U' D' B' R2 U2 B2 L2
D' U' B' R2 U2 L2 B2
D' U' B' R2 U2 B2 L2
F2 U' D' F B' U2 B2
U D' F2 B L2 D2 F2
F2 U' D' F' B' U2 B2
U' D' B' U2 L' B2 L'
U' D' B' U2 L2 B2 D
U' D' B' U2 L2 B2 D'
U' D' B' U2 L2 B2 D2
D' U' B' U2 L' B2 L'
D' U' B' U2 L2 B2 D
D' U' B' U2 L2 B2 D'
D' U' B' U2 L2 B2 D2
U' D' B' U2 B L2 B
U' D' B' U2 B2 L2 D
U' D' B' U2 B2 L2 D'
U' D' B' U2 B2 L2 D2
D' U' B' U2 B L2 B
F2 U' D' F2 B' U2 B2
D' U' B' U2 B2 L2 D
D' U' B' U2 B2 L2 D'
D' U' B' U2 B2 L2 D2
U D' B L D2 L F2
F2 U' D' B' U2 B2 D
F2 U' D' B' U2 B2 D'
F2 U' D' B' U2 B2 D2
U D' B L D2 F2 L
D U' B R2 B2 U2 B2
F2 U' D' B' D2 F2 U2
F2 U' D' B' F U2 B2
D2 U' B' U' B' U' B'
F2 U' D' B' F' U2 B2
F2 U' D' B' F2 U2 B2
U' D' B' D2 R2 F2 U2
D' U' B' D2 R2 F2 U2
U' D' B' D2 F2 R2 U2
U D' B L' D2 L' F2
D' U' B' D2 F2 R2 U2
U' D' B' F U2 L2 B2
U' D' B' F U2 B2 L2
U D' B L2 U2 B2 U2
D' U' B' F U2 L2 B2
D' U' B' F U2 B2 L2
U D' B L2 D2 F2 D
U D' B L2 D2 F2 D'
U D' B L2 D2 F2 D2
U D' B L2 F D2 F2
U D' B L2 F' D2 F2
U D' B L2 F2 D2 F2
U' D' B' F' U2 L2 B2
D' U' B' F' U2 L2 B2
U' D' B' F' U2 B2 L2
D' U' B' F' U2 B2 L2
U' D' B' F2 U2 L2 B2
U' D' B' F2 U2 B2 L2
D' U' B' F2 U2 L2 B2
D' U' B' F2 U2 B2 L2
B U' D' R2 B' U L2
F2 U' D2 F B' U2 B2
U D' B U2 B2 U2 L2
F2 U' D2 F' B' U2 B2
F2 U' D2 F2 B' U2 B2
B U' D' B' R2 U L2
U D' B D2 F2 D2 L2
F2 U' D2 B' U2 B2 D
F2 U' D2 B' U2 B2 D'
F2 U' D2 B' U2 B2 D2
U D' B F L2 D2 F2
F2 U' D2 B' D2 F2 U2
F2 U' D2 B' F U2 B2
F2 U' D2 B' F' U2 B2
F2 U' D2 B' F2 U2 B2
U D' B F' L2 D2 F2
D U' B' R' U2 B2 L
U D' B F2 L2 D2 F2
D U' B' R2 U2 B2 D
D U' B' R2 U2 B2 D'
D U' B' R2 U2 B2 D2
D U' B' R2 D2 F2 U2
D U' B' R2 F U2 B2
D U' B' R2 F' U2 B2
D U' B' R2 F2 U2 B2
U D' B' L2 B2 D2 F2
D U' B' U2 B2 D2 L2
D U' B' D2 F2 U2 L2
D U' B' F R2 U2 B2
D U' B' F' R2 U2 B2
F2 U' F U2 B D2 F2
D U' B' F2 R2 U2 B2
F2 U' F D B' U2 B2
F2 U' F D' B' U2 B2
F2 U' F D2 B' U2 B2
F2 U' F B' U2 B2 D
F2 U' F B' U2 B2 D'
F2 U' F B' U2 B2 D2
F2 U' F B' D2 F2 U2
D U' B2 R2 U2 F' B'
D U' B2 R2 U2 B' F'
D' U2 L' U' L' F B
D' U2 L' U' L' B F
F2 U' F' U2 B D2 F2
D' U2 L' U' B L' F
F2 U' F' D B' U2 B2
F2 U' F' D' B' U2 B2
F2 U' F' D2 B' U2 B2
F2 U' F' B' U2 B2 D
F2 U' F' B' U2 B2 D'
F2 U' F' B' U2 B2 D2
F2 U' F' B' D2 F2 U2
F2 U' F2 U2 B D2 F2
F2 U' F2 D B' U2 B2
F2 U' F2 D' B' U2 B2
F2 U' F2 D2 B' U2 B2
F2 U' F2 B' U2 B2 D
F2 U' F2 B' U2 B2 D'
F2 U' F2 B' U2 B2 D2
F2 U' F2 B' D2 F2 U2
B U' F2 D' R2 B' U
B U' F2 D' B' R2 U
D2 U2 L2 B2 U' F B'
D2 U2 L2 B2 U' B' F
B U' F2 D2 B' U F2
B U' F2 B' U' B' U2
F2 U' B' L' U2 B2 R'
U2 D2 L2 B2 U' F B'
U2 D2 L2 B2 U' B' F
F' U' B' U F' U B2
F2 U' B' R U2 B2 L
F2 U' B' U L U B2
F2 U' B' U L' U B2
F2 U' B' U L2 U B2
F2 U' B' U D L2 U
F2 U' B' U' R U' B2
F2 U' B' U' R' U' B2
F2 U' B' U' R2 U' B2
U D2 L2 D F L2 B
U D2 L2 D F B L2
F2 U' B' U' D' R2 U'
U D2 L2 D B F L2
F2 U' B' U2 L B2 L'
F2 U' B' U2 L2 B2 L2
F2 U' B' U2 R' B2 R
F2 U' B' U2 R2 B2 R2
F2 U' B' U2 B D B
F2 U' B' U2 B D' B
F2 U' B' U2 B D2 B
F2 U' B' U2 B' D B'
F2 U' B' U2 B' D' B'
F2 U' B' U2 B' D2 B'
F2 U' B' D U L2 U
F2 U' B' D' U' R2 U'
U D2 L2 F D L2 B
U D2 L2 F D B L2
F2 U' B' D2 F2 U2 D
F2 U' B' D2 F2 U2 D'
F2 U' B' D2 F2 U2 D2
F2 U' B' D2 F2 D U2
F2 U' B' D2 F2 D' U2
F2 U' B' D2 F2 D2 U2
F2 U' B' F U2 B2 D
F2 U' B' F U2 B2 D'
F2 U' B' F U2 B2 D2
F2 U' B' F D2 F2 U2
F2 U' B' F' U2 B2 D
F2 U' B' F' U2 B2 D'
F2 U' B' F' U2 B2 D2
F2 U' B' F' D2 F2 U2
F2 U' B' F2 U2 B2 D
F2 U' B' F2 U2 B2 D'
F2 U' B' F2 U2 B2 D2
F2 U' B' F2 D2 F2 U2
L2 D2 U F D L2 B
L2 D2 U F D B L2
B U' B' U D' L2 F
B U' B' D' U L2 F
F U' B' U F U B2
F2 U' B2 U2 B' D2 F2
F2 U' B2 D B U2 B2
B U' B' F2 U' B' U2
F2 U' B2 D' B U2 B2
F2 U' B2 D2 B U2 B2
L2 D2 U2 B2 U' F B'
L2 D2 U2 B2 U' B' F
F2 U2 L2 U' D F B
F2 U2 L2 U' D B F
F2 U2 L2 U' D' F B
F2 U2 L2 U' D' B F
F2 U2 L2 U' D2 F B
F2 U2 L2 U' D2 B F
F2 U2 L2 U' F D B
F2 U2 L2 U' F D' B
F2 U2 L2 U' F D2 B
F2 U2 L2 U' F B D
F2 U2 L2 U' F B D'
F2 U2 L2 U' F B D2
F2 U2 L2 U' B D F
F2 U2 L2 U' B D' F
F2 U2 L2 U' B D2 F
F2 U2 L2 U' B F D
F2 U2 L2 U' B F D'
F2 U2 L2 U' B F D2
F2 U2 L2 D U' F B
F2 U2 L2 D U' B F
F2 U2 L2 D' U' F B
F2 U2 L2 D' U' B F
F2 U2 L2 D2 U' F B
F2 U2 L2 D2 U' B F
U D2 F D L2 F B
U D2 F D L2 B F
U D2 F' D L2 F B
U D2 F' D L2 B F
F U2 L2 B' U' F B2
F U2 L2 B' U' B2 F
U D2 F2 D L2 F B
U D2 F2 D L2 B F
U' D2 B' U' B' U' B'
F2 U2 R2 U F' B' U2
F2 U2 R2 U B' F' U2
D2 U2 B2 R2 U' F' B'
D2 U2 B2 R2 U' B' F'
D2 U2 B2 U B U2 B2
D2 U2 B2 U' B' D2 F2
F2 U2 D L2 U' F B
F2 U2 D L2 U' B F
U2 D2 B2 R2 U' F' B'
U2 D2 B2 R2 U' B' F'
U2 D2 B2 U B U2 B2
U2 D2 B2 U' B' D2 F2
F2 U2 D' L2 U' F B
F2 U2 D' L2 U' B F
B2 U2 D' R2 F' B' L2
B2 U2 D' R2 B' L2 F'
B2 U2 D' R2 B' F' L2
D' F L' U L' F B
D' F L' U L' B F
D' F L' U B L' F
F2 U2 D2 L2 U' F B
F2 U2 D2 L2 U' B F
L' F L' U F B L
L' F L' U B F L
U F L2 F B D L2
B' U2 F2 B U F2 B
B' U2 F2 B U B F2
U F L2 B D F L2
U F L2 B F D L2
B' U2 B F2 U F2 B
B' U2 B F2 U B F2
D' F U L' B L' F
D' F U L2 D F B
D' F U L2 D B F
D' F U L2 D' F B
D' F U L2 D' B F
D' F U L2 D2 F B
D' F U L2 D2 B F
D' F U L2 F D B
D' F U L2 F D' B
D' F U L2 F D2 B
D' F U L2 F B D
D' F U L2 F B D'
D' F U L2 F B D2
D' F U L2 B D F
D' F U L2 B D' F
D' F U L2 B D2 F
D' F U L2 B F D
D' F U L2 B F D'
D' F U L2 B F D2
B' U2 B' D' R2 B' L2
B' U2 B' D' B' L2 R2
B' U2 B' D' B' R2 L2
D2 F U D L2 F B
D2 F U D L2 B F
D' F U F L2 F B
D' F U F L2 B F
D' F U F' L2 F B
D' F U F' L2 B F
D' F U F2 L2 F B
D' F U F2 L2 B F
D' F U B L2 D2 F2
B' U2 B2 U' F2 B' U
B' U2 B2 U' B' F2 U
D F U D2 L2 F B
D F U D2 L2 B F
D' F U' B' U2 L2 B2
D' F U' B' U2 B2 L2
D F U B D2 L2 F2
D F U B D2 F2 L2
B U2 B2 U F2 B U
B U2 B2 U B F2 U
D F U' R2 F' B' U2
D F U' R2 B' F' U2
D F U' B' R2 U2 B2
D2 F D U L2 F B
D2 F D U L2 B F
B2 D L2 R2 F U2 F2
F2 D L2 U D F B
F2 D L2 U D B F
F2 D L2 U D' F B
F2 D L2 U D' B F
F2 D L2 U D2 F B
F2 D L2 U D2 B F
F2 D L2 U F D B
F2 D L2 U F D' B
F2 D L2 U F D2 B
F2 D L2 U F B D
F2 D L2 U F B D'
F2 D L2 U F B D2
F2 D L2 U B D F
F2 D L2 U B D' F
F2 D L2 U B D2 F
F2 D L2 U B F D
F2 D L2 U B F D'
F2 D L2 U B F D2
L2 F D F U F' B
L2 F D F U B F'
F2 D L2 D U F B
F2 D L2 D U B F
F' D L2 F' U F2 B
F' D L2 F' U B F2
F2 D L2 D' U F B
F2 D L2 D' U B F
B2 D L2 F R2 U2 F'
B2 D L2 F B R2 U2
F2 D L2 D2 U F B
F2 D L2 D2 U B F
B2 D L2 B R2 F U2
B2 D L2 B F R2 U2
L2 F D' F U F' B
L2 F D' F U B F'
R2 F D' F L2 U F
L2 F D2 F U F' B
L2 F D2 F U B F'
D F D2 U L2 F B
D F D2 U L2 B F
B2 D R2 L2 F U2 F2
U' F B' U F U B2
F2 D R2 U' F' B' U2
F2 D R2 U' B' F' U2
L2 F B U' F B' U
L2 F B U' B' F U
F2 D U L2 F L2 B
F2 D U L2 F B L2
F2 D U L2 B F L2
F2 D U F B D2 F2
F2 D U F' B D2 F2
F2 D U F2 B D2 F2
F2 D U B U2 B2 U2
F2 D U B D2 F2 D
F2 D U B D2 F2 D'
F2 D U B D2 F2 D2
F2 D U B F D2 F2
F2 D U B F' D2 F2
F2 D U B F2 D2 F2
F2 D U' F B' U2 B2
F2 D U' F' B' U2 B2
F2 D U' F2 B' U2 B2
F2 D U' B' U2 B2 D
F2 D U' B' U2 B2 D'
F2 D U' B' U2 B2 D2
F2 D U' B' D2 F2 U2
F2 D U' B' F U2 B2
F2 D U' B' F' U2 B2
F2 D U' B' F2 U2 B2
D' F' L' U L' F B
D' F' L' U L' B F
D' F' L' U B L' F
F2 D U2 L2 U' F B
F2 D U2 L2 U' B F
L2 F' L F' U F' B
L2 F' L F' U B F'
L' F' L' F' U F2 B
L' F' L' F' U B F2
L2 F' L' F' U F' B
L2 F' L' F' U B F'
L F' L F' U F2 B
L F' L F' U B F2
F' D F' L2 U F B
F' D F' L2 U B F
F' D F' U B D2 F2
F' D F' U' B' U2 B2
F D F L2 U F B
