B' L R2 F' R U2
B' L F U2 L' B
B' L F U2 B L'
B' L F2 U2 B L
F L' D2 R F' R
F L' D2 F' R F'
F' R B' L U2 B
B R' D2 F2 B' L
B R' D2 B' L F2
B R' D2 B' F2 L
B R' B' L2 F L'
B' R2 L F' R U2
B' R2 F' L R U2
B' R2 F' R L U2
F' U2 R B' L U2
L2 F L' B R' B'
F' U2 B' L R U2
F' U2 B' R L U2
F2 U2 B' L R' U2
F2 U2 B' R' L U2
F U2 B' L U2 L2
L2 F B R' B' L'
L2 F2 D2 F' L' R
L2 F2 D2 F' R L'
B D2 R' F2 B' L
B D2 R' B' L F2
B D2 R' B' F2 L
L2 B R' F B' L'
L2 B R' B' F L'
B D2 F2 R' B' L
B' F L U2 L2 B
B' F L U2 B L2
L2 B F R' B' L'
F2 B' L U2 B L
F B' L U2 L2 B
F B' L U2 B L2
B' F2 L U2 B L
F B' L F U2 L2 B
F B' L F U2 B L2
F B' L F' U2 L2 B
F B' L F' U2 B L2
R B' R2 L F' R U2
F B' L F2 U2 L2 B
F B' L F2 U2 B L2
D2 B' U2 L D2 B R'
B' F' R U2 B2 R' B
R B' R2 F' L R U2
B' F' R D2 L U2 B'
R B' R2 F' R L U2
D2 B' U2 D2 L B R'
F' B' R U2 B2 R' B
F' B' R D2 L U2 B'
B' F' R2 L F' R' U2
F' B' R2 L F' R' U2
B F' R B2 U2 B R2
B' F' R2 F' L R' U2
B' F' R2 F' R' L U2
F2 B' R2 L F' U2 L'
U2 B' D' L U' B' U'
F' B' R2 F' L R' U2
F' B' R2 F' R' L U2
B F' R' D2 F2 B' L2
B F' R' D2 B' L2 F2
B F' R' D2 B' F2 L2
F2 B' R2 F' L U2 L2
B F' R' B' D2 L2 F
D2 B' D2 U2 L B R'
R' B' F L U2 L2 B
R' B' F L U2 B L2
D2 B' F L' U2 L2 B
D2 B' F L' U2 B L2
F B' R2 L F' U2 L2
U2 B' F L F' U2 L2
L2 B' F L' D2 B R2
L2 B' F L' B D2 R2
D2 B' F' U2 L B R
R2 B' F L U2 L2 B
R2 B' F L U2 B L2
R' B' F2 L U2 B L
U2 B' F' R F L U2
F2 B' U2 B2 R' B' L
F2 B' D L U2 B L
R B' F L U2 L2 B
R B' F L U2 B L2
R2 B' F2 L U2 B L
F B' U2 L' D2 B R2
F B' U2 L' B D2 R2
F2 B' D' L U2 B L
F B' U2 B2 R' B' L'
F B' D L U2 L2 B
F B' D L U2 B L2
R B' F2 L U2 B L
F2 B' D2 L U2 B L
B' F2 L R2 F' U2 L'
F B' D' L U2 L2 B
F B' D' L U2 B L2
B' F2 L U2 L B L
B' F2 L U2 L' B L
B' F2 L U2 L2 B L
B' F2 L U2 D B L
B' F2 L U2 D' B L
B' F2 L U2 D2 B L
B' F2 L U2 B L D
B' F2 L U2 B L D'
B' F2 L U2 B L D2
B' F2 L U2 B D L
B' F2 L U2 B D' L
B' F2 L U2 B D2 L
B' F2 L D U2 B L
B' F2 L D' U2 B L
B' F2 L D2 U2 B L
B' F2 L F' U2 L' B
B' F2 L F' U2 B L'
F B' D2 L U2 L2 B
F B' D2 L U2 B L2
B F' D2 F2 R' B' L'
B' F2 R2 L F' U2 L'
B' F2 R2 F' L U2 L2
L2 B2 U2 F L' R B2
L2 B2 U2 F L' B2 R
L2 B2 U2 F R L' B2
L2 B2 U2 F R B2 L'
L2 B2 U2 F B2 L' R
L2 B2 U2 F B2 R L'
L2 B2 U2 B2 F L' R
L2 B2 U2 B2 F R L'
B' F2 U2 B2 R' B' L
B' F2 D L U2 B L
B' F2 D' L U2 B L
U2 B2 D2 B L R' U2
U2 B2 D2 B R' L U2
L2 B2 F L' B' R' B'
B' F2 D2 L U2 B L
