L2 R D2 F' R B'
L2 R D2 F' B' R
L2 R D2 B' F' R
L2 R F' B R' B2
L2 R B F' R' B2
B2 L2 R F' B' R'
B2 L2 R B' F' R'
B2 L2 R B' F' R'
R L2 D2 F' R B'
B L2 R F' R2 B'
R L2 D2 F' B' R
B L2 R F' B' R2
R L2 D2 B' F' R
B L2 R B' F' R2
F2 L2 R2 B R' F'
B L2 R' B' D2 F2
B2 L2 R2 B' R' F'
R L2 F' B R' B2
L2 R2 B R' F' B2
L2 R2 B R' B2 F'
R2 L2 B R' F' B2
R2 L2 B R' B2 F'
R L2 B F' R' B2
B' L2 F2 R F' B'
B' L2 F2 R B' F'
B' L2 F2 B' R F'
B2 L2 B' R F' R2
B' L2 B' F2 R F'
B2 R L2 F' B' R'
B2 R L2 B' F' R'
B R L2 F' R2 B'
B R L2 F' B' R2
B R L2 B' F' R2
B R' L2 B' D2 F2
F R' B U2 L2 R'
F R' B U2 R' L2
B R' B2 L2 F B'
B R' B2 L2 B' F
F2 R2 L2 B R' F'
B2 R2 L2 B' R' F'
D2 R2 F L' U2 F
F2 R2 B L2 R' F'
F2 R2 B R' L2 F'
F2 R2 B R' F' L2
D2 F L' R2 U2 F
D2 F R2 L' U2 F
R' F B U2 L2 R'
R' F B U2 R' L2
R2 B L2 R' F' B'
R2 B L2 R' B' F'
L2 B R F' R2 B2
L2 B R F' B2 R2
L2 B R B2 F' R2
R2 B R' L2 F' B'
R2 B R' L2 B' F'
R B L2 F' R' B'
R' B U2 L2 R' B'
R' B U2 R' L2 B'
R' B F U2 L2 R'
R' B F U2 R' L2
R' B2 L2 F B' R'
R' B2 L2 B' R' F
R' B2 L2 B' F R'
R2 B2 L2 B' R' F'
R B2 L2 F' B' R'
R B2 L2 B' F' R'
B2 R2 L2 B' D2 R' F'
F2 R2 L2 B F' R' F'
B2 R2 L2 B' F R' F'
F2 R2 L2 B F2 R' F'
B2 R2 L2 B' F' R' F'
B2 R2 L2 B' F2 R' F'
U2 R2 L2 B R' F' B2
U2 R2 L2 B R' B2 F'
B R2 L2 B' R' F' R2
U R2 L2 B R' F' B2
U R2 L2 B R' B2 F'
R' U2 B U2 L2 R' B'
R' U2 B U2 R' L2 B'
R' U2 B F U2 L2 R'
R' U2 B F U2 R' L2
R U2 B L2 F' R' B'
R' U2 B2 L2 F B' R'
R' U2 B2 L2 B' R' F
R' U2 B2 L2 B' F R'
R U2 B2 L2 F' B' R'
R U2 B2 L2 B' F' R'
D2 R2 F L B' L2 U2
D2 R2 F L' U2 D F
D2 R2 F L' U2 D' F
D2 R2 F L' U2 D2 F
D2 R2 F L' U2 F D
D2 R2 F L' U2 F D'
D2 R2 F L' U2 F D2
D2 R2 F L' D U2 F
D2 R2 F L' D' U2 F
D2 R2 F L' D2 U2 F
D2 R2 F L' B U2 F
B' R2 F L U2 L F
D2 R2 F L' B' U2 F
D2 R2 F L' B2 U2 F
F2 R2 F L2 B R' F'
D2 R2 F B L' U2 F
D2 R2 F B' L' U2 F
D2 R2 F B2 L' U2 F
F2 R2 F B L2 R' F'
F2 R2 F B R' L2 F'
F2 R2 F B R' F' L2
F2 R2 F' L2 B R' F'
F2 R2 F' B L2 R' F'
F2 R2 F' B R' L2 F'
F2 R2 F' B R' F' L2
F2 R2 F2 L2 B R' F'
U' R2 B L2 R' F' B'
U' R2 B L2 R' B' F'
F2 R2 F2 B L2 R' F'
F2 R2 F2 B R' L2 F'
F2 R2 F2 B R' F' L2
U' R2 B R' L2 F' B'
U' R2 B R' L2 B' F'
F2 R2 B L R' F' L
F2 R2 B L2 R' D F'
F2 R2 B L2 R' D' F'
F2 R2 B L2 R' D2 F'
F2 R2 B L2 R' F' D
F2 R2 B L2 R' F' D'
F2 R2 B L2 R' F' D2
F2 R2 B L2 D R' F'
F2 R2 B L2 D' R' F'
F2 R2 B L2 D2 R' F'
F2 R2 B L2 F R' F'
F2 R2 B L2 F' R' F'
F2 R2 B L2 F2 R' F'
U2 R2 B L2 R' F' B'
U2 R2 B L2 R' B' F'
F2 R2 B R' L F' L
F2 R2 B R' L2 D F'
F2 R2 B R' L2 D' F'
F2 R2 B R' L2 D2 F'
F2 R2 B R' L2 F' D
F2 R2 B R' L2 F' D'
F2 R2 B R' L2 F' D2
F2 R2 B R' F L2 F2
F2 R2 B R' F' L2 D
F2 R2 B R' F' L2 D'
F2 R2 B R' F' L2 D2
U2 R2 B R' L2 F' B'
U2 R2 B R' L2 B' F'
D2 R2 B F L' U2 F
F2 R2 B F L2 R' F'
F2 R2 B F R' L2 F'
F2 R2 B F R' F' L2
B' R2 B' L2 B' R' F'
F2 R2 B F' L2 R' F'
F2 R2 B F' R' L2 F'
F2 R2 B F' R' F' L2
F2 R2 B F2 L2 R' F'
F2 R2 B F2 R' L2 F'
F2 R2 B F2 R' F' L2
U R2 B L2 R' F' B'
U R2 B L2 R' B' F'
F R2 B R' F' L2 B'
B2 R2 B' L2 R' F' B'
B2 R2 B' L2 R' B' F'
U R2 B R' L2 F' B'
U R2 B R' L2 B' F'
B2 R2 B' R' L2 F' B'
B2 R2 B' R' L2 B' F'
D2 R2 B' F L' U2 F
F R2 B' L U2 L F
B' R2 B2 L2 R' F' B'
B' R2 B2 L2 R' B' F'
U' R2 B2 L2 B' R' F'
B' R2 B2 R' L2 F' B'
B' R2 B2 R' L2 B' F'
U2 R2 B2 L2 B' R' F'
D2 R2 B2 F L' U2 F
U R2 B2 L2 B' R' F'
F2 U L2 R2 B R' F'
B' U L2 F2 R F' B'
B' U L2 F2 R B' F'
B' U L2 F2 B' R F'
B U L2 R F' R2 B'
B U L2 R F' B' R2
B U L2 R B' F' R2
B' U L2 B' F2 R F'
B U L2 R' B' D2 F2
B U R L2 F' R2 B'
B U R L2 F' B' R2
B U R L2 B' F' R2
B U R' L2 B' D2 F2
F2 U R2 L2 B R' F'
D2 U R2 F L' U2 F
B U R' B2 L2 F B'
B U R' B2 L2 B' F
D2 U F L' R2 U2 F
F2 U R2 B L2 R' F'
F2 U R2 B R' L2 F'
F2 U R2 B R' F' L2
D2 U F R2 L' U2 F
F2 U' L2 R2 B R' F'
B' U' L2 F2 R F' B'
B' U' L2 F2 R B' F'
B' U' L2 F2 B' R F'
B' U' L2 B' F2 R F'
D2 U' R2 F L' U2 F
B U' L2 R F' R2 B'
B U' L2 R F' B' R2
B U' L2 R B' F' R2
B U' L2 R' B' D2 F2
D2 U' F L' R2 U2 F
D2 U' F R2 L' U2 F
B U' R L2 F' R2 B'
B U' R L2 F' B' R2
B U' R L2 B' F' R2
B U' R' L2 B' D2 F2
F2 U' R2 L2 B R' F'
B U' R' B2 L2 F B'
B U' R' B2 L2 B' F
F2 U' R2 B L2 R' F'
F2 U' R2 B R' L2 F'
F2 U' R2 B R' F' L2
L' D2 L' F' R F2 B'
L' D2 L' F' R B' F2
L' D2 L' F' B' R F2
L' D2 L' B' F' R F2
R' D2 R2 F L' U2 F2
R' D2 R2 F U2 F2 R
R D2 R2 F L' B U2
R D2 R2 F B L' U2
R D2 R2 B F L' U2
U' D2 R2 F L' U2 F
D2 U2 R2 F L' U2 F
U' D2 F L' R2 U2 F
R' D2 F L' R2 U2 F'
R' D2 F L' B R2 U2
D2 U2 F L' R2 U2 F
U' D2 F R2 L' U2 F
R' D2 F R2 L' U2 F'
U2 D2 R2 F L' U2 F
D2 U2 F R2 L' U2 F
R' D2 F B L' R2 U2
U2 D2 F L' R2 U2 F
R' D2 F B R2 L' U2
U2 D2 F R2 L' U2 F
U D2 R2 F L' U2 F
F2 U2 L2 R2 B R' F'
U D2 F L' R2 U2 F
B' U2 L2 F2 R F' B'
B' U2 L2 F2 R B' F'
B' U2 L2 F2 B' R F'
R D2 F L' R2 U2 F2
B2 U2 L2 F R F' B'
B2 U2 L2 F R B' F'
U D2 F R2 L' U2 F
B2 U2 L2 F B' R F'
B' U2 L2 B' F2 R F'
R D2 F R2 L' U2 F2
R D2 F R2 U2 F2 R
B2 U2 L2 B' F R F'
B U2 L2 R F' R2 B'
B U2 L2 R F' B' R2
B U2 L2 R B' F' R2
B U2 L2 R' B' D2 F2
L2 D2 F' D2 R F' B'
L2 D2 F' D2 R B' F'
L2 D2 F' D2 B' R F'
F U2 L2 R D2 F' R
L2 D2 F' B' D2 R F'
R' D2 B R2 F L' U2
B U2 R L2 F' R2 B'
B U2 R L2 F' B' R2
B U2 R L2 B' F' R2
R D2 F' D2 L2 R B2
R D2 F' D2 L2 B2 R
R D2 F' D2 R L2 B2
R D2 F' D2 R B2 L2
R D2 F' D2 B2 L2 R
R D2 F' D2 B2 R L2
R' D2 B F L' R2 U2
R' D2 B F R2 L' U2
F U2 R L2 D2 F' R
B U2 R' L2 B' D2 F2
F2 U2 R2 L2 B R' F'
B U2 R' B2 L2 F B'
B U2 R' B2 L2 B' F
F2 U2 R2 B L2 R' F'
F2 U2 R2 B R' L2 F'
F2 U2 R2 B R' F' L2
L2 D2 B' F' D2 R F'
D2 F L R2 B' L2 U2
D2 F L B' L2 R2 U2
D2 F L B' R2 L2 U2
D2 F L' R2 U2 D F
D2 F L' R2 U2 D' F
D2 F L' R2 U2 D2 F
D2 F L' R2 U2 F D
D2 F L' R2 U2 F D'
D2 F L' R2 U2 F D2
D2 F L' R2 D U2 F
D2 F L' R2 D' U2 F
D2 F L' R2 D2 U2 F
D2 F L' R2 B U2 F
D2 F L' R2 B' U2 F
D2 F L' R2 B2 U2 F
D2 F L' U2 D2 F L2
D2 F L' U2 F D2 L2
D2 F L' D2 U2 F L2
R' F L' B U2 L' R'
R' F L' B U2 R' L'
D2 F L' B R2 U2 F
D2 F L' B' R2 U2 F
D2 F L' B2 R2 U2 F
B2 U2 F R F' L2 B'
B2 U2 F U2 L2 R F'
B2 U2 F U2 R L2 F'
B2 U2 F U2 R F' L2
L2 F R D2 F' R B'
L2 F R D2 F' B' R
L2 F R D2 B' F' R
L2 F R F' B R' B2
L2 F R B F' R' B2
U' F R' B U2 L2 R'
U' F R' B U2 R' L2
R2 F R B U2 L2 R'
R2 F R B U2 R' L2
D2 F R2 L B' L2 U2
D2 F R2 L' U2 D F
D2 F R2 L' U2 D' F
D2 F R2 L' U2 D2 F
D2 F R2 L' U2 F D
D2 F R2 L' U2 F D'
D2 F R2 L' U2 F D2
D2 F R2 L' D U2 F
D2 F R2 L' D' U2 F
D2 F R2 L' D2 U2 F
D2 F R2 L' B U2 F
D2 F R2 L' B' U2 F
D2 F R2 L' B2 U2 F
U2 F R' B U2 L2 R'
U2 F R' B U2 R' L2
D2 F R2 B L' U2 F
D2 F R2 B' L' U2 F
D2 F R2 B2 L' U2 F
L2 F R2 B R' F' B2
L2 F R2 B R' B2 F'
U F R' B U2 L2 R'
U F R' B U2 R' L2
R' F D2 R2 U2 F' R
R' F B L U2 L R'
R' F B L U2 R' L
R' F B L' U2 L' R'
R' F B L' U2 R' L'
D2 F B L' R2 U2 F
R' F B R U2 L2 R2
R' F B R U2 R2 L2
R' F B R2 U2 L2 R
R' F B R2 U2 R L2
D2 F B R2 L' U2 F
R' F B U2 L2 R' D
R' F B U2 L2 R' D'
R' F B U2 L2 R' D2
R' F B U2 L2 D R'
R' F B U2 L2 D' R'
R' F B U2 L2 D2 R'
R' F B U2 R' L2 D
R' F B U2 R' L2 D'
R' F B U2 R' L2 D2
R' F B D2 R2 U2 R
R' F B' L B2 R' U2
D2 F B' L' R2 U2 F
L2 F B R F' R2 B2
L2 F B R F' B2 R2
L2 F B R B2 F' R2
D2 F B' R2 L' U2 F
R2 F B R' F' L2 B'
D2 F B2 L' R2 U2 F
R2 F B' L U2 L F
D2 F B2 R2 L' U2 F
R' F B2 U2 L2 F R
R F B U2 L2 R' F2
R F B U2 L2 F2 R'
R F B U2 R' L2 F2
R F B U2 R' F2 L2
R F B U2 F2 L2 R'
R F B U2 F2 R' L2
R F B' L U2 L F2
R F B' L U2 F2 L
R F B' U2 L2 F2 R
L2 F' R D2 F' R B'
L2 F' R D2 F' B' R
L2 F' R D2 B' F' R
L2 F' R F' B R' B2
L2 F' R B F' R' B2
R F' L2 B R' D2 B2
R F' L2 B D2 R' B2
R F' L2 B' D2 B2 R'
L2 F' R2 B R' F' B2
L2 F' R2 B R' B2 F'
D2 F' D2 L2 R F' B2
D2 F' D2 L2 R B2 F'
D2 F' D2 L2 B2 R F'
D2 F' D2 R L2 F' B2
D2 F' D2 R L2 B2 F'
D2 F' D2 R F' L2 B2
D2 F' D2 R F' B2 L2
D2 F' D2 R B2 L2 F'
D2 F' D2 R B2 F' L2
D2 F' D2 B2 L2 R F'
D2 F' D2 B2 R L2 F'
D2 F' D2 B2 R F' L2
L2 F' B R F' R2 B2
L2 F' B R F' B2 R2
L2 F' B R B2 F' R2
R F' B L2 R' D2 B2
R F' B L2 D2 R' B2
R F' B R' L2 D2 B2
R F' B D2 R' B2 L
U' F2 L2 R2 B R' F'
R' F2 L2 R2 F' B R'
R' F2 L2 R2 B F' R'
U2 F2 L2 R2 B R' F'
U F2 L2 R2 B R' F'
L2 F2 R D2 F' R B'
L2 F2 R D2 F' B' R
L2 F2 R D2 B' F' R
L2 F2 R F' B R' B2
L2 F2 R B F' R' B2
U' F2 R2 L2 B R' F'
R' F2 R2 L2 F' B R'
R' F2 R2 L2 B F' R'
U' F2 R2 B L2 R' F'
U' F2 R2 B R' L2 F'
U' F2 R2 B R' F' L2
R' F2 R2 F' L2 B R'
R' F2 R2 F' B L2 R'
R' F2 R2 F' B R' L2
R' F2 R2 B L2 F' R'
R' F2 R2 B F' L2 R'
R' F2 R2 B F' R' L2
U2 F2 R2 L2 B R' F'
U2 F2 R2 B L2 R' F'
U2 F2 R2 B R' L2 F'
U2 F2 R2 B R' F' L2
L2 F2 R2 B R' F' B2
L2 F2 R2 B R' B2 F'
U F2 R2 L2 B R' F'
U F2 R2 B L2 R' F'
U F2 R2 B R' L2 F'
U F2 R2 B R' F' L2
R F2 R2 F L2 B R'
R F2 R2 F B L2 R'
R F2 R2 F B R' L2
R F2 R2 B R' F L2
R F2 R2 B F L2 R'
R F2 R2 B F R' L2
B' D2 R2 F L B' U2
L2 F2 B R F' R2 B2
L2 F2 B R F' B2 R2
L2 F2 B R B2 F' R2
R' B L U2 L R' B'
R' B L U2 R' L B'
L' B L' R F' R2 B'
L' B L' R F' B' R2
L' B L' R B' F' R2
L' B L' R' B' D2 F2
R2 B L R' F' L B'
B' D2 F L R2 B' U2
B' D2 F L B' R2 U2
U' B L2 R F' R2 B'
B' D2 F R2 L B' U2
U' B L2 R F' B' R2
U' B L2 R B' F' R2
U' B L2 R' B' D2 F2
R' B L2 R B' R2 F'
U2 B L2 R F' R2 B'
U2 B L2 R F' B' R2
U' B R L2 F' R2 B'
U' B R L2 F' B' R2
U2 B L2 R B' F' R2
U' B R L2 B' F' R2
U2 B L2 R' B' D2 F2
L2 B L2 R' B2 L2 F
R' B R L2 B' R2 F'
R B L F' L R' B'
R B L F' R' L B'
R' B R U2 L2 R2 B'
R' B R U2 L2 B' R2
R' B R U2 R2 L2 B'
L' B R L' F' R2 B'
L' B R L' F' B' R2
L' B R L' B' F' R2
R2 B L2 R' D F' B'
R2 B L2 R' D B' F'
R2 B L2 R' D' F' B'
R2 B L2 R' D' B' F'
R2 B L2 R' D2 F' B'
R2 B L2 R' D2 B' F'
R2 B L2 R' F' D B'
R2 B L2 R' F' D' B'
R2 B L2 R' F' D2 B'
R2 B L2 R' F' B' D
R2 B L2 R' F' B' D'
R2 B L2 R' F' B' D2
R2 B L2 R' B' D F'
R2 B L2 R' B' D' F'
R2 B L2 R' B' D2 F'
R2 B L2 R' B' F' D
R2 B L2 R' B' F' D'
R2 B L2 R' B' F' D2
R2 B L2 R2 B' R F'
R' B R F U2 L2 R2
R' B R F U2 R2 L2
R2 B L2 D R' F' B'
R2 B L2 D R' B' F'
R2 B L2 D' R' F' B'
R2 B L2 D' R' B' F'
R2 B L2 D2 R' F' B'
R2 B L2 D2 R' B' F'
R2 B L2 F R' F' B'
R2 B L2 F R' B' F'
U' B R' L2 B' D2 F2
R2 B L2 F' R' F' B'
R2 B L2 F' R' B' F'
U2 B R L2 F' R2 B'
U2 B R L2 F' B' R2
U2 B R L2 B' F' R2
R2 B L2 F2 R' F' B'
R2 B L2 F2 R' B' F'
U B L2 R F' R2 B'
U B L2 R F' B' R2
U B L2 R B' F' R2
U B L2 R' B' D2 F2
L' B R' L' B' D2 F2
L2 B R F R2 F2 B2
L2 B R F R2 B2 F2
L2 B R F B2 R2 F2
L2 B R F' R B2 R
L2 B R F' R2 B2 D
L2 B R F' R2 B2 D'
L2 B R F' R2 B2 D2
L2 B R F' B' R2 B'
L2 B R F' B2 R2 D
L2 B R F' B2 R2 D'
L2 B R F' B2 R2 D2
L2 B R F2 R2 F B2
L2 B R F2 R2 B2 F
L2 B R F2 B2 R2 F
U' B R' B2 L2 F B'
U' B R' B2 L2 B' F
R' B R' B L2 F B'
R' B R' B L2 B' F
L2 B R B' F' R2 B'
L2 B R B2 F R2 F2
L2 B R B2 F' R2 D
L2 B R B2 F' R2 D'
L2 B R B2 F' R2 D2
L2 B R B2 F2 R2 F
R B L2 D F' R' B'
U2 B R' L2 B' D2 F2
L2 B R' L2 B2 L2 F
R B L2 D' F' R' B'
R B L2 D2 F' R' B'
R B L2 F R' F2 B'
R B L2 F R' B' F2
R B L2 F' R B' R2
R B L2 F' R' D B'
R B L2 F' R' D' B'
R B L2 F' R' D2 B'
R B L2 F' R' B' D
R B L2 F' R' B' D'
R B L2 F' R' B' D2
L2 B R' U2 B U2 B
R B L2 F' R2 B' R
R B L2 F' D R' B'
R B L2 F' D' R' B'
R' B R2 U2 L2 R B'
R B L2 F' D2 R' B'
R' B R2 U2 L2 B' R
R' B R2 U2 R L2 B'
U B R L2 F' R2 B'
U B R L2 F' B' R2
U B R L2 B' F' R2
R B L2 F2 R' F B'
R B L2 F2 R' B' F
R2 B R' L F' L B'
R2 B R' L2 D F' B'
R2 B R' L2 D B' F'
R2 B R' L2 D' F' B'
R2 B R' L2 D' B' F'
R2 B R' L2 D2 F' B'
R2 B R' L2 D2 B' F'
R2 B R' L2 F' D B'
R2 B R' L2 F' D' B'
R2 B R' L2 F' D2 B'
R2 B R' L2 F' B' D
R2 B R' L2 F' B' D'
R2 B R' L2 F' B' D2
R2 B R' L2 B' D F'
R2 B R' L2 B' D' F'
R2 B R' L2 B' D2 F'
R2 B R' L2 B' F' D
R2 B R' L2 B' F' D'
R2 B R' L2 B' F' D2
R B L2 B' D2 F' R
D2 B R2 F L' U2 F
U2 B R' B2 L2 F B'
U2 B R' B2 L2 B' F
L2 B R' B' D2 F2 B'
L2 B R' B' D2 B' F2
L2 B R' B2 L2 F L2
L2 B R' B2 U2 B' U2
R2 B R' F' L2 D2 B2
R2 B R' B L2 F' B'
R2 B R' B L2 B' F'
R2 B R' B' L2 F' B'
R2 B R' B' L2 B' F'
R2 B R' B2 L2 F' B'
R2 B R' B2 L2 B' F'
U B R' L2 B' D2 F2
R2 B R2 L2 B' R F'
L2 B R2 B2 R' F' R2
U B R' B2 L2 F B'
U B R' B2 L2 B' F
B' F L R U2 L F'
B' F L R U2 F' L
B' F L R2 U2 L F
R' B U2 L2 R B' R2
R' B U2 L2 R' D B'
R' B U2 L2 R' D' B'
R' B U2 L2 R' D2 B'
R' B U2 L2 R' B' D
R' B U2 L2 R' B' D'
R' B U2 L2 R' B' D2
R' B U2 L2 R2 B' R
R' B U2 L2 D R' B'
R' B U2 L2 D' R' B'
R' B U2 L2 D2 R' B'
R' B U2 R L2 B' R2
R' B U2 R' L2 D B'
R' B U2 R' L2 D' B'
R' B U2 R' L2 D2 B'
R' B U2 R' L2 B' D
R' B U2 R' L2 B' D'
R' B U2 R' L2 B' D2
R' B U2 R' B L2 B'
R' B U2 R' B' L2 B'
R' B U2 R' B2 L2 B'
R' B U2 R2 L2 B' R
B' F L B2 R' B U2
R' B U2 B L2 B' R'
R B U L2 F' R' B'
F' B L2 R F' R2 B
R B U' L2 F' R' B'
B' F R L U2 L F'
B' F R L U2 F' L
R B U2 L2 F' R' B'
F' B R L2 F' R2 B
L' B D2 L' R' F B'
L' B D2 L' R' B' F
L' B D2 L' F R' B'
F' B R F' L2 R2 B
F' B R F' R2 L2 B
F' B R F' R2 B L2
L' B D2 R' L' F B'
L' B D2 R' L' B' F
R' B D2 F R2 U2 R
B2 F R F' L2 B' R'
R' B F L U2 L R'
R' B F L U2 R' L
R' B F L' U2 L' R'
R' B F L' U2 R' L'
D2 B F L' R2 U2 F
R' B F R U2 L2 R2
R' B F R U2 R2 L2
B F R U2 L2 F' R2
B F R U2 F' L2 R2
B F R U2 F' R2 L2
R' B F R2 U2 L2 R
R' B F R2 U2 R L2
D2 B F R2 L' U2 F
B' F R2 L U2 L F
R' B F U2 L2 R' D
R' B F U2 L2 R' D'
R' B F U2 L2 R' D2
R' B F U2 L2 D R'
R' B F U2 L2 D' R'
R' B F U2 L2 D2 R'
R' B F U2 R' L2 D
R' B F U2 R' L2 D'
R' B F U2 R' L2 D2
B F R F' L2 R2 B'
B F R F' L2 B' R2
B F R F' R2 L2 B'
R' B F D2 R2 U2 R
F B R U2 L2 F' R2
B2 F R' B L U2 L
F B R U2 F' L2 R2
F B R U2 F' R2 L2
F B R F' L2 R2 B'
F B R F' L2 B' R2
F B R F' R2 L2 B'
L2 B F R F' R2 B2
L2 B F R F' B2 R2
L2 B F R B2 F' R2
R2 B F R' F' L2 B'
L2 B F' R F' R2 B2
L2 B F' R F' B2 R2
L2 B F' R B2 F' R2
L2 B F2 R F' R2 B2
L2 B F2 R F' B2 R2
L2 B F2 R B2 F' R2
R B F U2 L2 R' F2
R B F U2 L2 F2 R'
R B F U2 R' L2 F2
R B F U2 R' F2 L2
R B F U2 F2 L2 R'
R B F U2 F2 R' L2
B' F U2 L2 F2 R F'
R B F' L2 R' D2 B2
R B F' L2 D2 R' B2
R B F' R' L2 D2 B2
B2 F U2 L2 F R F'
R2 B' L U2 L F B'
R2 B' L U2 L B' F
R B F' D2 R' B2 L
B2 F U2 F L2 R F'
B2 F U2 F R L2 F'
B2 F U2 F R F' L2
U' B' L2 F2 R F' B'
U' B' L2 F2 R B' F'
U' B' L2 F2 B' R F'
R' B' L2 D2 F2 R B'
R' B' L2 D2 F2 B' R
R' B' L2 D2 B' F2 R
B F U2 L2 R F' R2
U' B' L2 B' F2 R F'
B F U2 R L2 F' R2
B F U2 R F' L2 R2
B F U2 R F' R2 L2
R B' L U2 L F' B'
R B' L U2 L B' F'
R B' L U2 F' L B'
F B U2 L2 R F' R2
F B U2 R L2 F' R2
F B U2 R F' L2 R2
F B U2 R F' R2 L2
L2 B' L2 F2 L2 R F'
L2 B' L2 F2 R L2 F'
L2 B' L2 F2 R F' L2
U2 B' L2 F2 R F' B'
U2 B' L2 F2 R B' F'
U2 B' L2 F2 B' R F'
U2 B' L2 B' F2 R F'
B' F D2 L R2 B' U2
B' F D2 L B' R2 U2
L2 B' R U2 L U2 F'
B' F D2 R2 L B' U2
L2 B' R F' U2 L U2
L2 B' R F' B2 R' B2
L2 B' R B2 F' R' B2
U B' L2 F2 R F' B'
U B' L2 F2 R B' F'
U B' L2 F2 B' R F'
U B' L2 B' F2 R F'
L2 B' R' U2 L B U2
R B' L2 F2 R F B'
R B' L2 F2 R B' F
R B' L2 F2 B' R F
D2 B' R2 F L' U2 F
R B' L2 B' F2 R F
L2 B' R2 U2 L U2 F
L2 B' R2 B2 R' F' B2
L2 B' R2 B2 R' B2 F'
F B' L R U2 L F'
F B' L R U2 F' L
F B' L R2 U2 L F
F B' L B2 R' B U2
B F' L2 R F' R2 B
L2 B' U2 D2 L B' U2
B F' R L2 F' R2 B
F B' R L U2 L F'
F B' R L U2 F' L
B F' R F' L2 R2 B
B F' R F' R2 L2 B
B F' R F' R2 B L2
R' B' F L B2 R' U2
D2 B' F L' R2 U2 F
F B' R2 L U2 L F
D2 B' F R2 L' U2 F
L2 B' D2 U2 L B' U2
R2 B' F L U2 L F
R B' F L U2 L F2
R B' F L U2 F2 L
F B' U2 L2 F2 R F'
R B' F U2 L2 F2 R
L' B2 L' R F' B' R'
L' B2 L' R B' F' R'
L' B2 L' R2 B' R' F'
U' B2 L2 R F' B' R'
U' B2 L2 R B' F' R'
U' B2 L2 R2 B' R' F'
R' B2 L2 R F B' R'
R' B2 L2 R B' R' F
R' B2 L2 R B' F R'
R' B2 L2 R' F B' R'
R' B2 L2 R' B' R' F
R' B2 L2 R' B' F R'
R' B2 L2 R2 F B' R'
L' B2 L' B' R F' R2
R' B2 L2 R2 B' R' F
R' B2 L2 R2 B' F R'
R' B2 L2 D F B' R'
R' B2 L2 D B' R' F
R' B2 L2 D B' F R'
R' B2 L2 D' F B' R'
R' B2 L2 D' B' R' F
R' B2 L2 D' B' F R'
R' B2 L2 D2 F B' R'
U' B2 L2 B' R F' R2
R' B2 L2 D2 B' R' F
R' B2 L2 D2 B' F R'
R' B2 L2 F R B' R'
R' B2 L2 F R' B' R'
R' B2 L2 F R2 B' R'
R' B2 L2 F D B' R'
R' B2 L2 F D' B' R'
R' B2 L2 F D2 B' R'
R' B2 L2 F B' R' D
R' B2 L2 F B' R' D'
R' B2 L2 F B' R' D2
R' B2 L2 F B' D R'
R' B2 L2 F B' D' R'
R' B2 L2 F B' D2 R'
R' B2 L2 F' B' R' F2
U' B2 R L2 F' B' R'
U' B2 R L2 B' F' R'
R' B2 L2 B' R F R2
R' B2 L2 B' R' D F
R' B2 L2 B' R' D' F
R' B2 L2 B' R' D2 F
R' B2 L2 B' R' F D
R' B2 L2 B' R' F D'
R' B2 L2 B' R' F D2
R' B2 L2 B' D R' F
R' B2 L2 B' D F R'
R' B2 L2 B' D' R' F
R' B2 L2 B' D' F R'
R' B2 L2 B' D2 R' F
R' B2 L2 B' D2 F R'
R' B2 L2 B' F R' D
R' B2 L2 B' F R' D'
R' B2 L2 B' F R' D2
R' B2 L2 B' F D R'
R' B2 L2 B' F D' R'
R' B2 L2 B' F D2 R'
R' B2 L2 B' F' R' F2
U2 B2 L2 R F' B' R'
U2 B2 L2 R B' F' R'
U2 B2 L2 R2 B' R' F'
R' B2 R L2 F B' R'
R' B2 R L2 B' R' F
R' B2 R L2 B' F R'
L' B2 R L' F' B' R'
L' B2 R L' B' F' R'
R B2 L F' L B' R'
R2 B2 L2 R' F' B' R'
R2 B2 L2 R' B' F' R'
F B' D2 L R2 B' U2
F B' D2 L B' R2 U2
U2 B2 L2 B' R F' R2
R2 B2 L2 D B' R' F'
R2 B2 L2 D' B' R' F'
F B' D2 R2 L B' U2
R2 B2 L2 D2 B' R' F'
U2 B2 R L2 F' B' R'
U2 B2 R L2 B' F' R'
R' B2 R' L2 F B' R'
R' B2 R' L2 B' R' F
R' B2 R' L2 B' F R'
R2 B2 L2 F B' R' F'
R2 B2 L2 F' B' R' F'
R2 B2 L2 F2 B' R' F'
R2 B2 L2 B' R' D F'
R2 B2 L2 B' R' D' F'
R2 B2 L2 B' R' D2 F'
R2 B2 L2 B' R' F' D
R2 B2 L2 B' R' F' D'
R2 B2 L2 B' R' F' D2
R2 B2 L2 B' D R' F'
R2 B2 L2 B' D' R' F'
U B2 L2 R F' B' R'
R2 B2 L2 B' D2 R' F'
R2 B2 L2 B' F R' F'
R2 B2 L2 B' F' R' F'
R2 B2 L2 B' F2 R' F'
U B2 L2 R B' F' R'
U B2 L2 R2 B' R' F'
L2 B2 R F' B' R' B
L2 B2 R B' F' R' B
U' B2 R2 L2 B' R' F'
R B2 L2 R B' R' F'
R' B2 R2 L2 F B' R'
R' B2 R2 L2 B' R' F
R' B2 R2 L2 B' F R'
U B2 L2 B' R F' R2
R B2 L2 D F' B' R'
R B2 L2 D B' F' R'
