L2 R' U2 L F' B
L2 R' U2 L B F'
L2 R' U2 F' L B
L' R' F' D2 B R'
R' L' F' D2 B R'
L' R' F2 B R F
R' L' F2 B R F
R2 L' F2 R F' B
R2 L' F2 R B F'
L' R' B F2 R F
R' L' B F2 R F
R' L2 U2 L F' B
R' L2 U2 L B F'
R' L2 U2 F' L B
F2 L2 R F' B U2
F2 L2 R B F' U2
L' R2 F2 R F' B
L' R2 F2 R B F'
F2 R L2 F' B U2
F2 R L2 B F' U2
F2 R F' L2 B U2
F2 R F' B L2 U2
F2 R B L2 F' U2
F2 R B F' L2 U2
L2 U2 D2 L F B'
L2 U2 D2 L F B'
L2 U2 D2 L B' F
R' D2 L' F' B R2
R' D2 L' B F' R2
R D2 L' R2 F' B
R D2 L' R2 B F'
R D2 R2 L' F' B
R D2 R2 L' B F'
R D2 R2 B L' F'
L2 D2 U2 L F B'
L2 D2 U2 L B' F
R' D2 B L' F' R2
L' F' R' F' B R
L' F' R' B F' R
L' F2 R' F' B R2
L' F2 R' B F' R2
R' B L' F2 R F
R B L2 F' U2 L
R' B D2 L' F' R2
L B2 L2 R' F' B
L B2 L2 R' B F'
L2 B2 R' U2 F' B
L2 B2 R' U2 B F'
L B2 R' L2 F' B
L B2 R' L2 B F'
L B2 R' F' L2 B
L B2 R' F' B L2
L B2 R' B L2 F'
L B2 R' B F' L2
D2 U2 L F B' L2 R2
D2 U2 L F B' R2 L2
U2 D2 L R2 F B' L2
U2 D2 L R2 B' F L2
D2 U2 L B' R2 F L2
D2 U2 L B' F L2 R2
D2 U2 L B' F R2 L2
U2 D2 L F R2 B' L2
U2 D2 L F B' L2 R2
U2 D2 L F B' R2 L2
R D2 L2 R2 F' L B
R2 D2 R L' B R F
U2 D2 L B' R2 F L2
U2 D2 L B' F L2 R2
U2 D2 L B' F R2 L2
R2 D2 R B L' R F
R2 D2 R B R L' F
L2 D2 R' U2 L F' B'
L2 D2 R' U2 L B' F'
L2 D2 R' U2 F' L B'
R' D2 U L' F' B R2
R' D2 U L' B F' R2
R' D2 U B L' F' R2
R' D2 U' L' F' B R2
R' D2 U' L' B F' R2
R D2 R2 L F' L2 B
R D2 R2 L F' B L2
R D2 R2 L B L2 F'
R D2 R2 L B F' L2
R D2 R2 L' D F' B
R D2 R2 L' D B F'
R D2 R2 L' D' F' B
R D2 R2 L' D' B F'
R D2 R2 L' D2 F' B
R D2 R2 L' D2 B F'
R D2 R2 L' F' D B
R D2 R2 L' F' D' B
R D2 R2 L' F' D2 B
R D2 R2 L' F' B D
R D2 R2 L' F' B D'
R D2 R2 L' F' B D2
R D2 R2 L' B D F'
R D2 R2 L' B D' F'
R D2 R2 L' B D2 F'
R D2 R2 L' B F' D
R D2 R2 L' B F' D'
R D2 R2 L' B F' D2
R D2 R2 L2 F' L B
R D2 R2 D L' F' B
R D2 R2 D L' B F'
R D2 R2 D B L' F'
R D2 R2 D' L' F' B
R D2 R2 D' L' B F'
R D2 R2 D' B L' F'
R' D2 U' B L' F' R2
R D2 R2 D2 L' F' B
R D2 R2 D2 L' B F'
R D2 R2 D2 B L' F'
D2 U2 R2 L F B' L2
D2 U2 R2 L B' F L2
R D2 R2 B L F' L2
R D2 R2 B L' D F'
R D2 R2 B L' D' F'
R D2 R2 B L' D2 F'
R D2 R2 B L' F' D
R D2 R2 B L' F' D'
R D2 R2 B L' F' D2
R D2 R2 B L2 F' L
R' D2 U2 L' F' B R2
R D2 R2 B D L' F'
R' D2 U2 L' B F' R2
R D2 R2 B D' L' F'
R D2 R2 B D2 L' F'
R D2 R2 B' L' F' B2
R D2 R2 B' L' B2 F'
R D2 U L' R2 F' B
R D2 U L' R2 B F'
L' D2 U2 L' F B' U2
L' D2 U2 L' B' F U2
U2 D2 R2 L F B' L2
R' D2 U2 B L' F' R2
U2 D2 R2 L B' F L2
R D2 U R2 L' F' B
R D2 U R2 L' B F'
R D2 U R2 B L' F'
L2 D2 U2 L D F B'
L2 D2 U2 L D B' F
L2 D2 U2 L D' F B'
L2 D2 U2 L D' B' F
L2 D2 U2 L D2 F B'
L2 D2 U2 L D2 B' F
L2 D2 U2 L F D B'
L2 D2 U2 L F D' B'
L2 D2 U2 L F D2 B'
L2 D2 U2 L F B' D
L2 D2 U2 L F B' D'
L2 D2 U2 L F B' D2
L2 D2 U2 L B' D F
L2 D2 U2 L B' D' F
L2 D2 U2 L B' D2 F
L2 D2 U2 L B' F D
L2 D2 U2 L B' F D'
L2 D2 U2 L B' F D2
R2 D2 U2 L' R2 F B'
R2 D2 U2 L' R2 B' F
R2 D2 U2 L' F R2 B'
R D2 U' L' R2 F' B
R D2 U' L' R2 B F'
R2 D2 U2 L' F B' R2
R2 D2 U2 L' B' R2 F
R2 D2 U2 L' B' F R2
L2 D2 U2 F L F B'
L2 D2 U2 F L B' F
L2 D2 U2 F' L F B'
L2 D2 U2 F' L B' F
L2 D2 U2 F2 L F B'
L2 D2 U2 F2 L B' F
R2 D2 U2 R2 L' F B'
R2 D2 U2 R2 L' B' F
R D2 U' R2 L' F' B
R D2 U' R2 L' B F'
R D2 U' R2 B L' F'
R D2 U2 L' R2 F' B
R D2 U2 L' R2 B F'
L2 D2 F U2 L F B'
L2 D2 F U2 L B' F
R D2 U2 R2 L' F' B
R D2 U2 R2 L' B F'
R D2 U2 R2 B L' F'
L2 D2 F' U2 L F B'
L2 D2 F' U2 L B' F
R' D2 B L F' L2 R2
R' D2 B L F' R2 L2
R' D2 B L' F R2 F2
R' D2 B L' F' R2 D
R' D2 B L' F' R2 D'
R' D2 B L' F' R2 D2
R' D2 B L' F2 R2 F
R' D2 B L2 F' L R2
R' D2 B L2 F' R2 L
L2 D2 F2 U2 L F B'
L2 D2 F2 U2 L B' F
R' D2 B' L' F' R2 B2
R' D2 B' L' F' B2 R2
R' D2 B' L' B2 F' R2
R D2 B U2 L' R2 B
R D2 B U2 R2 L' B
R D2 B U2 R2 B L'
R' F L2 U2 F2 B L
R' F L2 U2 B L F2
R' F L2 U2 B F2 L
L' F R' F B R F2
L' F R' B F R F2
L2 F R' U2 L F' B
L2 F R' U2 L B F'
L2 F R' U2 F' L B
L' F R2 F R F' B
L' F R2 F R B F'
L2 F U2 D2 L F B'
L2 F U2 D2 L B' F
R' F D2 B R2 F' L'
L2 F D2 U2 L F B'
L2 F D2 U2 L B' F
R F D2 R2 F' L' B2
R F D2 R2 F' B2 L'
R F D2 R2 B2 F' L'
L2 F B2 R' U2 F' B
L2 F B2 R' U2 B F'
L F B2 L2 R' F' B
L F B2 L2 R' B F'
L F B2 R' L2 F' B
L F B2 R' L2 B F'
L F B2 R' F' L2 B
L F B2 R' F' B L2
L F B2 R' B L2 F'
L F B2 R' B F' L2
R F' L2 D2 B R' U2
L' F' R' D2 F' B R'
L' F' R' D2 B F' R'
L' F' R' F' D B R
L' F' R' F' D' B R
L' F' R' F' D2 B R
L' F' R' F' B R D
L' F' R' F' B R D'
L' F' R' F' B R D2
L' F' R' F' B D R
L' F' R' F' B D' R
L' F' R' F' B D2 R
L' F' R' F' B' R B2
L' F' R' F' B2 R B'
L' F' R' B F' R D
L' F' R' B F' R D'
L' F' R' B F' R D2
L' F' R' B F' D R
L' F' R' B F' D' R
L' F' R' B F' D2 R
L2 F' R' U2 L F' B
L2 F' R' U2 L B F'
L2 F' R' U2 F' L B
L' F' R' B' F' R B2
L' F' R' B2 F' R B'
L' F' R2 F' R F' B
L' F' R2 F' R B F'
L2 F' U2 D2 L F B'
L2 F' U2 D2 L B' F
R' F' D2 B' L R2 B2
R' F' D2 B' L B2 R2
R' F' D2 B' R2 L B2
L2 F' D2 U2 L F B'
L2 F' D2 U2 L B' F
L' F' B R' F' B R
L' F' B R' B F' R
L' F' B' R' F' B R
L' F' B' R' B F' R
R F' D2 B R' U2 R'
L' F' B2 R' F' B R
L' F' B2 R' B F' R
R' F' B2 D2 R2 B' L
R' F' B2 D2 B' L R2
R' F' B2 D2 B' R2 L
L2 F' B2 R' U2 F' B
L2 F' B2 R' U2 B F'
L F' B2 L2 R' F' B
L F' B2 L2 R' B F'
L F' B2 R' L2 F' B
L F' B2 R' L2 B F'
L F' B2 R' F' L2 B
L F' B2 R' F' B L2
L F' B2 R' B L2 F'
L F' B2 R' B F' L2
R F' B2 L2 U2 F L'
R' F2 L2 B' R U2 B2
R2 F2 L2 R U2 F' B
R2 F2 L2 R U2 B F'
L' F2 R U2 F' B U2
L' F2 R U2 B F' U2
R2 F2 R L2 U2 F' B
R2 F2 R L2 U2 B F'
L' F2 R' F B R2 F2
L' F2 R' F' B R2 D
L' F2 R' F' B R2 D'
L' F2 R' F' B R2 D2
L' F2 R' F' B' R2 B2
L' F2 R' F' B2 R2 B'
L' F2 R' F2 B R2 F
L' F2 R' B F R2 F2
L' F2 R' B F' R2 D
L' F2 R' B F' R2 D'
L' F2 R' B F' R2 D2
L' F2 R' B F2 R2 F
L' F2 R' B' F' R2 B2
L2 F2 R' U2 L F' B
L2 F2 R' U2 L B F'
L' F2 R' B2 F' R2 B'
L2 F2 R' U2 F' L B
R F2 L2 B R U2 B2
L2 F2 U2 D2 L F B'
L2 F2 U2 D2 L B' F
L2 F2 D2 U2 L F B'
L2 F2 D2 U2 L B' F
L' F2 B R' F' B R2
L' F2 B R' B F' R2
L' F2 B' R' F' B R2
L' F2 B' R' B F' R2
L' F2 B2 R' F' B R2
L' F2 B2 R' B F' R2
R F2 B L2 R U2 B'
R F2 B R L2 U2 B'
R F2 B R F L2 U2
L2 F2 B2 R' U2 F' B
L2 F2 B2 R' U2 B F'
R' B L F L2 F2 R
R' B L' R' F2 R F'
R' B L' U2 L' U2 F'
R' B L' D F2 R F
L F2 B2 L2 R' F' B
L F2 B2 L2 R' B F'
R' B L' D' F2 R F
R' B L' D2 F2 R F
L F2 B2 R' L2 F' B
L F2 B2 R' L2 B F'
L F2 B2 R' F' L2 B
L F2 B2 R' F' B L2
L F2 B2 R' B L2 F'
L F2 B2 R' B F' L2
R' B L' F2 R D F
R' B L' F2 R D' F
R' B L' F2 R D2 F
R' B L' F2 R F D
R' B L' F2 R F D'
R' B L' F2 R F D2
R' B L' F2 R' F R2
R' B L' F2 R2 F R'
R' B L' F2 D R F
R' B L' F2 D' R F
R' B L' F2 D2 R F
R' B L2 F L F2 R
R2 B L' F2 R F' B
R2 B L' F2 R B F'
R B L F' L U2 L
R' B R' L' F2 R F'
L B L2 R' F' B R'
L B L2 R' B F' R'
R' B R' D2 L' R2 F
R' B R' D2 L' F R2
R' B R' D2 R2 L' F
L2 B R F' B R' U2
R B L2 R2 U2 L B
L2 B R B F' R' U2
L B L2 B R' F' B
L B L2 B R' B F'
L' B R' F' D2 B R'
R B L2 D F' U2 L
L' B R' F2 B R F
R B L2 D' F' U2 L
L' B R' B F2 R F
R B L2 D2 F' U2 L
R B L2 F' R U2 L
R B L2 F' R' U2 L
R B L2 F' R2 U2 L
R B L2 F' U2 L D
R B L2 F' U2 L D'
R B L2 F' U2 L D2
R B L2 F' U2 D L
R B L2 F' U2 D' L
R B L2 F' U2 D2 L
R B L2 F' D U2 L
R B L2 F' D' U2 L
R B L2 F' D2 U2 L
R' B R2 D2 L' R2 F'
R' B R2 D2 R2 L' F'
L' B R2 F2 R F' B
L' B R2 F2 R B F'
L B R' L2 F' B R'
L B R' L2 B F' R'
L B R' F' L2 B R'
L B R' F' B L2 R'
L B R' F' B R' L2
L B R' B L2 F' R'
L B R' B F' L2 R'
L B R' B F' R' L2
R B R2 L2 U2 L B
R' B U2 L2 U2 L F'
R' B U2 L2 U2 F' L
R' B D L' D F' R2
R' B D' L' D' F' R2
R' B D' L' F' D' R2
F2 B L2 R F' B U2
F2 B L2 R B F' U2
R' B D2 L F' L2 R2
R' B D2 L F' R2 L2
R' B D2 L' F R2 F2
R' B D2 L' F' R2 D
R' B D2 L' F' R2 D'
R' B D2 L' F' R2 D2
R' B D2 L' F2 R2 F
R' B D2 L2 F' L R2
R' B D2 L2 F' R2 L
R B U2 D2 L' R2 B
R B U2 D2 R2 L' B
R B U2 D2 R2 B L'
F2 B R L2 F' B U2
F2 B R L2 B F' U2
F2 B R F' L2 B U2
F2 B R F' B L2 U2
F2 B R B L2 F' U2
F2 B R B F' L2 U2
L' B F' R' F' B R
L' B F' R' B F' R
L' B F2 R' F' B R2
L' B F2 R' B F' R2
R B D2 U2 L' R2 B
R B D2 U2 R2 L' B
R B D2 U2 R2 B L'
R' B' L F' B2 L2 R'
R' B' L F' B2 R' L2
R' B' L B2 L2 F' R'
R' B' L B2 F' L2 R'
R' B' L B2 F' R' L2
R' B' L' F2 R F B2
R' B' L' F2 R B2 F
R' B' L' F2 B2 R F
R' B' L' B2 F2 R F
R B F2 L2 R U2 B'
R B F2 R L2 U2 B'
R B F2 R F L2 U2
R' B' L2 U2 L F' B2
R' B' L2 U2 L B2 F'
R' B' L2 U2 F' L B2
R2 B' L' F2 R F' B
R2 B' L' F2 R B F'
L2 B' R F' B U2 L
L2 B' R B F' U2 L
L' B' R' F' D2 B R'
L' B' R' F2 B R F
L' B' R' B F2 R F
L B' L2 B' R' F' B
L B' L2 B' R' B F'
L2 B' R' U2 F' L' B
L2 B' R' U2 F' B L'
L2 B' R' U2 B F' L'
R B' L2 F' B2 R' U2
R B' L2 B2 F' R' U2
L' B' R2 F2 R F' B
L' B' R2 F2 R B F'
F2 B' L2 R F' B U2
F2 B' L2 R B F' U2
F2 B' R L2 F' B U2
F2 B' R L2 B F' U2
F2 B' R F' L2 B U2
F2 B' R F' B L2 U2
F2 B' R B L2 F' U2
F2 B' R B F' L2 U2
R' B' D2 L' F' R2 B
L' B' F' R' F' B R
L' B' F' R' B F' R
R B' D2 L' R2 F2 B
R B' D2 L' R2 B F2
R B' D2 R2 L' F2 B
R B' D2 R2 L' B F2
R B' D2 R2 B L' F2
L' B' F2 R' F' B R2
L' B' F2 R' B F' R2
L B2 L R' F' L B
R' B2 L2 F U2 L F2
R' B2 L2 F U2 F2 L
R2 B2 L' F2 R F' B
R2 B2 L' F2 R B F'
L B2 L' R' B L' F'
L B2 L2 R' D F' B
L B2 L2 R' D B F'
B' F2 L2 R F' B U2
L B2 L2 R' D' F' B
L B2 L2 R' D' B F'
L B2 L2 R' D2 F' B
L B2 L2 R' D2 B F'
B' F2 L2 R B F' U2
L B2 L2 R' F' D B
L B2 L2 R' F' D' B
L B2 L2 R' F' D2 B
L B2 L2 R' F' B D
L B2 L2 R' F' B D'
L B2 L2 R' F' B D2
L B2 L2 R' B D F'
L B2 L2 R' B D' F'
L B2 L2 R' B D2 F'
L B2 L2 R' B F' D
L B2 L2 R' B F' D'
L B2 L2 R' B F' D2
L2 B2 R F' R2 U2 F'
L2 B2 R F' B R2 U2
L2 B2 R B R2 U2 B
L2 B2 R B F' R2 U2
L B2 L2 F R' F' B
L B2 L2 F R' B F'
L' B2 R' F' D2 B R'
L B2 L2 F' R' F' B
L B2 L2 F' R' B F'
L' B2 R' F2 B R F
L B2 L2 F2 R' F' B
L B2 L2 F2 R' B F'
B2 F2 L2 R F' B U2
L' B2 R' B F2 R F
B2 F2 L2 R B F' U2
L2 B2 R' U2 D F' B
L2 B2 R' U2 D B F'
L2 B2 R' U2 D' F' B
F2 B2 L2 R F' B U2
L2 B2 R' U2 D' B F'
L2 B2 R' U2 D2 F' B
L2 B2 R' U2 D2 B F'
F2 B2 L2 R B F' U2
L2 B2 R' U2 F' D B
L2 B2 R' U2 F' D' B
L2 B2 R' U2 F' D2 B
L2 B2 R' U2 F' B D
L2 B2 R' U2 F' B D'
L2 B2 R' U2 F' B D2
L2 B2 R' U2 B D F'
L2 B2 R' U2 B D' F'
L2 B2 R' U2 B D2 F'
L2 B2 R' U2 B F' D
L2 B2 R' U2 B F' D'
L2 B2 R' U2 B F' D2
L2 B2 R' D U2 F' B
L2 B2 R' D U2 B F'
L2 B2 R' D' U2 F' B
L2 B2 R' D' U2 B F'
L2 B2 R' D2 U2 F' B
L2 B2 R' D2 U2 B F'
B' F2 R L2 F' B U2
B' F2 R L2 B F' U2
L2 B2 R' F U2 F2 B
L2 B2 R' F U2 B F2
R B2 L2 F' U2 L F2
R B2 L2 F' U2 F2 L
L2 B2 R' F2 U2 F B
L2 B2 R' F2 U2 B F
L2 B2 R' B' U2 F' B2
L2 B2 R' B' U2 B2 F'
L2 B2 R' B2 U2 F' B'
L2 B2 R' B2 U2 B' F'
L' B2 R2 F2 R F' B
L' B2 R2 F2 R B F'
B' F2 R F' L2 B U2
B' F2 R F' B L2 U2
B F2 L2 R F' B U2
B F2 L2 R B F' U2
B' F2 R B L2 F' U2
B' F2 R B F' L2 U2
B2 F2 R L2 F' B U2
B2 F2 R L2 B F' U2
F2 B2 R L2 F' B U2
F2 B2 R L2 B F' U2
L B2 R' L F' L B
L B2 R' L' B L' F'
L B2 R' L2 D F' B
L B2 R' L2 D B F'
L B2 R' L2 D' F' B
L B2 R' L2 D' B F'
L B2 R' L2 D2 F' B
L B2 R' L2 D2 B F'
L B2 R' L2 F' D B
L B2 R' L2 F' D' B
L B2 R' L2 F' D2 B
L B2 R' L2 F' B D
L B2 R' L2 F' B D'
L B2 R' L2 F' B D2
L B2 R' L2 B D F'
L B2 R' L2 B D' F'
L B2 R' L2 B D2 F'
L B2 R' L2 B F' D
L B2 R' L2 B F' D'
L B2 R' L2 B F' D2
B2 F2 R F' L2 B U2
B2 F2 R F' B L2 U2
B2 F2 R B L2 F' U2
F2 B2 R F' L2 B U2
B2 F2 R B F' L2 U2
F2 B2 R F' B L2 U2
L B2 R' F L2 F2 B
L B2 R' F L2 B F2
L B2 R' F B L2 F2
F2 B2 R B L2 F' U2
L B2 R' F' L' B L'
L B2 R' F' L2 D B
L B2 R' F' L2 D' B
L B2 R' F' L2 D2 B
L B2 R' F' L2 B D
L B2 R' F' L2 B D'
L B2 R' F' L2 B D2
L B2 R' F' B L2 D
L B2 R' F' B L2 D'
L B2 R' F' B L2 D2
F2 B2 R B F' L2 U2
L B2 R' F' B' L2 B2
L B2 R' B L F' L
L B2 R' B L2 D F'
L B2 R' B L2 D' F'
L B2 R' B L2 D2 F'
L B2 R' B L2 F' D
L B2 R' B L2 F' D'
L B2 R' B L2 F' D2
L B2 R' B F L2 F2
L B2 R' B F' L2 D
L B2 R' B F' L2 D'
L B2 R' B F' L2 D2
B F2 R L2 F' B U2
B F2 R L2 B F' U2
L B2 R' B' L2 F' B2
L B2 R' B' L2 B2 F'
L B2 R' B' F' L2 B2
B F2 R F' L2 B U2
B F2 R F' B L2 U2
B F2 R B L2 F' U2
B F2 R B F' L2 U2
R' B2 D2 B' L' F' R2
L2 B2 F R' U2 F' B
L2 B2 F R' U2 B F'
L' B2 F' R' F' B R
L' B2 F' R' B F' R
R' B2 F' D2 R2 B' L
R' B2 F' D2 B' L R2
R' B2 F' D2 B' R2 L
L2 B2 F' R' U2 F' B
L2 B2 F' R' U2 B F'
L' B2 F2 R' F' B R2
L' B2 F2 R' B F' R2
L B2 F L2 R' F' B
L B2 F L2 R' B F'
L B2 F R' L2 F' B
L B2 F R' L2 B F'
L B2 F R' F' L2 B
L B2 F R' F' B L2
L B2 F R' B L2 F'
L B2 F R' B F' L2
L2 B2 F2 R' U2 F' B
L2 B2 F2 R' U2 B F'
L B2 F' L2 R' F' B
L B2 F' L2 R' B F'
L B2 F' R' L2 F' B
L B2 F' R' L2 B F'
L B2 F' R' F' L2 B
L B2 F' R' F' B L2
L B2 F' R' B L2 F'
L B2 F' R' B F' L2
R B2 F' L2 U2 F L'
L B2 F2 L2 R' F' B
L B2 F2 L2 R' B F'
L B2 F2 R' L2 F' B
L B2 F2 R' L2 B F'
L B2 F2 R' F' L2 B
L B2 F2 R' F' B L2
L B2 F2 R' B L2 F'
L B2 F2 R' B F' L2
