U L R' U' R
U R' L U' R
U L R' U' R D
U L R' U' R D'
U L R' U' R D2
U L R' U' D R
U L R' U' D' R
U L R' U' D2 R
U L R' D U' R
U2 L R' U R U2
U L R' D' U' R
U L R' D2 U' R
B2 L R' B2 U L'
U L D R' U' R
U L D' R' U' R
U L D2 R' U' R
U L F R' U' R
U L F' R' U' R
U L F2 R' U' R
R2 U L R U' R'
R U L R2 U' R2
R2 U R L U' R'
R U R2 L U' R2
U2 R' L U R U2
U R' L U' R D
U R' L U' R D'
U R' L U' R D2
U R' L U' D R
U R' L U' D' R
U R' L U' D2 R
U R' L D U' R
U R' L D' U' R
U R' L D2 U' R
B2 R' L B2 U L'
U R' D L U' R
U R' D' L U' R
L' U2 L2 R' U' L'
U R' D2 L U' R
L2 U2 L' R' U' L'
L' U2 R' L2 U' L'
L2 U2 R' L' U' L'
F' U L R' U' R
F2 U L R' U' R
D2 U L R' U' R
D' U L R' U' R
U D L R' U' R
D U L R' U' R
F U L R' U' R
F' U R' L U' R
D2 U R' L U' R
F2 U R' L U' R
D' U R' L U' R
U D R' L U' R
D U R' L U' R
F U R' L U' R
U D' L R' U' R
B2 U' L R' B2 U
U D' R' L U' R
B2 U' R' L B2 U
U D2 L R' U' R
U D2 R' L U' R
U F L R' U' R
U F R' L U' R
U F' L R' U' R
U F' R' L U' R
U F2 L R' U' R
U F2 R' L U' R
B2 U' L R' B2 D2 U
B2 U' L R2 B2 R U
B2 U' L D' R' U R'
L2 D' U2 L' R' B2 U'
L2 D' U2 R' L' B2 U'
L2 D' U2 R' B2 L' U'
B2 U' L B2 U2 L U'
B2 U' L' R' B2 L2 U
U2 D' R' L U R U2
B2 U' L2 R' B2 L' U
U D' R' L U' R D
U D' R' L U' R D'
U D' R' L U' R D2
U D' R' L U' D R
U D' R' L U' D' R
U D' R' L U' D2 R
U D' R' L D U' R
U D' R' L D' U' R
U D' R' L D2 U' R
U D' R' D L U' R
B2 U' R L B2 R2 U
U D' R' D' L U' R
U D' R' D2 L U' R
B2 U' R' L U D' R2
B2 U' R' L D' U R2
B2 U' R' L B2 U D
B2 U' R' L B2 U D'
B2 U' R' L B2 U D2
B2 U' R' L B2 D U
B2 U' R' L B2 D' U
B2 U' R' L B2 D2 U
B2 U' R' L' B2 L2 U
B2 U' R' L2 B2 L' U
B2 U' R' D' L U R2
U D' F L R' U' R
U D' F R' L U' R
B2 U' R' B2 U2 R' U'
B2 U' R2 L B2 R U
U D' F' L R' U' R
U D' F' R' L U' R
U D' F2 L R' U' R
B2 U' D' L R' U R'
U D' F2 R' L U' R
B2 U' D' R' L U R'
D' U2 L R' U R U2
D2 U2 L R' U R U2
U2 D2 L R' U R U2
D U2 L R' U R U2
U D2 L R' U' R D
U D2 L R' U' R D'
U D2 L R' U' R D2
U D2 L R' U' D R
U D2 L R' U' D' R
U D2 L R' U' D2 R
U D2 L R' D U' R
U D2 L R' D' U' R
U D2 L R' D2 U' R
R D2 L2 U2 L' U' L'
R D2 L2 D F2 R U
U D2 L D R' U' R
U D2 L D' R' U' R
R D2 L2 F2 R U L2
U D2 L D2 R' U' R
U D2 L F R' U' R
U D2 L F' R' U' R
U D2 L F2 R' U' R
B' U' B U2 R' U' F'
L' D2 R2 U2 R U' L
B' U' B' L B2 U F
L' D2 R2 F2 L' U L2
D' U2 R' L U R U2
D2 U2 R' L U R U2
R2 D2 U L R U' R'
U2 D2 R' L U R U2
R2 D2 U R L U' R'
B2 U' B2 U2 L R' U'
B2 U' B2 U2 R' L U'
D U2 R' L U R U2
F' U2 L R' U R U2
F2 U2 L R' U R U2
U D2 R' L U' R D
U D2 R' L U' R D'
U D2 R' L U' R D2
U D2 R' L U' D R
U D2 R' L U' D' R
U D2 R' L U' D2 R
U D2 R' L D U' R
U D2 R' L D' U' R
U D2 R' L D2 U' R
U D2 R' D L U' R
U D2 R' D' L U' R
U D2 R' D2 L U' R
F U2 L R' U R U2
U D2 F L R' U' R
U D2 F R' L U' R
U D2 F' L R' U' R
U D2 F' R' L U' R
F' U2 R' L U R U2
F2 U2 R' L U R U2
U D2 F2 L R' U' R
U D2 F2 R' L U' R
F U2 R' L U R U2
U F L R' U' R D
U F L R' U' R D'
U F L R' U' R D2
U F L R' U' D R
U F L R' U' D' R
U F L R' U' D2 R
U F L R' D U' R
U F L R' D' U' R
U F L R' D2 U' R
U F L D R' U' R
U F L D' R' U' R
U F L D2 R' U' R
U F L F R' U' R
U F L F' R' U' R
U F L F2 R' U' R
U F R' L U' R D
U F R' L U' R D'
U F R' L U' R D2
U F R' L U' D R
U F R' L U' D' R
U F R' L U' D2 R
U F R' L D U' R
U F R' L D' U' R
U F R' L D2 U' R
D' F U L R' U' R
D2 F U L R' U' R
U F R' D L U' R
U F R' D' L U' R
D' F U R' L U' R
U F R' D2 L U' R
D2 F U R' L U' R
D F U L R' U' R
D F U R' L U' R
U2 F U' L F' R' U'
R F U L R2 U' R2
L' F U2 L2 R' U' L'
R F U R2 L U' R2
U2 F U' F' L R' U'
U2 F U' F' R' L U'
L' F U2 R' L2 U' L'
U F D L R' U' R
U F D R' L U' R
U F D' L R' U' R
U F D' R' L U' R
U F D2 L R' U' R
U F D2 R' L U' R
F' D U L R' U' R
F' D U R' L U' R
F2 D U L R' U' R
F2 D U R' L U' R
F D U L R' U' R
F D U R' L U' R
U F' L R' U' R D
U F' L R' U' R D'
U F' L R' U' R D2
U F' L R' U' D R
U F' L R' U' D' R
U F' L R' U' D2 R
U F' L R' D U' R
U F' L R' D' U' R
U F' L R' D2 U' R
U F' L D R' U' R
U F' L D' R' U' R
U F' L D2 R' U' R
U F' L F R' U' R
U F' L F' R' U' R
U F' L F2 R' U' R
U F' R' L U' R D
U F' R' L U' R D'
U F' R' L U' R D2
U F' R' L U' D R
U F' R' L U' D' R
U F' R' L U' D2 R
U F' R' L D U' R
U F' R' L D' U' R
U F' R' L D2 U' R
D2 F' U L R' U' R
D' F' U L R' U' R
U F' R' D L U' R
D2 F' U R' L U' R
D' F' U R' L U' R
U F' R' D' L U' R
U F' R' D2 L U' R
D F' U L R' U' R
D F' U R' L U' R
B2 D' L R' U L' R'
B2 D' L R' U R' L'
U2 F' U' R' F L U'
R F' U L R2 U' R2
L' F' U2 L2 R' U' L'
U2 F' U' F L R' U'
U2 F' U' F R' L U'
L' F' U2 R' L2 U' L'
R F' U R2 L U' R2
U F' D L R' U' R
U F' D R' L U' R
U F' D' L R' U' R
B2 D' R' L U L' R'
B2 D' R' L U R' L'
U F' D' R' L U' R
U F' D2 L R' U' R
B2 D' R2 U' L R U
U F' D2 R' L U' R
B2 D' R2 U' R L U
F' D' U L R' U' R
F' D' U R' L U' R
F2 D' U L R' U' R
F2 D' U R' L U' R
B2 D' U' L R' U R'
B2 D' U' R' L U R'
U2 F2 L R' F2 U' L'
F D' U L R' U' R
F D' U R' L U' R
U F2 L R' U' R D
U F2 L R' U' R D'
U F2 L R' U' R D2
U F2 L R' U' D R
U F2 L R' U' D' R
U F2 L R' U' D2 R
U F2 L R' D U' R
U F2 L R' D' U' R
U F2 L R' D2 U' R
U F2 L D R' U' R
R2 F2 L' U D L F2
R2 F2 L' U D F2 L
U F2 L D' R' U' R
U F2 L D2 R' U' R
R2 F2 L' U2 L2 U' L'
U F2 L F R' U' R
R2 F2 L' D U L F2
R2 F2 L' D U F2 L
U F2 L F' R' U' R
U F2 L F2 R' U' R
R2 F2 L' D2 R2 U L
L2 F2 R U L2 D B2
L2 F2 R U2 R2 U' L2
L2 F2 R D F2 U B2
U2 F2 R' L F2 U' L'
U2 F2 R' F2 L U' L2
D2 F2 U L R' U' R
U F2 R' L U' R D
U F2 R' L U' R D'
U F2 R' L U' R D2
D' F2 U L R' U' R
U F2 R' L U' D R
U F2 R' L U' D' R
U F2 R' L U' D2 R
U F2 R' L D U' R
U F2 R' L D' U' R
U F2 R' L D2 U' R
L F2 R' U R2 U2 R2
D2 F2 U R' L U' R
D' F2 U R' L U' R
U F2 R' D L U' R
U F2 R' D' L U' R
U F2 R' D2 L U' R
D F2 U L R' U' R
D F2 U R' L U' R
U2 F2 U' L R' F2 U'
U2 F2 U' L F2 R' U'
U2 F2 U' R' L F2 U'
U2 F2 U' R' F2 L U'
L' F2 U2 L2 R' U' L'
R F2 U L R2 U' R2
L' F2 U2 R' L2 U' L'
U2 F2 U' F2 L R' U'
U2 F2 U' F2 R' L U'
R F2 U R2 L U' R2
U F2 D L R' U' R
U F2 D R' L U' R
U F2 D' L R' U' R
U F2 D' R' L U' R
U F2 D2 L R' U' R
U F2 D2 R' L U' R
F' D2 U L R' U' R
F' D2 U R' L U' R
F2 D2 U L R' U' R
F2 D2 U R' L U' R
F D2 U L R' U' R
F D2 U R' L U' R
B2 F L R' B2 U L'
L B U2 B' U L' B'
B2 F R' L B2 U L'
B2 F U' L R' B2 U
B2 F U' R' L B2 U
B2 F' L R' B2 U L'
U B' U B R' U' F'
B2 F' R' L B2 U L'
B2 F' U' L R' B2 U
B2 F' U' R' L B2 U
U' B2 L R' U' L' U2
D2 B2 L R' B2 U L'
D' B2 L R' B2 U L'
L' B2 L B2 R' U L
D B2 L R' B2 U L'
F' B2 L R' B2 U L'
B2 F2 L R' B2 U L'
F2 B2 L R' B2 U L'
U' B2 R' L U' L' U2
D2 B2 R' L B2 U L'
D' B2 R' L B2 U L'
F B2 L R' B2 U L'
U' B2 U L R' U L'
D B2 R' L B2 U L'
U' B2 U R' L U L'
F' B2 R' L B2 U L'
D2 B2 U' L R' B2 U
B2 F2 R' L B2 U L'
D' B2 U' L R' B2 U
D2 B2 U' R' L B2 U
F2 B2 R' L B2 U L'
R' B2 U' R' B2 U B2
D' B2 U' R' L B2 U
R B2 R' B2 L U L'
D B2 U' L R' B2 U
F B2 R' L B2 U L'
U2 B2 U2 L R' U L'
D B2 U' R' L B2 U
U2 B2 U2 R' L U L'
U B2 U B2 L R' U'
U B2 U B2 R' L U'
L B2 U' L' D' R2 B2
L B2 U' L' D' B2 R2
F' B2 U' L R' B2 U
B2 F2 U' L R' B2 U
F' B2 U' R' L B2 U
F2 B2 U' L R' B2 U
R B2 U' R' B2 L U
B2 F2 U' R' L B2 U
L B2 U2 L B2 U L2
F2 B2 U' R' L B2 U
F B2 U' L R' B2 U
F B2 U' R' L B2 U
