L' R U' L U' R'
L R U' L' U' R'
L2 R U' L2 U' R'
R L U' L' U' R'
L2 R U2 R' D F2
L2 R U2 D R' F2
L2 R U2 D F2 R'
L2 R D U2 R' F2
L2 R D U2 F2 R'
L2 R D' B2 L U2
R L' U' L U' R'
R L2 U' L2 U' R'
R L2 U2 R' D F2
R L2 U2 D R' F2
R L2 U2 D F2 R'
R L2 D U2 R' F2
R L2 D U2 F2 R'
R L2 D' B2 L U2
R U' F U' F' R'
R U' F' U' R' F
R U' F' U' F R'
R U' F2 U' R' F2
R U' F2 U' F2 R'
R U2 R' U' R U
R2 U2 R2 D' F2 L'
R U2 R2 D' R F2
L2 D R U2 R' F2
L2 D R U2 F2 R'
L2 D F2 L' D2 B2
L2 D F2 D2 L' B2
L2 D F2 D2 B2 L'
L2 D' R B2 L U2
L2 D' B2 R U2 R'
F2 D R2 U' L' R2
F2 D R2 U' R2 L'
R B2 L U' L' U'
L2 D' R B2 D L U2
L2 D' R B2 D' L U2
L2 D' R B2 D2 L U2
L D' R U' L' U' R'
R2 D' R' U' F2 U' F2
L2 D' R' B2 R2 U2 R'
L2 D' R2 B2 U2 L R2
L2 D' R2 B2 U2 R2 L
L2 D' U2 R B2 U2 B2
R D' U' F U' F' R'
R D' U' F' U' R' F
R D' U' F' U' F R'
R D' U' F2 U' R' F2
L2 D' U2 B2 R U2 B2
R D' U' F2 U' F2 R'
F2 U' L' D2 B2 D' R2
R D' U2 R' U' R U
R D' U2 R2 D' R F2
L2 D' F2 L' D2 F2 B2
L2 D' F2 L' D2 B2 F2
R2 D' F2 U R' F2 U2
R2 D' F2 U F2 R' U2
R2 D' F2 U' D2 B2 L
L2 D' F2 D2 L' F2 B2
L2 D' F2 D2 L' B2 F2
L2 D' F2 D2 B2 L' F2
R2 D' F2 D2 U' B2 L
L2 D' B2 L R U2 R'
L2 D' B2 L' R U2 R'
L2 D' B2 L2 R U2 R'
L2 D' B2 R L U2 R'
L2 D' B2 R L' U2 R'
L2 D' B2 R L2 U2 R'
L2 D' B2 R U2 R' D
L2 D' B2 R U2 R' D'
L2 D' B2 R U2 R' D2
L2 D' B2 R U2 D R'
L2 D' B2 R U2 D' R'
L2 D' B2 R U2 D2 R'
L2 D' B2 R D U2 R'
L2 D' B2 R D' U2 R'
L2 D' B2 R D2 U2 R'
L2 D' B2 D R U2 R'
L2 D' B2 D' R U2 R'
L2 D' B2 D2 R U2 R'
R D' B2 L U' L' U'
F2 U' D2 L' B2 D' R2
F2 U' D2 B2 L' D' R2
F2 U' D2 B2 D' L' R2
F2 U' D2 B2 D' R2 L'
R D2 L U' L' U' R'
R2 D2 L2 R' U' L2 U'
R2 D2 L2 R' U2 D F2
R2 D2 L2 R' D U2 F2
R2 D2 L2 R' D' B2 U2
R D2 L' U' L U' R'
R2 D2 L2 D R' U2 F2
L' D2 R U' L U' R'
R2 D2 L2 D' R' B2 U2
R2 D2 L2 D' B2 U2 L
L2 D2 R U R U R2
L2 D2 R U2 R' D' F2
R D2 L2 U' L2 U' R'
R D2 L2 U2 R' D F2
R D2 L2 U2 D R' F2
R D2 L2 U2 D F2 R'
R D2 L2 D U2 R' F2
R D2 L2 D U2 F2 R'
R D2 L2 D' B2 L U2
L D2 R U' L' U' R'
R2 D2 R' L2 U' L2 U'
R2 D2 R' L2 U2 D F2
R2 D2 R' L2 D U2 F2
R2 D2 R' L2 D' B2 U2
R D2 U' F U' F' R'
R D2 U' F' U' R' F
R D2 U' F' U' F R'
R D2 U' F2 U' R' F2
R D2 U' F2 U' F2 R'
R D2 U2 R' U' R U
R D2 U2 R2 D' R F2
R D2 B2 L U' L' U'
F2 U2 F2 R U R' U
F U2 F' R U R' U
R' F U F' R2 U2 R'
R2 F U R' U2 R' B
R2 F U F' R' U2 R'
R2 F U' B R2 B L
R2 F U' B2 L R2 B
R2 F U' B2 R2 L B
F2 D L' U L R2 U'
F2 D L' U R2 L U'
F2 D L2 D L F2 B2
F2 D L2 D L B2 F2
F2 D L2 D F2 L B2
F2 D R2 U' L' R2 D
F2 D R2 U' L' R2 D'
F2 D R2 U' L' R2 D2
F2 D R2 U' R2 L' D
F2 D R2 U' R2 L' D'
F2 D R2 U' R2 L' D2
F2 D R2 U' R2 D L'
F2 D R2 U' R2 D' L'
F2 D R2 U' R2 D2 L'
F2 D R2 B U' L' R2
F2 D R2 B U' R2 L'
F2 D R2 B' U' L' R2
F2 D R2 B' U' R2 L'
F2 D R2 B2 U' L' R2
F2 D R2 B2 U' R2 L'
F D R2 U' B L R2
F D R2 U' B R2 L
R2 F B2 U' L R2 B
R2 F B2 U' R2 L B
F2 D B R2 U' L' R2
F2 D B R2 U' R2 L'
F2 D B' R2 U' L' R2
F2 D B' R2 U' R2 L'
F2 D B2 R2 U' L' R2
F2 D B2 R2 U' R2 L'
R2 F' U R' F U2 R'
R2 F' U F R' U2 R'
L' F2 L' D F2 D B2
L' F2 L' D2 B2 D' F2
U' F2 L2 U' L F2 R
U' F2 U L' F2 D2 B2
R' F2 U L' R2 F2 U2
R' F2 U L' F2 R2 U2
R' F2 U R2 L' F2 U2
R' F2 U R2 F2 U2 R
R' F2 U F2 R2 U2 R'
U' F2 U' L F2 L2 R
U' F2 U' L F2 R L2
R' F2 U' D2 L2 B2 R'
R2 F2 U R' F2 U2 R'
R2 F2 U F2 R' U2 R'
F2 D2 L' U L U' B2
L' F2 D L' D F2 B2
L' F2 D L' D B2 F2
D2 F2 D R2 U' L' R2
D2 F2 D R2 U' R2 L'
D' F2 D R2 U' L' R2
D' F2 D R2 U' R2 L'
L2 F2 D L' F2 D B2
F2 D2 L' B2 U' R' U
U F2 U2 F2 U' F2 L'
D F2 D R2 U' L' R2
D F2 D R2 U' R2 L'
L' F2 D2 L' B2 D F2
F2 D2 R U' L' R' B2
F2 D2 R U' R' L' B2
F2 D2 R U' R' B2 L'
R' F2 D2 U' L2 B2 R'
L2 F2 D2 L' B2 D' F2
F2 D2 R' U' L' R B2
F2 D2 R' U' L' B2 R
F2 D2 R' U' R L' B2
F2 D2 R' U' R B2 L'
F2 D2 R' U' B2 L' R
F2 D2 R' U' B2 R L'
L2 F2 D2 B2 L' D' F2
L2 F2 D2 B2 D' L' F2
F2 D2 R2 U' L' R2 B2
F2 D2 R2 U' L' B2 R2
F2 D2 R2 U' R2 L' B2
F2 D2 R2 U' R2 B2 L'
F2 D2 R2 U' B2 L' R2
F2 D2 R2 U' B2 R2 L'
F2 D2 U' L' B2 D' R2
F2 D2 U' B2 L' D' R2
F2 D2 U' B2 D' L' R2
F2 D2 U' B2 D' R2 L'
R B L' U' L F U'
U2 B R U R' U B'
L2 B R U' L2 U' R'
L2 B R U2 R' D F2
L2 B R U2 D R' F2
L2 B R U2 D F2 R'
L2 B R D U2 R' F2
L2 B R D U2 F2 R'
L2 B R D' B2 L U2
L B R U' L' U' R'
F2 D2 B2 L' U L U'
F2 D2 B2 L2 D L F2
F2 D2 B2 L2 D F2 L
U B U R B' U2 B
R B U' L F U' F'
U B U' B' R U2 R'
L2 B D R U2 R' F2
L2 B D R U2 F2 R'
R B U' F' U' F R
L' B D' R U2 F' R'
L2 B D F2 L' D2 B2
L2 B D F2 D2 L' B2
L2 B D F2 D2 B2 L'
L2 B D' R B2 L U2
L2 B D' B2 R U2 R'
F2 B D R2 U' L' R2
F2 B D R2 U' R2 L'
U2 B' R U R' U B
L2 B' R U' L2 U' R'
L2 B' R U2 R' D F2
L2 B' R U2 D R' F2
L2 B' R U2 D F2 R'
L2 B' R D U2 R' F2
L2 B' R D U2 F2 R'
L2 B' R D' B2 L U2
L B' R U' L' U' R'
U B' U B R U2 B'
U B' U' B R U2 R'
L2 B' D R U2 R' F2
L2 B' D R U2 F2 R'
L2 B' D F2 L' D2 B2
L2 B' D F2 D2 L' B2
L2 B' D F2 D2 B2 L'
L2 B' D' R B2 L U2
L2 B' D' B2 R U2 R'
F2 B' D R2 U' L' R2
F2 B' D R2 U' R2 L'
R B2 L U' L' U' D
R B2 L U' L' U' D'
R B2 L U' L' U' D2
R B2 L U' L' D U'
R B2 L U' L' D' U'
R B2 L U' L' D2 U'
R B2 L U' D L' U'
R B2 L U' D' L' U'
R B2 L U' D2 L' U'
R B2 L D U' L' U'
R B2 L D' U' L' U'
R B2 L D2 U' L' U'
L' B2 R U R2 U R
L' B2 R U2 D' R' F2
L' B2 R U2 D' F2 R'
L' B2 R D B2 L U2
R B2 L B U' L' U'
L' B2 R D' U2 R' F2
L' B2 R D' U2 F2 R'
R B2 L B' U' L' U'
R B2 L B2 U' L' U'
U2 B2 R U R' U B2
L2 B2 R U' L2 U' R'
L2 B2 R U2 R' D F2
L2 B2 R U2 D R' F2
L2 B2 R U2 D F2 R'
L2 B2 R D U2 R' F2
L2 B2 R D U2 F2 R'
L2 B2 R D' B2 L U2
R B2 L2 U2 D F2 R
R B2 L2 D L' U2 F2
R B2 L2 D U2 F2 R
R B2 L2 D' L' B2 U2
R B2 L2 D' B2 L' U2
L B2 R U' L' U' R'
R2 B2 U' L R2 D B2
U B2 U R B2 U2 B2
R2 B2 U' R2 L D B2
R2 B2 U' R2 D L B2
U B2 U B2 R U2 B2
R2 B2 U2 L R2 D' F2
U B2 U' R B2 L U2
R2 B2 U2 R2 L D' F2
R2 B2 U2 R2 D' L F2
R2 B2 U2 R2 D' F2 L
U' B2 D' R2 D B2 L
L2 B2 D R U2 R' F2
L2 B2 D R U2 F2 R'
U B2 U' B2 R U2 R'
L2 B2 D F2 L' D2 B2
L2 B2 D F2 D2 L' B2
L2 B2 D F2 D2 B2 L'
L2 B2 D' R B2 L U2
U' B2 D2 F2 U' L' F2
B' F2 D R2 U' L' R2
B' F2 D R2 U' R2 L'
L2 B2 D' B2 R U2 R'
R B2 D L U' L' U'
B2 F2 D R2 U' L' R2
B2 F2 D R2 U' R2 L'
F2 B2 D R2 U' L' R2
F2 B2 D R2 U' R2 L'
R B2 D' L U' L' U'
B F2 D R2 U' L' R2
B F2 D R2 U' R2 L'
R B2 D2 L U' L' U'
R2 B2 F U' L R2 B
R2 B2 F U' R2 L B
