F U' L' F
F L U' L2 F
L' U' F L' R
L' U' F R L'
F U' L' D F
F U' L' D' F
F U' L' D2 F
F U' L' F D
F U' L' F D'
F U' L' F D2
B' F U' L' F
F B U' L' F
B F U' L' F
B2 F U' L' F
F B' U' L' F
F B2 U' L' F
L' B U' R F R L'
L' B U' R' F L' R
L' B U' R' F R L'
L' B U' R2 F L' R
L' B U' R2 F R L'
B' F L U B' U2 L2
B' F L U' L2 D F
B' F L U' L2 D' F
B' F L U' L2 D2 F
B' F L U' L2 F D
B' F L U' L2 F D'
B' F L U' L2 F D2
B' F L U' F L2 F
B' F L U' F' L2 F
B' F L U' F2 L2 F
L' B U' F L' R D
L' B U' F L' R D'
L' B U' F L' R D2
L' B U' F L' D R
L' B U' F L' D' R
L' B U' F L' D2 R
L' B U' F R L' D
L' B U' F R L' D'
L' B U' F R L' D2
L' B U' F R D L'
L' B U' F R D' L'
L' B U' F R D2 L'
L' B U' F D L' R
L' B U' F D R L'
L' B U' F D' L' R
L' B U' F D' R L'
L' B U' F D2 L' R
L' B U' F D2 R L'
F D2 B' U' D2 L' F
B2 F L U B' U2 L2
B2 F L U' L2 D F
B2 F L U' L2 D' F
B2 F L U' L2 D2 F
B2 F L U' L2 F D
B2 F L U' L2 F D'
B2 F L U' L2 F D2
F D2 B' D2 U' L' F
B2 F L U' F L2 F
B2 F L U' F' L2 F
B2 F L U' F2 L2 F
F D2 B2 U' D2 L' F
B F L U B' U2 L2
B F L U' L2 D F
B F L U' L2 D' F
B F L U' L2 D2 F
B F L U' L2 F D
B F L U' L2 F D'
B F L U' L2 F D2
B F L U' F L2 F
B F L U' F' L2 F
B F L U' F2 L2 F
F D2 B2 D2 U' L' F
U2 B U2 F U' L' F
F' B L' F2 U' L' F'
F B L U B' U2 L2
F B L U' L2 D F
F B L U' L2 D' F
F B L U' L2 D2 F
F B L U' L2 F D
F B L U' L2 F D'
F B L U' L2 F D2
F B L U' F L2 F
F B L U' F' L2 F
F B L U' F2 L2 F
U B U' F U' L' F
F2 B L' F' U' L' F2
D B D' F U' L' F
U' B F U' B' L' F
D2 B F U R' B U2
B' F U R U2 L' F
B' F U R' U2 L' F
R2 B F R2 U' L' F
B' F U R2 U2 L' F
B2 F U R U2 L' F
B' F U B U2 L' F
B2 F U R' U2 L' F
B' F U B' U2 L' F
B2 F U R2 U2 L' F
B' F U B2 U2 L' F
B' F U' L F L2 F
B' F U' L F' L2 F
B' F U' L F2 L2 F
B' F U' L' R F R'
B' F U' L' R2 F R2
B' F U' L' D F D
B' F U' L' D F D'
B' F U' L' D F D2
B' F U' L' D' F D
B' F U' L' D' F D'
B' F U' L' D' F D2
B' F U' L' D2 F D
B' F U' L' D2 F D'
B' F U' L' D2 F D2
B' F U' L' F2 D F'
B' F U' L' F2 D' F'
B' F U' L' F2 D2 F'
B' F U' L2 D L F
B' F U' L2 D' L F
B' F U' L2 D2 L F
B' F U' L2 F L F
B' F U' L2 F' L F
B' F U' L2 F2 L F
B' F U' R L' F R'
B' F U' R2 L' F R2
B2 F U B U2 L' F
B2 F U B' U2 L' F
B2 F U B2 U2 L' F
B2 F U' L F L2 F
B2 F U' L F' L2 F
B2 F U' L F2 L2 F
B2 F U' L' R F R'
B' F U' F' L' F L'
B2 F U' L' R2 F R2
B2 F U' L' D F D
B2 F U' L' D F D'
B2 F U' L' D F D2
B2 F U' L' D' F D
B2 F U' L' D' F D'
B2 F U' L' D' F D2
B2 F U' L' D2 F D
B2 F U' L' D2 F D'
B2 F U' L' D2 F D2
B2 F U' L' F2 D F'
B2 F U' L' F2 D' F'
B2 F U' L' F2 D2 F'
B2 F U' L2 D L F
B2 F U' L2 D' L F
B2 F U' L2 D2 L F
B2 F U' L2 F L F
B F U R U2 L' F
B2 F U' L2 F' L F
B2 F U' L2 F2 L F
R B F U' L' F B'
R B F U' L' B' F
B2 F U' R L' F R'
B F U R' U2 L' F
B' F U' B' L' F B
B' F U' B' L' B F
B F U R2 U2 L' F
L' B' L F U' L' F
B' F U' B2 L' F B2
B2 F U' R2 L' F R2
B' F U' B2 L' B2 F
B' F U2 R U L' F
B2 F U' F' L' F L'
F B U R U2 L' F
B' F U2 R' U L' F
F B U R' U2 L' F
B' F U2 R2 U L' F
B F U B U2 L' F
F B U R2 U2 L' F
B F U B' U2 L' F
B2 F U' B' L' F B
B2 F U' B' L' B F
B F U B2 U2 L' F
B2 F U' B2 L' F B2
B2 F U' B2 L' B2 F
B F U' L F L2 F
B F U' L F' L2 F
B F U' L F2 L2 F
B F U' L' R F R'
B F U' L' R2 F R2
B F U' L' D F D
B F U' L' D F D'
B F U' L' D F D2
B F U' L' D' F D
B F U' L' D' F D'
B F U' L' D' F D2
B F U' L' D2 F D
B F U' L' D2 F D'
B F U' L' D2 F D2
B F U' L' F2 D F'
B F U' L' F2 D' F'
B F U' L' F2 D2 F'
B F U' L2 D L F
B F U' L2 D' L F
B F U' L2 D2 L F
B F U' L2 F L F
B F U' L2 F' L F
B F U' L2 F2 L F
B F U' R L' F R'
B2 F U2 R U L' F
B2 F U2 R' U L' F
F B U B U2 L' F
B F U' R2 L' F R2
B2 F U2 R2 U L' F
F B U B' U2 L' F
F B U B2 U2 L' F
F B U' L F L2 F
F B U' L F' L2 F
F B U' L F2 L2 F
F B U' L' R F R'
F B U' L' R2 F R2
F B U' L' D F D
F B U' L' D F D'
F B U' L' D F D2
F B U' L' D' F D
F B U' L' D' F D'
F B U' L' D' F D2
F B U' L' D2 F D
F B U' L' D2 F D'
F B U' L' D2 F D2
F B U' L' F2 D F'
F B U' L' F2 D' F'
F B U' L' F2 D2 F'
B F U' F' L' F L'
F B U' L2 D L F
F B U' L2 D' L F
F B U' L2 D2 L F
F B U' L2 F L F
F B U' L2 F' L F
F B U' L2 F2 L F
F B U' R L' F R'
F B U' R2 L' F R2
B F U' B' L' F B
B F U' B' L' B F
B F U' B2 L' F B2
B F U' B2 L' B2 F
F B U' F' L' F L'
B F U2 R U L' F
B F U2 R' U L' F
B F U2 R2 U L' F
F B U' B' L' F B
F B U' B' L' B F
F B U' B2 L' F B2
F B U' B2 L' B2 F
F B U2 R U L' F
F B U2 R' U L' F
F B U2 R2 U L' F
R' B' R F U' L' F
B' F D' B' L U' L2
B2 F D' B' L U' L2
B F D' B' L U' L2
F B D' B' L U' L2
B' F' L' F2 U' L' F'
R2 B' R2 F U' L' F
F' B' L' F2 U' L' F'
F B' L U B' U2 L2
B2 F' L' F2 U' L' F'
F B' L U' L2 D F
F B' L U' L2 D' F
F B' L U' L2 D2 F
F B' L U' L2 F D
F B' L U' L2 F D'
F B' L U' L2 F D2
F B' L U' F L2 F
F2 B' L' F' U' L' F2
F B' L U' F' L2 F
F B' L U' F2 L2 F
L' B' U' R F L' R
L' B' U' R F R L'
L' B' U' R' F L' R
L' B' U' R' F R L'
L' B' U' R2 F L' R
L' B' U' R2 F R L'
L' B' U' F L' R D
L' B' U' F L' R D'
L' B' U' F L' R D2
L' B' U' F L' D R
L' B' U' F L' D' R
L' B' U' F L' D2 R
L' B' U' F R L' D
L' B' U' F R L' D'
L' B' U' F R L' D2
L' B' U' F R D L'
L' B' U' F R D' L'
L' B' U' F R D2 L'
L' B' U' F D L' R
L' B' U' F D R L'
L' B' U' F D' L' R
L' B' U' F D' R L'
L' B' U' F D2 L' R
L' B' U' F D2 R L'
B F' L' F2 U' L' F'
U2 B' U2 F U' L' F
D' B' D F L U' L2
U B' U' F U' L' F
D2 B' D' F L' U' L2
D' B' F L D B' U'
D' B' F L D' B' U'
U' B' F U' L' F B
U' B' F U' L' B F
D' B' F L D2 B' U'
D' B' F L B' U' D
D' B' F L B' U' D'
D' B' F L B' U' D2
D' B' F L B' D U'
D' B' F L B' D' U'
D' B' F L B' D2 U'
U' B' F U' B L' F
D B' D' F U' L' F
D' B' F' L F2 B' U'
D' B' F' L B' F2 U'
F B' U R U2 L' F
F B' U R' U2 L' F
F B' U R2 U2 L' F
R2 B' F R2 U' L' F
D' B' F2 L F' B' U'
D' B' F2 L B' F' U'
F B' U B U2 L' F
F B' U B' U2 L' F
F B' U B2 U2 L' F
F B' U' L F L2 F
F B' U' L F' L2 F
F B' U' L F2 L2 F
F B' U' L' R F R'
F B' U' L' R2 F R2
F B' U' L' D F D
F B' U' L' D F D'
F B' U' L' D F D2
F B' U' L' D' F D
F B' U' L' D' F D'
F B' U' L' D' F D2
F B' U' L' D2 F D
F B' U' L' D2 F D'
F B' U' L' D2 F D2
F B' U' L' F2 D F'
F B' U' L' F2 D' F'
F B' U' L' F2 D2 F'
F B' U' L2 D L F
F B' U' L2 D' L F
F B' U' L2 D2 L F
F B' U' L2 F L F
F B' U' L2 F' L F
F B' U' L2 F2 L F
F B' U' R L' F R'
F B' U' R2 L' F R2
F B' U' F' L' F L'
F B' U' B' L' F B
F B' U' B' L' B F
F B' U' B2 L' F B2
F B' U' B2 L' B2 F
F B' U2 R U L' F
L' B2 L F U' L' F
F B' U2 R' U L' F
F B' U2 R2 U L' F
F B' D' B' L U' L2
R' B2 R F U' L' F
B' F2 L' F' U' L' F2
F' B2 L' F2 U' L' F'
B2 F2 L' F' U' L' F2
F2 B2 L' F' U' L' F2
F B2 L U B' U2 L2
F B2 L U' L2 D F
F B2 L U' L2 D' F
F B2 L U' L2 D2 F
F B2 L U' L2 F D
F B2 L U' L2 F D'
F B2 L U' L2 F D2
F B2 L U' F L2 F
F B2 L U' F' L2 F
F B2 L U' F2 L2 F
B F2 L' F' U' L' F2
R2 B2 R2 F U' L' F
L' B2 U' R F L' R
L' B2 U' R F R L'
L' B2 U' R' F L' R
L' B2 U' R' F R L'
L' B2 U' R2 F L' R
L' B2 U' R2 F R L'
L' B2 U' F L' R D
L' B2 U' F L' R D'
L' B2 U' F L' R D2
L' B2 U' F L' D R
L' B2 U' F L' D' R
L' B2 U' F L' D2 R
L' B2 U' F R L' D
L' B2 U' F R L' D'
L' B2 U' F R L' D2
L' B2 U' F R D L'
L' B2 U' F R D' L'
L' B2 U' F R D2 L'
L' B2 U' F D L' R
L' B2 U' F D R L'
L' B2 U' F D' L' R
L' B2 U' F D' R L'
L' B2 U' F D2 L' R
L' B2 U' F D2 R L'
U2 B2 U2 F U' L' F
U B2 U' F U' L' F
F B2 U R U2 L' F
F B2 U R' U2 L' F
F B2 U R2 U2 L' F
F B2 U B U2 L' F
F B2 U B' U2 L' F
F B2 U B2 U2 L' F
F B2 U' L F L2 F
F B2 U' L F' L2 F
F B2 U' L F2 L2 F
F B2 U' L' R F R'
F B2 U' L' R2 F R2
F B2 U' L' D F D
F B2 U' L' D F D'
F B2 U' L' D F D2
F B2 U' L' D' F D
F B2 U' L' D' F D'
F B2 U' L' D' F D2
F B2 U' L' D2 F D
F B2 U' L' D2 F D'
F B2 U' L' D2 F D2
F B2 U' L' F2 D F'
F B2 U' L' F2 D' F'
F B2 U' L' F2 D2 F'
F B2 U' L2 D L F
F B2 U' L2 D' L F
F B2 U' L2 D2 L F
F B2 U' L2 F L F
F B2 U' L2 F' L F
F B2 U' L2 F2 L F
F B2 U' R L' F R'
F B2 U' R2 L' F R2
U' B2 F U' L' F B2
U' B2 F U' L' B2 F
U' B2 F U' B2 L' F
D B2 D' F U' L' F
F B2 U' F' L' F L'
F B2 U' B' L' F B
F B2 U' B' L' B F
F B2 U' B2 L' F B2
F B2 U' B2 L' B2 F
F B2 U2 R U L' F
F B2 U2 R' U L' F
F B2 U2 R2 U L' F
R2 B2 F R2 U' L' F
F B2 D' B' L U' L2
