U2 R U' L2 R'
U2 R U' R' L2
D L F2 L' U R
F2 L' U L' D2 R2
F2 L' U' L U2 L2
F2 L' B2 U L' R'
F2 L' B2 U R' L'
U2 L2 U L2 R U'
U2 L2 U R L2 U'
U L2 U R U' R'
U' R U' L2 D F2
U2 R U' L2 R' D
U2 R U' L2 R' D'
U2 R U' L2 R' D2
U2 R U' L2 D R'
U2 R U' L2 D' R'
U2 R U' L2 D2 R'
U2 R U' R' L2 D
U2 R U' R' L2 D'
U2 R U' R' L2 D2
U2 R F U' L2 R'
U2 R F U' R' L2
U2 R F' U' L2 R'
U2 R F' U' R' L2
U2 R F2 U' L2 R'
U2 R F2 U' R' L2
U' R B U' L2 F
R U2 R' U L2 R
R U2 R' U R L2
D U F2 L' U F2
U D F2 L' U F2
U2 D' B2 R U' R'
B2 U2 R U' L2 R'
B2 U2 R U' R' L2
B' U2 R U' L2 R'
B' U2 R U' R' L2
B U2 R U' L2 R'
B U2 R U' R' L2
D' U2 B2 R U' R'
L F2 L' U L2 R
L F2 L' U R L2
D F2 L' U' L U2
U F2 L' U L' F2
D F2 L' B2 U R'
U' B R U' L2 F
U2 B R U' L2 R'
U2 B R U' R' L2
U2 B' R U' L2 R'
U2 B' R U' R' L2
U2 B2 R U' L2 R'
U2 B2 R U' R' L2
D F2 D2 L' B2 U R'
L F2 D2 L' U L2 R
L F2 D2 L' U R L2
F2 D2 R2 U L' R2 U
F2 D2 R2 U R2 L' U
D F2 B L' U' L U2
D F2 B L' B2 U R'
D F2 B' L' U' L U2
D F2 B' L' B2 U R'
U' B L' R U' L' F
D F2 B2 L' U' L U2
D F2 B2 L' B2 U R'
D B L F2 L' U R
U' B R L' U' L' F
U' B R U B' U2 L2
U' B R U' L2 D F
U' B R U' L2 D' F
U' B R U' L2 D2 F
U' B R U' L2 F D
U' B R U' L2 F D'
U' B R U' L2 F D2
U' B R U' F L2 F
U2 B L2 U L2 R U'
U' B R U' F' L2 F
U2 B L2 U R L2 U'
U' B R U' F2 L2 F
U2 B R U' L2 R' D
U2 B R U' L2 R' D'
U2 B R U' L2 R' D2
U2 B R U' L2 D R'
U2 B R U' L2 D' R'
U2 B R U' L2 D2 R'
U2 B R U' R' L2 D
U2 B R U' R' L2 D'
U2 B R U' R' L2 D2
U B L2 U R F U'
U2 B R F U' L2 R'
U2 B R F U' R' L2
U2 B R F' U' L2 R'
U2 B R F' U' R' L2
U2 B R F2 U' L2 R'
U2 B R F2 U' R' L2
D B U F2 L' U F2
D' B U2 B R U' R'
F2 B L' U L' D2 R2
F2 B L' U' L U2 L2
F2 B L' B2 U L' R'
F2 B L' B2 U R' L'
U2 B D' B2 R U' R'
D B F2 L' U' L U2
D B F2 L' B2 U R'
D B' L F2 L' U R
U2 B' L2 U L2 R U'
U2 B' L2 U R L2 U'
U2 B' R U' L2 R' D
U2 B' R U' L2 R' D'
U2 B' R U' L2 R' D2
U2 B' R U' L2 D R'
U2 B' R U' L2 D' R'
U2 B' R U' L2 D2 R'
U2 B' R U' R' L2 D
U2 B' R U' R' L2 D'
U2 B' R U' R' L2 D2
U2 B' R F U' L2 R'
U2 B' R F U' R' L2
U2 B' R F' U' L2 R'
U2 B' R F' U' R' L2
U2 B' R F2 U' L2 R'
U2 B' R F2 U' R' L2
F2 B' L' U L' D2 R2
F2 B' L' U' L U2 L2
F2 B' L' B2 U L' R'
F2 B' L' B2 U R' L'
D B' U F2 L' U F2
D' B' U2 B' R U' R'
U2 B' D' B2 R U' R'
D B' F2 L' U' L U2
D B' F2 L' B2 U R'
D B2 L F2 L' U R
U' B2 R U B2 U2 L2
U' B2 R U' L2 D2 F2
R B2 L U L' U2 L2
R B2 L U' L D2 R2
U2 B2 L2 U L2 R U'
U2 B2 L2 U R L2 U'
D' B2 R U2 R' U R
B' F2 L' U L' D2 R2
U' B2 R B' U' L2 F
R B2 L F2 U' L R
R B2 L F2 U' R L
B' F2 L' U' L U2 L2
U2 B2 R U' L2 R' D
U2 B2 R U' L2 R' D'
U2 B2 R U' L2 R' D2
U2 B2 R U' L2 D R'
U2 B2 R U' L2 D' R'
U2 B2 R U' L2 D2 R'
U2 B2 R U' R' L2 D
U2 B2 R U' R' L2 D'
U2 B2 R U' R' L2 D2
B2 F2 L' U L' D2 R2
B2 F2 L' U' L U2 L2
B' F2 L' B2 U L' R'
B' F2 L' B2 U R' L'
F2 B2 L' U L' D2 R2
F2 B2 L' U' L U2 L2
U2 B2 R F U' L2 R'
U2 B2 R F U' R' L2
U2 B2 R F' U' L2 R'
U2 B2 R F' U' R' L2
U2 B2 R F2 U' L2 R'
U2 B2 R F2 U' R' L2
B2 F2 L' B2 U L' R'
B2 F2 L' B2 U R' L'
F2 B2 L' B2 U L' R'
F2 B2 L' B2 U R' L'
B F2 L' U L' D2 R2
B F2 L' U' L U2 L2
B F2 L' B2 U L' R'
B F2 L' B2 U R' L'
L' B2 U L' R' D B2
L' B2 U R' L' D B2
L' B2 U R' D L' B2
L' B2 U R' D B2 L'
R2 B2 U L R2 U L
R2 B2 U R2 L U L
D B2 U F2 L' U F2
L' B2 U2 R U' L' R2
L' B2 U2 R U' R2 L'
U' B2 D2 R U' F2 L'
U2 B2 D' B2 R U' R'
D B2 F2 L' U' L U2
D B2 F2 L' B2 U R'
